,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,33,38.0,628,16.53,392,88,38,46,53,11,48,1.26,27,6,4,5,6,0
1,30,38.0,671,17.66,439,76,58,36,45,17,71,1.87,38,6,6,9,10,2
2,26,34.0,586,17.24,410,52,41,39,34,10,42,1.24,32,2,1,4,3,0
3,27,38.0,1030,27.11,788,68,57,66,39,12,99,2.61,69,8,4,13,4,1
4,31,38.0,837,22.03,608,85,49,41,48,6,93,2.45,65,9,9,7,3,0
5,32,38.0,1078,28.37,776,98,69,87,32,16,110,2.89,88,2,8,8,3,1
6,26,38.0,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3
7,26,38.0,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3
8,26,34.0,608,17.88,433,70,24,35,29,17,59,1.74,37,8,2,8,4,0
9,38,38.0,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2
10,30,34.0,1170,34.41,874,93,64,84,36,19,161,4.74,122,13,9,10,5,2
11,31,38.0,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1
12,28,34.0,662,19.47,451,75,27,39,56,14,60,1.76,38,5,4,5,6,2
13,36,38.0,777,20.45,599,71,26,41,34,6,76,2.0,59,7,2,5,3,0
14,39,38.0,768,20.21,539,73,53,48,32,23,91,2.39,61,12,9,5,3,1
15,29,38.0,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0
16,25,38.0,698,18.37,490,75,40,43,36,14,78,2.05,49,7,7,7,6,2
17,26,38.0,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1
18,23,38.0,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0
