,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
1670,Javier Mascherano,ar ARG,"DF,MF",Barcelona,La Liga,30.0,1984.0,24.5,8.0,1.0,,24.0,,,,,,,,
1671,Andrea Masiello,it ITA,DF,Atalanta,Serie A,28.0,1986.0,12.3,3.0,0.0,,11.0,,,,,,,,
1672,Salvatore Masiello,it ITA,"DF,MF",Torino,Serie A,32.0,1982.0,0.5,0.0,0.0,,1.0,,,,,,,,
1673,Jordi Masip,es ESP,GK,Barcelona,La Liga,25.0,1989.0,1.0,0.0,0.0,,0.0,,,,,,,,
1674,Ryan Mason,eng ENG,MF,Tottenham,Premier League,23.0,1991.0,25.7,10.0,0.0,,26.0,,,,,,,,
1675,Alessandro Mastalli,it ITA,MF,Milan,Serie A,18.0,1996.0,0.2,0.0,0.0,,1.0,,,,,,,,
1676,Juan Mata,es ESP,"FW,MF",Manchester Utd,Premier League,26.0,1988.0,25.6,2.0,0.0,,28.0,,,,,,,,
1677,Tim Matavž,si SVN,FW,Augsburg,Bundesliga,25.0,1989.0,5.8,0.0,0.0,,13.0,,,,,,,,
1678,Simão Mate Junior,mz MOZ,"DF,MF",Levante,La Liga,26.0,1988.0,22.0,10.0,0.0,,56.0,,,,,,,,
1679,William Matheus,br BRA,DF,Toulouse,Ligue 1,24.0,1990.0,6.6,0.0,0.0,,7.0,,,,,,,,
1680,Jérémy Mathieu,fr FRA,DF,Barcelona,La Liga,30.0,1983.0,23.4,5.0,0.0,,13.0,,,,,,,,
1681,Lionel Mathis,fr FRA,MF,Guingamp,Ligue 1,32.0,1981.0,27.6,4.0,0.0,,44.0,,,,,,,,
1682,Nemanja Matić,rs SRB,MF,Chelsea,Premier League,25.0,1988.0,34.7,10.0,1.0,,48.0,,,,,,,,
1683,Joël Matip,cm CMR,"DF,MF",Schalke 04,Bundesliga,22.0,1991.0,17.2,3.0,1.0,,23.0,,,,,,,,
1684,Ryder Matos,br BRA,"FW,MF",Córdoba,La Liga,21.0,1993.0,1.6,0.0,0.0,,1.0,,,,,,,,
1685,Alessandro Matri,it ITA,FW,Genoa,Serie A,29.0,1984.0,11.4,2.0,0.0,,15.0,,,,,,,,
1686,Alessandro Matri,it ITA,FW,Juventus,Serie A,29.0,1984.0,3.6,0.0,0.0,,2.0,,,,,,,,
1687,Ville Matti Steinmann,de GER,MF,Hamburger SV,Bundesliga,19.0,1995.0,0.0,0.0,0.0,,0.0,,,,,,,,
1688,Federico Mattiello,it ITA,"DF,MF",Chievo,Serie A,19.0,1995.0,1.5,0.0,0.0,,4.0,,,,,,,,
1690,Federico Mattiello,it ITA,"DF,MF",Juventus,Serie A,19.0,1995.0,0.3,0.0,0.0,,0.0,,,,,,,,
1691,Felipe Mattioni,br BRA,DF,Espanyol,La Liga,25.0,1988.0,0.7,1.0,0.0,,3.0,,,,,,,,
1692,Blaise Matuidi,fr FRA,MF,Paris S-G,Ligue 1,27.0,1987.0,24.3,2.0,0.0,,36.0,,,,,,,,
1693,Adam Matuszczyk,pl POL,MF,Köln,Bundesliga,25.0,1989.0,4.8,0.0,0.0,,5.0,,,,,,,,
1694,Neal Maupay,fr FRA,"FW,MF",Nice,Ligue 1,17.0,1996.0,4.0,1.0,1.0,,12.0,,,,,,,,
1695,José Mauri,it ITA,MF,Parma,Serie A,18.0,1996.0,28.3,6.0,0.0,,59.0,,,,,,,,
1696,Stefano Mauri,it ITA,"FW,MF",Lazio,Serie A,34.0,1980.0,20.6,5.0,0.0,,22.0,,,,,,,,
1697,Nicolas Maurice-Belay,fr FRA,"FW,MF",Bordeaux,Ligue 1,29.0,1985.0,18.2,0.0,0.0,,14.0,,,,,,,,
1698,Maurício,br BRA,DF,Lazio,Serie A,25.0,1988.0,13.0,7.0,1.0,,35.0,,,,,,,,
1699,Chris Mavinga,cd COD,DF,Reims,Ligue 1,23.0,1991.0,7.2,3.0,1.0,,8.0,,,,,,,,
1700,Mërgim Mavraj,al ALB,DF,Köln,Bundesliga,28.0,1986.0,11.5,1.0,0.0,,11.0,,,,,,,,
1701,Rio Mavuba,fr FRA,MF,Lille,Ligue 1,30.0,1984.0,28.9,4.0,0.0,,25.0,,,,,,,,
1702,Alexandru Maxim,ro ROU,MF,Stuttgart,Bundesliga,24.0,1990.0,16.1,3.0,0.0,,21.0,,,,,,,,
1703,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Schalke 04,Bundesliga,25.0,1989.0,28.3,0.0,0.0,,37.0,,,,,,,,
1704,Maxwell,br BRA,DF,Paris S-G,Ligue 1,32.0,1981.0,24.0,1.0,0.0,,10.0,,,,,,,,
1705,Emmanuel Mayuka,zm ZAM,FW,Southampton,Premier League,23.0,1990.0,0.6,0.0,0.0,,2.0,,,,,,,,
1706,Antonio Mazzotta,it ITA,"DF,MF",Cesena,Serie A,24.0,1989.0,8.0,0.0,0.0,,7.0,,,,,,,,
1707,Ibrahima Mbaye,sn SEN,"DF,MF",Inter,Serie A,19.0,1994.0,1.1,0.0,0.0,,2.0,,,,,,,,
1708,Stéphane Mbia,cm CMR,"DF,MF",Sevilla,La Liga,28.0,1986.0,16.4,9.0,0.0,,48.0,,,,,,,,
1709,James McArthur,sct SCO,MF,Crystal Palace,Premier League,26.0,1987.0,28.9,6.0,0.0,,43.0,,,,,,,,
1710,Gareth McAuley,nir NIR,DF,West Brom,Premier League,34.0,1979.0,23.0,2.0,1.0,,10.0,,,,,,,,
1711,Alex McCarthy,eng ENG,GK,QPR,Premier League,24.0,1989.0,2.6,0.0,0.0,,0.0,,,,,,,,
1712,James McCarthy,ie IRL,MF,Everton,Premier League,23.0,1990.0,26.7,7.0,0.0,,31.0,,,,,,,,
1713,Jason McCarthy,eng ENG,"DF,MF",Southampton,Premier League,18.0,1995.0,0.0,0.0,0.0,,0.0,,,,,,,,
1714,Aiden McGeady,ie IRL,"FW,MF",Everton,Premier League,28.0,1986.0,9.8,1.0,0.0,,16.0,,,,,,,,
1716,Allan McGregor,sct SCO,GK,Hull City,Premier League,32.0,1982.0,26.0,0.0,0.0,,0.0,,,,,,,,
1717,Levan Mchedlidze,ge GEO,"FW,MF",Empoli,Serie A,24.0,1990.0,8.6,3.0,0.0,,18.0,,,,,,,,
1718,Callum McManaman,eng ENG,"FW,MF",West Brom,Premier League,23.0,1991.0,3.8,1.0,0.0,,5.0,,,,,,,,
1719,Paddy McNair,nir NIR,"DF,MF",Manchester Utd,Premier League,19.0,1995.0,11.4,2.0,0.0,,8.0,,,,,,,,
