,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
0,Alavés,La Liga,25.0,25.4,44.4,38.0,418.0,3420.0,38.0,41.0,27.0,37.0,4.0,4.0,117.0,5.0,1.08,0.71,1.79,0.97,1.68
1,Angers,Ligue 1,29.0,26.7,46.1,38.0,418.0,3420.0,38.0,39.0,25.0,36.0,3.0,4.0,0.0,1.0,1.03,0.66,1.68,0.95,1.61
2,Arsenal,Premier League,29.0,26.9,58.9,38.0,418.0,3420.0,38.0,73.0,55.0,69.0,4.0,6.0,0.0,0.0,1.92,1.45,3.37,1.82,3.26
3,Atalanta,Serie A,32.0,25.2,50.2,38.0,417.0,3420.0,38.0,62.0,43.0,57.0,5.0,5.0,0.0,2.0,1.63,1.13,2.76,1.5,2.63
4,Athletic Club,La Liga,25.0,26.8,51.1,38.0,418.0,3420.0,38.0,53.0,31.0,45.0,8.0,8.0,88.0,2.0,1.39,0.82,2.21,1.18,2.0
5,Atlético Madrid,La Liga,22.0,26.9,48.4,38.0,418.0,3420.0,38.0,70.0,54.0,68.0,2.0,7.0,82.0,3.0,1.84,1.42,3.26,1.79,3.21
6,Augsburg,Bundesliga,28.0,27.1,41.9,34.0,374.0,3060.0,34.0,35.0,22.0,32.0,3.0,4.0,0.0,2.0,1.03,0.65,1.68,0.94,1.59
7,Barcelona,La Liga,25.0,26.9,66.1,38.0,418.0,3420.0,38.0,113.0,71.0,105.0,8.0,9.0,74.0,1.0,2.97,1.87,4.84,2.76,4.63
8,Bastia,Ligue 1,29.0,26.9,43.4,38.0,418.0,3420.0,38.0,28.0,18.0,28.0,0.0,1.0,0.0,7.0,0.74,0.47,1.21,0.74,1.21
9,Bayern Munich,Bundesliga,22.0,28.0,69.0,34.0,374.0,3060.0,34.0,88.0,64.0,83.0,5.0,5.0,0.0,0.0,2.59,1.88,4.47,2.44,4.32
10,Betis,La Liga,27.0,26.1,47.9,38.0,418.0,3420.0,38.0,41.0,27.0,39.0,2.0,2.0,103.0,5.0,1.08,0.71,1.79,1.03,1.74
11,Bologna,Serie A,28.0,26.3,46.3,38.0,418.0,3420.0,38.0,39.0,29.0,38.0,1.0,2.0,0.0,2.0,1.03,0.76,1.79,1.0,1.76
12,Bordeaux,Ligue 1,27.0,25.9,48.3,38.0,418.0,3420.0,38.0,51.0,35.0,47.0,4.0,7.0,0.0,1.0,1.34,0.92,2.26,1.24,2.16
13,Bournemouth,Premier League,27.0,27.0,51.5,38.0,418.0,3420.0,38.0,53.0,33.0,46.0,7.0,10.0,0.0,2.0,1.39,0.87,2.26,1.21,2.08
14,Burnley,Premier League,27.0,27.7,40.3,38.0,418.0,3420.0,38.0,39.0,24.0,33.0,6.0,6.0,0.0,1.0,1.03,0.63,1.66,0.87,1.5
15,Caen,Ligue 1,27.0,28.7,45.8,38.0,418.0,3420.0,38.0,35.0,28.0,31.0,4.0,5.0,0.0,1.0,0.92,0.74,1.66,0.82,1.55
16,Cagliari,Serie A,34.0,28.7,43.2,38.0,418.0,3420.0,38.0,53.0,30.0,49.0,4.0,6.0,0.0,3.0,1.39,0.79,2.18,1.29,2.08
17,Celta Vigo,La Liga,27.0,26.1,53.2,38.0,418.0,3420.0,38.0,52.0,33.0,45.0,7.0,7.0,105.0,8.0,1.37,0.87,2.24,1.18,2.05
18,Chelsea,Premier League,24.0,27.2,55.1,38.0,418.0,3420.0,38.0,83.0,53.0,81.0,2.0,4.0,0.0,0.0,2.18,1.39,3.58,2.13,3.53
