,Squad,Comp,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Alaves,La Liga,26,38.0,39,426,116,27.2,11.21,3.05,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8
1,Amiens,Ligue 1,26,38.0,30,385,112,29.1,10.13,2.95,0.07,0.25,20.0,19,2,3,35.4,33.0,0.09,-5.4,-5.0
2,Angers,Ligue 1,24,38.0,42,442,144,32.6,11.63,3.79,0.08,0.26,18.8,19,5,10,50.7,42.8,0.1,-8.7,-5.8
3,Arsenal,Premier League,28,38.0,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56.0,0.12,8.9,9.0
4,Atalanta,Serie A,27,38.0,75,637,214,33.6,16.76,5.63,0.11,0.34,16.6,16,2,4,72.2,69.0,0.11,2.8,4.0
5,Athletic Club,La Liga,27,38.0,39,380,132,34.7,10.0,3.47,0.09,0.26,17.1,6,5,7,43.4,37.8,0.1,-4.4,-3.8
6,Atletico Madrid,La Liga,29,38.0,53,440,155,35.2,11.58,4.08,0.11,0.32,18.3,21,3,4,47.3,44.1,0.1,5.7,5.9
7,Augsburg,Bundesliga,30,34.0,50,450,156,34.7,13.24,4.59,0.1,0.29,18.7,19,5,5,45.3,41.8,0.09,4.7,3.2
8,Barcelona,La Liga,30,38.0,88,551,242,43.9,14.5,6.37,0.15,0.33,18.0,50,8,9,75.8,68.7,0.13,12.2,11.3
9,Bayern Munich,Bundesliga,24,34.0,86,633,252,39.8,18.62,7.41,0.13,0.33,16.1,28,3,4,85.6,82.4,0.13,0.4,0.6
10,Betis,La Liga,25,38.0,43,436,156,35.8,11.47,4.11,0.09,0.24,18.6,31,5,7,47.1,41.5,0.1,-4.1,-3.5
