,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
0,Patrick van Aanholt,NLD,"DF,MF",Crystal Palace,eng Premier League,25.0,1990.0,11.0,8.0,714.0,7.9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.25
1,Patrick van Aanholt,NLD,"DF,MF",Sunderland,eng Premier League,25.0,1990.0,21.0,20.0,1784.0,19.8,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.15,0.05,0.2,0.15,0.2
2,Ignazio Abate,ITA,DF,Milan,it Serie A,29.0,1986.0,23.0,22.0,1924.0,21.4,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09
3,Yunis Abdelhamid,MAR,DF,Dijon,fr Ligue 1,28.0,1987.0,18.0,15.0,1314.0,14.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aymen Abdennour,TUN,DF,Valencia,es La Liga,26.0,1989.0,13.0,9.0,879.0,9.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,DZA,MF,Dijon,fr Ligue 1,23.0,1992.0,28.0,27.0,2374.0,26.4,3.0,2.0,3.0,0.0,0.0,8.0,0.0,0.11,0.08,0.19,0.11,0.19
6,David Abraham,ARG,DF,Eint Frankfurt,de Bundesliga,30.0,1986.0,30.0,30.0,2584.0,28.7,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.03,0.03,0.07,0.03,0.07
7,Amir Abrashi,ALB,MF,Freiburg,de Bundesliga,26.0,1990.0,20.0,16.0,1320.0,14.7,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07
8,Francesco Acerbi,ITA,DF,Sassuolo,it Serie A,28.0,1988.0,38.0,38.0,3420.0,38.0,4.0,0.0,3.0,1.0,1.0,2.0,0.0,0.11,0.0,0.11,0.08,0.08
9,Geoffrey Acheampong,GHA,MF,Bastia,fr Ligue 1,19.0,1997.0,2.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Maxwell Acosty,GHA,"MF,FW",Crotone,it Serie A,24.0,1991.0,11.0,3.0,378.0,4.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Afriyie Acquah,GHA,MF,Torino,it Serie A,24.0,1992.0,20.0,13.0,1077.0,12.0,2.0,0.0,2.0,0.0,0.0,5.0,6.0,0.17,0.0,0.17,0.17,0.17
12,Charlie Adam,SYC,MF,Stoke City,eng Premier League,30.0,1985.0,24.0,17.0,1517.0,16.9,1.0,3.0,0.0,1.0,1.0,7.0,0.0,0.06,0.18,0.24,0.0,0.18
13,Antonio Adán,ESP,GK,Betis,es La Liga,29.0,1987.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jordan Adéoti,BEN,DF,Caen,fr Ligue 1,27.0,1989.0,27.0,23.0,2120.0,23.6,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04
15,Claud Adjapong,ITA,"DF,FW",Sassuolo,it Serie A,18.0,1998.0,9.0,6.0,510.0,5.7,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.18,0.0,0.18,0.18,0.18
16,René Adler,DEU,GK,Hamburger SV,de Bundesliga,31.0,1985.0,19.0,19.0,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Ali Adnan Kadhim,IRQ,"DF,MF",Udinese,it Serie A,22.0,1993.0,14.0,8.0,872.0,9.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Albert Adomah,GHA,MF,Middlesbrough,eng Premier League,28.0,1987.0,2.0,1.0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Adrián,ESP,GK,West Ham,eng Premier League,29.0,1987.0,16.0,16.0,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Luiz Adriano,BRA,FW,Milan,it Serie A,29.0,1987.0,7.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Aritz Aduriz,ESP,FW,Athletic Club,es La Liga,35.0,1981.0,32.0,27.0,2458.0,27.3,16.0,1.0,11.0,5.0,5.0,8.0,1.0,0.59,0.04,0.62,0.4,0.44
22,Ibrahim Afellay,NLD,MF,Stoke City,eng Premier League,30.0,1986.0,12.0,3.0,384.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Akram Afif,QAT,MF,Sporting Gijón,es La Liga,19.0,1996.0,9.0,2.0,234.0,2.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Benik Afobe,COD,FW,Bournemouth,eng Premier League,23.0,1993.0,31.0,14.0,1461.0,16.2,6.0,3.0,6.0,0.0,1.0,1.0,0.0,0.37,0.18,0.55,0.37,0.55
