,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,33,38.0,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310
1,30,38.0,18797,16901,1850,548,30,147,572,717,186,60,81,2,15307,46,292
2,26,34.0,13511,11765,1692,385,25,69,487,743,147,67,48,1,9382,54,325
3,27,38.0,19843,18149,1628,404,77,132,633,679,208,153,23,5,16176,66,309
4,31,38.0,16499,14615,1832,525,71,97,670,716,196,111,42,11,12748,52,278
5,32,38.0,21261,19317,1876,539,36,192,661,782,229,114,84,1,17108,68,383
6,26,38.0,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332
7,26,38.0,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298
8,26,34.0,13035,11240,1722,415,28,159,592,784,145,56,82,1,9181,73,293
9,38,38.0,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309
10,30,34.0,23780,22043,1661,434,108,149,656,736,215,102,78,5,20087,76,316
11,31,38.0,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310
12,28,34.0,13679,11928,1678,421,26,124,600,779,122,53,48,0,9624,73,261
13,36,38.0,18249,16283,1910,590,58,109,601,730,183,103,21,1,14442,56,317
14,39,38.0,17385,15441,1886,464,52,176,611,815,150,80,47,1,13552,58,315
15,29,38.0,16272,14443,1763,432,50,70,640,778,159,84,47,9,11676,66,333
16,25,38.0,16506,14535,1924,484,20,156,710,846,171,95,56,0,12684,47,288
17,26,38.0,20588,18838,1697,390,58,152,728,784,200,84,96,0,16410,53,397
18,23,38.0,14107,12275,1731,370,32,135,747,783,183,152,14,1,9454,101,334
19,33,38.0,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312
20,33,38.0,15761,13729,1962,574,16,119,675,791,143,48,71,2,11503,70,315
21,25,38.0,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360
22,26,38.0,24888,23158,1661,434,77,101,745,713,241,113,100,0,21190,69,364
23,28,38.0,19560,17599,1908,526,28,156,713,828,179,76,60,1,15713,53,332
24,24,38.0,19081,17115,1903,528,40,120,643,844,175,88,44,8,14983,63,316
25,33,34.0,21052,19358,1621,447,67,121,491,681,182,74,76,1,17410,73,314
26,27,34.0,17023,15216,1754,387,44,106,697,825,193,78,91,2,12628,53,357
27,28,38.0,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335
28,28,38.0,16700,14627,1990,528,36,76,704,827,189,63,87,0,12796,83,347
29,34,38.0,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287
30,33,38.0,14557,12746,1758,413,30,70,653,783,161,83,60,0,10366,53,345
31,28,38.0,20910,19005,1848,664,37,246,776,693,195,23,129,0,17418,57,331
32,26,34.0,15652,13970,1624,421,33,120,633,672,181,116,44,1,11641,58,328
33,40,38.0,15587,13605,1910,559,29,74,661,777,155,57,76,1,11185,72,365
34,31,38.0,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299
35,32,38.0,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295
36,29,34.0,13971,12140,1762,482,24,54,478,738,138,92,37,4,10180,69,325
37,31,38.0,17398,15513,1788,467,36,101,593,777,166,75,43,0,13047,97,347
38,36,34.0,14077,12218,1786,516,30,94,505,746,141,64,66,0,10314,73,321
39,32,34.0,18141,16308,1763,445,36,91,703,798,190,90,52,0,14323,70,350
40,27,38.0,21832,20151,1624,448,54,207,809,630,252,73,141,2,18367,57,339
41,32,38.0,19835,18065,1696,533,41,193,550,662,169,72,66,2,16459,74,297
42,26,34.0,16910,14957,1886,536,26,124,829,833,181,99,57,0,12636,67,374
43,27,38.0,23041,21310,1687,520,54,137,574,663,176,74,71,0,19632,44,296
44,29,38.0,18288,16432,1793,417,66,140,648,798,170,100,38,3,13989,63,368
45,28,38.0,20137,18268,1809,457,65,105,556,769,185,113,42,2,16129,60,379
46,28,38.0,20178,18428,1692,388,51,172,699,718,213,70,106,0,16573,58,295
47,31,38.0,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311
48,29,34.0,18338,16593,1681,380,80,89,537,726,194,96,71,1,14735,64,328
49,26,38.0,18926,16958,1879,471,47,186,621,828,201,79,90,0,15086,89,354
50,27,38.0,25552,23742,1747,436,112,167,897,780,282,47,207,0,21163,63,374
51,29,38.0,16818,14950,1813,441,40,163,588,803,162,63,55,2,13156,55,291
52,30,38.0,23388,21522,1804,491,95,139,571,782,188,85,60,2,19787,62,313
53,26,34.0,17978,16210,1697,535,74,89,440,681,152,60,66,3,14537,71,315
54,28,34.0,15000,13190,1747,415,23,60,598,818,178,101,64,0,10773,63,306
55,33,38.0,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311
56,26,38.0,27902,26239,1597,406,102,192,869,664,316,154,50,4,24406,66,355
57,29,38.0,20641,18862,1691,376,80,187,659,725,197,74,88,0,16690,88,369
58,27,38.0,24524,22709,1755,538,57,176,619,692,217,100,81,0,21253,60,306
59,36,38.0,15688,13854,1786,476,34,137,581,729,142,43,76,0,12069,48,299
60,28,38.0,19320,17512,1728,564,45,122,672,653,195,61,86,0,15719,80,297
61,27,38.0,20559,18632,1833,448,77,150,705,805,220,99,78,0,16300,94,331
62,26,38.0,17804,15757,1994,484,36,155,697,868,178,62,74,2,13951,53,313
63,26,38.0,16481,14568,1858,422,20,140,731,864,198,75,97,1,12580,55,280
64,27,38.0,22921,21114,1740,536,45,199,553,693,197,85,51,0,19572,67,337
65,29,38.0,14036,12203,1762,415,31,114,592,743,160,90,46,14,10201,71,281
66,27,38.0,19832,18037,1742,440,37,101,742,766,196,94,75,1,16159,53,305
67,28,38.0,16070,14176,1839,474,50,153,568,766,165,90,60,2,12164,55,306
68,29,38.0,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309
69,36,38.0,26660,24940,1627,488,94,170,459,623,201,80,34,2,23831,93,278
70,28,38.0,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321
71,29,34.0,19771,18099,1606,504,70,63,523,644,162,72,54,0,16163,66,315
72,31,38.0,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313
73,32,38.0,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352
74,35,38.0,15811,13914,1821,498,14,181,629,780,166,63,77,1,12097,76,315
75,28,38.0,21263,19478,1726,436,41,199,698,766,222,61,132,0,17605,59,308
76,29,38.0,18828,16921,1847,548,45,136,735,748,238,130,95,0,15221,60,292
77,39,38.0,17876,15857,1968,520,39,214,697,868,178,82,65,3,13880,51,329
78,42,38.0,14461,12521,1899,576,12,90,698,695,185,56,111,1,10680,41,320
79,34,38.0,17022,15064,1876,582,35,151,645,726,143,33,73,0,12901,82,339
80,29,38.0,20327,18421,1863,629,59,179,541,612,198,96,62,1,17027,43,315
81,33,38.0,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305
82,25,38.0,16941,15115,1784,411,43,81,711,750,233,106,105,4,12505,42,343
83,30,38.0,15503,13609,1817,509,32,92,534,731,152,76,58,2,11650,77,318
84,26,38.0,18653,16798,1794,449,47,212,797,807,180,37,121,2,14576,61,296
85,34,34.0,17353,15564,1736,452,42,192,549,762,148,29,98,1,13753,53,305
86,31,38.0,18082,16280,1718,519,28,118,663,699,168,80,55,0,13943,84,331
87,25,38.0,20696,18976,1658,430,88,133,632,676,193,78,62,0,17204,62,332
88,35,38.0,16828,14916,1859,534,26,163,708,750,161,113,35,0,13093,53,313
89,29,38.0,15251,13384,1789,523,37,80,519,688,187,64,75,1,11650,78,297
90,28,34.0,14818,13166,1588,366,31,59,663,742,138,49,71,2,10673,64,325
91,34,38.0,13777,11686,2039,664,32,227,766,811,175,73,63,3,9627,52,289
92,39,38.0,15320,13487,1772,493,27,113,585,714,123,57,54,0,11575,61,335
93,29,38.0,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396
94,30,38.0,14640,12800,1787,394,35,101,610,808,161,90,50,4,10423,53,317
95,25,38.0,18378,16647,1672,309,29,146,802,770,200,135,43,1,14326,59,353
96,30,34.0,16439,14701,1664,455,44,153,619,721,147,100,34,1,12596,74,289
97,26,38.0,19103,17380,1662,420,58,151,587,718,168,41,86,6,15253,61,329
