,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Ismael Aaneba,Strasbourg,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0
1,Patrick van Aanholt,Crystal Palace,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2
2,Issah Abbas,Mainz 05,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3,Yunis Abdelhamid,Reims,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0
4,Sabit Abdulai,Getafe,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0
5,Mehdi Abeid,Nantes,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10,0
6,Laurent Abergel,Lorient,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0
7,Charles Abi,Saint-Étienne,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0
8,Matthis Abline,Rennes,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
9,Pape Abou Cisse,Saint-Étienne,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87,0
10,David Abraham,Eint Frankfurt,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0
11,Tammy Abraham,Chelsea,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0
12,Amir Abrashi,Freiburg,0.7,1,1,1,0,0,0,0,0.0,0,1,1,0,2,3,1,0
13,Gennaro Acampora,Spezia,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0
14,Francesco Acerbi,Lazio,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2
15,Ragnar Ache,Eint Frankfurt,1.1,2,0,0,1,1,0,0,0.0,0,1,0,1,1,3,1,0
16,Marcos Acuna,Sevilla,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1
17,Che Adams,Southampton,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1
18,Tyler Adams,RB Leipzig,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0
19,Sargis Adamyan,Hoffenheim,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0
20,Tosin Adarabioyo,Fulham,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2
21,Bobby Adekanye,Cádiz,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
22,Yacine Adli,Bordeaux,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2
23,Andrea Adorante,Parma,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
24,Adrian,Liverpool,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1
26,Martin Agirregabiria,Alavés,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36,0
27,Lucien Agoume,Spezia,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10,0
28,Felix Agu,Werder Bremen,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,0
29,Kevin Agudelo,Spezia,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,0
30,Nayef Aguerd,Rennes,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102,0
31,Sergio Aguero,Manchester City,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0
32,Ruben Aguilar,Monaco,24.7,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43,1
33,Naouirou Ahamada,Stuttgart,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,0
34,Matteo Ahlinvi,Nîmes,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8,0
