,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Max Aarons,Bournemouth,0.2,21,0,6,9,6,0,21,0,0,0.0,0,0.0,17,74,35,1,0,0,0,0,15,3
1,Rodrigo Abajas,Valencia,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3
2,James Abankwah,Udinese,0.2,18,1,13,4,1,0,18,0,0,0.0,0,0.0,7,59,35,1,0,0,0,1,10,0
3,Keyliane Abdallah,Marseille,0.0,4,0,3,1,0,0,4,0,0,0.0,0,0.0,2,16,9,1,0,0,1,0,3,0
4,Yunis Abdelhamid,Saint-Étienne,8.4,463,98,289,163,13,6,463,5,3,60.0,2,40.0,227,1201,678,4,1,0,7,3,278,3
5,Himad Abdelli,Angers,12.8,885,13,123,500,277,25,882,62,25,40.3,35,56.5,498,3105,1772,49,31,10,18,19,638,49
6,Mohamed Abdelmoneim,Nice,5.8,343,46,159,167,19,1,343,3,1,33.3,2,66.7,163,642,338,1,0,0,2,2,185,3
7,Ali Abdi,Nice,6.5,361,23,103,134,127,23,361,12,5,41.7,7,58.3,151,733,398,15,7,6,13,7,193,45
8,Saud Abdulhamid,Roma,0.1,10,0,0,7,3,0,10,1,1,100.0,0,0.0,9,57,33,0,0,0,0,0,9,3
9,Abel,Osasuna,9.4,500,28,168,223,114,5,500,11,5,45.5,6,54.5,178,1052,531,17,19,1,8,6,201,18
10,Nabil Aberdin,Getafe,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2
11,Oliver Abildgaard,Como,0.1,2,0,1,1,0,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
12,Matthis Abline,Nantes,10.6,307,14,31,116,166,52,307,32,10,31.3,21,65.6,204,1281,520,25,11,15,34,20,244,70
13,Abner,Lyon,7.2,463,22,106,214,145,15,463,6,3,50.0,3,50.0,216,1020,641,17,7,4,11,5,292,36
14,Zakaria Aboukhlal,Toulouse,11.1,348,4,33,118,201,65,347,23,9,39.1,14,60.9,205,1036,509,19,15,12,37,13,254,83
15,Abdel Abqar,Alavés,12.5,542,67,253,260,33,9,542,2,1,50.0,1,50.0,249,1742,1037,11,6,0,9,1,254,3
16,Tammy Abraham,Roma,0.0,4,0,0,2,2,1,4,0,0,0.0,0,0.0,3,2,1,0,0,0,1,0,4,2
17,Tammy Abraham,Milan,4.3,108,6,8,49,51,30,106,6,1,16.7,5,83.3,43,147,39,1,1,1,6,2,67,25
18,Federico Accornero,Genoa,0.1,8,1,2,3,3,0,8,0,0,0.0,0,0.0,5,25,18,0,1,0,2,0,5,0
19,Francesco Acerbi,Inter,7.4,654,50,242,374,39,8,654,1,1,100.0,0,0.0,430,1929,952,5,8,0,1,1,515,5
20,Akor Adams,Montpellier,9.2,185,3,14,88,85,37,185,10,4,40.0,5,50.0,93,455,196,6,3,5,11,11,128,29
21,Che Adams,Torino,9.5,267,2,18,143,109,28,267,14,4,28.6,8,57.1,157,709,230,8,6,2,25,8,196,45
22,Tyler Adams,Bournemouth,2.8,162,7,35,98,29,3,162,2,0,0.0,2,100.0,79,328,137,0,4,0,1,1,81,0
23,Junior Adamu,Freiburg,8.9,276,9,29,130,121,38,276,12,6,50.0,6,50.0,142,601,226,5,3,3,27,10,182,45
24,Tosin Adarabioyo,Chelsea,1.9,163,29,104,59,1,0,163,1,1,100.0,0,0.0,98,350,191,0,0,0,0,0,127,0
26,Martin Adeline,Reims,0.3,14,2,8,4,2,1,14,0,0,0.0,0,0.0,6,35,9,1,0,1,0,0,9,1
27,Karim Adeyemi,Dortmund,3.4,135,2,12,60,68,17,135,22,12,54.5,9,40.9,81,689,351,12,10,8,10,5,101,29
