,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,31.0,1987.0,2.0,1.0,90.0,1.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,23.0,1995.0,25.0,25.0,2250.0,25.0,43.0,1.72,99.0,56.0,58.6,7.0,5.0,13.0,5.0,20.0,2.0,2.0,0.0,0.0,0.0
2,Alisson,br BRA,GK,Liverpool,Premier League,25.0,1992.0,38.0,38.0,3420.0,38.0,22.0,0.58,96.0,74.0,77.1,30.0,7.0,1.0,21.0,55.3,1.0,0.0,0.0,1.0,
3,Bobby Allain,fr FRA,GK,Dijon,Ligue 1,26.0,1991.0,13.0,13.0,1170.0,13.0,17.0,1.31,72.0,56.0,77.8,2.0,2.0,9.0,1.0,7.7,1.0,1.0,0.0,0.0,0.0
4,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,31.0,1986.0,13.0,13.0,1170.0,13.0,22.0,1.69,58.0,37.0,65.5,3.0,5.0,5.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0
5,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,34.0,1984.0,11.0,11.0,990.0,11.0,11.0,1.0,33.0,22.0,66.7,3.0,2.0,6.0,2.0,18.2,0.0,0.0,0.0,0.0,
6,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,25.0,1993.0,21.0,21.0,1890.0,21.0,17.0,0.81,66.0,50.0,80.3,16.0,3.0,2.0,11.0,52.4,4.0,4.0,0.0,0.0,0.0
7,Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,23.0,1994.0,36.0,36.0,3240.0,36.0,39.0,1.08,121.0,81.0,68.6,20.0,8.0,8.0,14.0,38.9,2.0,1.0,1.0,0.0,50.0
8,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,29.0,1989.0,32.0,32.0,2880.0,32.0,45.0,1.41,162.0,119.0,73.5,7.0,12.0,13.0,9.0,28.1,4.0,2.0,1.0,1.0,33.3
9,Emil Audero,it ITA,GK,Sampdoria,Serie A,21.0,1997.0,36.0,36.0,3240.0,36.0,51.0,1.42,147.0,96.0,70.1,14.0,7.0,15.0,11.0,30.6,8.0,7.0,1.0,0.0,12.5
10,Francesco Bardi,it ITA,GK,Frosinone,Serie A,26.0,1992.0,3.0,3.0,270.0,3.0,5.0,1.67,12.0,7.0,58.3,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,
11,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,28.0,1990.0,33.0,33.0,2970.0,33.0,51.0,1.55,166.0,116.0,72.9,12.0,12.0,9.0,5.0,15.2,6.0,6.0,0.0,0.0,0.0
12,Asmir Begović,ba BIH,GK,Bournemouth,Premier League,31.0,1987.0,24.0,24.0,2160.0,24.0,47.0,1.96,104.0,59.0,56.7,8.0,3.0,13.0,5.0,20.8,2.0,2.0,0.0,0.0,0.0
13,Diego Benaglio,ch SUI,GK,Monaco,Ligue 1,34.0,1983.0,23.0,22.0,2057.0,22.9,38.0,1.66,96.0,57.0,63.5,4.0,6.0,12.0,4.0,18.2,5.0,3.0,2.0,0.0,40.0
14,Walter Benítez,ar ARG,GK,Nice,Ligue 1,25.0,1993.0,35.0,35.0,3150.0,35.0,29.0,0.83,143.0,112.0,81.1,15.0,10.0,10.0,16.0,45.7,5.0,2.0,3.0,0.0,60.0
15,Etrit Berisha,al ALB,GK,Atalanta,Serie A,29.0,1989.0,18.0,18.0,1620.0,18.0,25.0,1.39,63.0,41.0,61.9,9.0,3.0,6.0,5.0,27.8,2.0,1.0,0.0,1.0,0.0
16,Paul Bernardoni,fr FRA,GK,Nîmes,Ligue 1,21.0,1997.0,38.0,38.0,3420.0,38.0,58.0,1.53,180.0,122.0,70.0,15.0,8.0,15.0,10.0,26.3,5.0,4.0,1.0,0.0,20.0
17,Dimitry Bertaud,fr FRA,GK,Montpellier,Ligue 1,20.0,1998.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
18,Marcus Bettinelli,eng ENG,GK,Fulham,Premier League,26.0,1992.0,7.0,7.0,630.0,7.0,20.0,2.86,40.0,19.0,52.5,1.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,50.0
19,Rubén Blanco,es ESP,GK,Celta Vigo,La Liga,23.0,1995.0,25.0,25.0,2250.0,25.0,40.0,1.6,109.0,69.0,67.0,7.0,6.0,12.0,6.0,24.0,5.0,4.0,0.0,1.0,0.0
20,Artur Boruc,pl POL,GK,Bournemouth,Premier League,38.0,1980.0,12.0,12.0,1080.0,12.0,18.0,1.5,56.0,38.0,73.2,4.0,3.0,5.0,4.0,33.3,3.0,3.0,0.0,0.0,0.0
21,Zacharie Boucher,fr FRA,GK,Angers,Ligue 1,26.0,1992.0,2.0,2.0,180.0,2.0,1.0,0.5,4.0,3.0,75.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,
