,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Ismael Aaneba,Strasbourg,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,Patrick van Aanholt,Crystal Palace,19.7,0,18,5,27.8,0.91,0.25,0.00,0.00,21.1,3,0,0,1.4,1.4,0.08,-1.4,-1.4
2,Issah Abbas,Mainz 05,0.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,Yunis Abdelhamid,Reims,32.1,3,15,5,33.3,0.47,0.16,0.20,0.60,10.5,0,0,0,1.9,1.9,0.13,+1.1,+1.1
4,Sabit Abdulai,Getafe,0.7,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,Nantes,14.7,0,20,0,0.0,1.36,0.00,0.00,0.0,23.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0
6,Laurent Abergel,Lorient,32.9,3,29,10,34.5,0.88,0.30,0.10,0.30,26.8,0,0,0,1.5,1.5,0.05,+1.5,+1.5
7,Charles Abi,Saint-Étienne,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,12.5,0,0,0,2.1,2.1,0.11,+0.9,+0.9
8,Matthis Abline,Rennes,0.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,Pape Abou Cisse,Saint-Étienne,14.0,0,13,3,23.1,0.93,0.21,0.00,0.00,13.0,0,0,0,1.4,1.4,0.11,-1.4,-1.4
10,David Abraham,Eint Frankfurt,13.6,1,10,2,20.0,0.74,0.15,0.10,0.50,15.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4
11,Tammy Abraham,Chelsea,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0,0,5.9,5.9,0.18,+0.1,+0.1
12,Amir Abrashi,Freiburg,0.7,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
13,Gennaro Acampora,Spezia,4.9,0,9,0,0.0,1.84,0.00,0.00,0.0,25.8,1,0,0,0.3,0.3,0.03,-0.3,-0.3
14,Francesco Acerbi,Lazio,31.3,0,9,0,0.0,0.29,0.00,0.00,0.0,13.1,0,0,0,1.1,1.1,0.12,-1.1,-1.1
15,Ragnar Ache,Eint Frankfurt,1.1,1,2,1,50.0,1.80,0.90,0.50,1.00,13.7,0,0,0,0.1,0.1,0.07,+0.9,+0.9
16,Marcos Acuna,Sevilla,25.9,1,18,2,11.1,0.70,0.08,0.06,0.50,20.5,0,0,0,1.0,1.0,0.05,0.0,0.0
17,Che Adams,Southampton,29.6,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0,0,9.8,9.8,0.18,-0.8,-0.8
18,Tyler Adams,RB Leipzig,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,17.6,0,0,0,1.3,1.3,0.19,-0.3,-0.3
19,Sargis Adamyan,Hoffenheim,5.3,2,23,7,30.4,4.32,1.32,0.09,0.29,15.3,0,0,0,2.1,2.1,0.10,-0.1,-0.1
20,Tosin Adarabioyo,Fulham,32.8,0,18,5,27.8,0.55,0.15,0.00,0.00,10.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1
21,Bobby Adekanye,Cádiz,0.4,0,1,0,0.0,2.50,0.00,0.00,0.0,17.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3
22,Yacine Adli,Bordeaux,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1,0,0,1.9,1.9,0.08,+0.1,+0.1
23,Andrea Adorante,Parma,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
24,Adrian,Liverpool,3.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
26,Martin Agirregabiria,Alavés,17.3,0,2,0,0.0,0.12,0.00,0.00,0.0,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
27,Lucien Agoume,Spezia,8.9,0,2,0,0.0,0.23,0.00,0.00,0.0,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
28,Felix Agu,Werder Bremen,7.8,1,4,1,25.0,0.51,0.13,0.25,1.00,19.3,0,0,0,0.6,0.6,0.15,+0.4,+0.4
29,Kevin Agudelo,Spezia,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5
30,Nayef Aguerd,Rennes,35.0,3,28,6,21.4,0.80,0.17,0.11,0.50,10.1,0,0,0,3.2,3.2,0.12,-0.2,-0.2
31,Sergio Aguero,Manchester City,6.2,4,17,10,58.8,2.74,1.61,0.18,0.30,14.6,0,1,2,3.5,1.9,0.11,+0.5,+1.1
32,Ruben Aguilar,Monaco,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,11.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1
33,Naouirou Ahamada,Stuttgart,2.8,0,5,1,20.0,1.79,0.36,0.00,0.00,23.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
34,Matteo Ahlinvi,Nîmes,10.0,2,12,7,58.3,1.20,0.70,0.17,0.29,22.5,0,0,0,1.4,1.4,0.11,+0.6,+0.6
35,Jean-Eudes Aholou,Strasbourg,23.8,2,31,6,19.4,1.30,0.25,0.06,0.33,21.3,0,0,0,2.3,2.1,0.07,-0.3,-0.1
36,Jean-Eudes Aholou,Monaco,0.4,0,2,1,50.0,5.00,2.50,0.00,0.00,16.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
37,Joseph Aidoo,Celta Vigo,14.3,0,9,0,0.0,0.63,0.00,0.00,0.0,14.9,0,0,0,0.8,0.8,0.09,-0.8,-0.8
38,Ola Aina,Fulham,29.6,2,14,4,28.6,0.47,0.14,0.14,0.50,24.6,1,0,0,1.2,1.2,0.09,+0.8,+0.8
39,Rayan Ait Nouri,Wolves,15.6,1,15,6,40.0,0.96,0.38,0.07,0.17,19.8,0,0,0,0.6,0.6,0.04,+0.4,+0.4
40,Rayan Ait Nouri,Angers,2.1,0,1,0,0.0,0.48,0.00,0.00,0.0,14.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
41,Semi Ajayi,West Brom,30.9,2,13,4,30.8,0.42,0.13,0.15,0.50,9.8,0,0,0,1.9,1.9,0.15,+0.1,+0.1
42,Ludovic Ajorque,Strasbourg,33.0,16,66,30,45.5,2.00,0.91,0.18,0.40,15.0,0,4,5,15.7,11.8,0.18,+0.3,+0.2
43,Manuel Akanji,Dortmund,26.1,2,19,4,21.1,0.73,0.15,0.11,0.50,13.9,0,0,0,1.7,1.7,0.09,+0.3,+0.3
44,Carlos Akapo,Cádiz,9.6,1,2,1,50.0,0.21,0.10,0.50,1.00,23.4,0,0,0,0.3,0.3,0.17,+0.7,+0.7
45,Marley Ake,Marseille,1.6,0,4,0,0.0,2.47,0.00,0.00,0.0,12.7,0,0,0,1.0,1.0,0.26,-1.0,-1.0
46,Nathan Ake,Manchester City,8.9,1,3,1,33.3,0.34,0.11,0.33,1.00,15.5,0,0,0,0.3,0.3,0.09,+0.7,+0.7
47,Paul Akouokou,Betis,4.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
48,Jean-Daniel Akpa-Akpro,Lazio,11.7,0,12,1,8.3,1.02,0.09,0.00,0.00,16.6,0,0,0,1.2,1.2,0.10,-1.2,-1.2
49,Kevin Akpoguma,Hoffenheim,13.2,1,2,2,100.0,0.15,0.15,0.50,0.50,21.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9
50,David Alaba,Bayern Munich,29.7,2,21,6,28.6,0.71,0.20,0.10,0.33,23.9,3,0,0,1.2,1.2,0.06,+0.8,+0.8
52,Sofiane Alakouch,Nîmes,16.7,0,5,0,0.0,0.30,0.00,0.00,0.0,21.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
53,Jony Alamo,Elche,0.8,0,1,0,0.0,1.23,0.00,0.00,0.0,26.1,0,0,0,0.0,0.0,0.03,0.0,0.0
54,Lucas Alario,Leverkusen,13.8,11,39,18,46.2,2.82,1.30,0.23,0.50,13.4,0,2,2,7.2,5.7,0.14,+3.8,+3.3
55,Jordi Alba,Barcelona,33.6,3,27,10,37.0,0.80,0.30,0.11,0.30,20.2,1,0,0,1.9,1.9,0.07,+1.1,+1.1
56,Luis Alberto,Lazio,29.1,9,69,29,42.0,2.37,1.00,0.13,0.31,21.3,3,0,0,5.1,5.0,0.07,+3.9,+4.0
57,Raul Albiol,Villarreal,34.6,0,8,1,12.5,0.23,0.03,0.00,0.00,14.6,0,0,0,0.9,0.9,0.11,-0.9,-0.9
58,Marc Albrighton,Leicester City,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,21.2,0,0,0,1.2,1.2,0.06,-0.2,-0.2
59,Paco Alcacer,Villarreal,17.2,6,35,16,45.7,2.04,0.93,0.14,0.31,14.0,3,1,2,9.0,7.5,0.21,-3.0,-2.5
60,Pedro Alcala,Cádiz,10.1,0,2,0,0.0,0.20,0.00,0.00,0.0,14.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
61,Thiago Alcantara,Liverpool,20.6,1,22,5,22.7,1.07,0.24,0.05,0.20,23.3,1,0,0,1.2,1.2,0.06,-0.2,-0.2
62,Ruben Alcaraz,Valladolid,24.1,1,28,3,10.7,1.16,0.12,0.04,0.33,25.1,7,0,0,1.8,1.8,0.06,-0.8,-0.8
63,Omar Alderete,Hertha BSC,14.4,0,6,2,33.3,0.42,0.14,0.00,0.00,15.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
64,Toby Alderweireld,Tottenham,24.9,1,10,3,30.0,0.40,0.12,0.10,0.33,8.5,0,0,0,0.7,0.7,0.07,+0.3,+0.3
65,Ivan Alejo,Cádiz,9.2,1,13,4,30.8,1.41,0.44,0.08,0.25,17.9,1,0,0,1.1,1.1,0.08,-0.1,-0.1
66,Carles Alena,Barcelona,0.5,0,1,0,0.0,1.87,0.00,0.00,0.0,17.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
67,Carles Alena,Getafe,15.2,2,30,8,26.7,1.98,0.53,0.07,0.25,22.0,0,0,0,1.7,1.7,0.06,+0.3,+0.3
68,Runar Alex Runarsson,Arsenal,0.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
69,Trent Alexander-Arnold,Liverpool,33.7,2,55,12,21.8,1.63,0.36,0.04,0.17,24.9,18,0,0,2.6,2.6,0.05,-0.6,-0.6
70,Alfon,Celta Vigo,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
71,Mohamed Ali Cho,Angers,3.9,0,10,0,0.0,2.59,0.00,0.00,0.0,13.0,0,0,0,1.9,1.9,0.19,-1.9,-1.9
72,Ezgjan Alioski,Leeds United,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,19.0,0,0,0,1.6,1.6,0.06,+0.4,+0.4
73,Rachid Alioui,Angers,0.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
74,Alisson,Liverpool,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,8.4,0,0,0,0.1,0.1,0.09,+0.9,+0.9
75,Saturnin Allagbe,Dijon,12.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
76,Allan,Everton,22.8,0,7,2,28.6,0.31,0.09,0.00,0.00,22.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
78,Dele Alli,Tottenham,6.9,0,12,4,33.3,1.74,0.58,0.00,0.00,15.4,0,0,0,2.0,2.0,0.17,-2.0,-2.0
79,Miguel Almiron,Newcastle Utd,27.0,4,33,14,42.4,1.22,0.52,0.12,0.29,19.2,1,0,0,3.2,3.2,0.10,+0.8,+0.8
80,Marcos Alonso,Chelsea,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.6,5,0,0,1.8,1.8,0.08,+0.2,+0.2
81,Sergio Alvarez,Eibar,17.4,0,6,2,33.3,0.34,0.11,0.00,0.00,17.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
