,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,Norwich City,32.0,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1
1,Yunis Abdelhamid,Reims,33.1,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0
2,Salis Abdul Samed,Clermont Foot,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0
3,Laurent Abergel,Lorient,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0
4,Charles Abi,Saint-Étienne,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
5,Dickson Abiama,Greuther Fürth,8.1,11,7,4,5,2,2,10,20.0,8,12,1,11,4,15,8,0
6,Matthis Abline,Rennes,1.1,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,1,0
7,Tammy Abraham,Roma,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0
8,Luis Abram,Granada,6.2,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1
9,Francesco Acerbi,Lazio,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0
10,Ragnar Ache,Eint Frankfurt,2.9,2,0,0,1,1,1,4,25.0,3,3,0,3,0,2,1,0
11,Mohamed Achi,Nantes,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
12,Marcos Acuna,Sevilla,25.1,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1
13,Che Adams,Southampton,22.7,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0
14,Tyler Adams,RB Leipzig,15.0,23,7,5,16,2,7,25,28.0,18,24,1,23,16,39,19,2
15,Sargis Adamyan,Hoffenheim,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0
16,Martin Adeline,Reims,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0
17,Amine Adli,Leverkusen,14.0,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0
18,Yacine Adli,Bordeaux,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2
19,Michel Aebischer,Bologna,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0
20,Felix Afena-Gyan,Roma,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0
21,Martin Agirregabiria,Alavés,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0
22,Julen Agirrezabala,Athletic Club,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
23,Lucien Agoume,Brest,20.8,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1
24,Kevin Agudelo,Spezia,13.7,44,26,13,26,5,7,20,35.0,13,22,0,22,8,52,6,0
26,Nayef Aguerd,Rennes,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1
