,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Max Aarons,Norwich City,32.0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6
1,Yunis Abdelhamid,Reims,33.1,5,1,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0
2,Salis Abdul Samed,Clermont Foot,27.4,12,3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9
3,Laurent Abergel,Lorient,32.8,9,0,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1
4,Charles Abi,Saint-Étienne,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0
5,Dickson Abiama,Greuther Fürth,8.1,3,0,0,17,11,15,3,4,7,0,0,0,28,19,30,38.8
6,Matthis Abline,Rennes,1.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0
7,Tammy Abraham,Roma,34.3,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4
8,Luis Abram,Granada,6.2,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3
9,Francesco Acerbi,Lazio,28.2,2,1,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6
10,Ragnar Ache,Eint Frankfurt,2.9,0,0,0,5,8,6,6,0,0,0,0,0,7,18,10,64.3
11,Mohamed Achi,Nantes,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
12,Marcos Acuna,Sevilla,25.1,10,0,0,38,48,0,178,14,29,0,1,0,173,22,32,40.7
13,Che Adams,Southampton,22.7,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,40.1
14,Tyler Adams,RB Leipzig,15.0,5,0,0,19,15,0,2,16,7,0,0,0,85,20,10,66.7
15,Sargis Adamyan,Hoffenheim,3.7,0,0,0,5,8,4,5,1,6,0,0,0,24,3,14,17.6
16,Martin Adeline,Reims,3.9,1,0,0,16,2,0,11,11,11,0,0,0,35,3,5,37.5
17,Amine Adli,Leverkusen,14.0,3,0,0,27,28,8,21,11,14,0,0,0,62,12,29,29.3
18,Yacine Adli,Bordeaux,25.1,5,0,0,21,27,4,114,37,27,0,0,0,150,12,19,38.7
19,Michel Aebischer,Bologna,4.9,1,0,0,13,4,0,7,6,5,0,0,0,27,5,4,55.6
20,Felix Afena-Gyan,Roma,7.4,5,1,1,15,24,4,8,3,3,0,0,0,31,11,15,42.3
21,Martin Agirregabiria,Alavés,18.0,4,0,0,24,22,1,45,25,22,0,1,0,79,31,27,53.4
