,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Brenden Aaronson,Leeds United,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27
1,Paxten Aaronson,Eint Frankfurt,1.9,71,68,3,0,0,0,7,2,1,0,1,0,51,0,1
2,James Abankwah,Udinese,0.7,29,22,7,3,0,1,0,4,0,0,0,0,23,0,0
3,George Abbott,Tottenham,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Yunis Abdelhamid,Reims,37.0,2031,1882,142,116,0,30,5,10,0,0,0,0,1679,7,20
5,Himad Abdelli,Angers,23.7,1257,1193,60,20,8,6,35,16,10,3,1,0,1043,4,22
6,Salis Abdul Samed,Lens,32.2,1981,1927,45,43,5,5,10,2,0,0,0,0,1819,9,15
7,Laurent Abergel,Lorient,26.0,1483,1431,49,47,10,8,6,1,1,0,0,0,1308,3,14
8,Oliver Abildgaard,Hellas Verona,6.6,195,194,0,0,0,1,5,0,0,0,0,0,115,1,2
9,Matthis Abline,Auxerre,9.0,105,91,13,0,0,2,6,0,0,0,0,0,69,1,3
10,Matthis Abline,Rennes,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1
11,Abner,Betis,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15
12,Zakaria Aboukhlal,Toulouse,27.5,777,744,28,1,1,1,29,22,1,0,0,0,576,5,46
13,Tammy Abraham,Roma,24.3,513,475,35,2,4,3,11,1,0,0,0,0,342,3,8
14,Christian Acella,Cremonese,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
15,Francesco Acerbi,Inter,26.9,1644,1546,93,41,1,10,22,21,0,0,0,0,1455,5,4
16,Alvaro Aceves,Valladolid,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0
17,Mohamed Achi,Nantes,0.4,21,20,1,0,0,0,1,0,1,0,1,0,18,0,0
18,Marcos Acuna,Sevilla,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25
19,Che Adams,Southampton,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17
