,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Max Aarons,Bournemouth,10.6,1,0,0,10,22,2,10,5,15,0,1,0,62,4,9,30.8
1,Brenden Aaronson,Union Berlin,3.2,2,1,1,3,2,0,8,0,5,0,0,0,17,1,3,25.0
2,Paxten Aaronson,Eint Frankfurt,0.5,0,0,0,2,2,0,0,0,1,0,0,0,2,3,0,100.0
3,Yunis Abdelhamid,Reims,12.0,2,0,0,8,5,0,1,11,14,0,0,0,79,18,20,47.4
4,Salis Abdul Samed,Lens,9.4,2,0,0,22,11,0,3,4,8,0,2,0,50,1,5,16.7
5,Laurent Abergel,Lorient,12.0,1,0,0,11,14,0,7,31,18,0,0,0,92,4,4,50.0
6,Matthis Abline,Nantes,3.5,0,0,0,3,4,1,2,0,0,0,0,0,8,7,9,43.8
7,Abner,Betis,5.8,2,0,0,6,2,1,13,6,6,0,0,0,35,3,6,33.3
8,Zakaria Aboukhlal,Toulouse,4.2,0,0,0,8,7,4,2,1,1,1,0,0,8,5,2,71.4
9,Abdel Abqar,Alavés,10.0,3,0,0,13,10,1,0,8,3,0,2,1,43,18,8,69.2
10,Francesco Acerbi,Inter,9.0,1,0,0,7,9,1,5,15,5,0,0,0,39,27,14,65.9
11,Marcos Acuna,Sevilla,4.6,2,0,0,2,8,0,27,4,8,0,0,0,35,7,5,58.3
12,Benie Adama Traore,Sheffield Utd,3.6,0,0,0,9,4,1,2,1,2,0,0,0,18,0,11,0.0
13,Akor Adams,Montpellier,9.7,1,0,0,12,8,13,6,2,3,0,0,0,18,23,31,42.6
14,Junior Adamu,Freiburg,0.9,0,0,0,4,3,2,1,0,1,0,0,0,5,4,2,66.7
15,Sargis Adamyan,Köln,1.6,1,0,0,1,0,2,0,0,2,0,0,0,8,3,9,25.0
16,Tosin Adarabioyo,Fulham,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,Elijah Adebayo,Luton Town,4.3,0,0,0,10,4,5,2,3,0,0,0,0,12,11,15,42.3
18,Karim Adeyemi,Dortmund,3.6,2,0,0,10,8,1,6,2,5,0,0,0,24,7,6,53.8
19,Simon Adingra,Brighton,7.4,1,0,0,10,7,4,12,10,9,0,0,0,40,4,1,80.0
20,Amine Adli,Leverkusen,1.7,1,0,0,4,6,0,6,2,0,0,0,0,5,3,4,42.9
21,Yacine Adli,Milan,3.3,1,0,0,7,3,0,12,6,6,0,1,0,18,6,5,54.5
22,Adson,Nantes,2.3,0,0,0,3,4,0,2,2,5,0,0,0,9,0,2,0.0
23,Michel Aebischer,Bologna,10.7,4,0,0,20,15,0,3,9,12,0,0,0,54,7,8,46.7
24,Emmanuel Agbadou,Reims,7.7,0,0,0,7,2,1,2,16,13,0,0,0,71,11,14,44.0
26,Lucien Agoume,Inter,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
27,Felix Agu,Werder Bremen,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
28,Nayef Aguerd,West Ham,10.7,2,1,1,8,4,0,1,13,4,0,1,0,48,28,15,65.1
29,Ruben Aguilar,Lens,6.7,0,0,0,2,11,1,27,10,8,0,0,0,28,5,9,35.7
30,Naouirou Ahamada,Crystal Palace,0.9,0,0,0,2,2,0,4,1,2,0,0,0,8,0,0,0.0
31,Anel Ahmedhodzic,Sheffield Utd,8.0,3,0,0,11,2,1,3,11,12,0,0,0,37,13,12,52.0
32,Joseph Aidoo,Celta Vigo,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9
33,Ola Aina,Nott'ham Forest,7.0,3,0,0,6,8,2,6,3,13,0,0,0,38,9,3,75.0
34,Rayan Ait Nouri,Wolves,9.7,4,0,0,11,21,2,16,11,19,0,0,0,53,10,8,55.6
35,Tosin Aiyegun,Lorient,5.0,0,0,0,6,5,1,3,1,4,0,0,0,11,4,3,57.1
36,Kristoffer Ajer,Brentford,7.1,3,0,0,11,2,1,6,4,9,0,0,0,18,20,5,80.0
37,Ludovic Ajorque,Mainz 05,5.8,1,0,0,12,7,1,2,0,2,0,0,0,18,24,30,44.4
38,Manuel Akanji,Manchester City,9.0,3,1,1,6,9,0,3,9,9,0,0,0,45,5,3,62.5
39,Marley Ake,Udinese,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
40,Nathan Ake,Manchester City,6.1,0,0,0,3,6,0,2,5,6,0,0,0,35,13,5,72.2
41,Ilias Akhomach,Villarreal,3.6,2,0,0,9,9,1,6,2,9,0,0,0,14,1,2,33.3
42,Sergio Akieme,Almería,10.0,1,0,0,10,11,0,35,5,7,0,2,0,47,4,9,30.8
43,Maghnes Akliouche,Monaco,3.9,1,0,0,10,8,0,9,2,1,0,0,0,27,2,7,22.2
44,Paul Akouokou,Betis,0.3,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0.0
45,Paul Akouokou,Lyon,1.9,0,0,0,1,2,0,0,4,5,0,0,0,17,5,3,62.5
46,Jean-Daniel Akpa-Akpro,Monza,0.2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0.0
47,Kevin Akpoguma,Hoffenheim,4.8,4,0,0,7,6,0,3,5,10,0,0,0,26,9,6,60.0
48,David Alaba,Real Madrid,10.4,2,0,0,3,0,0,16,11,8,0,0,1,57,6,7,46.2
49,Luis Alberto,Lazio,11.2,5,0,0,9,13,2,59,2,10,0,0,0,73,4,8,33.3
50,Raul Albiol,Villarreal,9.8,3,0,0,9,4,0,0,9,6,0,0,0,30,20,14,58.8
52,Ruben Alcaraz,Cádiz,10.0,6,0,0,27,22,0,6,9,13,0,0,0,69,10,12,45.5
53,Omar Alderete,Getafe,5.8,2,0,0,5,7,0,2,2,2,0,0,0,28,10,16,38.5
54,Ivan Alejo,Cádiz,8.0,5,0,0,24,17,3,61,2,6,0,0,0,34,8,5,61.5
55,Carles Alena,Getafe,6.0,4,0,0,8,8,3,17,3,3,0,0,0,32,6,7,46.2
56,Trent Alexander-Arnold,Liverpool,8.6,3,0,0,4,3,0,46,9,9,0,0,0,61,1,3,25.0
57,Mohamed Ali Cho,Real Sociedad,2.7,0,0,0,4,6,3,11,1,3,0,0,0,16,3,5,37.5
58,Yanis Ali Issoufou,Montpellier,0.1,0,0,0,1,1,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
59,Faride Alidou,Köln,2.7,1,0,0,4,5,0,10,3,1,0,0,0,13,5,8,38.5
60,Nabil Alioui,Le Havre,9.1,0,0,0,9,16,5,38,3,1,0,0,0,28,8,9,47.1
61,Alisson,Liverpool,12.0,1,0,0,1,1,0,0,0,0,0,0,0,21,4,1,80.0
62,Jim Allevinah,Clermont Foot,8.8,0,0,0,5,12,1,29,9,5,0,0,0,51,5,6,45.5
63,Domingos Andre Ribeiro Almeida,Valencia,5.3,0,0,0,6,12,0,9,2,6,0,0,0,19,1,8,11.1
64,Miguel Almiron,Newcastle Utd,8.3,1,0,0,6,7,2,6,6,9,0,0,0,36,1,4,20.0
65,Pontus Almqvist,Lecce,10.2,1,0,0,7,19,1,10,6,12,1,0,0,29,4,9,30.8
66,Marcos Alonso,Barcelona,1.8,0,0,0,4,3,0,8,4,3,0,0,0,11,2,1,66.7
