,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,26.0,1990.0,24.3,1435.0,90.0,445.0,616.0,391.0,32.0,1435.0,31.0,26.0,83.9,5.0,16.1,717.0,3714.0,1966.0,46.0,33.0,7.0,37.0,18.0,711.0,86.0
1,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,Premier League,21.0,1995.0,1.5,65.0,0.0,11.0,30.0,25.0,3.0,65.0,6.0,4.0,66.7,2.0,33.3,37.0,380.0,127.0,7.0,3.0,3.0,4.0,6.0,39.0,4.0
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,Serie A,21.0,1995.0,5.7,166.0,3.0,18.0,71.0,80.0,7.0,166.0,15.0,8.0,53.3,7.0,46.7,105.0,712.0,352.0,9.0,11.0,2.0,9.0,13.0,125.0,31.0
3,Ignazio Abate,it ITA,DF,Milan,Serie A,30.0,1986.0,11.7,864.0,35.0,237.0,428.0,206.0,8.0,864.0,1.0,0.0,0.0,1.0,100.0,386.0,1802.0,1124.0,20.0,18.0,0.0,7.0,6.0,563.0,65.0
4,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,27.0,1989.0,5.5,375.0,27.0,175.0,200.0,4.0,2.0,375.0,1.0,1.0,100.0,0.0,0.0,296.0,1522.0,829.0,2.0,1.0,0.0,0.0,1.0,278.0,0.0
5,Aly Abeid,mr MTN,DF,Levante,La Liga,19.0,1997.0,0.9,49.0,4.0,20.0,20.0,10.0,0.0,49.0,1.0,1.0,100.0,0.0,0.0,17.0,95.0,67.0,2.0,2.0,0.0,0.0,0.0,23.0,3.0
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,24.0,1992.0,13.1,752.0,30.0,183.0,496.0,84.0,10.0,752.0,20.0,14.0,70.0,6.0,30.0,503.0,2859.0,1321.0,20.0,13.0,0.0,24.0,21.0,494.0,14.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,31.0,1986.0,25.6,1580.0,139.0,734.0,829.0,33.0,11.0,1580.0,10.0,8.0,80.0,2.0,20.0,824.0,4547.0,2817.0,17.0,5.0,0.0,8.0,5.0,906.0,7.0
8,Tammy Abraham,eng ENG,FW,Swansea City,Premier League,19.0,1997.0,19.2,498.0,12.0,33.0,246.0,230.0,65.0,498.0,47.0,27.0,57.4,20.0,42.6,305.0,1600.0,555.0,19.0,16.0,8.0,50.0,51.0,393.0,104.0
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,27.0,1990.0,9.4,435.0,23.0,98.0,263.0,77.0,3.0,435.0,5.0,4.0,80.0,1.0,20.0,169.0,947.0,335.0,8.0,7.0,1.0,14.0,19.0,224.0,18.0
10,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,29.0,1988.0,38.0,2124.0,299.0,1076.0,954.0,135.0,21.0,2124.0,23.0,17.0,73.9,6.0,26.1,918.0,5957.0,2979.0,35.0,38.0,0.0,26.0,9.0,1044.0,14.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,25.0,1992.0,10.6,562.0,8.0,79.0,405.0,92.0,7.0,562.0,24.0,16.0,66.7,8.0,33.3,392.0,2545.0,1243.0,24.0,18.0,2.0,13.0,14.0,413.0,24.0
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,31.0,1985.0,4.6,342.0,9.0,58.0,218.0,76.0,5.0,341.0,12.0,12.0,100.0,0.0,0.0,206.0,960.0,436.0,6.0,15.0,2.0,7.0,5.0,211.0,9.0
13,Antonio Adán,es ESP,GK,Betis,La Liga,30.0,1987.0,30.0,1327.0,1084.0,1324.0,4.0,0.0,0.0,1327.0,5.0,5.0,100.0,0.0,0.0,759.0,4220.0,3057.0,0.0,0.0,0.0,6.0,0.0,673.0,0.0
14,Aday,es ESP,DF,Girona,La Liga,29.0,1987.0,20.4,1259.0,49.0,261.0,504.0,505.0,39.0,1257.0,42.0,27.0,64.3,15.0,35.7,658.0,4681.0,2297.0,82.0,47.0,12.0,25.0,23.0,739.0,156.0
15,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,32.0,1985.0,32.5,1562.0,274.0,941.0,621.0,16.0,10.0,1562.0,7.0,4.0,57.1,3.0,42.9,697.0,3218.0,1795.0,6.0,3.0,0.0,12.0,7.0,739.0,1.0
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,Serie A,19.0,1998.0,13.6,691.0,38.0,199.0,296.0,207.0,26.0,691.0,19.0,9.0,47.4,10.0,52.6,344.0,2339.0,1105.0,31.0,25.0,10.0,23.0,24.0,365.0,54.0
17,René Adler,de GER,GK,Mainz 05,Bundesliga,32.0,1985.0,14.0,476.0,363.0,471.0,4.0,1.0,1.0,476.0,0.0,0.0,,0.0,,225.0,1232.0,757.0,0.0,0.0,0.0,4.0,0.0,176.0,0.0
18,Yacine Adli,fr FRA,FW,Paris S-G,Ligue 1,17.0,2000.0,0.1,7.0,0.0,1.0,5.0,1.0,0.0,7.0,0.0,0.0,,0.0,,6.0,55.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
19,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,Serie A,23.0,1993.0,18.6,1142.0,94.0,343.0,539.0,269.0,6.0,1142.0,33.0,25.0,75.8,8.0,24.2,472.0,2327.0,1139.0,25.0,21.0,2.0,19.0,15.0,538.0,56.0
20,Adrián,es ESP,GK,West Ham,Premier League,30.0,1987.0,19.0,641.0,541.0,633.0,9.0,0.0,0.0,641.0,0.0,0.0,,0.0,,284.0,2193.0,1505.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,36.0,1981.0,23.9,702.0,20.0,41.0,314.0,350.0,108.0,697.0,24.0,19.0,79.2,5.0,20.8,411.0,1876.0,691.0,27.0,19.0,10.0,43.0,42.0,575.0,150.0
22,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,31.0,1986.0,1.8,89.0,0.0,18.0,63.0,12.0,0.0,89.0,1.0,1.0,100.0,0.0,0.0,61.0,214.0,50.0,0.0,0.0,0.0,1.0,3.0,64.0,1.0
23,Benik Afobe,cd COD,FW,Bournemouth,Premier League,24.0,1993.0,6.8,219.0,8.0,18.0,100.0,105.0,28.0,219.0,9.0,7.0,77.8,2.0,22.2,138.0,820.0,317.0,12.0,4.0,9.0,28.0,5.0,171.0,37.0
24,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,21.0,1996.0,20.3,1114.0,81.0,401.0,496.0,234.0,6.0,1114.0,34.0,16.0,47.1,18.0,52.9,476.0,2344.0,1290.0,24.0,13.0,6.0,20.0,10.0,483.0,54.0
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,30.0,1987.0,2.6,78.0,2.0,3.0,42.0,33.0,11.0,78.0,3.0,3.0,100.0,0.0,0.0,46.0,154.0,29.0,1.0,0.0,0.0,8.0,4.0,65.0,8.0
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,29.0,1988.0,21.8,894.0,6.0,41.0,308.0,561.0,152.0,890.0,84.0,56.0,66.7,28.0,33.3,610.0,4166.0,1866.0,89.0,48.0,36.0,56.0,43.0,747.0,214.0
28,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,24.0,1993.0,27.3,1894.0,63.0,458.0,920.0,548.0,33.0,1894.0,48.0,30.0,62.5,18.0,37.5,855.0,5307.0,3416.0,97.0,77.0,5.0,34.0,27.0,1073.0,160.0
29,Matías Aguirregaray,uy URU,DF,Las Palmas,La Liga,28.0,1989.0,12.8,830.0,34.0,212.0,430.0,201.0,12.0,830.0,23.0,14.0,60.9,9.0,39.1,460.0,2379.0,1150.0,23.0,23.0,2.0,12.0,15.0,473.0,49.0
