,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Ismael Aaneba,Strasbourg,2.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,Patrick van Aanholt,Crystal Palace,35.5,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,2.6,2.6,0.06,+0.4,+0.4
2,Ignazio Abate,Milan,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,12.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
3,Issah Abbas,Mainz 05,0.1,0,1,0,0.0,10.00,0.00,0.00,0.0,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0
4,Yunis Abdelhamid,Reims,38.0,0,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6
5,Mehdi Abeid,Dijon,22.5,3,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,1,1,2.9,2.1,0.06,+0.1,-0.1
6,Charles Abi,Saint-Étienne,0.4,0,1,0,0.0,2.81,0.00,0.00,0.0,15.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
7,David Abraham,Eint Frankfurt,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,11.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8
8,Amir Abrashi,Freiburg,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
9,Francesco Acerbi,Lazio,36.8,3,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0,0,3.4,3.4,0.20,-0.4,-0.4
10,Afriyie Acquah,Empoli,16.8,2,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0,0,1.4,1.4,0.07,+0.6,+0.6
11,Tyler Adams,RB Leipzig,8.0,0,2,1,50.0,0.25,0.12,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
12,Antonio Adan,Atlético Madrid,1.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
13,Aday,Girona,7.2,0,9,3,33.3,1.26,0.42,0.00,0.00,27.1,2,0,0,0.3,0.3,0.03,-0.3,-0.3
14,Khaled Adenon,Amiens,22.2,0,8,0,0.0,0.36,0.00,0.00,0.0,10.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
15,Claud Adjapong,Sassuolo,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,18.0,0,0,0,0.7,0.7,0.36,+0.3,+0.3
16,Yacine Adli,Bordeaux,2.4,0,1,0,0.0,0.42,0.00,0.00,0.0,46.4,0,0,0,0.0,0.0,0.02,0.0,0.0
17,Ali Adnan Kadhim,Atalanta,1.8,0,3,0,0.0,1.63,0.00,0.00,0.0,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
18,Aritz Aduriz,Athletic Club,10.5,2,17,9,52.9,1.62,0.86,0.00,0.00,15.0,0,2,2,3.3,1.8,0.10,-1.3,-1.8
19,Luis Advincula,Rayo Vallecano,26.5,1,17,5,29.4,0.64,0.19,0.06,0.20,21.8,0,0,0,1.1,1.1,0.06,-0.1,-0.1
20,Martin Agirregabiria,Alavés,22.6,0,1,0,0.0,0.04,0.00,0.00,0.0,23.8,0,0,0,0.0,0.0,0.03,0.0,0.0
21,Nayef Aguerd,Dijon,11.7,3,10,4,40.0,0.86,0.34,0.30,0.75,14.0,0,0,0,1.5,1.5,0.15,+1.5,+1.5
22,Sergio Aguero,Manchester City,27.3,21,116,41,35.3,4.25,1.50,0.16,0.46,15.0,3,2,2,18.1,16.5,0.14,+2.9,+2.5
23,Ruben Aguilar,Montpellier,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,20.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1
24,Juan Aguilera,Huesca,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,19.0,0,0,0,0.5,0.5,0.17,-0.5,-0.5
26,Emmanuel Agyemang-Badu,Udinese,1.8,0,2,0,0.0,1.12,0.00,0.00,0.0,13.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
27,Jean-Eudes Aholou,Monaco,11.9,0,13,3,23.1,1.09,0.25,0.00,0.00,18.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8
28,Antonis Aidonis,Stuttgart,0.9,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
29,Ola Aina,Torino,24.0,1,24,5,20.8,1.00,0.21,0.04,0.20,19.5,0,0,0,1.4,1.4,0.06,-0.4,-0.4
30,Youssef Ait Bennasser,Saint-Étienne,10.4,0,7,1,14.3,0.67,0.10,0.00,0.00,27.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
31,Youssef Ait Bennasser,Monaco,11.9,0,8,1,12.5,0.67,0.08,0.00,0.00,28.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
32,Rayan Ait Nouri,Angers,0.6,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
