,Player,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
5,Suleiman Abdullahi,6,157,26,5.1,1.7,1,57,0,5,20,5,0.67,2,5,-3,-1.72,-1.29,3.1,4.0,-1.0,-0.55,-0.18
6,Mehdi Abeid,25,1817,73,72.1,20.2,20,85,15,5,22,1,1.44,20,25,-5,-0.25,-0.50,20.8,25.4,-4.5,-0.22,-0.65
7,Charles Abi,15,623,42,24.7,6.9,6,73,2,9,20,1,0.93,7,14,-7,-1.01,-0.58,8.3,10.9,-2.5,-0.37,-0.14
8,David Abraham,20,1688,84,55.2,18.8,19,86,15,1,61,5,1.85,32,27,+5,+0.27,+0.66,30.9,24.3,+6.6,+0.35,+0.15
9,Tammy Abraham,34,2215,65,64.8,24.6,25,81,9,9,20,0,1.82,45,34,+11,+0.45,+0.15,46.3,27.5,+18.8,+0.76,-0.12
10,Amir Abrashi,13,663,51,21.7,7.4,8,74,3,5,14,14,1.62,9,9,0,0.00,-0.04,9.6,12.2,-2.6,-0.35,+0.22
12,Che Adams,30,1111,37,32.5,12.3,12,73,0,18,13,6,1.47,17,17,0,0.00,+0.35,20.0,17.7,+2.3,+0.19,+0.15
13,Tyler Adams,14,953,68,31.1,10.6,10,82,4,4,33,1,1.71,14,13,+1,+0.09,-1.74,17.6,11.3,+6.2,+0.59,-0.54
14,Sargis Adamyan,15,746,50,24.4,8.3,6,80,2,9,30,3,1.93,16,10,+6,+0.72,+0.96,15.3,16.3,-0.9,-0.11,-0.02
17,Claud Adjapong,5,231,46,6.8,2.6,2,90,2,3,17,26,0.60,5,7,-2,-0.78,-0.72,3.2,4.8,-1.6,-0.62,-0.58
19,Yacine Adli,21,1020,49,40.5,11.3,11,76,3,10,19,1,1.33,17,11,+6,+0.53,+0.53,11.3,11.9,-0.6,-0.05,+0.31
22,Adrian,11,875,80,25.6,9.7,9,90,9,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.9,10.5,+8.4,+0.86,+0.06
26,Lumor Agbenyenu,23,1805,78,52.8,20.1,20,83,14,3,49,3,1.04,24,33,-9,-0.45,+0.44,22.7,29.7,-7.1,-0.35,+0.50
27,Martin Agirregabiria,31,2099,68,61.4,23.3,23,84,16,8,22,5,1.00,20,38,-18,-0.77,-0.29,22.7,36.4,-13.8,-0.59,-0.27
29,Kevin Agudelo,3,64,21,1.9,0.7,1,54,0,2,5,13,2.00,1,3,-2,-2.81,-2.95,1.1,1.1,0.0,+0.01,-0.11
30,Kevin Agudelo,10,666,67,19.5,7.4,7,86,4,3,22,5,0.60,8,11,-3,-0.41,+0.35,9.5,12.6,-3.1,-0.42,-0.15
32,Sergio Aguero,24,1452,61,42.5,16.1,18,75,8,6,16,2,2.08,44,18,+26,+1.61,-0.26,39.5,16.2,+23.2,+1.44,-0.05
33,Ruben Aguilar,19,1072,56,42.5,11.9,11,83,9,8,20,5,1.32,20,16,+4,+0.34,+0.58,22.5,16.3,+6.2,+0.52,+0.53
34,Emmanuel Agyemang-Badu,10,230,23,6.7,2.6,2,78,1,8,9,9,1.90,4,6,-2,-0.78,-0.73,1.8,4.8,-3.0,-1.16,-1.15
35,Jean-Eudes Aholou,11,630,57,25.0,7.0,8,61,2,3,47,3,1.00,8,10,-2,-0.29,+0.38,9.6,8.0,+1.6,+0.23,+0.65
36,Joseph Aidoo,32,2502,78,73.2,27.8,27,89,25,5,20,5,0.97,24,34,-10,-0.36,-0.16,28.5,31.9,-3.4,-0.12,+0.15
37,Ola Aina,32,2079,65,60.8,23.1,20,84,12,12,33,5,1.13,35,39,-4,-0.17,+1.03,30.2,34.7,-4.5,-0.19,+0.58
38,Youssef Ait Bennasser,12,536,45,21.3,6.0,6,79,2,6,10,5,1.17,7,6,+1,+0.17,-0.06,5.7,7.2,-1.5,-0.25,-0.02
39,Rayan Ait Nouri,17,1282,75,50.9,14.2,16,79,10,1,19,0,1.53,18,17,+1,+0.07,+0.51,16.8,13.8,+3.1,+0.22,+0.37
41,Ludovic Ajorque,26,2058,79,84.7,22.9,24,84,12,2,20,1,1.46,31,21,+10,+0.44,+2.86,28.6,25.4,+3.2,+0.14,+0.43
42,Manuel Akanji,29,2309,80,75.5,25.7,25,90,24,4,16,2,2.14,70,31,+39,+1.52,+1.04,49.4,27.9,+21.5,+0.84,+1.01
46,Chadrac Akolo,15,544,36,21.6,6.0,5,65,0,10,22,6,0.87,7,16,-9,-1.49,-1.03,6.5,11.0,-4.4,-0.74,-0.40
47,Kevin Akpoguma,18,1142,63,37.3,12.7,12,86,11,6,18,14,1.50,19,19,0,0.00,0.00,19.9,24.1,-4.2,-0.33,-0.37
48,David Alaba,28,2498,89,81.6,27.8,27,90,26,1,79,3,2.46,86,24,+62,+2.23,+1.27,75.3,30.1,+45.2,+1.63,+0.61
50,Lucas Alario,24,1174,49,38.4,13.0,11,85,7,13,18,9,1.58,18,20,-2,-0.15,-1.06,22.4,19.7,+2.7,+0.21,-0.03
53,Jordi Alba,27,2187,81,63.9,24.3,25,86,21,2,23,2,2.04,53,23,+30,+1.23,-0.08,41.8,23.3,+18.5,+0.76,+0.06
56,Marc Albrighton,20,867,43,25.4,9.6,9,69,2,11,22,16,1.45,16,11,+5,+0.52,-0.22,15.3,12.0,+3.2,+0.34,-0.14
57,Paco Alcacer,13,924,71,27.0,10.3,11,77,3,2,36,1,1.77,14,13,+1,+0.10,-0.37,14.8,11.0,+3.8,+0.37,-0.12
58,Paco Alcacer,11,530,48,17.3,5.9,6,78,3,5,13,3,1.64,13,12,+1,+0.17,-1.32,12.1,7.8,+4.3,+0.72,+0.16
59,Thiago Alcantara,24,1771,74,57.9,19.7,20,85,15,4,17,1,2.17,54,23,+31,+1.58,-1.01,54.2,24.8,+29.4,+1.50,-0.05
60,Ruben Alcaraz,27,1927,71,56.3,21.4,20,85,16,7,33,3,1.15,17,25,-8,-0.37,-0.19,19.7,30.1,-10.5,-0.49,-0.04
62,Haitam Aleesami,22,1916,87,76.0,21.3,21,89,20,1,51,6,0.86,27,42,-15,-0.70,-0.11,23.6,33.1,-9.5,-0.45,-0.09
64,Carles Alena,4,172,43,5.0,1.9,2,68,1,2,19,6,1.75,5,1,+4,+2.09,+0.87,2.8,0.8,+2.0,+1.03,+0.31
65,Carles Alena,17,735,43,21.5,8.2,7,75,3,10,21,3,0.88,10,12,-2,-0.24,+0.09,9.8,11.9,-2.1,-0.26,-0.21
67,Runar Alex Runarsson,11,901,82,35.8,10.0,9,90,9,2,45,15,0.64,8,17,-9,-0.90,-0.84,11.1,14.4,-3.2,-0.32,-0.06
69,Trent Alexander-Arnold,38,3175,84,92.8,35.3,35,88,31,3,26,0,2.61,80,32,+48,+1.36,-0.11,65.7,36.7,+29.0,+0.82,+0.04
73,Rachid Alioui,28,1563,56,62.0,17.4,17,75,5,11,27,0,1.39,14,21,-7,-0.40,-0.59,16.8,18.2,-1.4,-0.08,-0.30
75,Allan,23,1280,56,37.4,14.2,16,75,8,7,11,5,1.52,20,20,0,0.00,-0.46,20.3,17.9,+2.4,+0.17,-0.44
78,Dele Alli,25,1847,74,54.0,20.5,21,84,12,4,19,3,1.40,32,25,+7,+0.34,-0.06,29.5,31.2,-1.7,-0.08,+0.18
79,Miguel Almiron,36,3021,84,88.3,33.6,35,85,21,1,58,1,1.22,35,48,-13,-0.39,+1.19,31.7,57.5,-25.8,-0.77,+0.19
81,Marcos Alonso,18,1430,79,41.8,15.9,15,87,12,3,41,9,2.22,39,18,+21,+1.32,+1.59,31.8,15.7,+16.1,+1.01,+0.36
82,Mickael Alphonse,17,1378,81,54.7,15.3,15,89,14,2,19,6,0.88,11,23,-12,-0.78,-0.94,15.1,19.3,-4.3,-0.28,+0.01
84,Sergio Alvarez,18,1147,64,33.5,12.7,14,78,8,4,15,9,1.28,14,20,-6,-0.47,-0.04,13.7,18.5,-4.8,-0.37,-0.13
87,Bruno Alves,33,2671,81,78.1,29.7,31,85,27,2,14,0,1.33,39,44,-5,-0.17,-0.65,35.8,52.6,-16.8,-0.57,-0.68
88,Steven Alzate,19,1188,63,34.7,13.2,12,90,10,7,16,3,1.11,19,18,+1,+0.08,+0.72,18.6,18.6,+0.1,0.00,+0.39
89,Ibrahim Amadou,11,759,69,22.2,8.4,8,84,7,3,28,9,0.73,8,20,-12,-1.42,-0.17,9.1,18.6,-9.5,-1.13,-0.45
90,Ibrahim Amadou,10,770,77,22.5,8.6,9,82,5,1,28,5,1.50,6,10,-4,-0.47,+0.11,8.3,8.2,+0.1,+0.01,+0.11
91,Romain Amalfitano,26,1695,65,67.3,18.8,18,83,12,8,24,2,1.04,18,25,-7,-0.37,-0.04,20.8,24.2,-3.4,-0.18,+0.32
93,Jordan Amavi,26,2164,83,85.9,24.0,24,88,23,2,24,1,2.04,36,22,+14,+0.58,+1.09,32.5,24.5,+8.0,+0.33,+1.23
94,Thierry Ambrose,18,548,30,21.7,6.1,4,78,1,14,17,8,1.06,6,10,-4,-0.66,-0.47,8.3,9.0,-0.7,-0.12,+0.36
95,Kelvin Amian,20,1633,82,64.8,18.1,17,90,17,3,34,0,0.60,20,43,-23,-1.27,+0.05,22.3,31.3,-9.0,-0.50,0.00
96,Nadiem Amiri,30,1857,62,60.7,20.6,22,79,11,8,15,4,1.70,31,25,+6,+0.29,-0.53,30.9,30.8,+0.1,+0.01,-0.57
99,Opoku Ampomah,12,500,42,16.3,5.6,5,70,1,7,21,8,0.50,3,16,-13,-2.34,-1.71,4.6,13.2,-8.6,-1.54,-0.97
100,Sofyan Amrabat,34,2919,86,85.4,32.4,33,87,22,1,42,0,1.29,40,46,-6,-0.18,-0.54,41.9,44.2,-2.2,-0.07,+0.10
102,Joachim Andersen,18,1531,85,60.8,17.0,17,90,17,1,0,10,1.56,29,17,+12,+0.71,+0.43,22.6,18.5,+4.1,+0.24,-0.34
104,Djavan Anderson,6,167,28,4.9,1.9,2,65,0,4,10,11,1.67,3,3,0,0.00,-1.02,2.0,5.4,-3.4,-1.82,-2.38
105,Felipe Anderson,25,1497,60,43.8,16.6,20,73,6,5,9,4,0.88,21,27,-6,-0.36,-0.03,19.8,27.8,-8.0,-0.48,-0.14
106,Sebastian Andersson,33,2682,81,87.6,29.8,31,85,19,2,20,0,1.15,34,51,-17,-0.57,-0.57,37.1,46.6,-9.5,-0.32,+0.47
107,Florin Andone,3,73,24,2.1,0.8,1,29,0,2,22,0,1.33,2,0,+2,+2.47,+2.92,1.3,0.7,+0.6,+0.72,+0.99
109,Benjamin Andre,26,2054,79,81.5,22.8,23,87,19,3,14,0,1.88,30,21,+9,+0.39,+0.59,31.9,24.0,+7.9,+0.35,+0.17
110,Lorenzo Andrenacci,6,531,89,15.5,5.9,5,90,5,1,81,20,0.17,4,16,-12,-2.03,-1.04,6.5,14.0,-7.5,-1.26,-0.52
112,Victorien Angban,20,1029,51,40.8,11.4,11,84,8,9,12,3,1.30,11,13,-2,-0.17,+0.19,11.5,16.1,-4.5,-0.40,-0.01
113,Miguel Angel Guerrero,13,790,61,23.1,8.8,9,75,3,4,30,3,1.08,9,11,-2,-0.23,+0.42,10.8,6.3,+4.6,+0.52,+0.77
114,Jose Angel,28,2360,84,69.0,26.2,27,86,24,1,26,4,1.18,26,37,-11,-0.42,+0.09,28.5,35.5,-7.1,-0.27,+0.07
116,Angelino,6,423,71,12.4,4.7,4,90,4,2,32,9,2.00,11,7,+4,+0.85,-1.04,11.4,4.9,+6.5,+1.38,-0.09
117,Angelino,13,1095,84,35.8,12.2,12,89,11,1,25,1,1.69,22,11,+11,+0.90,-0.61,20.4,13.3,+7.1,+0.58,-0.59
119,Peter Ankersen,19,1063,56,31.1,11.8,11,78,6,8,26,13,1.05,15,18,-3,-0.25,+0.62,13.4,17.2,-3.8,-0.32,-0.03
120,Cristian Ansaldi,27,1768,65,51.7,19.6,21,78,11,6,23,2,1.00,26,32,-6,-0.31,+0.57,24.1,29.8,-5.8,-0.29,+0.26
122,Michail Antonio,24,1768,74,51.7,19.6,19,82,12,5,41,0,1.08,31,30,+1,+0.05,+0.81,27.5,29.9,-2.4,-0.12,+0.58
123,Antonito,15,1029,69,30.1,11.4,11,87,9,4,19,12,1.00,10,13,-3,-0.26,+0.04,10.1,15.0,-4.9,-0.43,+0.06
126,Christopher Antwi-Adjei,34,2470,73,80.7,27.4,28,83,20,6,24,0,0.59,30,60,-30,-1.09,-0.03,31.5,54.2,-22.8,-0.83,-0.01
127,Anuar,11,189,17,5.5,2.1,1,52,0,10,14,1,1.00,4,8,-4,-1.90,-1.71,2.1,6.2,-4.1,-1.95,-1.56
128,Houssem Aouar,25,1956,78,77.6,21.7,23,84,14,2,14,1,1.32,30,23,+7,+0.32,-0.95,28.6,22.3,+6.3,+0.29,-0.39
132,Dennis Appiah,19,1605,84,63.7,17.8,18,88,16,1,28,5,1.37,16,16,0,0.00,+0.30,19.8,18.9,+0.9,+0.05,+0.26
134,Mauro Arambarri,35,3069,88,89.7,34.1,34,89,30,1,33,0,1.37,36,33,+3,+0.09,-0.68,37.4,36.6,+0.7,+0.02,+0.17
136,Charles Aranguiz,27,2118,78,69.2,23.5,23,85,14,4,41,0,1.85,41,26,+15,+0.64,+0.45,38.0,33.3,+4.7,+0.20,-0.10
137,Luiz Araujo,21,828,39,32.9,9.2,7,84,3,14,17,5,1.48,11,14,-3,-0.33,-0.91,14.1,13.1,+1.0,+0.10,-0.32
138,Nestor Araujo,34,2888,85,84.4,32.1,32,87,27,2,46,1,1.00,32,42,-10,-0.31,+0.03,32.9,38.6,-5.6,-0.18,-0.10
139,Ronald Araujo,6,238,40,7.0,2.6,2,90,2,4,15,9,3.00,11,0,+11,+4.16,+3.11,6.6,2.6,+4.0,+1.50,+0.82
140,Anaitz Arbilla,24,2007,84,58.7,22.3,22,90,20,2,19,1,1.00,23,39,-16,-0.72,-0.65,24.3,33.4,-9.1,-0.41,-0.28
144,Santiago Arias,14,1076,77,31.5,12.0,11,87,9,3,41,18,1.64,19,9,+10,+0.84,+0.30,18.0,12.4,+5.6,+0.47,-0.25
146,Stuart Armstrong,30,1715,57,50.1,19.1,19,82,7,11,15,2,1.50,32,25,+7,+0.37,+1.21,27.8,28.0,-0.2,-0.01,-0.20
147,Jose Arnaiz,14,791,57,23.1,8.8,8,74,2,6,34,1,1.07,8,12,-4,-0.46,-0.32,7.2,10.4,-3.2,-0.37,-0.48
148,Jose Arnaiz,12,337,28,9.9,3.7,2,68,1,10,20,7,0.67,1,3,-2,-0.53,+0.02,4.8,4.5,+0.3,+0.08,+0.18
149,Maximilian Arnold,33,2821,85,92.2,31.3,32,88,26,1,8,0,1.39,44,43,+1,+0.03,-0.34,48.3,39.5,+8.9,+0.28,-0.11
152,Kwadwo Asamoah,8,639,80,18.7,7.1,7,89,6,1,19,15,2.38,15,5,+10,+1.41,+0.28,11.7,6.8,+4.9,+0.69,-0.08
153,Santiago Ascacibar,8,634,79,20.7,7.0,7,90,7,1,4,0,1.38,7,16,-9,-1.28,-1.20,7.4,13.4,-6.0,-0.85,-0.65
156,Marco Asensio,9,336,37,9.8,3.7,3,67,0,6,22,2,2.78,9,3,+6,+1.61,+0.47,7.2,3.4,+3.8,+1.02,+0.12
160,Roger Assale,14,531,38,15.5,5.9,2,80,0,12,31,1,1.00,6,6,0,0.00,+0.65,9.7,4.9,+4.8,+0.82,+1.06
161,Youcef Atal,13,1003,77,39.8,11.1,12,81,8,1,28,0,1.31,15,16,-1,-0.09,-0.33,11.8,18.1,-6.3,-0.56,-0.45
163,Christian Atsu,19,749,39,21.9,8.3,6,82,3,13,20,9,1.11,4,15,-11,-1.32,-1.02,4.6,15.4,-10.8,-1.29,-0.64
164,Pierre-Emerick Aubameyang,36,3136,87,91.7,34.8,35,89,31,1,33,0,1.50,51,44,+7,+0.20,-0.12,43.4,49.9,-6.5,-0.19,+0.38
166,Tommaso Augello,17,1135,67,33.2,12.6,12,88,10,5,16,21,1.18,22,19,+3,+0.24,+1.03,20.7,19.4,+1.3,+0.11,+0.34
167,Jean-Kevin Augustin,10,266,27,10.6,3.0,2,70,0,8,16,6,1.60,5,5,0,0.00,0.00,6.0,3.3,+2.6,+0.89,+0.75
168,Ludwig Augustinsson,12,924,77,30.2,10.3,10,86,8,2,31,3,0.58,12,26,-14,-1.36,-0.82,11.9,20.9,-9.0,-0.88,-0.58
170,Serge Aurier,33,2700,82,78.9,30.0,31,86,23,2,13,2,1.64,51,32,+19,+0.63,+1.26,38.6,39.4,-0.8,-0.03,+0.66
172,Mathias Autret,23,1222,53,48.5,13.6,14,74,1,9,21,1,1.09,14,10,+4,+0.29,+0.78,14.1,19.0,-4.9,-0.36,+0.33
173,Ezequiel Avila,20,1591,80,46.5,17.7,18,87,14,2,14,0,1.35,24,22,+2,+0.11,+0.61,28.3,21.7,+6.6,+0.37,+0.69
174,Javier Aviles,9,184,20,5.4,2.0,1,54,0,8,16,5,1.22,5,3,+2,+0.98,+1.62,2.8,3.2,-0.4,-0.20,-0.13
176,Chidozie Awaziem,26,1997,77,58.4,22.2,21,87,19,5,32,8,1.15,17,31,-14,-0.63,-0.19,24.1,27.6,-3.4,-0.15,-0.19
177,Taiwo Awoniyi,12,483,40,15.8,5.4,5,62,2,7,25,8,0.67,7,9,-2,-0.37,+0.29,9.6,8.4,+1.3,+0.23,+0.68
178,Florian Aye,22,1380,63,40.4,15.3,15,80,8,7,25,15,0.59,12,27,-15,-0.98,+0.30,14.8,31.7,-17.0,-1.11,-0.48
182,Ramon Azeez,25,1361,54,39.8,15.1,14,76,7,11,27,12,1.64,19,14,+5,+0.33,+0.24,15.1,17.1,-1.9,-0.13,-0.31
187,Ludovic Baal,11,827,75,32.8,9.2,9,90,9,2,8,13,1.45,14,10,+4,+0.44,+0.81,12.5,13.3,-0.8,-0.09,+0.65
188,Iddrisu Baba,36,2903,81,84.9,32.3,35,82,21,1,34,1,0.92,37,55,-18,-0.56,+0.66,34.1,52.6,-18.5,-0.57,+0.09
189,Khouma Babacar,25,1422,57,41.6,15.8,17,69,4,8,32,2,0.76,16,33,-17,-1.08,-0.36,21.5,35.7,-14.2,-0.90,-0.15
190,Carlos Bacca,19,688,36,20.1,7.6,7,72,1,12,16,15,1.47,10,7,+3,+0.39,+0.03,11.0,7.9,+3.1,+0.41,-0.06
191,Milan Badelj,22,1585,72,46.3,17.6,20,79,10,2,5,15,1.05,19,26,-7,-0.40,-0.89,21.3,23.4,-2.1,-0.12,-0.45
198,Stephane Bahoken,20,907,45,36.0,10.1,10,67,1,10,24,1,1.55,14,9,+5,+0.50,+1.05,12.4,9.0,+3.4,+0.33,+0.47
199,Daniel Baier,23,1941,84,63.4,21.6,22,87,16,1,29,4,1.00,30,42,-12,-0.56,-0.07,28.8,35.4,-6.6,-0.31,+0.25
200,Leon Bailey,22,1090,50,35.6,12.1,12,67,1,10,28,1,1.86,23,17,+6,+0.50,-0.01,22.0,16.5,+5.6,+0.46,+0.35
201,Eric Bailly,4,150,38,4.4,1.7,1,90,1,3,20,10,2.50,5,1,+4,+2.40,+1.68,2.0,2.2,-0.2,-0.14,-0.82
202,Denys Bain,15,1268,85,50.3,14.1,13,88,12,2,59,3,1.27,16,15,+1,+0.07,+0.36,12.5,26.0,-13.5,-0.96,-0.86
203,Leighton Baines,8,404,51,11.8,4.5,4,76,2,4,25,19,1.38,7,8,-1,-0.22,+0.11,8.5,6.3,+2.2,+0.49,+0.48
206,Lewis Baker,8,545,68,17.8,6.1,7,76,3,1,15,8,0.50,7,13,-6,-0.99,-0.10,5.8,12.9,-7.1,-1.18,-0.55
210,Ridle Baku,30,2351,78,76.8,26.1,26,86,23,4,31,1,1.03,32,54,-22,-0.84,-0.97,36.5,46.0,-9.5,-0.36,-0.12
211,Fabian Balbuena,17,1177,69,34.4,13.1,13,90,13,4,2,21,1.18,12,24,-12,-0.92,-0.88,14.9,23.5,-8.6,-0.66,-0.39
212,Keita Balde,21,858,41,34.0,9.5,9,75,2,12,15,4,1.52,17,14,+3,+0.31,+0.48,17.2,15.0,+2.2,+0.23,+0.02
214,Gareth Bale,16,1089,68,31.8,12.1,12,82,5,4,26,10,2.13,21,9,+12,+0.99,-0.28,18.2,13.5,+4.7,+0.39,-0.77
215,Mikel Balenziaga,9,563,63,16.5,6.3,6,83,5,3,23,11,1.11,5,9,-4,-0.64,-0.86,5.7,8.7,-2.9,-0.47,-0.33
216,Leonardo Balerdi,7,133,19,4.3,1.5,1,64,0,6,12,17,2.57,3,4,-1,-0.68,-2.03,3.0,4.4,-1.4,-0.94,-1.60
218,Fode Ballo-Toure,21,1679,80,66.6,18.7,18,90,18,3,19,4,1.24,29,38,-9,-0.48,-1.45,34.5,31.1,+3.5,+0.19,-0.10
219,Florent Balmont,11,401,36,15.9,4.5,4,74,2,7,15,13,1.45,2,4,-2,-0.45,-0.11,4.6,4.5,+0.1,+0.02,+0.37
222,Mario Balotelli,19,1404,74,41.1,15.6,16,83,10,3,27,0,0.53,14,31,-17,-1.09,+0.12,18.2,26.6,-8.4,-0.54,+0.48
224,Abdoulaye Bamba,7,554,79,22.0,6.2,6,90,6,1,13,7,2.14,9,3,+6,+0.97,+1.48,6.0,5.5,+0.5,+0.08,+0.06
225,Jonathan Bamba,26,1937,75,76.9,21.5,22,85,13,4,17,1,1.77,27,20,+7,+0.33,+0.17,30.3,24.1,+6.2,+0.29,-0.12
226,Ever Banega,33,2475,75,72.4,27.5,28,83,16,5,30,2,1.67,34,29,+5,+0.18,-1.25,37.1,28.2,+8.9,+0.32,-0.46
227,Mattia Bani,27,2207,82,64.5,24.5,26,84,21,1,26,2,1.26,36,40,-4,-0.16,+0.50,36.8,32.7,+4.0,+0.16,+0.31
229,Antonin Barak,8,194,24,5.7,2.2,1,69,0,7,18,13,0.63,0,3,-3,-1.39,-1.08,1.5,4.5,-3.0,-1.38,-1.14
230,Antonin Barak,16,1369,86,40.0,15.2,15,90,15,1,19,0,1.19,28,37,-9,-0.59,+0.46,26.7,33.9,-7.2,-0.47,+0.56
234,Danilo Barbosa,16,1122,70,44.5,12.5,12,89,11,4,15,7,1.38,17,15,+2,+0.16,+0.10,15.5,20.7,-5.2,-0.41,-0.22
237,Enis Bardhi,30,2114,70,61.8,23.5,23,85,16,7,23,2,1.33,35,34,+1,+0.04,+0.52,31.1,36.9,-5.8,-0.25,+0.37
239,Nicolo Barella,27,2013,75,58.9,22.4,23,83,17,4,27,1,2.30,45,21,+24,+1.07,-0.27,40.9,24.1,+16.7,+0.75,-0.02
240,Philipp Bargfrede,15,586,39,19.2,6.5,6,67,0,9,20,6,1.27,6,11,-5,-0.77,+0.03,8.3,8.3,0.0,0.00,+0.58
241,Antonino Barilla,26,1688,65,49.4,18.8,20,78,9,6,22,8,1.42,28,30,-2,-0.11,-0.16,23.1,30.2,-7.0,-0.38,+0.08
242,Kike Barja,8,313,39,9.2,3.5,4,68,0,4,11,2,2.13,6,4,+2,+0.58,+0.86,4.6,3.0,+1.5,+0.45,+0.49
243,Ross Barkley,21,1103,53,32.3,12.3,13,72,4,8,21,7,2.05,27,14,+13,+1.06,+0.98,26.8,11.0,+15.8,+1.29,+0.71
244,Aymen Barkok,3,79,26,2.6,0.9,1,45,0,2,17,3,0.00,0,3,-3,-3.42,-2.57,0.2,2.4,-2.2,-2.54,-1.86
245,Ashley Barnes,19,1352,71,39.5,15.0,17,77,5,2,25,0,1.26,19,21,-2,-0.13,+0.08,18.2,15.4,+2.8,+0.19,+0.41
246,Harvey Barnes,36,2083,58,60.9,23.1,24,74,4,12,26,2,1.61,38,24,+14,+0.60,-0.20,38.1,27.9,+10.2,+0.44,0.00
247,Antonio Barragan,12,641,53,18.7,7.1,7,81,5,5,15,20,1.08,8,11,-3,-0.42,-0.13,10.0,8.9,+1.2,+0.16,+0.32
248,Antonio Barreca,18,1095,61,32.0,12.2,11,76,4,7,37,14,1.06,13,22,-9,-0.74,-0.08,13.5,20.9,-7.5,-0.61,-0.47
249,Leandro Barreiro Martins,18,938,52,30.7,10.4,11,74,4,7,18,14,1.39,12,15,-3,-0.29,+0.48,15.0,14.8,+0.2,+0.02,+0.51
250,Ander Barrenetxea,17,442,26,12.9,4.9,3,66,1,14,17,9,1.41,7,6,+1,+0.20,-0.01,6.3,6.6,-0.2,-0.05,-0.23
251,Edgar Barreto,2,90,45,2.6,1.0,1,45,0,1,45,14,0.50,1,2,-1,-1.00,-0.57,1.6,1.8,-0.2,-0.22,-0.10
252,Musa Barrow,18,1354,75,39.6,15.0,14,84,10,4,44,1,1.33,21,27,-6,-0.40,-0.09,20.3,23.0,-2.6,-0.17,-0.38
253,Musa Barrow,7,190,27,5.6,2.1,1,56,0,6,22,11,1.43,5,0,+5,+2.37,+1.11,6.7,1.4,+5.3,+2.52,+1.49
254,Fin Bartels,14,340,24,11.1,3.8,1,61,0,13,21,2,0.50,1,9,-8,-2.12,-1.49,3.5,6.2,-2.7,-0.72,-0.28
255,Marc Bartra,30,2524,84,73.8,28.0,29,86,25,1,26,6,1.07,32,48,-16,-0.57,-0.97,36.3,43.6,-7.3,-0.26,-0.62
258,Toma Basic,15,991,66,39.3,11.0,11,83,6,4,19,6,1.53,14,14,0,0.00,-0.35,13.0,16.2,-3.2,-0.29,-0.09
260,Thomas Basila,7,415,59,16.5,4.6,3,91,3,4,36,10,0.57,4,8,-4,-0.87,-0.91,4.6,4.0,+0.6,+0.13,+0.21
261,Gil Bastiao Dias,12,356,30,10.4,4.0,3,77,1,9,14,2,1.67,8,2,+6,+1.52,+1.49,6.5,2.9,+3.6,+0.90,+0.94
262,Gil Bastiao Dias,14,1057,76,41.9,11.7,12,84,10,2,26,6,1.57,17,11,+6,+0.51,+0.88,18.4,16.6,+1.9,+0.16,-0.10
264,Alessandro Bastoni,25,1921,77,56.2,21.3,21,87,16,4,25,11,2.00,51,23,+28,+1.31,+0.29,41.9,22.8,+19.1,+0.89,+0.31
265,Bastos,16,765,48,22.4,8.5,6,83,5,10,27,21,1.69,15,12,+3,+0.35,-0.80,14.7,13.4,+1.3,+0.15,-0.37
268,Michy Batshuayi,16,239,15,7.0,2.7,1,67,0,15,11,12,1.50,5,8,-3,-1.13,-1.64,5.8,3.4,+2.4,+0.89,+0.10
269,Cristian Battocchio,24,1392,58,55.2,15.5,16,81,9,8,11,2,1.38,22,21,+1,+0.06,+0.38,20.4,23.2,-2.8,-0.18,+0.77
271,Julian Baumgartlinger,27,1791,66,58.5,19.9,20,82,13,7,21,2,1.81,37,30,+7,+0.35,-0.36,35.9,32.5,+3.4,+0.17,-0.14
272,Christoph Baumgartner,26,1493,57,48.8,16.6,17,76,6,9,21,6,1.46,24,29,-5,-0.30,-0.59,29.7,30.7,-1.0,-0.06,+0.08
274,Noah Joel Sarenren Bazee,10,381,38,12.5,4.2,4,75,1,6,14,8,0.90,5,6,-1,-0.24,+0.33,5.7,6.1,-0.4,-0.09,+0.35
275,Ihlas Bebou,32,2102,66,68.7,23.4,20,83,15,12,36,1,1.53,38,37,+1,+0.04,+0.14,36.5,40.9,-4.5,-0.19,-0.29
276,Rodrigo Becao,29,2213,76,64.7,24.6,24,88,21,5,19,6,1.17,23,34,-11,-0.45,-0.22,25.0,38.6,-13.6,-0.55,-0.69
277,Sheraldo Becker,13,540,42,17.6,6.0,5,69,1,8,25,10,0.62,7,13,-6,-1.00,-0.61,6.6,13.6,-7.0,-1.17,-0.96
