,Player,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
1936,Gabriel Martinelli,14,663,47,19.4,7.4,6,90,5,8,16,10,1.21,7,9,-2,-0.27,-0.60,8.4,11.2,-2.8,-0.38,-0.20
1938,Emiliano Martinez,9,771,86,22.5,8.6,8,90,8,1,51,29,1.78,16,9,+7,+0.82,+0.78,10.5,12.6,-2.1,-0.24,-0.03
1941,Javi Martinez,16,675,42,22.1,7.5,6,80,3,10,20,6,2.31,21,9,+12,+1.60,-0.51,21.5,10.0,+11.5,+1.53,+0.01
1942,Jose Martinez,20,1191,60,34.8,13.2,13,84,10,7,13,13,1.55,13,19,-6,-0.45,-0.98,16.3,14.5,+1.9,+0.14,+0.12
1943,Lautaro Martinez,35,2452,70,71.7,27.2,29,80,9,6,23,0,2.09,55,28,+27,+0.99,-0.68,47.8,28.2,+19.6,+0.72,-0.13
1946,Gelson Martins,21,1674,80,66.4,18.6,20,83,11,1,23,0,1.24,31,33,-2,-0.11,-0.32,32.9,29.9,+3.0,+0.16,-0.17
1947,Adam Marusic,15,942,63,27.5,10.5,10,82,7,5,25,9,2.40,26,12,+14,+1.34,+0.50,17.5,14.0,+3.4,+0.33,-0.16
1953,Adam Masina,26,1821,70,53.2,20.2,20,86,16,6,17,3,1.00,18,31,-13,-0.64,+0.20,26.8,28.5,-1.7,-0.08,+0.35
1956,Arthur Masuaku,17,937,55,27.4,10.4,10,81,7,7,18,7,1.18,7,18,-11,-1.06,-0.98,10.3,20.7,-10.4,-1.00,-0.82
1957,Jaime Mata,34,2747,81,80.3,30.5,33,83,18,1,17,2,1.41,34,23,+11,+0.36,+1.03,35.0,28.4,+6.5,+0.21,+1.07
1958,Juan Mata,19,758,40,22.2,8.4,8,78,2,11,12,19,1.26,9,8,+1,+0.12,-0.86,13.1,8.0,+5.1,+0.61,-0.05
1959,Ales Mateju,31,2548,82,74.5,28.3,28,87,25,3,36,3,0.65,29,55,-26,-0.92,+0.94,34.3,51.6,-17.4,-0.61,+0.81
1960,Jean-Philippe Mateta,18,1053,59,34.4,11.7,12,76,3,6,24,1,1.00,13,18,-5,-0.43,+0.29,16.3,18.3,-1.9,-0.17,+0.26
