,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
10,Che Adams,sct SCO,FW,Southampton,Premier League,23.0,1996.0,12.3,418.0,11.0,29.0,181.0,214.0,60.0,418.0,25.0,18.0,72.0,7.0,28.0,232.0,1282.0,464.0,20.0,16.0,10.0,40.0,21.0,298.0,87.0
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,20.0,1999.0,10.6,813.0,19.0,190.0,452.0,172.0,11.0,813.0,10.0,4.0,40.0,6.0,60.0,430.0,1993.0,862.0,11.0,9.0,2.0,7.0,9.0,548.0,49.0
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,26.0,1993.0,8.3,287.0,6.0,25.0,119.0,147.0,41.0,287.0,21.0,10.0,47.6,11.0,52.4,178.0,1313.0,527.0,19.0,9.0,7.0,28.0,19.0,200.0,67.0
13,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,32.0,1987.0,0.3,7.0,4.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,,0.0,,3.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,Bobby Adekanye,nl NED,FW,Lazio,Serie A,20.0,1999.0,2.1,62.0,1.0,6.0,31.0,26.0,10.0,62.0,3.0,3.0,100.0,0.0,0.0,43.0,224.0,118.0,6.0,2.0,5.0,3.0,6.0,49.0,12.0
15,Claud Adjapong,it ITA,DF,Hellas Verona,Serie A,21.0,1998.0,2.6,110.0,15.0,34.0,40.0,36.0,6.0,110.0,2.0,1.0,50.0,1.0,50.0,54.0,306.0,113.0,4.0,4.0,0.0,4.0,2.0,61.0,16.0
16,Amine Adli,fr FRA,"MF,FW",Toulouse,Ligue 1,19.0,2000.0,0.5,31.0,0.0,3.0,16.0,13.0,1.0,31.0,4.0,3.0,75.0,1.0,25.0,23.0,190.0,104.0,4.0,1.0,0.0,1.0,1.0,22.0,5.0
17,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,19.0,2000.0,11.3,704.0,10.0,70.0,457.0,186.0,11.0,704.0,48.0,26.0,54.2,22.0,45.8,485.0,2646.0,1418.0,38.0,31.0,3.0,27.0,24.0,537.0,47.0
18,Adrián,es ESP,GK,Liverpool,Premier League,32.0,1987.0,9.7,331.0,298.0,331.0,0.0,0.0,0.0,331.0,0.0,0.0,,0.0,,193.0,925.0,528.0,0.0,1.0,1.0,0.0,0.0,152.0,0.0
19,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,La Liga,38.0,1981.0,2.3,81.0,2.0,4.0,36.0,42.0,13.0,80.0,2.0,1.0,50.0,1.0,50.0,37.0,145.0,35.0,2.0,1.0,2.0,7.0,2.0,68.0,15.0
20,Lumor Agbenyenu,gh GHA,DF,Mallorca,La Liga,22.0,1996.0,20.1,1187.0,77.0,391.0,502.0,314.0,12.0,1187.0,47.0,29.0,61.7,18.0,38.3,583.0,3716.0,2025.0,60.0,40.0,6.0,27.0,10.0,583.0,66.0
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,23.0,1996.0,23.3,1237.0,76.0,403.0,635.0,210.0,9.0,1237.0,29.0,17.0,58.6,12.0,41.4,587.0,2671.0,1357.0,26.0,21.0,2.0,24.0,13.0,596.0,49.0
22,Lucien Agoume,fr FRA,MF,Inter,Serie A,17.0,2002.0,0.8,45.0,0.0,8.0,25.0,12.0,0.0,45.0,0.0,0.0,,0.0,,33.0,130.0,45.0,1.0,0.0,0.0,1.0,1.0,30.0,2.0
23,Kevin Agudelo,co COL,"MF,FW",Fiorentina,Serie A,20.0,1998.0,0.7,50.0,0.0,6.0,25.0,21.0,4.0,50.0,3.0,3.0,100.0,0.0,0.0,35.0,198.0,74.0,1.0,1.0,1.0,0.0,2.0,31.0,8.0
24,Kevin Agudelo,co COL,"MF,FW",Genoa,Serie A,20.0,1998.0,7.4,387.0,7.0,73.0,195.0,130.0,18.0,387.0,35.0,25.0,71.4,10.0,28.6,264.0,1922.0,1238.0,39.0,23.0,6.0,15.0,15.0,271.0,34.0
26,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,23.0,1996.0,10.6,717.0,75.0,426.0,284.0,11.0,8.0,717.0,4.0,3.0,75.0,1.0,25.0,352.0,1490.0,859.0,0.0,0.0,0.0,4.0,3.0,467.0,0.0
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,31.0,1988.0,16.1,544.0,4.0,17.0,178.0,356.0,131.0,541.0,40.0,24.0,60.0,16.0,40.0,405.0,2057.0,816.0,35.0,26.0,23.0,34.0,30.0,436.0,105.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,26.0,1993.0,11.9,913.0,32.0,209.0,441.0,268.0,21.0,913.0,22.0,12.0,54.5,10.0,45.5,534.0,2573.0,1482.0,32.0,19.0,4.0,9.0,11.0,581.0,80.0
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,Serie A,28.0,1990.0,2.6,129.0,6.0,23.0,86.0,20.0,1.0,129.0,1.0,1.0,100.0,0.0,0.0,83.0,468.0,199.0,2.0,2.0,1.0,9.0,1.0,88.0,1.0
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,Ligue 1,25.0,1994.0,7.0,404.0,14.0,78.0,257.0,71.0,13.0,404.0,16.0,12.0,75.0,4.0,25.0,225.0,1210.0,572.0,14.0,9.0,1.0,19.0,7.0,267.0,15.0
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,23.0,1995.0,27.8,1540.0,192.0,830.0,678.0,41.0,11.0,1540.0,15.0,10.0,66.7,5.0,33.3,895.0,4335.0,2073.0,17.0,7.0,2.0,14.0,8.0,936.0,2.0
32,Ola Aina,ng NGA,DF,Torino,Serie A,22.0,1996.0,23.1,1478.0,70.0,422.0,679.0,399.0,27.0,1478.0,78.0,47.0,60.3,31.0,39.7,718.0,4943.0,2913.0,86.0,51.0,8.0,32.0,21.0,817.0,80.0
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,Ligue 1,23.0,1996.0,6.0,465.0,11.0,71.0,354.0,43.0,0.0,465.0,7.0,4.0,57.1,3.0,42.9,305.0,1096.0,567.0,6.0,4.0,0.0,7.0,4.0,338.0,6.0
34,Rayan Aït Nouri,dz ALG,DF,Angers,Ligue 1,18.0,2001.0,14.2,972.0,34.0,302.0,440.0,238.0,13.0,972.0,35.0,19.0,54.3,16.0,45.7,445.0,2684.0,1611.0,45.0,36.0,10.0,27.0,24.0,550.0,69.0
35,Albian Ajeti,ch SUI,FW,West Ham,Premier League,22.0,1997.0,1.5,28.0,0.0,1.0,8.0,19.0,7.0,28.0,2.0,0.0,0.0,2.0,100.0,17.0,61.0,8.0,0.0,0.0,1.0,4.0,2.0,22.0,10.0
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,25.0,1994.0,22.9,712.0,21.0,40.0,386.0,291.0,95.0,711.0,19.0,7.0,36.8,12.0,63.2,376.0,1503.0,584.0,21.0,15.0,8.0,53.0,15.0,553.0,137.0
37,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,24.0,1995.0,25.7,2148.0,170.0,1025.0,1055.0,72.0,10.0,2148.0,7.0,6.0,85.7,1.0,14.3,1443.0,7119.0,3766.0,18.0,12.0,0.0,15.0,6.0,1646.0,6.0
38,Marley Aké,fr FRA,"FW,MF",Marseille,Ligue 1,18.0,2001.0,1.1,40.0,1.0,7.0,16.0,17.0,2.0,40.0,5.0,4.0,80.0,1.0,20.0,25.0,188.0,72.0,1.0,1.0,0.0,1.0,0.0,24.0,6.0
39,Nathan Aké,nl NED,DF,Bournemouth,Premier League,24.0,1995.0,27.8,1557.0,238.0,888.0,604.0,77.0,36.0,1557.0,3.0,3.0,100.0,0.0,0.0,958.0,4935.0,3112.0,12.0,5.0,0.0,9.0,5.0,922.0,7.0
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,Ligue 1,24.0,1995.0,6.0,280.0,4.0,52.0,141.0,92.0,14.0,280.0,12.0,5.0,41.7,7.0,58.3,168.0,688.0,340.0,11.0,14.0,5.0,14.0,15.0,198.0,53.0
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,24.0,1995.0,12.7,916.0,130.0,504.0,398.0,22.0,2.0,916.0,3.0,2.0,66.7,1.0,33.3,530.0,2637.0,1416.0,7.0,2.0,0.0,11.0,9.0,610.0,5.0
42,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,27.0,1992.0,27.8,2691.0,145.0,943.0,1538.0,232.0,12.0,2691.0,9.0,7.0,77.8,2.0,22.2,1907.0,12192.0,7412.0,69.0,28.0,3.0,16.0,4.0,2060.0,42.0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,21.0,1998.0,15.6,984.0,39.0,284.0,473.0,242.0,17.0,984.0,33.0,17.0,51.5,16.0,48.5,454.0,2492.0,1477.0,32.0,22.0,8.0,21.0,7.0,488.0,39.0
44,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,26.0,1992.0,13.0,453.0,11.0,24.0,213.0,221.0,78.0,452.0,18.0,13.0,72.2,5.0,27.8,247.0,1027.0,231.0,7.0,5.0,8.0,35.0,17.0,341.0,63.0
45,Jordi Alba,es ESP,DF,Barcelona,La Liga,30.0,1989.0,24.3,2307.0,66.0,459.0,1074.0,782.0,64.0,2307.0,21.0,12.0,57.1,9.0,42.9,1399.0,5468.0,2912.0,42.0,28.0,8.0,17.0,6.0,1734.0,244.0
46,Luis Alberto,es ESP,MF,Lazio,Serie A,26.0,1992.0,34.6,2653.0,14.0,260.0,1371.0,1086.0,98.0,2652.0,107.0,73.0,68.2,34.0,31.8,1620.0,11683.0,7365.0,203.0,171.0,29.0,51.0,47.0,1901.0,163.0
47,Raúl Albiol,es ESP,DF,Villarreal,La Liga,33.0,1985.0,36.0,2282.0,336.0,1270.0,971.0,52.0,21.0,2282.0,3.0,3.0,100.0,0.0,0.0,1193.0,6416.0,3896.0,11.0,8.0,1.0,9.0,2.0,1497.0,4.0
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,Premier League,29.0,1989.0,9.6,618.0,12.0,102.0,245.0,284.0,20.0,618.0,33.0,14.0,42.4,19.0,57.6,393.0,1968.0,822.0,20.0,19.0,4.0,12.0,9.0,423.0,94.0
49,Paco Alcácer,es ESP,FW,Villarreal,La Liga,25.0,1993.0,10.3,306.0,11.0,29.0,137.0,143.0,36.0,306.0,7.0,3.0,42.9,4.0,57.1,159.0,597.0,270.0,13.0,7.0,9.0,15.0,8.0,213.0,50.0
50,Paco Alcácer,es ESP,FW,Dortmund,Bundesliga,25.0,1993.0,5.9,163.0,2.0,9.0,75.0,79.0,26.0,163.0,5.0,2.0,40.0,3.0,60.0,78.0,207.0,55.0,1.0,2.0,1.0,12.0,5.0,110.0,37.0
52,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,28.0,1991.0,19.7,2029.0,47.0,358.0,1364.0,334.0,23.0,2029.0,83.0,71.0,85.5,12.0,14.5,1250.0,5577.0,2677.0,27.0,35.0,7.0,28.0,19.0,1507.0,43.0
53,Rubén Alcaraz,es ESP,MF,Valladolid,La Liga,28.0,1991.0,21.4,1340.0,73.0,341.0,848.0,167.0,10.0,1340.0,28.0,23.0,82.1,5.0,17.9,663.0,3258.0,1591.0,26.0,15.0,1.0,23.0,15.0,734.0,21.0
54,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,30.0,1989.0,32.9,2349.0,344.0,1183.0,1068.0,101.0,22.0,2349.0,1.0,0.0,0.0,1.0,100.0,1460.0,5973.0,2949.0,11.0,18.0,1.0,9.0,5.0,1566.0,10.0
55,Haitam Aleesami,no NOR,DF,Amiens,Ligue 1,28.0,1991.0,21.3,1421.0,72.0,412.0,759.0,262.0,15.0,1421.0,19.0,13.0,68.4,6.0,31.6,573.0,2813.0,1426.0,21.0,17.0,4.0,23.0,22.0,756.0,72.0
56,Álex Alegría,es ESP,FW,Mallorca,La Liga,26.0,1992.0,1.2,45.0,0.0,2.0,22.0,21.0,6.0,45.0,2.0,0.0,0.0,2.0,100.0,21.0,80.0,36.0,1.0,1.0,1.0,2.0,1.0,39.0,6.0
57,Carles Aleñá,es ESP,MF,Barcelona,La Liga,21.0,1998.0,1.9,168.0,1.0,13.0,101.0,55.0,2.0,168.0,3.0,2.0,66.7,1.0,33.3,121.0,508.0,218.0,4.0,3.0,0.0,3.0,1.0,143.0,2.0
58,Carles Aleñá,es ESP,"MF,FW",Betis,La Liga,21.0,1998.0,8.2,466.0,5.0,55.0,291.0,128.0,9.0,466.0,22.0,12.0,54.5,10.0,45.5,332.0,1908.0,876.0,15.0,17.0,0.0,11.0,9.0,381.0,25.0
59,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,24.0,1995.0,10.0,350.0,304.0,349.0,1.0,0.0,0.0,350.0,0.0,0.0,,0.0,,157.0,734.0,504.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,20.0,1998.0,35.3,3582.0,99.0,825.0,1590.0,1193.0,54.0,3582.0,51.0,21.0,41.2,30.0,58.8,2136.0,9096.0,5332.0,98.0,113.0,16.0,47.0,12.0,2281.0,226.0
61,Enrico Alfonso,it ITA,GK,Brescia,Serie A,31.0,1988.0,3.1,85.0,67.0,85.0,0.0,0.0,0.0,85.0,0.0,0.0,,0.0,,27.0,144.0,109.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
62,Rachid Alioui,ma MAR,FW,Angers,Ligue 1,27.0,1992.0,17.4,631.0,9.0,29.0,300.0,306.0,67.0,631.0,22.0,16.0,72.7,6.0,27.3,353.0,1638.0,704.0,24.0,18.0,12.0,40.0,17.0,496.0,108.0
63,Alisson,br BRA,GK,Liverpool,Premier League,26.0,1992.0,28.3,992.0,792.0,983.0,10.0,0.0,0.0,992.0,0.0,0.0,,0.0,,600.0,2483.0,1531.0,0.0,1.0,1.0,0.0,0.0,495.0,0.0
64,Allan,br BRA,MF,Napoli,Serie A,28.0,1991.0,14.2,1001.0,23.0,167.0,626.0,217.0,13.0,1001.0,28.0,19.0,67.9,9.0,32.1,638.0,3107.0,1489.0,25.0,27.0,2.0,30.0,15.0,725.0,53.0
65,Dele Alli,eng ENG,"MF,FW",Tottenham,Premier League,23.0,1996.0,20.5,1128.0,36.0,156.0,558.0,427.0,76.0,1127.0,66.0,29.0,43.9,36.0,54.5,707.0,3569.0,1684.0,56.0,37.0,14.0,50.0,41.0,760.0,152.0
66,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,25.0,1994.0,33.6,1291.0,34.0,260.0,538.0,537.0,81.0,1291.0,93.0,46.0,49.5,47.0,50.5,929.0,7715.0,3823.0,120.0,82.0,19.0,80.0,35.0,881.0,160.0
67,Marcos Alonso,es ESP,DF,Chelsea,Premier League,28.0,1990.0,15.9,1341.0,27.0,335.0,536.0,477.0,59.0,1341.0,19.0,12.0,63.2,7.0,36.8,787.0,4088.0,2269.0,62.0,42.0,6.0,33.0,10.0,833.0,155.0
68,Mickaël Alphonse,gp GLP,DF,Dijon,Ligue 1,30.0,1989.0,15.3,935.0,58.0,330.0,437.0,173.0,11.0,935.0,22.0,15.0,68.2,7.0,31.8,400.0,2485.0,1458.0,37.0,26.0,3.0,19.0,10.0,472.0,45.0
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,La Liga,27.0,1992.0,12.7,558.0,27.0,138.0,358.0,71.0,5.0,558.0,9.0,8.0,88.9,1.0,11.1,277.0,1277.0,456.0,6.0,12.0,0.0,6.0,4.0,272.0,6.0
70,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,32.0,1986.0,2.0,56.0,50.0,56.0,0.0,0.0,0.0,56.0,0.0,0.0,,0.0,,23.0,94.0,64.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
71,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,24.0,1995.0,31.2,1821.0,180.0,818.0,947.0,74.0,17.0,1821.0,17.0,14.0,82.4,3.0,17.6,852.0,4757.0,2863.0,29.0,18.0,1.0,14.0,5.0,998.0,4.0
72,Bruno Alves,pt POR,DF,Parma,Serie A,37.0,1981.0,29.7,1625.0,280.0,878.0,666.0,86.0,34.0,1625.0,1.0,1.0,100.0,0.0,0.0,922.0,4801.0,2509.0,6.0,4.0,0.0,6.0,4.0,987.0,11.0
73,Steven Alzate,co COL,"MF,DF",Brighton,Premier League,20.0,1998.0,13.2,831.0,32.0,190.0,397.0,251.0,36.0,831.0,47.0,35.0,74.5,12.0,25.5,456.0,2796.0,1437.0,34.0,34.0,11.0,25.0,28.0,545.0,92.0
74,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,Premier League,26.0,1993.0,8.4,480.0,100.0,331.0,138.0,13.0,4.0,480.0,2.0,2.0,100.0,0.0,0.0,290.0,1128.0,545.0,4.0,0.0,0.0,1.0,3.0,303.0,1.0
75,Ibrahim Amadou,fr FRA,MF,Leganés,La Liga,26.0,1993.0,8.6,342.0,9.0,71.0,209.0,63.0,8.0,342.0,6.0,4.0,66.7,2.0,33.3,177.0,831.0,444.0,9.0,7.0,1.0,5.0,3.0,208.0,10.0
76,Romain Amalfitano,fr FRA,MF,Dijon,Ligue 1,29.0,1989.0,18.8,1098.0,35.0,241.0,728.0,146.0,7.0,1098.0,33.0,26.0,78.8,7.0,21.2,626.0,3565.0,1691.0,24.0,27.0,3.0,31.0,19.0,727.0,28.0
78,Amath,sn SEN,MF,Getafe,La Liga,23.0,1996.0,0.7,34.0,0.0,2.0,16.0,16.0,1.0,34.0,10.0,5.0,50.0,5.0,50.0,20.0,132.0,56.0,0.0,1.0,1.0,3.0,2.0,20.0,4.0
79,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,25.0,1994.0,24.0,1591.0,78.0,510.0,746.0,352.0,28.0,1591.0,52.0,30.0,57.7,22.0,42.3,788.0,4457.0,2377.0,62.0,54.0,9.0,32.0,19.0,835.0,92.0
80,Thierry Ambrose,gp GLP,FW,Metz,Ligue 1,22.0,1997.0,6.1,302.0,5.0,24.0,124.0,159.0,30.0,302.0,44.0,25.0,56.8,19.0,43.2,185.0,1476.0,713.0,31.0,24.0,7.0,24.0,23.0,219.0,49.0
81,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,21.0,1998.0,18.1,844.0,75.0,287.0,392.0,173.0,11.0,844.0,24.0,11.0,45.8,13.0,54.2,416.0,2730.0,1615.0,38.0,28.0,5.0,18.0,10.0,427.0,27.0
82,Nadiem Amiri,de GER,"MF,FW",Leverkusen,Bundesliga,22.0,1996.0,20.6,1355.0,15.0,158.0,712.0,504.0,50.0,1355.0,44.0,30.0,68.2,14.0,31.8,723.0,4405.0,2166.0,53.0,43.0,13.0,41.0,19.0,905.0,95.0
83,Ethan Ampadu,wls WAL,DF,RB Leipzig,Bundesliga,18.0,2000.0,0.9,94.0,9.0,38.0,54.0,2.0,1.0,94.0,0.0,0.0,,0.0,,64.0,340.0,237.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
84,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,Bundesliga,23.0,1996.0,5.6,201.0,5.0,31.0,69.0,108.0,22.0,201.0,39.0,19.0,48.7,20.0,51.3,140.0,1089.0,520.0,23.0,10.0,13.0,28.0,10.0,138.0,50.0
85,Sofyan Amrabat,ma MAR,MF,Hellas Verona,Serie A,22.0,1996.0,32.4,2062.0,54.0,355.0,1357.0,395.0,22.0,2061.0,103.0,75.0,72.8,28.0,27.2,1388.0,10322.0,4827.0,84.0,67.0,5.0,57.0,56.0,1421.0,52.0
86,Joachim Andersen,dk DEN,DF,Lyon,Ligue 1,23.0,1996.0,17.0,1480.0,166.0,729.0,721.0,32.0,13.0,1480.0,3.0,3.0,100.0,0.0,0.0,905.0,4909.0,3029.0,6.0,5.0,0.0,3.0,2.0,1105.0,1.0
87,Djavan Anderson,nl NED,"FW,DF",Lazio,Serie A,24.0,1995.0,1.9,90.0,6.0,32.0,30.0,30.0,4.0,90.0,5.0,3.0,60.0,2.0,40.0,42.0,313.0,136.0,4.0,3.0,1.0,5.0,5.0,37.0,4.0
88,Felipe Anderson,br BRA,"MF,FW",West Ham,Premier League,26.0,1993.0,16.6,1168.0,19.0,143.0,564.0,486.0,56.0,1168.0,92.0,63.0,68.5,29.0,31.5,764.0,5752.0,3044.0,106.0,72.0,21.0,48.0,30.0,884.0,132.0
89,Sebastian Andersson,se SWE,FW,Union Berlin,Bundesliga,28.0,1991.0,29.8,1167.0,42.0,80.0,524.0,573.0,120.0,1165.0,52.0,21.0,40.4,31.0,59.6,637.0,2876.0,854.0,34.0,29.0,12.0,94.0,67.0,937.0,204.0
90,Florin Andone,ro ROU,FW,Brighton,Premier League,26.0,1993.0,0.8,34.0,2.0,7.0,9.0,18.0,3.0,34.0,7.0,2.0,28.6,5.0,71.4,19.0,178.0,93.0,2.0,3.0,1.0,5.0,1.0,17.0,4.0
91,Benjamin André,fr FRA,MF,Lille,Ligue 1,28.0,1990.0,22.8,1513.0,47.0,240.0,1041.0,248.0,21.0,1513.0,25.0,16.0,64.0,9.0,36.0,723.0,3471.0,1615.0,25.0,25.0,3.0,17.0,20.0,922.0,47.0
92,Lorenzo Andrenacci,it ITA,GK,Brescia,Serie A,24.0,1995.0,5.9,182.0,174.0,182.0,0.0,0.0,0.0,182.0,0.0,0.0,,0.0,,68.0,364.0,265.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
93,Robert Andrich,de GER,MF,Union Berlin,Bundesliga,24.0,1994.0,28.6,1542.0,60.0,350.0,897.0,312.0,28.0,1542.0,41.0,28.0,68.3,13.0,31.7,768.0,3284.0,1325.0,25.0,22.0,5.0,36.0,17.0,831.0,31.0
94,Victorien Angban,ci CIV,MF,Metz,Ligue 1,22.0,1996.0,11.4,708.0,9.0,100.0,525.0,93.0,3.0,708.0,21.0,15.0,71.4,6.0,28.6,432.0,2657.0,1381.0,25.0,21.0,2.0,18.0,17.0,504.0,17.0
95,Miguel Ángel Guerrero,es ESP,FW,Leganés,La Liga,29.0,1990.0,8.8,256.0,4.0,12.0,139.0,105.0,21.0,255.0,11.0,8.0,72.7,3.0,27.3,138.0,504.0,223.0,10.0,4.0,2.0,19.0,13.0,201.0,37.0
96,José Ángel,es ESP,DF,Eibar,La Liga,29.0,1989.0,26.2,1753.0,87.0,429.0,869.0,491.0,8.0,1753.0,35.0,27.0,77.1,8.0,22.9,798.0,4091.0,2068.0,50.0,59.0,4.0,30.0,11.0,802.0,62.0
97,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,35.0,1984.0,13.0,491.0,419.0,491.0,0.0,0.0,0.0,491.0,2.0,2.0,100.0,0.0,0.0,255.0,1155.0,767.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0
98,Angeliño,es ESP,DF,Manchester City,Premier League,22.0,1997.0,4.7,478.0,14.0,89.0,186.0,208.0,11.0,478.0,5.0,4.0,80.0,1.0,20.0,333.0,1405.0,797.0,21.0,28.0,1.0,6.0,3.0,338.0,70.0
99,Angeliño,es ESP,"DF,FW",RB Leipzig,Bundesliga,22.0,1997.0,12.2,881.0,24.0,187.0,396.0,303.0,26.0,881.0,25.0,20.0,80.0,5.0,20.0,430.0,2075.0,1099.0,24.0,16.0,12.0,15.0,6.0,518.0,92.0
100,Faustino Anjorin,eng ENG,FW,Chelsea,Premier League,17.0,2001.0,0.2,12.0,0.0,0.0,5.0,7.0,3.0,12.0,2.0,1.0,50.0,1.0,50.0,8.0,57.0,25.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0
101,Peter Ankersen,dk DEN,DF,Genoa,Serie A,28.0,1990.0,11.8,732.0,33.0,222.0,289.0,231.0,26.0,732.0,13.0,6.0,46.2,7.0,53.8,417.0,1780.0,917.0,16.0,19.0,4.0,17.0,10.0,496.0,65.0
