,Player,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
2060,Gaetan Poussin,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
2061,Jose Pozo,18.0,4,0,0,12,23,2,20,4,10,0,0,0,75,7,22,24.1
2062,Dennis Praet,32.1,6,0,0,25,40,1,107,36,44,1,0,0,201,20,17,54.1
2063,Sanjin Prcic,5.9,3,0,0,8,10,0,4,11,13,0,0,0,39,15,5,75.0
2064,Sanjin Prcic,11.7,1,0,0,11,4,0,45,18,14,0,0,0,75,11,8,57.9
2065,Nicolas de Preville,14.1,5,0,0,42,35,4,74,10,19,0,1,0,72,30,37,44.8
2066,Edgar Prib,2.2,1,0,0,7,3,0,22,2,9,0,0,0,7,1,1,50.0
2067,Alex Pritchard,23.1,2,0,0,13,51,7,78,17,24,0,0,0,127,14,35,28.6
2069,Quincy Promes,17.6,2,0,0,24,13,9,61,25,25,1,0,0,112,19,22,46.3
2070,Davy Propper,28.3,2,0,0,33,18,1,16,53,28,0,1,0,191,36,26,58.1
2071,Silvio Proto,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
2072,Ivan Provedel,16.0,0,0,0,1,4,0,0,0,0,0,1,0,15,1,0,100.0
2073,Javi Puado,4.0,0,0,0,4,2,2,2,6,1,1,0,0,21,9,9,50.0
2074,Manuel Pucciarelli,3.4,1,0,0,7,5,1,2,3,2,0,0,0,14,1,10,9.1
2075,Riqui Puig,1.7,0,0,0,1,1,0,0,0,3,0,0,0,9,1,0,100.0
2076,Erick Pulgar,26.2,6,1,0,31,34,0,135,50,36,0,0,1,209,43,26,62.3
2077,Jorge Pulido,30.9,9,2,0,50,32,6,16,50,42,0,0,1,134,69,51,57.5
2078,Christian Pulisic,10.4,2,0,0,9,26,7,39,6,6,0,0,0,37,15,29,34.1
2081,Jason Puncheon,4.2,1,0,0,9,2,1,9,3,4,0,0,0,21,6,6,50.0
2082,Ignacio Pussetto,24.2,8,0,0,51,56,22,30,29,40,2,0,0,106,92,125,42.4
2083,Fabio Quagliarella,35.5,1,0,0,32,58,37,34,8,8,0,0,0,87,23,55,29.5
2084,Robin Quaison,24.4,1,0,0,31,21,10,11,7,12,0,0,0,65,23,72,24.2
2085,Collin Quaner,0.4,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0.0
2086,Domingos Quina,3.8,0,0,0,7,6,0,2,3,7,0,0,0,30,2,8,20.0
2087,Xavi Quintilla,7.0,1,0,0,7,0,0,19,8,4,0,0,0,29,3,9,25.0
2088,Dani Raba,2.1,0,0,0,5,4,0,6,1,5,0,0,0,17,2,1,66.7
2089,Adrien Rabiot,11.8,3,0,0,23,8,0,6,10,20,0,0,1,97,20,10,66.7
2090,Nemanja Radonjic,7.6,2,0,0,6,3,4,12,5,5,0,1,0,29,3,10,23.1
2091,Ivan Radovanovic,14.2,3,0,0,21,20,1,6,13,12,0,0,0,97,42,17,71.2
2092,Ivan Radovanovic,19.0,6,0,0,20,13,1,4,26,22,0,0,0,137,22,20,52.4
2093,Ionut Radu,33.0,0,0,0,0,2,0,0,1,0,0,0,0,31,13,2,86.7
2094,Stefan Radu,24.9,5,0,0,32,23,0,31,42,27,0,0,0,152,34,23,59.6
2095,Rafael,11.4,4,1,0,22,19,2,47,15,19,0,0,1,72,17,15,53.1
2096,Raffael,6.0,0,0,0,9,5,3,7,1,4,0,0,0,23,3,5,37.5
2097,Rafinha,2.5,1,0,0,7,8,0,3,1,6,0,0,0,8,3,2,60.0
2098,Rafinha,10.0,1,0,0,7,7,1,14,19,7,0,0,0,63,7,10,41.2
2099,Andrea Raggi,5.5,1,1,0,1,6,1,7,7,5,0,0,0,18,4,5,44.4
2100,Baba Rahman,10.7,3,0,0,15,13,0,13,16,20,0,0,0,58,21,25,45.7
2101,Baba Rahman,1.8,0,0,0,3,1,0,3,2,1,0,0,0,7,2,0,100.0
2102,Ivan Rakitic,29.4,7,1,1,27,53,3,24,51,24,0,0,0,215,37,20,64.9
2103,Joe Ralls,21.8,4,1,0,29,10,1,77,29,23,0,0,0,141,33,40,45.2
2104,Jonas Ramalho,18.0,4,0,0,15,11,0,30,16,6,0,2,1,83,25,25,50.0
2106,Benito Raman,18.7,1,0,0,26,18,1,36,15,20,0,1,0,88,5,14,26.3
2107,Adil Rami,15.7,2,0,0,17,10,2,2,18,9,0,3,0,97,59,19,75.6
2108,Gaston Ramirez,17.5,7,1,1,42,36,2,75,8,22,1,0,0,77,29,56,34.1
2109,Sandro Ramirez,11.7,4,0,0,19,24,9,44,9,10,0,0,0,68,9,11,45.0
2110,Ivan Ramis,18.6,4,0,0,10,10,2,1,18,13,1,1,0,117,62,25,71.3
2111,Chris Ramos,0.7,0,0,0,2,2,0,0,0,1,0,0,0,0,8,8,50.0
2112,Sergio Ramos,27.5,7,1,1,29,35,5,2,37,32,0,1,0,176,59,31,65.6
2113,Aaron Ramsey,14.8,0,0,0,21,20,4,15,9,18,0,0,0,89,13,20,39.4
2114,Kayne Ramsey,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0
2115,Andrea Ranocchia,0.7,1,0,0,4,0,0,0,0,2,0,0,0,0,6,7,46.2
2116,Marcus Rashford,25.9,3,1,0,26,52,15,55,3,12,2,1,0,61,28,44,38.9
2117,Milot Rashica,17.2,1,0,0,33,33,8,115,6,16,0,0,0,80,8,29,21.6
2118,Jacob Rasmussen,11.3,3,0,0,8,5,0,1,12,12,0,0,0,65,35,19,64.8
2120,Yoric Ravet,0.8,0,0,0,2,0,0,4,0,1,0,0,0,4,1,0,100.0
2121,Tim Ream,22.7,1,0,0,12,8,0,1,25,14,0,0,0,111,47,43,52.2
2122,Ante Rebic,22.0,4,1,1,47,21,18,43,8,9,0,0,0,77,37,53,41.1
