,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,22,9.0,2578,3617,71.3,48323,21065,1184,1408,84.1,966,1276,75.7,360,718,50.1,5,8.2,7.9,-3.2,94,242,73,31,317
1,26,9.0,3405,4238,80.3,62175,21746,1444,1616,89.4,1533,1765,86.9,351,649,54.1,7,11.4,7.8,-4.4,94,244,59,29,300
2,22,8.0,4208,4901,85.9,70731,21926,2028,2210,91.8,1801,1997,90.2,300,498,60.2,9,8.1,9.1,0.9,89,326,101,13,393
3,23,8.0,3206,3883,82.6,56407,19345,1385,1548,89.5,1476,1670,88.4,278,491,56.6,12,10.2,7.6,1.8,88,259,85,21,300
4,24,8.0,3454,4312,80.1,58650,20669,1622,1851,87.6,1427,1639,87.1,306,567,54.0,13,7.9,6.8,5.1,83,227,75,18,351
5,22,9.0,3416,4434,77.0,60614,23914,1573,1805,87.1,1417,1697,83.5,348,695,50.1,11,10.2,9.7,0.8,91,289,76,31,368
6,22,8.0,3231,4016,80.5,53483,20152,1686,1872,90.1,1151,1354,85.0,298,549,54.3,12,11.9,9.5,0.1,68,245,77,14,306
7,22,7.0,2196,2981,73.7,40786,15943,878,1041,84.3,1037,1272,81.5,235,502,46.8,6,6.0,8.0,0.0,67,158,48,17,190
8,23,9.0,5506,6261,87.9,87250,27026,2959,3181,93.0,2058,2283,90.1,358,532,67.3,13,15.1,15.2,-2.1,111,500,108,25,481
9,20,7.0,4226,4851,87.1,70370,23042,2006,2176,92.2,1846,2022,91.3,284,436,65.1,17,15.0,16.8,2.0,117,332,99,10,423
10,27,9.0,3786,4586,82.6,64483,23438,1830,2019,90.6,1460,1653,88.3,363,630,57.6,7,7.9,8.9,-0.9,95,268,90,13,361
11,23,7.0,1965,2840,69.2,37561,16152,792,993,79.8,834,1074,77.7,267,598,44.6,4,5.4,6.3,-1.4,71,175,58,15,229
12,23,8.0,3695,4365,84.7,62307,21107,1793,1967,91.2,1479,1644,90.0,318,523,60.8,5,5.3,4.3,-0.3,68,261,56,16,295
13,23,8.0,2545,3336,76.3,46028,16568,1099,1245,88.3,1102,1288,85.6,275,603,45.6,4,5.8,5.9,-1.8,67,203,67,14,253
14,24,8.0,3067,3889,78.9,55458,20472,1340,1530,87.6,1355,1599,84.7,317,587,54.0,7,10.2,10.4,-3.2,79,207,66,16,297
15,22,8.0,2768,3648,75.9,55480,20194,1037,1249,83.0,1197,1445,82.8,438,744,58.9,4,8.0,8.2,-4.0,86,236,72,28,284
16,25,8.0,4244,4874,87.1,70252,22953,2088,2259,92.4,1717,1896,90.6,323,495,65.3,16,13.2,11.7,2.8,110,261,88,18,369
17,24,8.0,3346,4146,80.7,57993,18536,1568,1758,89.2,1433,1626,88.1,289,568,50.9,7,5.6,6.2,1.4,62,163,39,7,219
18,25,9.0,2034,2971,68.5,40931,17658,829,1019,81.4,817,1055,77.4,325,715,45.5,4,4.4,5.5,-0.4,59,176,42,24,187
19,23,8.0,2434,3213,75.8,46224,17884,1045,1189,87.9,1021,1241,82.3,326,622,52.4,2,4.9,5.3,-2.9,65,200,62,26,252
20,22,9.0,3064,3996,76.7,52208,20620,1465,1678,87.3,1256,1478,85.0,261,600,43.5,6,9.8,10.4,-3.8,102,270,70,20,305
21,22,8.0,4590,5315,86.4,74731,24927,2290,2486,92.1,1824,2022,90.2,332,501,66.3,6,9.8,9.6,-3.8,77,337,94,14,377
22,22,7.9,3133,3886,80.6,54933,18917,1386,1566,88.5,1326,1538,86.2,304,561,54.2,3,4.0,4.7,-1.0,63,257,49,18,304
