,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,30,42.8,38.0,18193,2104,6503,8084,3788,575,18185,467,254,54.4,214,45.8,8988,44447,20940,404,315,104,557,256,10112,925
1,31,46.4,38.0,22924,1893,6979,11326,4872,574,22918,744,386,51.9,358,48.1,13323,66694,31192,614,485,118,635,394,14792,1418
2,26,42.3,34.0,18394,2538,7581,7559,3417,529,18392,435,233,53.6,202,46.4,9625,46369,23235,358,224,71,557,262,10498,874
3,29,53.5,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15543,83237,45097,758,499,195,511,260,17924,1748
4,24,48.5,38.0,21113,2577,6973,8614,5759,947,21107,595,369,62.0,223,37.5,11291,60378,30659,629,463,226,579,337,12832,1403
5,30,54.6,38.0,26392,1779,6640,12068,7924,1147,26385,707,396,56.0,309,43.7,15724,78882,39413,874,658,256,680,406,17945,2056
6,27,49.9,38.0,21410,1921,5863,10255,5481,675,21405,501,304,60.7,197,39.3,11152,64941,35151,685,510,147,496,335,13475,1477
7,25,52.3,38.0,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598
8,25,41.4,34.0,18181,2500,7266,7815,3296,496,18176,474,282,59.5,192,40.5,9465,52254,25936,431,344,79,557,321,10183,977
9,25,65.5,38.0,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104783,56158,972,930,276,477,341,25052,2144
10,29,60.7,34.0,25817,1855,6669,12031,7356,1178,25807,690,437,63.3,252,36.5,15272,85823,45041,829,613,216,656,349,18243,2073
11,29,42.6,38.0,19178,2349,7076,8190,4126,698,19171,452,273,60.4,179,39.6,9800,53706,27355,512,377,123,513,289,11461,1083
12,25,53.6,38.0,23649,2104,6950,11175,5734,790,23638,638,420,65.8,218,34.2,13277,66819,34529,694,547,172,592,367,15683,1427
13,37,50.8,38.0,22798,2727,7475,10035,5490,764,22794,628,345,54.9,283,45.1,12688,68899,34588,706,473,176,598,305,14515,1495
14,28,49.8,38.0,23564,2361,7808,11547,4454,603,23560,679,391,57.6,287,42.3,13778,70213,34273,644,459,156,614,396,15747,1291
15,26,49.3,38.0,23400,2617,8252,10194,5202,723,23396,613,383,62.5,230,37.5,13831,71207,37159,685,479,132,561,285,15317,1421
16,27,51.1,38.0,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73709,37608,685,468,131,549,306,15634,1495
17,25,42.1,38.0,19391,2181,5794,9081,4683,699,19388,403,234,58.1,170,42.2,9240,46385,20946,389,340,75,503,278,10755,1002
18,34,34.8,38.0,15979,2120,5874,6716,3599,438,15975,513,321,62.6,192,37.4,7256,41528,20734,455,358,79,561,294,7858,838
19,32,44.8,38.0,20989,2354,7007,9356,4876,712,20984,605,336,55.5,269,44.5,10944,60997,31667,589,461,122,532,281,12936,1217
20,30,53.3,38.0,23271,2443,7999,10717,4742,593,23264,465,276,59.4,189,40.6,13162,62213,31151,514,431,109,533,279,15059,1299
21,27,60.9,38.0,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851,1787
22,31,46.3,38.0,21226,2904,8260,9199,3983,577,21217,623,385,61.8,237,38.0,11536,61128,30798,582,386,119,610,366,13427,1206
23,24,40.6,38.0,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10226,56545,26885,526,388,151,596,402,11524,1113
24,33,46.2,38.0,21991,2520,8132,10172,3924,497,21986,673,385,57.2,288,42.8,12524,61818,30406,528,414,91,654,366,13867,1197
25,26,59.6,34.0,25939,2072,7088,12665,6400,1004,25932,630,400,63.5,229,36.3,15275,82267,42706,763,558,211,532,294,18713,1734
26,30,49.3,38.0,20828,1764,5553,9562,5924,671,20818,519,320,61.7,199,38.3,10427,53688,24394,507,374,102,657,320,11685,1282
27,25,53.7,34.0,22260,2238,6633,10666,5179,784,22252,514,277,53.9,237,46.1,11914,64571,33489,664,491,154,565,312,14146,1534
28,30,47.5,38.0,20849,2572,8347,9141,3558,417,20846,618,365,59.1,253,40.9,11786,58689,28516,500,366,73,614,345,13378,920
29,29,46.4,38.0,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177
30,30,46.3,38.0,20902,2094,6147,9711,5257,659,20896,575,325,56.5,250,43.5,11680,63011,31755,637,499,114,561,422,13327,1345
31,24,47.3,34.0,19508,2360,7174,8373,4125,609,19502,423,230,54.4,193,45.6,10518,53310,26290,463,326,111,531,231,12048,1155
