,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Patrick van Aanholt,Crystal Palace,24.3,47,32,29,15,3,16,34,47.1,18,24,5,19,47,94,64,2
1,Rolando Aarons,Newcastle Utd,1.5,4,4,3,1,0,4,6,66.7,2,3,0,3,1,5,0,0
2,Rolando Aarons,Hellas Verona,5.7,13,8,4,4,5,1,7,14.3,6,3,1,2,2,15,0,0
3,Ignazio Abate,Milan,11.7,20,17,10,9,1,6,11,54.5,5,22,2,20,8,28,29,0
4,Aymen Abdennour,Marseille,5.5,7,3,5,2,0,4,7,57.1,3,5,5,0,4,11,20,0
5,Aly Abeid,Levante,0.9,2,1,1,1,0,0,1,0.0,1,1,0,1,3,5,3,0
6,Mehdi Abeid,Dijon,13.1,23,15,8,14,1,8,32,25.0,24,11,6,5,18,41,25,2
7,David Abraham,Eint Frankfurt,25.6,40,32,29,10,1,27,36,75.0,9,29,15,14,40,80,141,1
8,Tammy Abraham,Swansea City,19.2,10,8,1,7,2,1,13,7.7,12,8,1,7,1,11,11,0
9,Amir Abrashi,Freiburg,9.4,35,32,15,18,2,16,23,69.6,7,22,5,17,19,54,20,0
10,Francesco Acerbi,Sassuolo,38.0,51,32,26,22,3,22,36,61.1,14,42,21,21,88,139,255,1
11,Afriyie Acquah,Torino,10.6,8,6,2,6,0,1,7,14.3,6,8,1,7,16,24,10,2
12,Charlie Adam,Stoke City,4.6,9,5,2,5,2,5,17,29.4,12,2,0,2,9,18,11,2
13,Antonio Adan,Betis,30.0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,11,2
14,Aday,Girona,20.4,17,15,11,4,2,6,17,35.3,11,19,3,16,25,42,52,1
15,Khaled Adenon,Amiens,32.5,38,24,26,12,0,15,32,46.9,17,42,26,16,65,103,221,1
16,Claud Adjapong,Sassuolo,13.6,35,26,24,5,6,11,13,84.6,2,16,3,13,23,58,37,0
17,Rene Adler,Mainz 05,14.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,1
18,Yacine Adli,Paris S-G,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
19,Ali Adnan Kadhim,Udinese,18.6,54,35,35,14,5,29,50,58.0,21,31,6,25,41,95,90,0
20,Adrian,West Ham,19.0,2,1,2,0,0,1,4,25.0,3,1,0,1,0,2,15,1
21,Aritz Aduriz,Athletic Club,23.9,11,8,2,6,3,1,6,16.7,5,6,0,6,3,14,18,0
22,Ibrahim Afellay,Stoke City,1.8,3,3,0,3,0,1,2,50.0,1,1,0,1,1,4,1,0
23,Benik Afobe,Bournemouth,6.8,4,3,1,2,1,1,6,16.7,5,4,0,4,0,4,6,0
24,Martin Agirregabiria,Alavés,20.3,50,33,31,17,2,32,50,64.0,18,13,7,6,41,91,66,0
26,Imanol Agirretxe,Real Sociedad,2.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
27,Sergio Aguero,Manchester City,21.8,9,6,2,6,1,2,17,11.8,15,12,1,11,6,15,3,0
28,Ruben Aguilar,Montpellier,27.3,91,50,37,41,13,36,71,50.7,35,25,3,22,37,128,90,0
29,Matias Aguirregaray,Las Palmas,12.8,26,20,12,12,2,12,32,37.5,20,13,1,12,24,50,25,0
30,Jean-Eudes Aholou,Strasbourg,33.4,70,34,32,37,1,17,55,30.9,38,29,7,22,75,145,58,1
31,Ailton,Stuttgart,1.2,8,5,3,5,0,4,8,50.0,4,5,0,5,2,10,5,0
32,Youssef Ait Bennasser,Caen,22.7,47,28,17,27,3,15,64,23.4,49,35,2,33,32,79,30,0
33,Arlind Ajeti,Crotone,14.1,42,23,25,14,3,18,30,60.0,12,27,15,12,34,76,82,0
34,Manuel Akanji,Dortmund,10.0,22,15,14,8,0,15,17,88.2,2,11,4,7,7,29,43,2
