,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Ismael Aaneba,Strasbourg,2.3,3,1.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Patrick van Aanholt,Crystal Palace,35.5,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0
2,Ignazio Abate,Milan,14.5,23,1.59,23,0,0,0,0,0,1,0.07,1,0,0,0,0,0
3,Issah Abbas,Mainz 05,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Yunis Abdelhamid,Reims,38.0,25,0.66,17,1,3,4,0,0,2,0.05,2,0,0,0,0,0
5,Mehdi Abeid,Dijon,22.5,41,1.82,30,4,4,1,1,1,2,0.09,2,0,0,0,0,0
6,Charles Abi,Saint-Étienne,0.4,2,5.63,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0
7,David Abraham,Eint Frankfurt,15.8,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0
8,Amir Abrashi,Freiburg,8.8,8,0.91,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
9,Francesco Acerbi,Lazio,36.8,31,0.84,27,0,0,1,3,0,2,0.05,1,0,0,1,0,0
10,Afriyie Acquah,Empoli,16.8,44,2.62,34,0,4,4,2,0,1,0.06,1,0,0,0,0,0
11,Tyler Adams,RB Leipzig,8.0,12,1.50,10,0,1,0,1,0,3,0.37,3,0,0,0,0,0
12,Antonio Adan,Atlético Madrid,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Aday,Girona,7.2,28,3.91,18,6,1,2,1,0,2,0.28,2,0,0,0,0,0
14,Khaled Adenon,Amiens,22.2,11,0.50,8,0,0,1,2,0,0,0.00,0,0,0,0,0,0
15,Claud Adjapong,Sassuolo,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Yacine Adli,Bordeaux,2.4,10,4.17,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0
17,Ali Adnan Kadhim,Atalanta,1.8,8,4.34,4,2,1,1,0,0,0,0.00,0,0,0,0,0,0
18,Aritz Aduriz,Athletic Club,10.5,19,1.81,14,0,0,3,2,0,1,0.10,1,0,0,0,0,0
19,Luis Advincula,Rayo Vallecano,26.5,50,1.88,33,4,5,1,7,0,11,0.41,6,0,2,0,3,0
