,Squad,Comp,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Alaves,La Liga,26,38.0,14061,12027,1976,589,21,121,729,818,145,59,54,2,9631,58,342
1,Amiens,Ligue 1,26,38.0,16189,14079,2045,576,30,88,586,916,137,51,66,1,11932,65,324
2,Angers,Ligue 1,24,38.0,16772,14829,1892,510,37,93,628,823,166,84,72,1,12957,51,325
3,Arsenal,Premier League,28,38.0,22549,20518,1942,543,65,152,605,823,209,59,65,2,18425,89,453
4,Atalanta,Serie A,27,38.0,22141,20066,2004,584,47,212,801,822,242,122,107,2,18142,71,406
5,Athletic Club,La Liga,27,38.0,17584,15587,1923,577,49,185,728,847,153,56,72,3,13195,74,369
6,Atletico Madrid,La Liga,29,38.0,19014,17148,1786,470,77,144,590,730,217,83,96,0,14943,80,354
7,Augsburg,Bundesliga,30,34.0,15066,13300,1681,411,22,146,603,750,142,37,79,10,10999,85,380
8,Barcelona,La Liga,30,38.0,26691,24835,1754,575,148,219,394,676,205,68,33,2,23263,102,354
9,Bayern Munich,Bundesliga,24,34.0,23944,22241,1615,385,47,209,777,712,287,112,125,2,20441,88,396
10,Betis,La Liga,25,38.0,22871,20943,1849,640,50,234,590,658,186,58,57,17,19411,79,361
11,Bologna,Serie A,29,38.0,15954,13825,2046,560,11,110,737,832,207,107,41,3,12019,83,369
12,Bordeaux,Ligue 1,33,38.0,18571,16552,1959,539,47,154,658,834,168,99,52,2,14526,60,382
13,Bournemouth,Premier League,28,38.0,17650,15632,1961,512,57,84,613,832,191,74,58,2,13505,57,435
14,Brighton,Premier League,21,38.0,15824,13912,1822,330,15,188,636,880,156,90,44,4,11491,90,342
15,Burnley,Premier League,23,38.0,14793,12804,1883,395,35,108,692,891,139,98,22,9,10134,106,327
16,Caen,Ligue 1,26,38.0,15516,13480,1986,555,19,209,647,895,126,47,65,1,11472,50,311
17,Cagliari,Serie A,30,38.0,18871,16789,2024,547,31,153,794,826,190,74,96,3,14474,58,369
18,Cardiff City,Premier League,25,38.0,11715,9823,1815,423,39,60,562,799,168,102,35,19,7170,77,313
19,Celta Vigo,La Liga,28,38.0,18808,16862,1856,548,35,191,659,697,163,70,58,3,14955,90,314
20,Chelsea,Premier League,24,38.0,26774,24894,1797,471,146,216,692,762,215,74,86,19,22960,83,434
21,Chievo,Serie A,36,38.0,16525,14562,1885,528,17,169,677,760,131,51,48,3,12531,78,354
22,Crystal Palace,Premier League,26,38.0,16870,14898,1894,435,26,101,577,816,205,89,30,62,12697,78,367
23,Dijon,Ligue 1,26,38.0,17019,15043,1917,487,33,171,606,828,167,70,63,2,13027,59,327
24,Dortmund,Bundesliga,23,34.0,22172,20416,1690,457,63,139,458,752,168,54,77,1,18779,66,390
25,Dusseldorf,Bundesliga,24,34.0,14623,12897,1677,457,26,218,544,649,144,34,91,3,11056,49,301
26,Eibar,La Liga,25,38.0,18501,16274,2135,547,20,287,1057,1042,223,36,152,4,12976,92,463
27,Eint Frankfurt,Bundesliga,30,34.0,14928,13127,1720,454,52,109,678,769,179,65,64,0,10568,81,379
28,Empoli,Serie A,29,38.0,18410,16384,1949,535,38,175,636,772,187,69,76,4,14608,77,385
29,Espanyol,La Liga,25,38.0,17740,15748,1908,579,70,174,544,734,175,45,59,14,13855,84,381
30,Everton,Premier League,23,38.0,18477,16376,2032,495,44,140,814,947,215,79,114,4,13878,69,416
31,Fiorentina,Serie A,27,38.0,17283,15287,1948,564,42,140,780,761,236,53,131,2,13307,48,341
32,Freiburg,Bundesliga,28,34.0,14903,13145,1707,449,19,175,528,679,150,90,38,1,11389,51,322
33,Frosinone,Serie A,33,38.0,15608,13580,1955,584,15,167,815,748,160,65,66,3,11532,73,385
34,Fulham,Premier League,28,38.0,19303,17396,1817,412,33,145,611,769,161,57,62,7,15096,90,339
35,Genoa,Serie A,31,38.0,15427,13430,1932,543,27,100,797,775,186,48,113,0,11171,65,320
36,Getafe,La Liga,26,38.0,13021,10784,2135,621,39,264,638,1001,158,34,64,8,8108,102,408
37,Girona,La Liga,26,38.0,17212,15241,1911,589,39,206,743,767,136,60,59,0,13136,60,314
38,Guingamp,Ligue 1,30,38.0,15728,13649,2025,505,15,140,809,916,194,111,57,4,11355,54,348
39,Hannover 96,Bundesliga,32,34.0,15117,13278,1781,481,12,93,522,743,143,57,81,2,11348,58,357
40,Hertha BSC,Bundesliga,26,34.0,16140,14358,1707,447,25,131,554,714,146,34,98,1,12348,75,325
41,Hoffenheim,Bundesliga,29,34.0,18031,16338,1627,413,32,113,667,695,182,76,84,0,14436,66,378
42,Huddersfield,Premier League,31,38.0,17777,15783,1931,444,22,130,768,930,162,80,55,11,13045,63,418
43,Huesca,La Liga,30,38.0,14891,12867,1930,538,33,161,771,811,168,86,55,5,10586,94,344
44,Inter,Serie A,23,38.0,23425,21373,1988,551,50,228,1092,801,301,126,97,2,19523,64,394
45,Juventus,Serie A,31,38.0,21878,20038,1765,494,52,322,867,672,244,88,86,3,18333,75,351
46,Lazio,Serie A,30,38.0,19752,17919,1736,429,51,167,738,723,226,76,113,2,15807,97,372
47,Leganes,La Liga,29,38.0,15210,13274,1861,458,19,174,744,876,139,40,81,2,10733,75,307
48,Leicester City,Premier League,25,38.0,19068,17065,1931,453,88,186,779,872,210,82,86,14,14640,72,395
49,Levante,La Liga,26,38.0,14765,12715,1965,537,36,183,674,730,201,117,53,4,10824,85,368
50,Leverkusen,Bundesliga,21,34.0,22081,20354,1662,453,30,169,633,728,189,94,78,1,18245,65,429
51,Lille,Ligue 1,25,38.0,18325,16325,1961,579,76,118,575,872,164,57,90,2,14521,39,329
52,Liverpool,Premier League,23,38.0,25571,23583,1911,463,98,185,721,923,249,82,102,5,21146,77,394
53,Lyon,Ligue 1,25,38.0,22585,20651,1840,482,92,136,684,767,227,113,62,4,19007,94,351
54,M'Gladbach,Bundesliga,22,34.0,19093,17411,1612,421,27,174,565,666,189,67,91,2,15736,70,329
55,Mainz 05,Bundesliga,28,34.0,15327,13529,1715,412,42,164,646,770,150,45,92,5,11451,83,341
56,Manchester City,Premier League,21,38.0,28389,26660,1631,344,112,226,783,739,298,85,121,1,24678,98,384
57,Manchester Utd,Premier League,28,38.0,20942,18934,1918,435,63,207,638,859,200,78,70,20,16834,90,373
58,Marseille,Ligue 1,24,38.0,19944,17923,1975,516,69,127,827,897,225,97,92,3,15952,46,334
59,Milan,Serie A,23,38.0,21047,19053,1931,534,32,233,752,769,230,112,46,1,17537,63,345
60,Monaco,Ligue 1,42,38.0,18035,15923,2057,570,50,153,748,916,195,90,73,1,14098,55,371
61,Montpellier,Ligue 1,25,38.0,17733,15701,1974,525,23,208,749,908,171,70,82,1,13573,58,373
62,Nantes,Ligue 1,33,38.0,17765,15636,2052,540,26,151,725,931,182,89,61,1,13321,77,381
63,Napoli,Serie A,26,38.0,24763,22856,1822,484,59,233,774,733,255,95,91,2,21096,85,383
64,Newcastle Utd,Premier League,24,38.0,15231,13359,1813,389,50,217,711,835,181,73,71,11,10774,59,353
65,Nice,Ligue 1,30,38.0,21274,19383,1851,590,30,173,495,692,172,61,83,1,18039,40,312
66,Nimes,Ligue 1,23,38.0,15574,13382,2152,555,33,145,736,1009,202,78,105,7,11364,40,343
67,Nurnberg,Bundesliga,27,34.0,14199,12455,1691,418,20,130,495,686,151,50,84,5,10558,53,303
68,Paris S-G,Ligue 1,30,38.0,25100,23350,1658,469,186,151,588,633,237,112,42,11,21887,92,300
