,Player,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Patrick van Aanholt,24.3,1176,897,276,30,3,2,56,235,11,3,5,2,884,3,31
1,Rolando Aarons,1.5,44,41,2,2,0,1,2,0,0,0,0,0,29,1,3
2,Rolando Aarons,5.7,120,110,10,4,0,0,10,4,0,0,0,0,87,0,5
3,Ignazio Abate,11.7,776,653,119,7,0,2,31,112,0,0,0,0,625,4,21
4,Aymen Abdennour,5.5,333,325,7,7,0,3,0,0,0,0,0,0,310,1,2
5,Aly Abeid,0.9,38,30,8,0,0,0,2,8,0,0,0,0,29,0,2
6,Mehdi Abeid,13.1,605,587,17,12,0,5,6,3,2,1,0,0,513,1,8
7,David Abraham,25.6,1321,1267,50,44,0,27,7,6,0,0,0,0,1088,4,6
8,Tammy Abraham,19.2,314,286,28,0,2,1,13,1,0,0,0,0,206,0,6
9,Amir Abrashi,9.4,321,315,6,5,0,2,5,1,0,0,0,0,248,0,6
10,Francesco Acerbi,38.0,1650,1529,118,89,2,24,12,28,0,0,0,0,1391,3,9
11,Afriyie Acquah,10.6,478,468,8,6,0,1,12,0,0,0,0,0,405,2,9
12,Charlie Adam,4.6,285,252,28,14,3,4,30,4,10,3,4,3,168,5,9
13,Antonio Adan,30.0,1256,911,344,91,0,1,0,0,0,0,0,0,868,1,1
14,Aday,20.4,1047,835,209,16,1,15,134,190,3,0,2,0,738,3,37
15,Khaled Adenon,32.5,1157,1091,64,63,1,5,0,1,0,0,0,0,960,2,9
16,Claud Adjapong,13.6,509,442,65,1,3,2,27,63,1,0,0,0,363,2,17
17,Rene Adler,14.0,442,293,146,29,0,0,0,0,0,0,0,0,283,3,0
18,Yacine Adli,0.1,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0
19,Ali Adnan Kadhim,18.6,883,671,211,17,0,3,88,173,21,6,12,0,585,1,34
20,Adrian,19.0,571,332,235,51,0,1,0,0,0,0,0,0,266,4,0
21,Aritz Aduriz,23.9,518,497,20,1,2,2,20,7,0,0,0,0,337,1,15
22,Ibrahim Afellay,1.8,82,81,1,0,0,0,0,1,0,0,0,0,72,0,0
23,Benik Afobe,6.8,154,142,12,1,0,0,2,0,0,0,0,0,113,0,2
24,Martin Agirregabiria,20.3,884,658,226,10,2,3,50,216,0,0,0,0,634,0,31
26,Imanol Agirretxe,2.6,60,56,3,0,1,0,1,0,0,0,0,0,38,1,2
27,Sergio Aguero,21.8,650,620,27,0,4,0,16,3,1,0,0,0,529,3,20
28,Ruben Aguilar,27.3,1545,1187,349,11,2,10,95,338,0,0,0,0,1186,9,43
29,Matias Aguirregaray,12.8,698,546,148,22,2,4,19,126,0,0,0,0,519,4,16
30,Jean-Eudes Aholou,33.4,1359,1332,22,19,4,18,5,3,0,0,0,0,1162,5,14
31,Ailton,1.2,65,50,15,4,0,2,3,11,0,0,0,0,45,0,4
32,Youssef Ait Bennasser,22.7,1135,1117,16,10,5,24,11,1,2,1,0,0,936,2,20
33,Arlind Ajeti,14.1,362,348,13,13,0,2,0,0,0,0,0,0,282,1,5
34,Manuel Akanji,10.0,618,584,34,14,0,8,1,20,0,0,0,0,527,0,3
35,Nathan Ake,37.3,1609,1551,56,43,0,2,5,13,0,0,0,0,1344,2,11
36,Ager Aketxe,0.4,42,37,5,2,0,0,7,0,3,2,1,0,32,0,1
37,Chadrac Akolo,12.2,317,304,7,0,4,0,14,3,1,0,1,0,237,6,13
38,Kevin Akpoguma,18.8,1021,973,46,38,1,8,6,8,0,0,0,0,876,2,11
39,David Alaba,17.2,1338,1167,168,10,0,4,94,151,7,0,7,0,1126,3,37
40,Lucas Alario,17.2,410,377,31,1,0,1,3,1,0,0,0,0,303,2,14
41,David Alba,0.7,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
42,Jordi Alba,30.5,2418,2101,308,46,2,19,46,261,1,0,0,0,2074,9,55
43,Raul Albentosa,19.4,775,738,34,33,1,12,2,1,0,0,0,0,607,3,8
44,Luis Alberto,29.7,1859,1572,265,67,38,15,213,26,168,68,69,9,1362,22,44
45,Raul Albiol,30.5,2510,2458,48,47,0,63,3,1,0,0,0,0,2241,4,14
