,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
0,Patrick van Aanholt,nl NED,DF,Sunderland,Premier League,24.0,1990.0,33.0,4.0,,9.0,,,0.27,,0.44,,0.0,0.0
1,Rolando Aarons,eng ENG,"DF,MF",Newcastle Utd,Premier League,19.0,1995.0,4.2,1.0,,1.0,,,0.24,,1.0,,0.0,0.0
2,Ignazio Abate,it ITA,DF,Milan,Serie A,28.0,1986.0,25.0,1.0,,2.0,,,0.08,,0.5,,0.0,0.0
3,Christian Abbiati,it ITA,GK,Milan,Serie A,38.0,1977.0,0.8,0.0,,0.0,,,0.0,,,,0.0,0.0
4,Aymen Abdennour,tn TUN,DF,Valencia,La Liga,25.0,1989.0,20.6,0.0,6.0,2.0,33.3,0.29,0.1,0.0,0.0,,0.0,0.0
5,Almen Abdi,ch SUI,MF,Watford,Premier League,28.0,1986.0,21.9,2.0,,10.0,,,0.46,,0.2,,0.0,0.0
6,Rafidine Abdullah,km COM,MF,Lorient,Ligue 1,21.0,1994.0,6.4,1.0,,2.0,,,0.31,,0.5,,0.0,0.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,29.0,1986.0,28.3,0.0,,2.0,,,0.07,,0.0,,0.0,0.0
8,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,17.0,1997.0,0.6,0.0,,0.0,,,0.0,,,,0.0,0.0
9,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,27.0,1988.0,36.0,4.0,,8.0,,,0.22,,0.5,,0.0,0.0
10,Robert Acquafresca,it ITA,FW,Bologna,Serie A,27.0,1987.0,2.3,0.0,,1.0,,,0.43,,0.0,,0.0,0.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,23.0,1992.0,21.0,2.0,,7.0,,,0.33,,0.29,,0.0,0.0
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,29.0,1985.0,11.6,1.0,,4.0,,,0.34,,0.25,,0.0,0.0
