,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Antonio Adán,es ESP,GK,Betis,La Liga,30.0,1987.0,30.0,30.0,2700.0,30.0,53.0,1.77,132.0,82.0,62.1,14.0,4.0,12.0,9.0,30.0,4.0,3.0,1.0,0.0,25.0
1,René Adler,de GER,GK,Mainz 05,Bundesliga,32.0,1985.0,14.0,14.0,1260.0,14.0,18.0,1.29,53.0,35.0,67.9,5.0,3.0,6.0,4.0,28.6,2.0,1.0,0.0,1.0,0.0
2,Adrián,es ESP,GK,West Ham,Premier League,30.0,1987.0,19.0,19.0,1710.0,19.0,29.0,1.53,96.0,68.0,70.8,7.0,6.0,6.0,6.0,31.6,1.0,1.0,0.0,0.0,0.0
3,Alisson,br BRA,GK,Roma,Serie A,24.0,1992.0,37.0,37.0,3330.0,37.0,28.0,0.76,135.0,105.0,81.5,22.0,8.0,7.0,17.0,45.9,5.0,3.0,2.0,0.0,40.0
4,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,30.0,1986.0,17.0,16.0,1475.0,16.4,29.0,1.77,75.0,47.0,62.7,3.0,6.0,7.0,3.0,18.8,1.0,1.0,0.0,0.0,0.0
5,Ibrahim Amadou,fr FRA,"MF,DF",Lille,Ligue 1,24.0,1993.0,1.0,0.0,17.0,26.7,2.0,10.59,3.0,1.0,66.7,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
6,Jon Ander Serantes,es ESP,GK,Leganés,La Liga,27.0,1989.0,1.0,1.0,90.0,1.0,2.0,2.0,8.0,6.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,Nícolas Andrade,br BRA,GK,Hellas Verona,Serie A,29.0,1988.0,36.0,36.0,3240.0,36.0,71.0,1.97,233.0,162.0,72.1,7.0,4.0,25.0,7.0,19.4,8.0,6.0,2.0,0.0,25.0
8,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,33.0,1984.0,9.0,9.0,765.0,8.5,8.0,0.94,33.0,24.0,81.8,3.0,2.0,4.0,2.0,22.2,3.0,2.0,1.0,0.0,33.3
9,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,24.0,1993.0,34.0,34.0,3060.0,34.0,25.0,0.74,102.0,77.0,76.5,26.0,6.0,2.0,17.0,50.0,3.0,1.0,1.0,1.0,50.0
10,Kepa Arrizabalaga,es ESP,GK,Athletic Club,La Liga,22.0,1994.0,30.0,30.0,2700.0,30.0,43.0,1.43,136.0,94.0,69.1,7.0,9.0,14.0,7.0,23.3,3.0,1.0,2.0,0.0,66.7
