,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Patrick van Aanholt,Crystal Palace,27.9,64,2.30,34,23,4,2,1,0,5,0.18,3,1,1,0,0,0
1,Max Aarons,Norwich City,36.0,64,1.78,47,2,6,3,4,2,3,0.08,2,0,0,0,1,0
2,Yunis Abdelhamid,Reims,28.0,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0
3,Suleiman Abdullahi,Union Berlin,1.7,4,2.29,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
4,Mehdi Abeid,Nantes,20.2,53,2.63,30,16,1,3,1,2,4,0.20,2,1,0,1,0,0
5,Charles Abi,Saint-Étienne,6.9,18,2.60,11,0,1,1,4,1,2,0.29,1,0,0,0,1,0
6,David Abraham,Eint Frankfurt,18.8,13,0.69,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0
7,Tammy Abraham,Chelsea,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0
8,Amir Abrashi,Freiburg,7.4,10,1.35,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0
9,Francesco Acerbi,Lazio,35.1,37,1.05,34,0,0,2,1,0,5,0.14,5,0,0,0,0,0
10,Che Adams,Southampton,12.3,29,2.35,18,0,4,3,3,1,6,0.49,3,0,1,0,2,0
11,Tyler Adams,RB Leipzig,10.6,19,1.79,14,1,0,2,2,0,2,0.19,1,0,0,0,1,0
12,Sargis Adamyan,Hoffenheim,8.3,21,2.53,18,0,0,1,2,0,5,0.60,4,0,0,0,1,0
13,Antonio Adan,Atlético Madrid,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Bobby Adekanye,Lazio,2.1,7,3.35,4,0,0,1,2,0,0,0.00,0,0,0,0,0,0
15,Claud Adjapong,Hellas Verona,2.6,1,0.39,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
16,Amine Adli,Toulouse,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Yacine Adli,Bordeaux,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0
18,Adrian,Liverpool,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Aritz Aduriz,Athletic Club,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
20,Lumor Agbenyenu,Mallorca,20.1,34,1.70,24,4,3,1,2,0,0,0.00,0,0,0,0,0,0
21,Martin Agirregabiria,Alavés,23.3,25,1.07,18,2,3,0,2,0,3,0.13,3,0,0,0,0,0
22,Lucien Agoume,Inter,0.8,2,2.65,2,0,0,0,0,0,1,1.32,1,0,0,0,0,0
23,Kevin Agudelo,Fiorentina,0.7,7,9.84,4,0,3,0,0,0,1,1.41,1,0,0,0,0,0
24,Kevin Agudelo,Genoa,7.4,32,4.33,24,0,5,0,1,2,2,0.27,1,0,0,0,0,1
26,Nayef Aguerd,Dijon,10.6,4,0.38,3,1,0,0,0,0,1,0.09,1,0,0,0,0,0
27,Sergio Aguero,Manchester City,16.1,57,3.53,31,0,9,12,5,0,7,0.43,3,0,1,2,1,0
28,Ruben Aguilar,Monaco,11.9,36,3.02,31,2,0,0,2,1,4,0.34,4,0,0,0,0,0
29,Emmanuel Agyemang-Badu,Hellas Verona,2.6,4,1.57,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Jean-Eudes Aholou,Saint-Étienne,7.0,13,1.86,7,0,0,0,2,4,1,0.14,0,0,0,0,0,1
31,Joseph Aidoo,Celta Vigo,27.8,12,0.43,7,2,1,2,0,0,2,0.07,2,0,0,0,0,0
32,Ola Aina,Torino,23.1,55,2.38,31,12,4,1,7,0,6,0.26,3,1,0,0,2,0
