,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
79,31,38.0,768,535,354,325,89,296,685,43.2,389,419,114,305,409,1177,849,17
80,26,38.0,658,454,342,250,66,244,605,40.3,361,455,128,327,462,1120,1034,25
81,29,38.0,586,414,308,217,61,209,539,38.8,330,389,145,244,527,1113,1111,11
82,30,38.0,678,437,370,252,56,228,600,38.0,372,424,142,282,461,1139,1265,20
83,25,38.0,750,490,388,298,64,243,661,36.8,418,360,91,269,515,1265,879,20
84,26,34.0,696,496,332,299,65,328,560,58.6,232,439,107,332,414,1110,814,17
85,26,38.0,610,417,286,241,83,221,550,40.2,329,411,124,287,390,1000,1019,21
86,27,38.0,609,405,295,256,58,182,465,39.1,283,380,112,268,421,1030,960,15
87,25,38.0,618,399,272,259,87,212,537,39.5,325,360,74,286,380,998,878,22
88,25,38.0,699,465,349,275,75,254,662,38.4,408,392,101,291,479,1178,928,18
89,25,38.0,657,410,365,221,71,225,673,33.4,448,383,129,254,437,1094,1094,18
90,27,38.0,618,415,321,240,57,224,565,39.6,341,482,154,328,459,1077,992,13
91,25,38.0,745,492,407,267,71,309,692,44.7,383,416,108,308,459,1204,910,9
92,32,38.0,711,466,356,278,77,277,700,39.6,423,447,131,316,427,1138,1023,7
93,29,38.0,668,432,337,263,68,237,609,38.9,372,359,98,261,467,1135,997,17
94,25,34.0,600,435,288,264,48,294,528,55.7,234,353,77,276,421,1021,738,18
95,24,38.0,603,385,336,204,63,218,625,34.9,407,420,148,272,470,1073,1087,9
96,27,38.0,621,410,327,238,56,235,620,37.9,385,437,154,283,482,1103,1085,17
97,29,34.0,589,430,329,213,47,306,546,56.0,240,420,119,301,403,992,730,12
