,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,36,38.0,15286,13368,1855,562,39,57,631,795,126,42,65,0,11216,63,349
1,29,38.0,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308
2,33,38.0,17463,15689,1727,483,40,92,584,705,164,98,42,0,14103,47,294
3,26,38.0,21969,20293,1620,516,86,97,674,615,223,154,8,3,18281,56,379
4,26,38.0,17396,15544,1794,599,54,101,561,684,162,97,19,4,13782,58,325
5,27,38.0,19507,17537,1912,432,35,154,652,893,194,97,67,0,15462,58,359
6,26,38.0,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386
7,27,38.0,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345
8,34,34.0,12742,10915,1769,428,30,73,548,745,166,78,81,1,8422,58,332
9,33,38.0,15989,14213,1728,491,31,210,617,712,135,56,57,0,12386,48,305
10,29,38.0,24725,22828,1799,565,133,205,744,710,244,82,83,2,21293,98,340
11,28,34.0,22716,21104,1528,378,78,115,603,657,229,92,106,4,19404,84,312
12,30,38.0,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376
13,26,34.0,13549,11775,1708,412,31,72,568,768,141,65,53,1,9209,66,278
14,27,38.0,20552,18623,1852,484,58,179,558,830,145,90,41,0,16763,77,368
15,31,38.0,15381,13607,1736,424,48,87,509,706,144,88,25,9,11715,38,342
16,25,38.0,15551,13766,1713,453,53,107,661,738,163,83,34,12,11317,72,303
17,29,38.0,16452,14545,1848,525,30,162,755,754,178,82,81,2,12486,59,339
18,29,38.0,22888,21109,1709,445,81,130,694,693,233,102,88,2,19210,70,383
19,38,38.0,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297
20,26,38.0,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300
21,32,38.0,22836,20995,1767,503,58,129,693,722,209,108,70,2,19147,74,371
22,28,38.0,17961,16060,1849,642,31,105,564,658,155,73,48,4,14212,52,373
23,33,38.0,15041,13147,1826,482,26,99,659,768,146,51,76,0,10872,68,300
24,26,38.0,17308,15416,1834,525,41,118,591,763,186,84,60,5,13395,58,350
25,30,34.0,19889,18132,1716,475,44,213,677,699,227,73,112,4,16445,41,376
26,28,34.0,17975,16179,1726,437,46,70,616,786,189,99,50,1,13930,70,383
27,32,38.0,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390
28,32,38.0,16862,14830,1978,538,24,105,611,828,163,70,61,0,13199,54,375
29,33,38.0,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298
30,28,38.0,15783,13984,1735,434,39,93,704,707,174,138,28,0,11790,64,311
31,30,38.0,19236,17189,1991,600,30,203,880,831,234,88,99,0,15373,56,336
32,27,34.0,15533,13934,1542,454,24,116,547,603,141,82,44,0,11653,57,307
33,29,38.0,18014,16136,1818,471,20,157,769,795,182,70,69,2,13974,60,393
34,25,38.0,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333
35,29,38.0,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319
36,36,38.0,13807,12006,1727,437,23,81,652,721,170,81,63,1,9481,74,334
37,32,34.0,12800,11022,1720,468,28,100,516,756,147,45,79,0,8876,58,292
38,31,34.0,15564,13750,1736,418,17,119,577,784,161,45,74,4,11754,78,323
39,25,38.0,21281,19504,1709,443,50,185,885,682,214,66,121,0,17693,68,275
40,29,38.0,18690,16884,1744,449,38,195,731,706,207,64,125,1,15226,62,318
41,27,34.0,16367,14542,1757,409,20,62,790,811,205,87,81,0,12242,68,409
42,24,38.0,21629,19809,1766,540,55,135,483,680,169,71,76,0,18135,54,330
43,29,38.0,14358,12384,1906,504,23,175,709,858,172,56,61,0,10083,68,315
44,29,38.0,16924,14953,1911,484,41,87,653,837,199,93,68,4,12437,60,414
45,28,38.0,18871,17049,1739,464,76,93,496,724,135,70,41,6,14887,83,393
46,29,38.0,21203,19476,1665,556,53,111,791,623,204,80,87,1,17809,62,311
47,27,34.0,18206,16529,1626,468,59,72,461,678,139,66,49,0,14683,51,298
48,26,38.0,22826,20992,1770,555,56,124,624,718,217,81,76,1,19266,64,398
49,28,38.0,24361,22466,1811,416,103,198,799,860,235,56,155,1,20043,84,383
50,30,38.0,18087,16255,1783,540,48,55,434,658,145,60,52,2,14837,49,334
51,29,38.0,22698,20857,1784,521,65,101,649,758,184,71,68,0,18956,57,395
52,27,34.0,18854,17035,1747,532,64,60,441,684,151,60,73,1,15516,72,384
53,27,34.0,14492,12764,1654,365,25,97,610,795,155,96,49,0,10075,74,356
54,31,38.0,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306
55,24,38.0,26642,25047,1544,440,94,177,742,614,238,72,87,11,23263,51,350
56,26,38.0,20525,18827,1619,325,105,165,517,715,196,71,47,4,16603,79,420
57,30,38.0,20689,18914,1707,448,72,149,751,723,209,107,50,0,16817,68,359
58,30,38.0,19734,17874,1799,472,52,126,671,813,187,51,108,0,15948,61,322
59,27,38.0,18378,16574,1720,457,46,137,661,730,166,80,72,1,14414,84,356
60,31,38.0,16221,14249,1901,555,38,123,673,749,195,85,87,2,12420,71,319
61,31,38.0,20724,18818,1837,570,33,168,596,711,154,22,111,0,17198,69,327
62,29,38.0,17169,15386,1729,462,17,121,820,725,196,77,89,0,13283,54,313
63,27,38.0,24473,22587,1826,515,36,200,681,785,228,84,74,1,21086,60,337
64,27,38.0,17837,16020,1746,447,88,142,740,728,270,106,90,15,13925,71,370
65,34,38.0,20784,19059,1674,442,53,93,690,656,193,88,60,0,17325,51,368
66,33,38.0,13606,11801,1738,446,31,66,530,720,128,65,53,1,9543,67,313
67,26,38.0,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345
68,26,38.0,26476,24872,1527,458,149,109,399,537,204,74,61,0,23694,77,368
69,28,38.0,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365
70,25,34.0,20529,18813,1636,437,99,120,489,748,167,50,74,2,16911,80,400
71,26,38.0,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353
72,30,38.0,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324
73,34,38.0,17565,15706,1774,475,72,140,707,777,178,56,79,0,13670,85,354
74,32,38.0,21193,19509,1630,464,51,104,564,683,174,63,78,0,17618,54,354
75,30,38.0,17814,15874,1884,528,59,176,595,833,188,84,93,0,14171,56,292
76,30,38.0,16508,14589,1852,530,25,140,559,720,143,23,66,0,12667,67,324
77,40,38.0,16575,14576,1944,598,34,107,599,760,130,36,77,0,12606,55,380
78,31,38.0,18306,16248,2015,566,34,195,625,798,177,81,50,0,14805,43,351
79,35,34.0,13360,11517,1773,445,29,62,764,786,169,79,77,4,9234,70,351
80,35,38.0,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307
