,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
461,Sergio Camello,Rayo Vallecano,26.7,6,76,19,25.0,2.85,0.71,0.08,0.32,16.0,0,0,0,7.3,7.3,0.10,-1.3,-1.3
462,Chem Campbell,Wolves,0.8,0,2,0,0.0,2.43,0.00,0.00,0.0,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
463,Emre Can,Dortmund,21.1,2,15,2,13.3,0.71,0.09,0.07,0.50,22.3,0,1,1,1.6,0.8,0.06,+0.4,+0.2
464,Sergio Canales,Betis,26.7,4,38,10,26.3,1.42,0.37,0.08,0.30,22.8,6,1,1,4.4,3.6,0.09,-0.4,-0.6
465,Matteo Cancellieri,Lazio,2.8,0,6,1,16.7,2.11,0.35,0.00,0.00,17.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
466,Joao Cancelo,Manchester City,14.2,2,17,3,17.6,1.20,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2
468,Joao Cancelo,Bayern Munich,11.2,1,12,4,33.3,1.07,0.36,0.08,0.25,18.5,0,0,0,0.7,0.7,0.06,+0.3,+0.3
469,Antonio Candreva,Salernitana,30.3,7,46,20,43.5,1.52,0.66,0.15,0.35,22.2,3,0,0,3.7,3.7,0.08,+3.3,+3.3
470,Thomas Cannon,Everton,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
471,Sergi Canos,Brentford,0.9,0,1,0,0.0,1.17,0.00,0.00,0.0,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
472,Ander Capa,Athletic Club,1.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
473,Pierrick Capelle,Angers,15.9,0,16,7,43.8,1.01,0.44,0.00,0.00,17.6,0,0,0,1.5,1.5,0.10,-1.5,-1.5
474,Etienne Capoue,Villarreal,21.7,3,26,12,46.2,1.20,0.55,0.12,0.25,20.9,1,0,0,2.6,2.6,0.11,+0.4,+0.4
475,Gianluca Caprari,Monza,27.1,5,50,13,26.0,1.84,0.48,0.08,0.31,20.0,1,1,1,5.0,4.2,0.08,0.0,-0.2
476,Francesco Caputo,Sampdoria,12.2,1,19,5,26.3,1.56,0.41,0.05,0.20,14.8,0,0,0,1.9,1.9,0.10,-0.9,-0.9
477,Francesco Caputo,Empoli,19.0,5,40,15,37.5,2.11,0.79,0.08,0.20,12.7,0,2,2,7.5,5.9,0.16,-2.5,-2.9
478,Maxence Caqueret,Lyon,30.7,4,26,13,50.0,0.85,0.42,0.15,0.31,19.1,3,0,0,2.6,2.6,0.10,+1.4,+1.4
479,Andrea Carboni,Monza,1.9,0,1,1,100.0,0.54,0.54,0.00,0.00,10.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
