,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
0,Zakariya Abarouai,fr FRA,FW,Evian,Ligue 1,19.0,1994.0,1.0,26.0,26.0,,0.3,0.0,,,1.0,,,,,,,,
1,Ignazio Abate,it ITA,"DF,MF",Milan,Serie A,26.0,1986.0,19.0,1464.0,77.0,,16.3,16.0,,15.0,3.0,,,,,,,,
2,Christian Abbiati,it ITA,GK,Milan,Serie A,36.0,1977.0,28.0,2390.0,85.0,,26.6,28.0,,26.0,0.0,,,,,,,,
3,Kassim Abdallah,km COM,DF,Marseille,Ligue 1,26.0,1987.0,10.0,814.0,81.0,,9.0,9.0,,8.0,1.0,,,,,,,,
4,Kassim Abdallah,km COM,DF,Evian,Ligue 1,26.0,1987.0,11.0,892.0,81.0,,9.9,10.0,,9.0,1.0,,,,,,,,
5,Mohammed Abdellaoue,no NOR,FW,Stuttgart,Bundesliga,27.0,1985.0,12.0,655.0,55.0,,7.3,7.0,,4.0,5.0,,,,,,,,
6,Aymen Abdennour,tn TUN,DF,Toulouse,Ligue 1,23.0,1989.0,15.0,1323.0,88.0,,14.7,15.0,,14.0,0.0,,,,,,,,
7,Aymen Abdennour,tn TUN,DF,Monaco,Ligue 1,23.0,1989.0,6.0,540.0,90.0,,6.0,6.0,,6.0,0.0,,,,,,,,
8,Rafidine Abdullah,km COM,MF,Lorient,Ligue 1,19.0,1994.0,10.0,221.0,22.0,,2.5,1.0,,0.0,9.0,,,,,,,,
9,Damià Abella,es ESP,"DF,MF",Osasuna,La Liga,31.0,1982.0,34.0,2821.0,83.0,,31.3,32.0,,28.0,2.0,,,,,,,,
10,Laurent Abergel,fr FRA,"DF,MF",Marseille,Ligue 1,20.0,1993.0,1.0,3.0,3.0,,0.0,0.0,,,1.0,,,,,,,,
11,Éric Abidal,fr FRA,DF,Monaco,Ligue 1,33.0,1979.0,26.0,2310.0,89.0,,25.7,26.0,,25.0,0.0,,,,,,,,
12,Vincent Aboubakar,cm CMR,FW,Lorient,Ligue 1,21.0,1992.0,35.0,2925.0,84.0,,32.5,33.0,,28.0,2.0,,,,,,,,
13,David Abraham,ar ARG,DF,Hoffenheim,Bundesliga,27.0,1986.0,20.0,1722.0,86.0,,19.1,20.0,,18.0,0.0,,,,,,,,
14,Fabrice Abriel,fr FRA,MF,Nice,Ligue 1,34.0,1979.0,25.0,1548.0,62.0,,17.2,18.0,,12.0,7.0,,,,,,,,
15,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,25.0,1988.0,13.0,1084.0,83.0,,12.0,11.0,,11.0,2.0,,,,,,,,
16,Romain Achilli,fr FRA,"DF,MF",Bastia,Ligue 1,20.0,1993.0,2.0,135.0,68.0,,1.5,2.0,,1.0,0.0,,,,,,,,
17,Maxwell Acosty,gh GHA,"FW,MF",Chievo,Serie A,21.0,1991.0,7.0,118.0,17.0,,1.3,0.0,,,7.0,,,,,,,,
18,Robert Acquafresca,it ITA,FW,Bologna,Serie A,25.0,1987.0,19.0,752.0,40.0,,8.4,6.0,,4.0,13.0,,,,,,,,
19,Afriyie Acquah,gh GHA,MF,Parma,Serie A,21.0,1992.0,27.0,1787.0,66.0,,19.9,19.0,,12.0,8.0,,,,,,,,
20,Javier Acuña,py PAR,FW,Osasuna,La Liga,25.0,1988.0,16.0,549.0,34.0,,6.1,3.0,,2.0,13.0,,,,,,,,
21,Charlie Adam,sct SCO,MF,Stoke City,Premier League,27.0,1985.0,31.0,1756.0,57.0,,19.5,20.0,,9.0,11.0,,,,,,,,
22,Antonio Adán,es ESP,GK,Cagliari,Serie A,26.0,1987.0,2.0,180.0,90.0,,2.0,2.0,,2.0,0.0,,,,,,,,
23,Antonio Adán,es ESP,GK,Betis,La Liga,26.0,1987.0,17.0,1522.0,90.0,,16.9,17.0,,16.0,0.0,,,,,,,,
24,Emmanuel Adebayor,tg TOG,FW,Tottenham,Premier League,29.0,1984.0,21.0,1805.0,86.0,,20.1,20.0,,16.0,1.0,,,,,,,,
26,Orhan Ademi,ch SUI,FW,Braunschweig,Bundesliga,21.0,1991.0,25.0,895.0,36.0,,9.9,8.0,,3.0,17.0,,,,,,,,
27,René Adler,de GER,GK,Hamburger SV,Bundesliga,28.0,1985.0,30.0,2700.0,90.0,,30.0,30.0,,30.0,0.0,,,,,,,,
28,Issam El Adoua,ma MAR,DF,Levante,La Liga,26.0,1986.0,18.0,1017.0,57.0,,11.3,9.0,,8.0,9.0,,,,,,,,
29,Adrián,es ESP,GK,West Ham,Premier League,26.0,1987.0,20.0,1800.0,90.0,,20.0,20.0,,20.0,0.0,,,,,,,,
30,Adriano,br BRA,"DF,MF",Barcelona,La Liga,28.0,1984.0,26.0,2071.0,80.0,,23.0,24.0,,21.0,2.0,,,,,,,,
31,Adryan,br BRA,"FW,MF",Cagliari,Serie A,18.0,1994.0,5.0,153.0,31.0,,1.7,2.0,,0.0,3.0,,,,,,,,
