,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,21.0,1999.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,0.0,18.0,5.0,27.8,0.91,0.25,0.0,0.0,21.1,3.0,0.0,0.0,1.4,1.4,0.08,-1.4,-1.4
2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,Bundesliga,21.0,1998.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,3.0,15.0,5.0,33.3,0.47,0.16,0.2,0.6,10.5,0.0,0.0,0.0,1.9,1.9,0.13,1.1,1.1
4,Sabit Abdulai,gh GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,0.0,20.0,0.0,0.0,1.36,0.0,0.0,,23.9,1.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0
6,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,3.0,29.0,10.0,34.5,0.88,0.3,0.1,0.3,26.8,0.0,0.0,0.0,1.5,1.5,0.05,1.5,1.5
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,20.0,2000.0,10.1,3.0,19.0,4.0,21.1,1.87,0.39,0.16,0.75,12.5,0.0,0.0,0.0,2.1,2.1,0.11,0.9,0.9
8,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,0.0,13.0,3.0,23.1,0.93,0.21,0.0,0.0,13.0,0.0,0.0,0.0,1.4,1.4,0.11,-1.4,-1.4
10,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,13.6,1.0,10.0,2.0,20.0,0.74,0.15,0.1,0.5,15.9,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4
11,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,22.0,1997.0,11.6,6.0,32.0,13.0,40.6,2.77,1.13,0.19,0.46,10.7,0.0,0.0,0.0,5.9,5.9,0.18,0.1,0.1
12,Amir Abrashi,al ALB,"MF,DF",Freiburg,Bundesliga,30.0,1990.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
13,Gennaro Acampora,it ITA,"MF,FW",Spezia,Serie A,26.0,1994.0,4.9,0.0,9.0,0.0,0.0,1.84,0.0,0.0,,25.8,1.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
14,Francesco Acerbi,it ITA,DF,Lazio,Serie A,32.0,1988.0,31.3,0.0,9.0,0.0,0.0,0.29,0.0,0.0,,13.1,0.0,0.0,0.0,1.1,1.1,0.12,-1.1,-1.1
15,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,Bundesliga,22.0,1998.0,1.1,1.0,2.0,1.0,50.0,1.8,0.9,0.5,1.0,13.7,0.0,0.0,0.0,0.1,0.1,0.07,0.9,0.9
16,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,28.0,1991.0,25.9,1.0,18.0,2.0,11.1,0.7,0.08,0.06,0.5,20.5,0.0,0.0,0.0,1.0,1.0,0.05,0.0,0.0
17,Che Adams,sct SCO,FW,Southampton,Premier League,24.0,1996.0,29.6,9.0,55.0,31.0,56.4,1.86,1.05,0.16,0.29,13.8,0.0,0.0,0.0,9.8,9.8,0.18,-0.8,-0.8
18,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,21.0,1999.0,20.6,1.0,7.0,4.0,57.1,0.34,0.19,0.14,0.25,17.6,0.0,0.0,0.0,1.3,1.3,0.19,-0.3,-0.3
19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,27.0,1993.0,5.3,2.0,23.0,7.0,30.4,4.32,1.32,0.09,0.29,15.3,0.0,0.0,0.0,2.1,2.1,0.1,-0.1,-0.1
20,Tosin Adarabioyo,eng ENG,DF,Fulham,Premier League,22.0,1997.0,32.8,0.0,18.0,5.0,27.8,0.55,0.15,0.0,0.0,10.5,0.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1
21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,La Liga,21.0,1999.0,0.4,0.0,1.0,0.0,0.0,2.5,0.0,0.0,,17.1,0.0,0.0,0.0,0.3,0.3,0.34,-0.3,-0.3
22,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,20.0,2000.0,26.9,2.0,24.0,9.0,37.5,0.89,0.33,0.08,0.22,20.0,1.0,0.0,0.0,1.9,1.9,0.08,0.1,0.1
23,Andrea Adorante,it ITA,FW,Parma,Serie A,20.0,2000.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
24,Adrián,es ESP,GK,Liverpool,Premier League,33.0,1987.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,La Liga,24.0,1996.0,17.3,0.0,2.0,0.0,0.0,0.12,0.0,0.0,,15.7,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
27,Lucien Agoume,fr FRA,MF,Spezia,Serie A,18.0,2002.0,8.9,0.0,2.0,0.0,0.0,0.23,0.0,0.0,,19.9,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
