,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,30,38.0,96,8,5,513,487,73,645,427,292,5,3,0,1737,831,602,58.0
1,31,38.0,65,2,1,461,483,39,662,443,376,6,8,1,2074,477,562,45.9
2,26,34.0,52,1,0,390,417,49,471,418,328,2,6,1,1725,740,711,51.0
3,29,38.0,49,5,1,346,400,61,751,351,252,5,3,4,1838,504,594,45.9
4,24,38.0,71,4,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3
5,30,38.0,67,3,1,580,473,56,657,516,343,5,8,1,2472,633,506,55.6
6,27,38.0,82,3,1,483,477,77,812,344,269,5,6,1,1836,656,601,52.2
7,25,38.0,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4
8,25,34.0,70,4,3,395,403,67,500,454,308,3,9,3,1802,559,688,44.8
9,25,38.0,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5
10,29,34.0,44,3,0,317,374,74,828,399,316,7,3,0,2050,430,409,51.3
11,29,38.0,95,5,2,496,593,61,645,383,288,7,5,6,1749,496,615,44.6
12,25,38.0,93,8,4,521,483,65,586,453,315,9,10,3,1938,613,628,49.4
13,37,38.0,82,4,2,536,476,73,669,424,313,3,9,2,2016,564,594,48.7
14,28,38.0,78,4,2,465,480,49,609,503,329,3,8,1,1964,570,501,53.2
15,26,38.0,62,4,1,491,434,59,720,463,355,4,11,2,1928,693,560,55.3
16,27,38.0,49,6,2,428,357,52,686,425,334,7,7,2,2040,531,574,48.1
17,25,38.0,48,0,0,384,389,80,772,416,293,3,3,1,2000,874,854,50.6
18,34,38.0,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7
19,32,38.0,77,3,2,516,469,57,721,388,336,4,5,0,1854,637,602,51.4
20,30,38.0,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7
21,27,38.0,51,3,1,433,364,79,749,382,341,10,4,1,1999,569,515,52.5
22,31,38.0,89,4,2,531,490,57,544,380,311,7,5,2,1936,472,534,46.9
23,24,38.0,56,2,1,409,436,67,533,396,366,2,4,0,1923,685,658,51.0
24,33,38.0,76,5,1,515,421,54,569,471,367,4,10,2,2041,530,628,45.8
25,26,34.0,44,1,1,359,373,69,532,411,319,6,6,1,2023,432,350,55.2
26,30,38.0,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8
27,25,34.0,82,1,1,459,366,69,776,428,352,6,6,2,2094,604,552,52.2
28,30,38.0,99,3,2,527,456,51,672,386,336,1,10,1,1811,488,539,47.5
29,29,38.0,59,2,0,386,392,65,662,392,381,4,4,1,2030,665,486,57.8
30,30,38.0,86,5,0,523,523,61,740,388,263,4,11,2,1817,538,544,49.7
