,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,33,38.0,550,322,271,221,58,262,637,41.1,375,373,106,267,375,925,890,7
1,30,38.0,619,370,301,253,65,284,659,43.1,375,384,99,285,423,1042,631,9
2,26,34.0,549,311,270,235,44,238,543,43.8,305,395,110,285,421,970,770,7
3,27,38.0,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20
4,31,38.0,634,382,300,259,75,300,649,46.2,349,453,140,313,339,973,693,13
5,32,38.0,630,341,252,271,107,299,635,47.1,336,436,96,340,441,1071,483,6
6,26,38.0,508,292,217,216,75,224,582,38.5,358,411,128,283,339,847,788,8
7,26,38.0,636,346,290,279,67,293,619,47.3,326,372,98,274,365,1001,649,14
8,26,34.0,561,335,254,236,71,250,584,42.8,334,397,116,281,363,924,769,12
9,38,38.0,587,331,236,270,81,244,493,49.5,249,346,85,261,325,912,467,17
10,30,34.0,563,338,231,237,95,259,559,46.3,300,338,68,270,349,912,404,18
11,31,38.0,662,392,322,261,79,324,695,46.6,371,386,112,274,361,1023,777,11
12,28,34.0,566,353,298,199,69,277,574,48.3,297,420,119,301,429,995,616,13
13,36,38.0,530,298,261,202,67,216,528,40.9,312,384,127,257,370,900,678,5
14,39,38.0,642,377,321,243,78,323,741,43.6,418,357,104,253,454,1096,688,19
15,29,38.0,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7
16,25,38.0,682,400,342,249,91,310,655,47.3,345,369,108,261,469,1151,707,4
17,26,38.0,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12
18,23,38.0,590,324,273,235,82,250,534,46.8,284,509,211,298,410,1000,887,18
19,33,38.0,647,380,346,238,63,301,711,42.3,410,390,106,284,413,1060,768,5
20,33,38.0,557,303,263,229,65,230,544,42.3,314,406,128,278,397,954,747,5
21,25,38.0,696,409,324,279,93,286,762,37.5,476,423,91,332,376,1072,634,11
22,26,38.0,621,348,267,269,85,257,567,45.3,310,408,96,312,347,968,641,15
23,28,38.0,622,361,285,262,75,291,665,43.8,374,372,99,273,386,1008,527,9
24,24,38.0,637,374,323,236,78,273,575,47.5,302,452,135,317,333,970,761,5
25,33,34.0,541,322,232,236,73,255,550,46.4,295,351,82,269,347,888,519,11
26,27,34.0,595,330,260,252,83,283,673,42.1,390,435,95,340,377,972,592,12
27,28,38.0,589,325,335,191,63,268,622,43.1,354,367,126,241,305,894,769,14
28,28,38.0,568,327,268,208,92,273,606,45.0,333,451,177,274,352,920,772,10
29,34,38.0,557,338,308,196,53,275,646,42.6,371,360,114,246,326,883,892,20
30,33,38.0,705,402,369,252,84,336,735,45.7,399,496,140,356,365,1070,815,15
31,28,38.0,508,301,232,203,73,268,540,49.6,272,357,91,266,244,752,407,15
32,26,34.0,518,299,246,207,65,215,477,45.1,262,352,130,222,355,873,751,13
