,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
33,40,38.0,739,416,324,302,113,349,727,48.0,378,487,134,353,449,1188,751,15
34,31,38.0,587,360,266,243,78,248,594,41.8,346,400,96,304,401,988,719,8
35,32,38.0,611,343,310,240,61,274,632,43.4,358,437,130,307,326,937,841,8
36,29,34.0,568,336,258,252,58,270,567,47.6,297,416,124,292,374,942,712,8
37,31,38.0,534,308,248,214,72,238,557,42.7,319,414,107,307,392,926,779,9
38,36,34.0,546,321,294,197,55,252,544,46.3,292,377,105,272,406,952,816,15
39,32,34.0,483,291,191,216,76,223,484,46.1,261,390,88,302,285,768,520,17
40,27,38.0,588,332,265,240,83,247,545,45.3,298,360,110,250,332,920,485,11
41,32,38.0,555,316,260,217,78,236,529,44.6,293,392,134,258,332,887,677,9
42,26,34.0,598,361,264,246,88,288,665,43.3,377,442,99,343,426,1024,628,10
43,27,38.0,578,339,246,255,77,238,621,38.3,383,416,144,272,315,893,565,10
44,29,38.0,787,437,396,298,93,408,886,46.0,478,473,143,330,395,1182,621,15
45,28,38.0,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15
46,28,38.0,591,359,273,243,75,266,602,44.2,336,360,99,261,455,1046,616,7
47,31,38.0,558,305,268,212,78,237,611,38.8,374,326,110,216,377,935,735,12
48,29,34.0,484,281,235,199,50,225,493,45.6,268,350,101,249,360,844,620,12
49,26,38.0,653,359,310,274,69,305,619,49.3,314,351,111,240,377,1030,672,6
50,27,38.0,554,320,207,240,107,233,576,40.5,343,359,74,285,340,894,523,8
51,29,38.0,696,412,337,292,67,383,811,47.2,428,405,115,290,412,1108,776,9
52,30,38.0,632,367,264,270,98,279,614,45.4,335,385,91,294,396,1028,621,17
53,26,34.0,572,345,260,252,60,285,615,46.3,330,402,91,311,326,898,553,13
54,28,34.0,579,305,291,220,68,282,595,47.4,313,404,94,310,439,1018,584,9
55,33,38.0,607,332,301,235,71,248,551,45.0,303,374,119,255,344,951,826,9
56,26,38.0,498,284,183,214,101,227,509,44.6,282,267,55,212,279,777,403,7
57,29,38.0,585,358,320,197,68,265,608,43.6,343,404,133,271,340,925,704,20
58,27,38.0,556,319,252,238,66,232,501,46.3,269,263,65,198,327,883,437,10
59,36,38.0,711,442,395,275,41,300,649,46.2,349,452,139,313,507,1218,782,11
60,28,38.0,697,421,304,288,105,281,583,48.2,302,371,110,261,355,1052,477,12
61,27,38.0,745,435,292,368,85,324,701,46.2,377,378,103,275,424,1169,487,10
62,26,38.0,625,380,340,210,75,309,723,42.7,414,363,134,229,356,981,675,13
63,26,38.0,685,405,331,262,92,353,774,45.6,421,419,136,283,415,1100,680,9
64,27,38.0,550,327,246,227,77,268,617,43.4,349,371,108,263,296,846,510,8
65,29,38.0,659,383,334,266,59,304,641,47.4,337,420,162,258,360,1019,776,14
66,27,38.0,610,369,291,253,66,314,590,53.2,276,392,119,273,441,1051,595,7
67,28,38.0,614,368,322,242,50,297,714,41.6,417,450,180,270,381,995,860,14
68,29,38.0,577,331,270,236,71,251,598,42.0,347,340,115,225,368,945,758,5
69,36,38.0,607,360,229,276,102,290,599,48.4,309,330,106,224,303,910,437,14
70,28,38.0,621,359,320,237,64,280,688,40.7,408,410,95,315,365,986,686,9
71,29,34.0,499,289,218,222,59,219,512,42.8,293,399,81,318,349,848,523,12
72,31,38.0,560,345,281,195,84,211,502,42.0,291,379,114,265,334,894,526,17
73,32,38.0,586,339,271,234,81,260,546,47.6,286,382,105,277,348,934,703,6
74,35,38.0,615,365,328,221,66,286,629,45.5,343,460,154,306,493,1108,753,7
75,28,38.0,546,318,234,215,97,261,550,47.5,289,347,92,255,315,861,646,12
76,29,38.0,613,362,282,253,78,283,622,45.5,339,383,82,301,385,998,552,9
77,39,38.0,695,397,341,265,89,295,638,46.2,343,398,93,305,452,1147,563,10
78,42,38.0,541,321,274,208,59,277,579,47.8,302,394,146,248,353,894,777,3
79,34,38.0,562,327,277,217,68,288,629,45.8,341,383,134,249,443,1005,723,11
80,29,38.0,482,271,252,163,67,236,574,41.1,338,422,127,295,314,796,664,19
81,33,38.0,534,302,252,211,71,236,542,43.5,306,367,124,243,270,804,603,18
82,25,38.0,602,340,285,243,74,248,581,42.7,333,430,132,298,446,1048,795,13
83,30,38.0,580,343,301,205,74,266,585,45.5,319,465,176,289,372,952,736,8
84,26,38.0,660,392,302,257,101,293,626,46.8,333,380,93,287,433,1093,563,6
85,34,34.0,532,307,231,236,65,241,530,45.5,289,386,124,262,345,877,708,8
86,31,38.0,531,314,223,234,74,228,440,51.8,212,375,108,267,423,954,651,4
87,25,38.0,598,349,286,244,68,262,584,44.9,322,470,161,309,355,953,793,15
88,35,38.0,636,351,351,221,64,285,625,45.6,340,375,107,268,430,1066,656,8
89,29,38.0,622,350,282,271,69,284,643,44.2,359,432,122,310,351,973,671,12
90,28,34.0,538,296,266,223,49,268,568,47.2,300,322,90,232,376,914,657,7
91,34,38.0,591,363,289,217,85,266,623,42.7,357,373,93,280,338,929,746,8
92,39,38.0,613,352,325,217,71,273,626,43.6,353,495,202,293,388,1001,865,13
93,29,38.0,538,312,250,197,91,229,476,48.1,247,330,109,221,329,867,644,16
94,30,38.0,614,356,341,213,60,278,626,44.4,348,440,148,292,444,1058,899,19
95,25,38.0,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,781,5
96,30,34.0,539,298,278,201,60,257,540,47.6,283,388,103,285,388,927,740,9
97,26,38.0,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20
