,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Patrick van Aanholt,Crystal Palace,24.3,46,1.90,24,12,6,2,1,1,4,0.16,2,0,2,0,0,0
1,Rolando Aarons,Newcastle Utd,1.5,1,0.65,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2,Rolando Aarons,Hellas Verona,5.7,5,0.87,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Ignazio Abate,Milan,11.7,27,2.30,24,1,0,2,0,0,4,0.34,3,0,0,1,0,0
4,Aymen Abdennour,Marseille,5.5,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Aly Abeid,Levante,0.9,2,2.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Mehdi Abeid,Dijon,13.1,19,1.46,13,1,1,3,0,1,1,0.08,1,0,0,0,0,0
7,David Abraham,Eint Frankfurt,25.6,20,0.78,17,2,0,1,0,0,2,0.08,2,0,0,0,0,0
8,Tammy Abraham,Swansea City,19.2,42,2.19,19,0,11,5,5,2,2,0.10,1,0,0,1,0,0
9,Amir Abrashi,Freiburg,9.4,14,1.48,10,0,0,1,3,0,2,0.21,2,0,0,0,0,0
10,Francesco Acerbi,Sassuolo,38.0,30,0.79,28,0,0,1,1,0,0,0.00,0,0,0,0,0,0
11,Afriyie Acquah,Torino,10.6,17,1.63,13,0,1,1,2,0,0,0.00,0,0,0,0,0,0
12,Charlie Adam,Stoke City,4.6,17,3.72,7,2,3,1,4,0,1,0.22,1,0,0,0,0,0
13,Antonio Adan,Betis,30.0,5,0.17,4,1,0,0,0,0,2,0.07,1,1,0,0,0,0
14,Aday,Girona,20.4,56,2.75,41,7,0,5,3,0,3,0.15,3,0,0,0,0,0
15,Khaled Adenon,Amiens,32.5,15,0.46,9,4,0,1,1,0,1,0.03,0,0,0,1,0,0
16,Claud Adjapong,Sassuolo,13.6,25,1.84,17,0,1,2,3,2,2,0.15,1,0,0,0,1,0
17,Rene Adler,Mainz 05,14.0,5,0.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Yacine Adli,Paris S-G,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Ali Adnan Kadhim,Udinese,18.6,38,2.05,31,5,1,0,1,0,4,0.22,3,0,0,0,1,0
20,Adrian,West Ham,19.0,2,0.11,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0
