,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,21.0,1999.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,2.0,0.0,0.0,11.0,3.0,3.0,40.0,30.0,22.0,0.0,0.0,0.0,136.0,11.0,13.0,45.8
2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,Bundesliga,21.0,1998.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
3,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,4.0,1.0,0.0,37.0,22.0,0.0,0.0,61.0,37.0,0.0,1.0,0.0,200.0,92.0,53.0,63.4
4,Sabit Abdulai,gh GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0
5,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,5.0,0.0,0.0,31.0,22.0,1.0,40.0,20.0,19.0,0.0,0.0,0.0,108.0,13.0,18.0,41.9
6,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,5.0,0.0,0.0,44.0,37.0,0.0,26.0,46.0,84.0,1.0,0.0,0.0,231.0,9.0,17.0,34.6
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,20.0,2000.0,10.1,1.0,0.0,0.0,18.0,7.0,7.0,3.0,4.0,2.0,0.0,0.0,0.0,26.0,37.0,59.0,38.5
8,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,1.0,0.0,0.0,10.0,9.0,1.0,1.0,27.0,13.0,0.0,0.0,0.0,97.0,55.0,15.0,78.6
