,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,19.0,1999.0,2.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,27.0,1990.0,35.5,3.0,45.0,11.0,24.4,1.27,0.31,0.07,0.27,20.7,0.0,0.0,0.0,2.6,2.6,0.06,0.4,0.4
2,Ignazio Abate,it ITA,DF,Milan,Serie A,31.0,1986.0,14.5,0.0,1.0,1.0,100.0,0.07,0.07,0.0,0.0,12.5,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1
3,Issah Abbas,gh GHA,FW,Mainz 05,Bundesliga,19.0,1998.0,0.1,0.0,1.0,0.0,0.0,10.0,0.0,0.0,,24.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,30.0,1987.0,38.0,0.0,19.0,4.0,21.1,0.5,0.11,0.0,0.0,15.4,0.0,0.0,0.0,1.6,1.6,0.09,-1.6,-1.6
5,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,25.0,1992.0,22.5,3.0,36.0,10.0,27.8,1.6,0.44,0.06,0.2,24.9,0.0,1.0,1.0,2.9,2.1,0.06,0.1,-0.1
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,Ligue 1,18.0,2000.0,0.4,0.0,1.0,0.0,0.0,2.81,0.0,0.0,,15.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,32.0,1986.0,15.8,0.0,5.0,1.0,20.0,0.32,0.06,0.0,0.0,11.4,0.0,0.0,0.0,0.8,0.8,0.15,-0.8,-0.8
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,28.0,1990.0,8.8,0.0,7.0,2.0,28.6,0.8,0.23,0.0,0.0,26.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,30.0,1988.0,36.8,3.0,18.0,7.0,38.9,0.49,0.19,0.17,0.43,9.8,0.0,0.0,0.0,3.4,3.4,0.2,-0.4,-0.4
10,Afriyie Acquah,gh GHA,MF,Empoli,Serie A,26.0,1992.0,16.8,2.0,22.0,7.0,31.8,1.31,0.42,0.09,0.29,20.8,0.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6
11,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,19.0,1999.0,8.0,0.0,2.0,1.0,50.0,0.25,0.12,0.0,0.0,26.9,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
12,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,31.0,1987.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
13,Aday,es ESP,"DF,MF",Girona,La Liga,30.0,1987.0,7.2,0.0,9.0,3.0,33.3,1.26,0.42,0.0,0.0,27.1,2.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
14,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,33.0,1985.0,22.2,0.0,8.0,0.0,0.0,0.36,0.0,0.0,,10.8,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7
15,Claud Adjapong,it ITA,"MF,FW",Sassuolo,Serie A,20.0,1998.0,3.0,1.0,2.0,1.0,50.0,0.67,0.33,0.5,1.0,18.0,0.0,0.0,0.0,0.7,0.7,0.36,0.3,0.3
16,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,18.0,2000.0,2.4,0.0,1.0,0.0,0.0,0.42,0.0,0.0,,46.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
17,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,Serie A,24.0,1993.0,1.8,0.0,3.0,0.0,0.0,1.63,0.0,0.0,,17.0,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
18,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,37.0,1981.0,10.5,2.0,17.0,9.0,52.9,1.62,0.86,0.0,0.0,15.0,0.0,2.0,2.0,3.3,1.8,0.1,-1.3,-1.8
19,Luis Advíncula,pe PER,DF,Rayo Vallecano,La Liga,28.0,1990.0,26.5,1.0,17.0,5.0,29.4,0.64,0.19,0.06,0.2,21.8,0.0,0.0,0.0,1.1,1.1,0.06,-0.1,-0.1
20,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,22.0,1996.0,22.6,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,23.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
21,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,22.0,1996.0,11.7,3.0,10.0,4.0,40.0,0.86,0.34,0.3,0.75,14.0,0.0,0.0,0.0,1.5,1.5,0.15,1.5,1.5
22,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,30.0,1988.0,27.3,21.0,116.0,41.0,35.3,4.25,1.5,0.16,0.46,15.0,3.0,2.0,2.0,18.1,16.5,0.14,2.9,2.5
23,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,25.0,1993.0,28.1,1.0,13.0,4.0,30.8,0.46,0.14,0.08,0.25,20.1,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1
24,Juan Aguilera,es ESP,MF,Huesca,La Liga,32.0,1985.0,3.8,0.0,3.0,1.0,33.3,0.78,0.26,0.0,0.0,19.0,0.0,0.0,0.0,0.5,0.5,0.17,-0.5,-0.5
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,27.0,1990.0,1.8,0.0,2.0,0.0,0.0,1.12,0.0,0.0,,13.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,Ligue 1,24.0,1994.0,11.9,0.0,13.0,3.0,23.1,1.09,0.25,0.0,0.0,18.8,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8
28,Antonis Aidonis,de GER,DF,Stuttgart,Bundesliga,17.0,2001.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
29,Ola Aina,ng NGA,DF,Torino,Serie A,21.0,1996.0,24.0,1.0,24.0,5.0,20.8,1.0,0.21,0.04,0.2,19.5,0.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,Ligue 1,22.0,1996.0,10.4,0.0,7.0,1.0,14.3,0.67,0.1,0.0,0.0,27.4,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,Ligue 1,22.0,1996.0,11.9,0.0,8.0,1.0,12.5,0.67,0.08,0.0,0.0,28.1,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
32,Rayan Aït Nouri,dz ALG,"DF,MF",Angers,Ligue 1,17.0,2001.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
33,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,24.0,1994.0,17.0,9.0,46.0,17.0,37.0,2.7,1.0,0.2,0.53,15.5,2.0,0.0,0.0,5.7,5.7,0.12,3.3,3.3
34,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,23.0,1995.0,24.5,1.0,7.0,2.0,28.6,0.29,0.08,0.14,0.5,13.2,0.0,0.0,0.0,0.5,0.5,0.07,0.5,0.5
35,Carlos Akapo,gq EQG,DF,Huesca,La Liga,25.0,1993.0,11.4,0.0,7.0,1.0,14.3,0.62,0.09,0.0,0.0,24.2,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
36,Nathan Aké,nl NED,DF,Bournemouth,Premier League,23.0,1995.0,37.9,4.0,25.0,8.0,32.0,0.66,0.21,0.16,0.5,9.4,0.0,0.0,0.0,3.4,3.4,0.13,0.6,0.6
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,La Liga,20.0,1997.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
38,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,Bundesliga,23.0,1995.0,5.8,0.0,14.0,3.0,21.4,2.4,0.51,0.0,0.0,20.2,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,23.0,1995.0,5.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,Bundesliga,23.0,1995.0,3.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
41,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,26.0,1992.0,28.1,3.0,47.0,16.0,34.0,1.67,0.57,0.06,0.19,25.8,16.0,0.0,0.0,3.2,3.2,0.07,-0.2,-0.2
42,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,20.0,1998.0,21.1,1.0,13.0,3.0,23.1,0.62,0.14,0.08,0.33,22.3,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
43,Lucas Alario,ar ARG,"FW,MF",Leverkusen,Bundesliga,25.0,1992.0,14.1,9.0,43.0,16.0,37.2,3.06,1.14,0.21,0.56,11.7,0.0,0.0,0.0,6.7,6.7,0.15,2.3,2.3
44,Jordi Alba,es ESP,DF,Barcelona,La Liga,29.0,1989.0,33.2,2.0,13.0,4.0,30.8,0.39,0.12,0.15,0.5,14.7,0.0,0.0,0.0,1.8,1.8,0.14,0.2,0.2
45,Luis Alberto,es ESP,"MF,FW",Lazio,Serie A,25.0,1992.0,22.1,4.0,67.0,12.0,17.9,3.03,0.54,0.04,0.25,22.5,7.0,1.0,1.0,4.2,3.4,0.05,-0.2,-0.4
46,Raúl Albiol,es ESP,DF,Napoli,Serie A,32.0,1985.0,19.0,1.0,4.0,1.0,25.0,0.21,0.05,0.25,1.0,10.0,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7
47,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,Bundesliga,27.0,1990.0,18.4,1.0,11.0,4.0,36.4,0.6,0.22,0.09,0.25,25.5,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7
