,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
0,Zakariya Abarouai,fr FRA,FW,Evian,Ligue 1,19.0,1994.0,1.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ignazio Abate,it ITA,"DF,MF",Milan,Serie A,26.0,1986.0,19.0,16.0,1464.0,16.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.06
2,Christian Abbiati,it ITA,GK,Milan,Serie A,36.0,1977.0,28.0,28.0,2390.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Kassim Abdallah,km COM,DF,Marseille,Ligue 1,26.0,1987.0,10.0,9.0,814.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11
4,Kassim Abdallah,km COM,DF,Evian,Ligue 1,26.0,1987.0,11.0,10.0,892.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,Mohammed Abdellaoue,no NOR,FW,Stuttgart,Bundesliga,27.0,1985.0,12.0,7.0,655.0,7.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.14,0.14,0.27,0.14,0.27
6,Aymen Abdennour,tn TUN,DF,Toulouse,Ligue 1,23.0,1989.0,15.0,15.0,1323.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Aymen Abdennour,tn TUN,DF,Monaco,Ligue 1,23.0,1989.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Rafidine Abdullah,km COM,MF,Lorient,Ligue 1,19.0,1994.0,10.0,1.0,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Damià Abella,es ESP,"DF,MF",Osasuna,La Liga,31.0,1982.0,34.0,32.0,2821.0,31.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.03,0.03,0.0,0.03
10,Laurent Abergel,fr FRA,"DF,MF",Marseille,Ligue 1,20.0,1993.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Éric Abidal,fr FRA,DF,Monaco,Ligue 1,33.0,1979.0,26.0,26.0,2310.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Vincent Aboubakar,cm CMR,FW,Lorient,Ligue 1,21.0,1992.0,35.0,33.0,2925.0,32.5,16.0,7.0,23.0,14.0,2.0,2.0,2.0,0.0,0.49,0.22,0.71,0.43,0.65
13,David Abraham,ar ARG,DF,Hoffenheim,Bundesliga,27.0,1986.0,20.0,20.0,1722.0,19.1,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1
14,Fabrice Abriel,fr FRA,MF,Nice,Ligue 1,34.0,1979.0,25.0,18.0,1548.0,17.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06
15,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,25.0,1988.0,13.0,11.0,1084.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Romain Achilli,fr FRA,"DF,MF",Bastia,Ligue 1,20.0,1993.0,2.0,2.0,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Maxwell Acosty,gh GHA,"FW,MF",Chievo,Serie A,21.0,1991.0,7.0,0.0,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Robert Acquafresca,it ITA,FW,Bologna,Serie A,25.0,1987.0,19.0,6.0,752.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Afriyie Acquah,gh GHA,MF,Parma,Serie A,21.0,1992.0,27.0,19.0,1787.0,19.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.05,0.1,0.15,0.05,0.15
20,Javier Acuña,py PAR,FW,Osasuna,La Liga,25.0,1988.0,16.0,3.0,549.0,6.1,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.49,0.0,0.49,0.49,0.49
21,Charlie Adam,sct SCO,MF,Stoke City,Premier League,27.0,1985.0,31.0,20.0,1756.0,19.5,8.0,4.0,12.0,7.0,1.0,1.0,6.0,0.0,0.41,0.21,0.62,0.36,0.56
22,Antonio Adán,es ESP,GK,Cagliari,Serie A,26.0,1987.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Antonio Adán,es ESP,GK,Betis,La Liga,26.0,1987.0,17.0,17.0,1522.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Emmanuel Adebayor,tg TOG,FW,Tottenham,Premier League,29.0,1984.0,21.0,20.0,1805.0,20.1,11.0,4.0,15.0,10.0,1.0,2.0,0.0,0.0,0.55,0.2,0.75,0.5,0.7
26,Orhan Ademi,ch SUI,FW,Braunschweig,Bundesliga,21.0,1991.0,25.0,8.0,895.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.1,0.2
27,René Adler,de GER,GK,Hamburger SV,Bundesliga,28.0,1985.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Issam El Adoua,ma MAR,DF,Levante,La Liga,26.0,1986.0,18.0,9.0,1017.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Adrián,es ESP,GK,West Ham,Premier League,26.0,1987.0,20.0,20.0,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Adriano,br BRA,"DF,MF",Barcelona,La Liga,28.0,1984.0,26.0,24.0,2071.0,23.0,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,0.13,0.04,0.17,0.13,0.17
31,Adryan,br BRA,"FW,MF",Cagliari,Serie A,18.0,1994.0,5.0,2.0,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,32.0,1981.0,31.0,26.0,2392.0,26.6,16.0,8.0,24.0,14.0,2.0,3.0,7.0,2.0,0.6,0.3,0.9,0.53,0.83
33,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,La Liga,27.0,1986.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,35.0,1978.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Michael Agazzi,it ITA,GK,Cagliari,Serie A,29.0,1984.0,11.0,11.0,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Michael Agazzi,it ITA,GK,Chievo,Serie A,29.0,1984.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Gabby Agbonlahor,eng ENG,"FW,MF",Aston Villa,Premier League,26.0,1986.0,30.0,29.0,2439.0,27.1,4.0,5.0,9.0,4.0,0.0,0.0,7.0,0.0,0.15,0.18,0.33,0.15,0.33
38,Daniel Agger,dk DEN,DF,Liverpool,Premier League,28.0,1984.0,20.0,16.0,1421.0,15.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,0.19
39,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,26.0,1987.0,31.0,21.0,1942.0,21.6,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,0.37,0.05,0.42,0.37,0.42
40,Alessandro Agostini,it ITA,DF,Hellas Verona,Serie A,34.0,1979.0,25.0,22.0,1922.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,25.0,1988.0,23.0,20.0,1528.0,17.0,17.0,6.0,23.0,17.0,0.0,1.0,4.0,0.0,1.0,0.35,1.35,1.0,1.35
42,Abel Aguilar,co COL,MF,Toulouse,Ligue 1,28.0,1985.0,28.0,27.0,2452.0,27.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04
43,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,22.0,1990.0,29.0,20.0,1864.0,20.7,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,0.24,0.05,0.29,0.24,0.29
44,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,21.0,1991.0,21.0,21.0,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Karim El Ahmadi,ma MAR,MF,Aston Villa,Premier League,28.0,1985.0,31.0,26.0,2177.0,24.2,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.08,0.04,0.12,0.08,0.12
46,Stefan Aigner,de GER,"FW,MF",Eint Frankfurt,Bundesliga,25.0,1987.0,28.0,24.0,2158.0,24.0,4.0,6.0,10.0,4.0,0.0,0.0,4.0,0.0,0.17,0.25,0.42,0.17,0.42
47,Nordine Aït Yahia,fr FRA,MF,Ajaccio,Ligue 1,21.0,1992.0,2.0,0.0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Karim Aït-Fana,ma MAR,"FW,MF",Montpellier,Ligue 1,24.0,1989.0,4.0,1.0,113.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.0,0.8,0.8,0.8
49,Nathan Aké,nl NED,"DF,MF",Chelsea,Premier League,18.0,1995.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,Ligue 1,20.0,1992.0,22.0,18.0,1475.0,16.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.06,0.12,0.18,0.06,0.18
52,Chuba Akpom,eng ENG,"FW,MF",Arsenal,Premier League,17.0,1995.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,David Alaba,at AUT,"DF,MF",Bayern Munich,Bundesliga,21.0,1992.0,28.0,26.0,2398.0,26.6,2.0,6.0,8.0,1.0,1.0,2.0,0.0,0.0,0.08,0.23,0.3,0.04,0.26
54,Jordi Alba,es ESP,"DF,MF",Barcelona,La Liga,24.0,1989.0,15.0,14.0,1240.0,13.8,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.15,0.15,0.0,0.15
55,Edu Albácar,es ESP,DF,Elche,La Liga,33.0,1979.0,18.0,18.0,1586.0,17.6,3.0,1.0,4.0,0.0,3.0,3.0,4.0,0.0,0.17,0.06,0.23,0.0,0.06
56,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,Serie A,22.0,1991.0,15.0,14.0,1211.0,13.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.07,0.07,0.0,0.07
57,Luis Alberto,es ESP,"FW,MF",Liverpool,Premier League,20.0,1992.0,9.0,0.0,144.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.62
58,Raúl Albiol,es ESP,DF,Napoli,Serie A,27.0,1985.0,32.0,30.0,2644.0,29.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.03,0.07,0.1,0.03,0.1
59,Unai Albizua,es ESP,DF,Athletic Club,La Liga,24.0,1989.0,4.0,0.0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
