,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,3,38,38,3420,38.0,74,1.95,161,89,59.6,7,5,26,6,15.8,10,9,0,1,0.0
1,3,38,38,3420,38.0,65,1.71,203,138,70.0,11,8,19,4,10.5,6,4,1,1,20.0
2,2,38,38,3420,38.0,81,2.13,197,119,63.5,4,6,28,4,10.5,11,9,1,1,10.0
3,1,38,38,3420,38.0,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0
4,2,38,38,3420,38.0,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,16.7
5,3,38,38,3420,38.0,48,1.26,153,107,70.6,19,7,12,9,23.7,3,3,0,0,0.0
6,2,38,38,3420,38.0,43,1.13,123,83,67.5,14,9,15,11,28.9,3,3,0,0,0.0
7,3,38,38,3420,38.0,33,0.87,128,95,77.3,23,8,7,13,34.2,5,4,0,1,0.0
8,2,34,34,3060,34.0,63,1.85,201,138,69.2,9,7,18,6,17.6,4,1,2,1,66.7
9,3,38,38,3420,38.0,63,1.66,181,117,67.4,8,11,19,7,18.4,6,4,2,0,33.3
10,2,38,38,3420,38.0,20,0.53,102,85,83.3,28,4,6,26,68.4,3,3,0,0,0.0
11,3,34,34,3060,34.0,38,1.12,107,68,72.9,21,8,5,11,32.4,10,9,1,0,10.0
12,2,38,38,3420,38.0,41,1.08,146,106,74.0,17,9,12,13,34.2,3,3,0,0,0.0
13,1,34,34,3060,34.0,72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3
14,2,38,38,3420,38.0,49,1.29,165,117,74.5,14,12,12,8,21.1,9,7,2,0,22.2
15,2,38,38,3420,38.0,71,1.87,204,136,68.1,11,6,21,8,21.1,7,6,0,1,0.0
16,1,38,38,3420,38.0,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0
17,2,38,38,3420,38.0,54,1.42,179,125,73.7,11,11,16,9,23.7,9,7,2,0,22.2
18,2,38,38,3420,38.0,53,1.39,131,82,64.1,18,8,12,12,31.6,8,6,2,0,25.0
19,2,38,38,3420,38.0,53,1.39,202,148,78.2,10,12,16,13,34.2,10,9,1,0,10.0
20,2,38,38,3420,38.0,53,1.39,134,80,64.2,11,10,17,10,26.3,8,5,2,1,28.6
21,2,38,38,3420,38.0,47,1.24,159,115,71.1,11,11,16,10,26.3,1,1,0,0,0.0
22,2,38,38,3420,38.0,49,1.29,164,111,75.0,17,8,13,10,26.3,12,8,4,0,33.3
23,3,38,38,3420,38.0,69,1.82,225,157,71.6,5,12,21,6,15.8,5,5,0,0,0.0
24,3,38,38,3420,38.0,49,1.29,160,114,71.9,11,12,15,9,23.7,4,4,0,0,0.0
25,2,34,34,3060,34.0,44,1.29,151,108,71.5,22,5,7,12,35.3,1,1,0,0,0.0
26,2,34,34,3060,34.0,52,1.53,135,84,63.0,13,11,10,6,17.6,2,2,0,0,0.0
27,2,38,38,3420,38.0,67,1.76,208,140,71.2,5,10,23,4,10.5,10,7,3,0,30.0
28,3,38,38,3420,38.0,49,1.29,159,110,71.7,10,13,15,9,23.7,6,4,1,1,20.0
29,4,38,38,3419,38.0,69,1.82,183,115,65.0,8,13,17,6,15.8,6,5,1,0,16.7
30,2,38,38,3420,38.0,57,1.5,185,127,71.9,8,12,18,9,23.7,6,5,1,0,16.7
31,4,38,38,3420,38.0,43,1.13,120,78,70.0,15,11,12,10,26.3,8,7,1,0,12.5
32,1,34,34,3060,34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0
33,2,38,38,3420,38.0,53,1.39,196,144,76.5,15,7,16,9,23.7,8,7,1,0,12.5
34,1,38,38,3420,38.0,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0
35,2,38,38,3420,38.0,55,1.45,168,112,70.8,13,10,15,4,10.5,8,6,1,1,14.3
36,2,38,38,3420,38.0,59,1.55,185,128,68.6,7,10,21,6,15.8,2,1,1,0,50.0
37,2,34,34,3060,34.0,69,2.03,170,100,62.4,7,8,19,3,8.8,6,5,1,0,16.7
38,1,34,34,3060,34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0
39,3,38,38,3420,38.0,42,1.11,137,98,71.5,23,3,12,13,34.2,3,3,0,0,0.0
40,2,38,38,3420,38.0,33,0.87,133,99,78.2,22,6,10,20,52.6,5,4,1,0,20.0
41,1,34,34,3060,34.0,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0
42,2,38,38,3418,38.0,30,0.79,128,99,77.3,22,8,8,21,55.3,2,1,0,1,0.0
43,1,38,38,3420,38.0,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7
44,2,38,38,3420,38.0,78,2.05,185,108,60.5,7,10,21,5,13.2,6,5,0,1,0.0
45,2,38,38,3420,38.0,68,1.79,178,113,64.0,9,7,22,7,18.4,5,4,1,0,20.0
46,2,38,38,3420,38.0,29,0.76,129,101,79.8,25,9,4,15,39.5,3,3,0,0,0.0
47,2,34,34,3059,34.0,49,1.44,146,99,71.2,14,8,12,9,26.5,7,7,0,0,0.0
48,2,38,38,3420,38.0,44,1.16,122,80,67.2,19,10,9,10,26.3,5,4,1,0,20.0
49,2,38,38,3420,38.0,47,1.24,157,111,71.3,19,10,9,14,36.8,4,2,1,1,33.3
50,2,38,38,3420,38.0,53,1.39,182,130,72.0,15,10,13,8,21.1,2,2,0,0,0.0
51,2,38,38,3417,38.0,47,1.24,155,111,76.8,18,8,12,8,21.1,11,11,0,0,0.0
52,4,34,34,3060,34.0,55,1.62,180,126,72.8,11,10,13,9,26.5,6,6,0,0,0.0
53,2,34,34,3060,34.0,55,1.62,153,95,66.7,12,10,12,7,20.6,8,4,3,1,42.9
54,3,38,38,3420,38.0,43,1.13,145,101,74.5,14,8,16,13,34.2,7,6,1,0,14.3
55,2,38,38,3420,38.0,33,0.87,92,60,67.4,28,5,5,13,34.2,3,3,0,0,0.0
56,1,38,38,3420,38.0,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3
57,2,38,38,3420,38.0,40,1.05,142,105,75.4,22,7,9,10,26.3,5,5,0,0,0.0
58,3,38,38,3420,38.0,43,1.13,123,80,68.3,20,10,8,12,31.6,5,4,1,0,20.0
59,1,38,38,3420,38.0,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0
60,4,38,38,3420,38.0,62,1.63,202,138,72.3,15,5,18,11,28.9,11,6,4,1,40.0
61,2,38,38,3420,38.0,52,1.37,172,121,71.5,14,10,14,10,26.3,3,3,0,0,0.0
62,2,38,38,3419,38.0,55,1.45,185,134,75.1,7,15,16,11,28.9,9,9,0,0,0.0
63,2,38,38,3420,38.0,28,0.74,107,78,74.8,28,6,4,18,47.4,2,1,1,0,50.0
64,2,38,38,3418,38.0,33,0.87,127,94,75.6,19,14,5,14,36.8,5,2,2,1,50.0
65,2,38,38,3420,38.0,37,0.97,147,109,76.9,15,13,10,11,28.9,5,3,1,1,25.0
66,3,38,38,3420,38.0,68,1.79,182,112,65.9,9,11,18,8,21.1,9,6,2,1,25.0
67,2,38,38,3420,38.0,42,1.11,148,107,72.3,15,8,15,11,28.9,4,1,1,2,50.0
68,2,38,38,3420,38.0,40,1.05,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3
69,2,38,38,3420,38.0,53,1.39,144,95,66.0,13,10,15,9,23.7,5,4,0,1,0.0
70,3,34,34,3060,34.0,41,1.21,106,66,67.9,20,6,8,10,29.4,8,7,1,0,12.5
71,2,38,38,3420,38.0,36,0.95,136,100,76.5,24,6,8,13,34.2,5,4,1,0,20.0
72,1,38,38,3420,38.0,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0
73,2,38,38,3420,38.0,45,1.18,166,123,74.7,12,15,11,14,36.8,3,3,0,0,0.0
74,2,38,38,3420,38.0,39,1.03,126,86,71.4,21,5,12,13,34.2,5,3,2,0,40.0
75,2,38,38,3420,38.0,38,1.0,118,80,69.5,18,9,11,14,36.8,3,2,1,0,33.3
76,3,38,38,3420,38.0,62,1.63,196,130,71.9,9,15,14,7,18.4,11,7,4,0,36.4
77,3,38,38,3420,38.0,71,1.87,215,144,70.7,3,10,25,4,10.5,11,8,2,1,20.0
78,3,38,38,3420,38.0,61,1.61,130,71,56.2,12,9,17,9,23.7,4,4,0,0,0.0
79,2,34,34,3060,34.0,71,2.09,193,123,65.8,7,10,17,7,20.6,6,5,0,1,0.0
80,2,38,38,3420,38.0,54,1.42,161,109,67.7,13,10,15,9,23.7,3,2,1,0,33.3
81,2,38,38,3420,38.0,73,1.92,150,81,52.7,6,7,25,4,10.5,3,2,1,0,33.3
82,4,38,38,3420,38.0,62,1.63,183,123,68.9,6,13,19,6,15.8,7,5,1,1,16.7
83,1,38,38,3420,38.0,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0
84,2,34,34,3060,34.0,57,1.68,146,90,65.1,7,12,15,2,5.9,6,6,0,0,0.0
85,1,38,38,3420,38.0,41,1.08,136,95,73.5,14,11,13,11,28.9,6,5,0,1,0.0
86,2,38,38,3420,38.0,63,1.66,172,109,65.1,18,6,14,10,26.3,4,3,1,0,25.0
87,1,38,38,3420,38.0,57,1.5,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9
88,2,38,38,3418,38.0,81,2.13,228,148,67.5,4,12,22,1,2.6,8,7,1,0,12.5
89,1,38,38,3420,38.0,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1,0.0
90,2,34,34,3060,34.0,38,1.12,144,106,78.5,18,8,8,13,38.2,7,7,0,0,0.0
91,1,38,38,3420,38.0,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0
92,3,38,38,3420,38.0,63,1.66,199,134,71.4,11,7,20,9,23.7,10,6,3,1,33.3
