,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Antonio Adán,es ESP,GK,Betis,La Liga,29.0,1987.0,37.0,37.0,3330.0,37.0,62.0,1.68,182.0,125.0,68.1,10.0,8.0,19.0,10.0,27.0,5.0,4.0,1.0,0.0,20.0
1,René Adler,de GER,GK,Hamburger SV,Bundesliga,31.0,1985.0,19.0,19.0,1710.0,19.0,38.0,2.0,87.0,49.0,59.8,5.0,4.0,10.0,5.0,26.3,6.0,3.0,1.0,2.0,25.0
2,Adrián,es ESP,GK,West Ham,Premier League,29.0,1987.0,16.0,16.0,1440.0,16.0,25.0,1.56,78.0,53.0,70.5,5.0,4.0,7.0,6.0,37.5,3.0,2.0,0.0,1.0,0.0
3,Ryan Allsop,eng ENG,GK,Bournemouth,Premier League,24.0,1992.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,29.0,1986.0,26.0,26.0,2340.0,26.0,51.0,1.96,137.0,90.0,65.7,8.0,3.0,15.0,5.0,19.2,5.0,4.0,0.0,1.0,0.0
5,Diego Alves,br BRA,GK,Valencia,La Liga,31.0,1985.0,33.0,33.0,2970.0,33.0,56.0,1.7,134.0,87.0,61.9,11.0,7.0,15.0,6.0,18.2,11.0,5.0,4.0,2.0,44.4
6,Jon Ander Serantes,es ESP,GK,Leganés,La Liga,26.0,1989.0,13.0,13.0,1110.0,12.3,22.0,1.78,50.0,31.0,62.0,4.0,1.0,8.0,4.0,30.8,3.0,3.0,0.0,0.0,0.0
7,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,La Liga,32.0,1984.0,9.0,8.0,769.0,8.6,6.0,0.7,30.0,24.0,80.0,6.0,2.0,0.0,5.0,62.5,0.0,0.0,0.0,0.0,
8,Markel Areitio,es ESP,GK,Eibar,La Liga,19.0,1996.0,1.0,0.0,45.0,0.5,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
9,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,23.0,1993.0,15.0,14.0,1297.0,14.4,14.0,0.97,35.0,21.0,62.9,9.0,2.0,3.0,6.0,42.9,1.0,1.0,0.0,0.0,0.0
10,Kepa Arrizabalaga,es ESP,GK,Athletic Club,La Liga,21.0,1994.0,23.0,23.0,2016.0,22.4,22.0,0.98,62.0,40.0,64.5,14.0,3.0,6.0,8.0,34.8,0.0,0.0,0.0,0.0,
11,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,27.0,1989.0,24.0,24.0,2105.0,23.4,15.0,0.64,80.0,67.0,82.5,10.0,9.0,5.0,11.0,45.8,2.0,1.0,1.0,0.0,50.0
12,Emil Audero,it ITA,GK,Juventus,Serie A,19.0,1997.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,Loic Badiashile,fr FRA,GK,Monaco,Ligue 1,18.0,1998.0,1.0,0.0,45.0,0.5,0.0,0.0,2.0,2.0,150.0,1.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0
14,Diego Barrios,es ESP,GK,Leganés,La Liga,22.0,1994.0,1.0,0.0,61.0,0.7,1.0,1.48,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
15,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,26.0,1990.0,34.0,34.0,3060.0,34.0,37.0,1.09,150.0,113.0,76.0,16.0,14.0,4.0,12.0,35.3,3.0,1.0,1.0,1.0,50.0
16,Asmir Begović,ba BIH,GK,Chelsea,Premier League,29.0,1987.0,2.0,2.0,180.0,2.0,5.0,2.5,6.0,1.0,16.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,Diego Benaglio,ch SUI,GK,Wolfsburg,Bundesliga,32.0,1983.0,14.0,14.0,1260.0,14.0,22.0,1.57,63.0,41.0,68.3,5.0,1.0,8.0,3.0,21.4,4.0,2.0,1.0,1.0,33.3
18,Walter Benítez,ar ARG,GK,Nice,Ligue 1,23.0,1993.0,3.0,2.0,215.0,2.4,1.0,0.42,6.0,5.0,83.3,0.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,
19,Etrit Berisha,al ALB,GK,Atalanta,Serie A,27.0,1989.0,26.0,26.0,2340.0,26.0,26.0,1.0,77.0,51.0,70.1,15.0,7.0,4.0,11.0,42.3,3.0,3.0,0.0,0.0,0.0
20,Albano Bizzarri,ar ARG,GK,Pescara,Serie A,38.0,1977.0,29.0,29.0,2610.0,29.0,68.0,2.34,169.0,101.0,62.7,1.0,6.0,22.0,2.0,6.9,5.0,5.0,0.0,0.0,0.0
21,Rubén Blanco,es ESP,GK,Celta Vigo,La Liga,21.0,1995.0,11.0,11.0,990.0,11.0,15.0,1.36,40.0,30.0,75.0,5.0,3.0,3.0,2.0,18.2,5.0,5.0,0.0,0.0,0.0
22,Artur Boruc,pl POL,GK,Bournemouth,Premier League,36.0,1980.0,35.0,35.0,3150.0,35.0,63.0,1.8,176.0,113.0,65.3,11.0,9.0,15.0,9.0,25.7,4.0,2.0,2.0,0.0,50.0
23,Denys Boyko,ua UKR,GK,Málaga,La Liga,28.0,1988.0,3.0,3.0,270.0,3.0,7.0,2.33,10.0,3.0,30.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,Claudio Bravo,cl CHI,GK,Manchester City,Premier League,33.0,1983.0,22.0,22.0,1968.0,21.9,26.0,1.19,60.0,34.0,56.7,12.0,5.0,5.0,5.0,22.7,1.0,0.0,1.0,0.0,100.0
26,Claudio Bravo,cl CHI,GK,Barcelona,La Liga,33.0,1983.0,1.0,1.0,90.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,Alberto Brignoli,it ITA,GK,Leganés,La Liga,24.0,1991.0,1.0,0.0,60.0,0.7,3.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
28,Gianluigi Buffon,it ITA,GK,Juventus,Serie A,38.0,1978.0,30.0,30.0,2655.0,29.5,24.0,0.81,91.0,67.0,74.7,22.0,3.0,5.0,12.0,40.0,1.0,1.0,0.0,0.0,0.0
29,Roman Bürki,ch SUI,GK,Dortmund,Bundesliga,25.0,1990.0,27.0,27.0,2430.0,27.0,29.0,1.07,97.0,68.0,72.2,16.0,6.0,5.0,9.0,33.3,2.0,2.0,0.0,0.0,0.0
30,Jack Butland,eng ENG,GK,Stoke City,Premier League,23.0,1993.0,5.0,5.0,450.0,5.0,8.0,1.6,24.0,16.0,66.7,1.0,2.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,
31,Willy Caballero,ar ARG,GK,Manchester City,Premier League,34.0,1981.0,17.0,16.0,1452.0,16.1,13.0,0.81,45.0,32.0,75.6,11.0,4.0,1.0,6.0,37.5,4.0,2.0,0.0,2.0,0.0
32,Rafael Cabral,br BRA,GK,Napoli,Serie A,26.0,1990.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
33,Yoan Cardinale,fr FRA,GK,Nice,Ligue 1,22.0,1994.0,36.0,36.0,3205.0,35.6,35.0,0.98,154.0,119.0,79.9,22.0,10.0,4.0,11.0,30.6,4.0,4.0,0.0,0.0,0.0
34,Cédric Carrasso,fr FRA,GK,Bordeaux,Ligue 1,34.0,1981.0,24.0,24.0,2160.0,24.0,22.0,0.92,71.0,49.0,73.2,10.0,9.0,5.0,9.0,37.5,3.0,3.0,0.0,0.0,0.0
35,Kiko Casilla,es ESP,GK,Real Madrid,La Liga,29.0,1986.0,11.0,11.0,990.0,11.0,10.0,0.91,30.0,22.0,70.0,9.0,2.0,0.0,5.0,45.5,2.0,1.0,1.0,0.0,50.0
36,Koen Casteels,be BEL,GK,Wolfsburg,Bundesliga,24.0,1992.0,20.0,20.0,1800.0,20.0,30.0,1.5,92.0,62.0,67.4,5.0,6.0,9.0,8.0,40.0,1.0,0.0,0.0,1.0,
37,Joel Castro Pereira,pt POR,GK,Manchester Utd,Premier League,20.0,1996.0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
38,Petr Čech,cz CZE,GK,Arsenal,Premier League,34.0,1982.0,35.0,35.0,3097.0,34.4,37.0,1.08,150.0,113.0,81.3,22.0,5.0,7.0,12.0,34.3,9.0,9.0,0.0,0.0,0.0
39,Nereo Champagne,ar ARG,GK,Leganés,La Liga,31.0,1985.0,4.0,4.0,360.0,4.0,4.0,1.0,16.0,12.0,75.0,0.0,3.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,
40,Paul Charruau,fr FRA,GK,Bastia,Ligue 1,23.0,1993.0,1.0,0.0,42.0,0.5,1.0,2.14,2.0,1.0,50.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,
41,Sergei Chernik,by BLR,GK,Nancy,Ligue 1,28.0,1988.0,17.0,15.0,1377.0,15.3,21.0,1.37,67.0,46.0,73.1,3.0,3.0,9.0,5.0,33.3,3.0,3.0,0.0,0.0,0.0
42,Jasper Cillessen,nl NED,GK,Barcelona,La Liga,27.0,1989.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,Fabio Coltorti,ch SUI,GK,RB Leipzig,Bundesliga,35.0,1980.0,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
44,Andrea Consigli,it ITA,GK,Sassuolo,Serie A,29.0,1987.0,37.0,37.0,3330.0,37.0,56.0,1.51,191.0,135.0,73.3,14.0,7.0,16.0,7.0,18.9,8.0,5.0,2.0,1.0,28.6
45,Alex Cordaz,it ITA,GK,Crotone,Serie A,33.0,1983.0,36.0,36.0,3236.0,36.0,54.0,1.5,203.0,149.0,76.4,9.0,7.0,20.0,4.0,11.1,9.0,6.0,2.0,1.0,25.0
46,Angelo da Costa Júnior,br BRA,GK,Bologna,Serie A,32.0,1983.0,18.0,17.0,1541.0,17.1,26.0,1.52,88.0,62.0,73.9,4.0,4.0,9.0,1.0,5.9,3.0,3.0,0.0,0.0,0.0
47,Benoît Costil,fr FRA,GK,Rennes,Ligue 1,29.0,1987.0,38.0,38.0,3420.0,38.0,42.0,1.11,143.0,101.0,71.3,12.0,14.0,12.0,12.0,31.6,4.0,1.0,1.0,2.0,50.0
48,Thibaut Courtois,be BEL,GK,Chelsea,Premier League,24.0,1992.0,36.0,36.0,3240.0,36.0,28.0,0.78,99.0,71.0,73.7,29.0,3.0,4.0,16.0,44.4,2.0,2.0,0.0,0.0,0.0
49,Luca Crosta,it ITA,GK,Cagliari,Serie A,18.0,1998.0,1.0,1.0,90.0,1.0,1.0,1.0,7.0,6.0,100.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0
