,Squad,Comp,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Dribbles - Succ,Dribbles - Att,Dribbles - Succ%,Dribbles - Mis,Dribbles - Dis,Receiving - Rec,Receiving - Prog
82,Southampton,Premier League,25.0,48.9,38.0,22122.0,2135.0,6211.0,10726.0,5444.0,808.0,22118.0,423.0,680.0,62.2,654.0,362.0,12300.0,993.0
83,SPAL,Serie A,34.0,46.9,38.0,20674.0,2634.0,7323.0,9004.0,4595.0,615.0,20667.0,357.0,519.0,68.8,518.0,354.0,13118.0,913.0
84,Strasbourg,Ligue 1,25.0,49.6,27.0,15578.0,1469.0,4826.0,7568.0,3372.0,467.0,15574.0,257.0,426.0,60.3,440.0,255.0,9929.0,739.0
85,Torino,Serie A,27.0,47.4,38.0,20760.0,2536.0,7193.0,9015.0,4815.0,734.0,20752.0,449.0,715.0,62.8,605.0,360.0,12406.0,819.0
86,Tottenham,Premier League,29.0,52.0,38.0,24612.0,2590.0,7610.0,11786.0,5477.0,699.0,24609.0,449.0,747.0,60.1,577.0,437.0,15937.0,1041.0
87,Toulouse,Ligue 1,30.0,44.2,28.0,15516.0,1762.0,5127.0,7091.0,3472.0,488.0,15510.0,287.0,471.0,60.9,475.0,293.0,9229.0,636.0
88,Udinese,Serie A,25.0,44.7,38.0,21040.0,2461.0,7188.0,9473.0,4651.0,702.0,21040.0,350.0,550.0,63.6,538.0,328.0,13219.0,944.0
89,Union Berlin,Bundesliga,26.0,41.9,34.0,17612.0,2137.0,6450.0,7545.0,3828.0,551.0,17607.0,259.0,456.0,56.8,509.0,248.0,9272.0,690.0
90,Valencia,La Liga,28.0,49.0,38.0,21759.0,2600.0,7692.0,9660.0,4609.0,631.0,21751.0,345.0,549.0,62.8,521.0,283.0,14334.0,984.0
91,Valladolid,La Liga,30.0,44.7,38.0,19321.0,2161.0,6593.0,9028.0,3936.0,478.0,19316.0,338.0,569.0,59.4,537.0,324.0,11038.0,721.0
92,Villarreal,La Liga,25.0,52.9,38.0,24027.0,2541.0,7870.0,11218.0,5170.0,770.0,24016.0,431.0,690.0,62.5,601.0,310.0,16044.0,1023.0
93,Watford,Premier League,26.0,42.9,38.0,20009.0,2149.0,6262.0,8875.0,5100.0,804.0,20001.0,321.0,576.0,55.7,549.0,348.0,11079.0,816.0
94,Werder Bremen,Bundesliga,30.0,48.8,34.0,20535.0,2279.0,6738.0,9774.0,4224.0,633.0,20529.0,259.0,470.0,55.1,552.0,326.0,12761.0,1012.0
95,West Ham,Premier League,29.0,44.1,38.0,20914.0,2172.0,6275.0,9659.0,5199.0,737.0,20910.0,397.0,663.0,59.9,496.0,322.0,12297.0,939.0
96,Wolfsburg,Bundesliga,26.0,48.4,34.0,19564.0,1977.0,6268.0,8938.0,4586.0,681.0,19560.0,352.0,612.0,57.5,545.0,373.0,11463.0,974.0
97,Wolves,Premier League,21.0,48.3,38.0,22570.0,2001.0,6987.0,10742.0,5059.0,772.0,22566.0,509.0,817.0,62.3,540.0,338.0,14125.0,939.0
