,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,28.0,1990.0,27.9,1595.0,1202.0,386.0,61.0,2.0,4.0,92.0,280.0,45.0,30.0,7.0,4.0,1241.0,7.0,20.0
1,Max Aarons,eng ENG,DF,Norwich City,Premier League,19.0,2000.0,36.0,1711.0,1389.0,322.0,23.0,0.0,4.0,73.0,299.0,0.0,0.0,0.0,0.0,1332.0,0.0,65.0
2,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,31.0,1987.0,28.0,1570.0,1491.0,75.0,72.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,1323.0,4.0,10.0
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,Bundesliga,22.0,1996.0,1.7,42.0,42.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0
4,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,26.0,1992.0,20.2,967.0,870.0,93.0,38.0,1.0,10.0,63.0,5.0,50.0,24.0,15.0,1.0,792.0,4.0,15.0
5,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,19.0,2000.0,6.9,132.0,121.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,7.0
6,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,33.0,1986.0,18.8,911.0,857.0,52.0,22.0,0.0,12.0,9.0,30.0,0.0,0.0,0.0,0.0,738.0,2.0,5.0
7,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,21.0,1997.0,24.6,418.0,367.0,51.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,24.0
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,29.0,1990.0,7.4,330.0,317.0,13.0,9.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,280.0,0.0,9.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,31.0,1988.0,35.1,2073.0,1979.0,93.0,69.0,3.0,38.0,26.0,23.0,1.0,0.0,0.0,0.0,1844.0,1.0,12.0
