,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,21.0,1999.0,2.0,11.0,6.0,0.3,0.1,0.0,,0.0,2.0,6.0,18.0,2.0,0.0,0.0,0.0,0.0,0.24,0.0,0.2,-0.2,-1.75,-1.81
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,29.0,1990.0,22.0,1777.0,81.0,52.0,19.7,20.0,88.0,19.0,2.0,11.0,11.0,1.05,19.0,36.0,-17.0,-0.86,-0.42,17.1,30.9,-13.8,-0.7,-0.13
2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,Bundesliga,21.0,1998.0,2.0,18.0,9.0,0.6,0.2,0.0,,0.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.0,0.9,4.36,4.45
3,Basit Abdallah,gh GHA,MF,Benevento,Serie A,20.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,13.0,,,,,,,,,,,
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,32.0,1987.0,33.0,2889.0,88.0,84.5,32.1,33.0,88.0,32.0,0.0,,0.0,1.18,37.0,39.0,-2.0,-0.06,0.95,29.1,45.4,-16.2,-0.51,1.2
5,Sabit Abdulai,gh GHA,MF,Getafe,La Liga,21.0,1999.0,3.0,60.0,20.0,1.8,0.7,0.0,,0.0,3.0,20.0,16.0,0.67,1.0,2.0,-1.0,-1.5,-1.13,0.9,1.4,-0.4,-0.65,-0.51
6,Eris Abedini,xk KVX,MF,Granada,La Liga,21.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
7,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,27.0,1992.0,18.0,1320.0,73.0,38.6,14.7,15.0,83.0,10.0,3.0,23.0,1.0,0.94,13.0,23.0,-10.0,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54
8,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,27.0,1993.0,38.0,2963.0,78.0,86.6,32.9,32.0,85.0,22.0,6.0,40.0,0.0,1.11,42.0,53.0,-11.0,-0.33,1.04,41.8,43.0,-1.2,-0.04,0.52
9,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,20.0,2000.0,24.0,912.0,38.0,26.7,10.1,9.0,64.0,1.0,15.0,22.0,2.0,1.33,16.0,23.0,-7.0,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03
