,# Pl,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90
0,30,38,3420,90,100,38.0,418,85.0,303.0,111,20,154,1.24,40,50,-10,-0.26,38.5,55.9,-17.4,-0.46
1,30,38,3420,90,100,38.0,418,85.0,303.0,111,20,155,1.18,37,42,-5,-0.13,32.8,54.9,-22.1,-0.58
2,27,38,3420,90,100,38.0,418,84.0,303.0,112,22,153,1.08,42,52,-10,-0.26,47.6,45.8,1.8,0.05
3,30,38,3420,90,100,38.0,418,,,101,0,165,1.66,74,51,23,0.61,68.3,47.8,20.5,0.54
4,25,38,3420,90,100,38.0,418,,,108,0,313,1.58,57,39,18,0.47,64.1,36.6,27.5,0.72
5,26,38,3420,90,100,38.0,418,85.0,312.0,106,22,160,1.13,41,49,-8,-0.21,49.7,50.3,-0.6,-0.02
6,26,38,3420,90,100,38.0,418,83.0,304.0,110,24,156,2.08,58,22,36,0.95,50.2,35.8,14.4,0.38
7,27,34,3060,90,100,34.0,374,,,95,0,143,1.21,43,46,-3,-0.09,44.7,41.4,3.3,0.1
8,25,38,3420,90,100,38.0,418,84.0,305.0,111,21,155,2.45,99,29,70,1.84,83.5,41.9,41.6,1.09
9,28,34,3060,90,100,34.0,374,,,102,0,134,2.47,92,28,64,1.88,75.8,31.7,44.1,1.3
10,41,38,3420,90,100,38.0,418,,,113,0,311,0.55,33,84,-51,-1.34,38.3,73.2,-34.9,-0.92
11,29,38,3420,90,100,38.0,418,84.0,302.0,113,21,153,1.58,60,61,-1,-0.03,46.0,49.0,-3.1,-0.08
12,30,38,3420,90,100,38.0,418,,,113,0,331,1.03,40,52,-12,-0.32,36.6,51.4,-14.8,-0.39
13,31,38,3420,90,100,38.0,418,84.0,303.0,112,21,153,1.45,53,48,5,0.13,51.0,43.6,7.5,0.2
14,22,38,3420,90,100,38.0,418,,,109,0,157,1.16,45,61,-16,-0.42,38.8,59.2,-20.4,-0.54
15,24,38,3420,90,100,38.0,418,,,101,0,165,1.05,34,54,-20,-0.53,37.0,50.8,-13.8,-0.36
16,24,38,3420,90,100,38.0,418,,,83,0,183,1.42,36,39,-3,-0.08,32.3,51.2,-18.9,-0.5
17,26,38,3420,90,100,38.0,418,84.0,320.0,95,25,170,1.0,27,52,-25,-0.66,42.8,48.0,-5.2,-0.14
18,29,38,3420,90,100,38.0,418,,,114,0,295,1.03,33,61,-28,-0.74,39.7,59.2,-19.5,-0.51
19,23,38,3420,90,100,38.0,418,85.0,308.0,109,19,157,1.29,59,60,-1,-0.03,55.0,55.3,-0.3,-0.01
20,26,38,3420,90,100,38.0,418,,,109,0,157,1.84,62,38,24,0.63,54.4,33.8,20.6,0.54
21,25,38,3420,90,100,38.0,418,,,109,0,345,1.05,36,59,-23,-0.61,34.1,55.2,-21.2,-0.56
22,29,38,3420,90,100,38.0,418,,,114,0,318,0.92,40,66,-26,-0.68,34.6,58.6,-24.0,-0.63
23,28,38,3420,90,100,38.0,418,,,73,0,191,1.16,45,55,-10,-0.26,53.5,48.2,5.2,0.14
24,26,38,3420,90,100,38.0,418,84.0,302.0,111,20,154,1.26,55,73,-18,-0.47,41.6,63.8,-22.2,-0.58
25,30,34,3060,90,100,34.0,374,,,95,0,141,1.62,64,47,17,0.5,66.0,42.2,23.8,0.7
26,27,38,3420,90,100,38.0,418,84.0,303.0,113,20,153,1.34,44,50,-6,-0.16,40.9,44.4,-3.5,-0.09
27,28,34,3060,90,100,34.0,374,,,101,0,137,1.44,45,45,0,0.0,42.2,41.7,0.5,0.01
28,25,38,3420,90,100,38.0,418,84.0,312.0,105,25,161,1.29,36,42,-6,-0.16,41.1,52.3,-11.1,-0.29
29,30,38,3420,90,100,38.0,418,,,114,0,152,1.29,44,58,-14,-0.37,40.5,52.4,-11.9,-0.31
30,27,38,3420,90,100,38.0,418,,,111,0,325,1.5,54,46,8,0.21,54.5,40.8,13.7,0.36
31,29,34,3060,90,100,34.0,374,,,96,0,142,1.06,32,56,-24,-0.71,39.6,46.1,-6.6,-0.19
32,33,38,3420,90,100,38.0,418,,,113,0,329,1.08,33,43,-10,-0.26,43.5,42.6,0.9,0.02
33,32,38,3420,90,100,38.0,418,84.0,300.0,113,19,153,1.45,42,33,9,0.24,48.2,39.7,8.5,0.22
34,25,38,3420,90,100,38.0,418,85.0,312.0,106,19,159,1.34,50,59,-9,-0.24,50.6,50.4,0.2,0.01
35,23,38,3420,90,100,38.0,418,84.0,304.0,113,20,153,1.24,48,59,-11,-0.29,45.5,49.0,-3.5,-0.09
36,29,34,3060,90,100,34.0,374,,,97,0,138,0.91,29,53,-24,-0.71,37.7,55.9,-18.2,-0.54
37,26,34,3060,90,100,34.0,374,,,100,0,136,1.15,44,54,-10,-0.29,44.6,55.6,-11.0,-0.32
38,32,38,3420,90,100,38.0,418,,,113,0,317,0.66,30,78,-48,-1.26,33.0,70.2,-37.1,-0.98
39,25,34,3060,90,100,34.0,374,,,95,0,142,1.26,43,46,-3,-0.09,39.2,44.3,-5.1,-0.15
40,26,34,3060,90,100,34.0,374,,,102,0,136,1.62,66,48,18,0.53,50.5,47.2,3.3,0.1
41,25,38,3420,90,100,38.0,418,,,112,0,154,0.97,28,58,-30,-0.79,31.3,48.5,-17.2,-0.45
42,22,38,3420,90,100,38.0,418,,,110,0,283,1.89,66,30,36,0.95,56.7,37.2,19.6,0.52
43,24,38,3420,90,100,38.0,418,,,111,0,267,2.5,86,24,62,1.63,55.3,27.4,27.9,0.73
44,31,34,3060,90,100,34.0,374,,,101,0,136,0.65,35,70,-35,-1.03,43.2,67.4,-24.1,-0.71
45,32,38,3420,90,100,38.0,418,84.0,303.0,113,22,150,0.76,38,76,-38,-1.0,51.6,58.7,-7.1,-0.19
46,36,38,3420,90,100,38.0,418,84.0,309.0,106,24,160,0.58,24,74,-50,-1.32,38.5,70.5,-32.0,-0.84
47,24,38,3420,90,100,38.0,418,,,114,0,313,1.89,89,49,40,1.05,63.7,43.9,19.9,0.52
48,28,38,3420,90,100,38.0,418,84.0,304.0,109,23,157,1.13,34,51,-17,-0.45,39.9,47.6,-7.6,-0.2
49,27,38,3420,90,100,38.0,418,,,107,0,159,1.24,56,60,-4,-0.11,50.0,48.1,1.9,0.05
50,33,38,3420,90,100,38.0,418,83.0,303.0,112,25,151,1.21,44,58,-14,-0.37,44.7,63.6,-18.8,-0.5
51,24,34,3060,90,100,34.0,374,,,102,0,135,1.62,58,44,14,0.41,57.5,38.9,18.6,0.55
52,25,38,3420,90,100,38.0,418,83.0,303.0,109,25,157,1.0,41,67,-26,-0.68,36.4,57.9,-21.5,-0.57
53,27,38,3420,90,100,38.0,418,,,111,0,155,1.97,84,38,46,1.21,72.9,33.8,39.1,1.03
54,26,38,3420,90,100,38.0,418,85.0,308.0,108,18,158,2.05,87,43,44,1.16,63.4,40.1,23.3,0.61
55,27,34,3060,90,100,34.0,374,,,97,0,140,1.38,47,52,-5,-0.15,51.1,52.0,-0.8,-0.02
56,27,34,3060,90,100,34.0,374,,,101,0,137,1.06,38,52,-14,-0.41,35.4,47.9,-12.5,-0.37
57,37,38,3420,90,100,38.0,418,83.0,299.0,113,23,152,0.53,24,61,-37,-0.97,38.4,59.4,-21.0,-0.55
58,25,38,3420,90,100,38.0,418,,,106,0,158,2.63,106,27,79,2.08,78.6,23.8,54.8,1.44
59,27,38,3420,90,100,38.0,418,,,111,0,155,2.13,68,28,40,1.05,55.7,40.7,15.0,0.4
60,26,38,3420,90,100,38.0,418,84.0,303.0,113,21,153,2.03,80,47,33,0.87,78.1,41.8,36.3,0.96
61,36,38,3420,90,100,38.0,418,84.0,308.0,102,22,157,0.68,34,76,-42,-1.11,40.3,71.3,-31.0,-0.81
62,23,38,3420,90,100,38.0,418,,,107,0,334,1.68,56,42,14,0.37,51.2,36.9,14.3,0.38
63,32,38,3420,90,100,38.0,418,84.0,305.0,111,20,155,2.11,85,45,40,1.05,62.3,48.5,13.8,0.36
64,23,38,3420,90,100,38.0,418,84.0,306.0,110,21,155,1.34,36,33,3,0.08,42.6,39.0,3.6,0.1
65,30,38,3420,90,100,38.0,418,83.0,301.0,111,24,155,1.37,36,41,-5,-0.13,41.8,38.1,3.7,0.1
66,23,38,3420,90,100,38.0,418,,,113,0,308,2.39,77,29,48,1.26,67.1,27.1,40.1,1.05
67,27,38,3420,90,100,38.0,418,,,112,0,154,1.16,39,47,-8,-0.21,41.6,52.4,-10.8,-0.28
68,31,38,3420,90,100,38.0,418,86.0,319.0,95,15,171,1.42,53,52,1,0.03,49.2,49.5,-0.3,-0.01
69,28,38,3420,90,100,38.0,418,85.0,306.0,105,19,161,2.45,108,29,79,2.08,86.1,34.3,51.7,1.36
70,23,34,3060,90,100,34.0,374,,,98,0,139,1.56,57,53,4,0.12,51.9,46.7,5.2,0.15
71,24,38,3420,90,100,38.0,418,85.0,308.0,105,20,161,2.0,94,44,50,1.32,85.4,43.2,42.2,1.11
72,27,38,3420,90,100,38.0,418,85.0,306.0,108,20,158,1.29,66,59,7,0.18,53.7,50.5,3.1,0.08
73,28,38,3420,90,100,38.0,418,85.0,314.0,101,21,164,1.53,50,44,6,0.16,49.8,49.3,0.5,0.01
74,27,38,3420,90,100,38.0,418,,,114,0,305,2.03,61,28,33,0.87,63.4,37.2,26.2,0.69
75,30,38,3420,90,100,38.0,418,83.0,304.0,107,24,158,1.45,47,50,-3,-0.08,51.0,54.1,-3.1,-0.08
76,27,38,3420,90,100,38.0,418,,,110,0,311,1.42,56,60,-4,-0.11,53.5,60.3,-6.8,-0.18
77,28,38,3420,90,100,38.0,418,,,113,0,322,1.13,29,59,-30,-0.79,46.3,48.9,-2.6,-0.07
78,24,34,3060,90,100,34.0,374,,,102,0,136,1.85,53,37,16,0.47,46.7,40.2,6.6,0.19
79,31,38,3420,90,100,38.0,418,84.0,303.0,114,22,152,1.53,49,58,-9,-0.24,59.5,54.4,5.2,0.14
80,26,38,3420,90,100,38.0,418,,,113,0,153,0.95,37,56,-19,-0.5,39.9,45.2,-5.3,-0.14
81,29,38,3420,90,100,38.0,418,,,110,0,332,1.0,39,59,-20,-0.53,35.8,57.7,-21.9,-0.58
82,30,38,3420,90,100,38.0,418,,,92,0,174,0.87,35,68,-33,-0.87,36.5,62.5,-26.0,-0.69
83,25,38,3420,90,100,38.0,418,85.0,304.0,110,18,156,1.0,44,67,-23,-0.61,45.5,58.4,-12.9,-0.34
84,26,34,3060,90,100,34.0,374,,,100,0,137,1.5,36,36,0,0.0,40.3,43.5,-3.1,-0.09
85,26,38,3420,90,100,38.0,418,,,109,0,157,0.87,28,56,-28,-0.74,31.6,58.6,-27.0,-0.71
86,27,38,3420,90,100,38.0,418,,,106,0,315,1.42,54,46,8,0.21,46.0,47.0,-1.0,-0.03
87,25,38,3420,90,100,38.0,418,,,108,0,157,2.03,74,36,38,1.0,64.7,33.9,30.8,0.81
88,25,38,3420,90,100,38.0,418,84.0,305.0,110,22,156,0.97,38,54,-16,-0.42,45.5,52.1,-6.6,-0.17
89,25,38,3420,90,100,38.0,418,83.0,298.0,114,23,152,0.87,32,59,-27,-0.71,38.0,52.0,-14.0,-0.37
90,27,38,3420,90,100,38.0,418,,,113,0,319,1.05,48,63,-15,-0.39,43.2,49.3,-6.1,-0.16
91,25,38,3420,90,100,38.0,418,85.0,306.0,107,18,159,1.92,65,38,27,0.71,56.0,48.3,7.7,0.2
92,32,38,3420,90,100,38.0,418,84.0,299.0,112,22,153,1.61,57,50,7,0.18,53.3,53.4,-0.1,0.0
93,29,38,3420,90,100,38.0,418,,,111,0,155,1.08,44,64,-20,-0.53,45.0,51.8,-6.8,-0.18
94,25,34,3060,90,100,34.0,374,,,97,0,140,1.24,37,40,-3,-0.09,38.9,45.1,-6.2,-0.18
95,24,38,3420,90,100,38.0,418,,,108,0,157,0.82,31,56,-25,-0.66,36.5,47.9,-11.4,-0.3
96,27,38,3420,90,100,38.0,418,,,97,0,167,1.11,48,68,-20,-0.53,36.7,55.1,-18.4,-0.48
97,29,34,3060,90,100,34.0,374,,,91,0,147,0.97,36,48,-12,-0.35,34.2,52.0,-17.8,-0.52
