,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Max Aarons,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,32.0,1107.0,1469.0,75.4,16588.0,6133.0,645.0,713.0,90.5,383.0,511.0,75.0,57.0,160.0,35.6,2.0,1.7,1.7,0.3,20.0,50.0,37.0,9.0,117.0
1,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,33.1,1284.0,1578.0,81.4,25516.0,9586.0,415.0,469.0,88.5,715.0,787.0,90.9,145.0,266.0,54.5,0.0,0.8,0.6,-0.8,9.0,95.0,7.0,0.0,119.0
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,27.4,1535.0,1701.0,90.2,25518.0,5456.0,748.0,805.0,92.9,655.0,699.0,93.7,108.0,129.0,83.7,0.0,0.9,0.8,-0.9,17.0,87.0,13.0,1.0,108.0
3,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,32.8,1342.0,1660.0,80.8,23767.0,6837.0,606.0,679.0,89.2,535.0,620.0,86.3,152.0,236.0,64.4,2.0,3.7,2.6,-1.7,35.0,147.0,23.0,9.0,171.0
4,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,0.5,3.0,7.0,42.9,46.0,0.0,2.0,3.0,66.7,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,8.1,84.0,137.0,61.3,1009.0,278.0,53.0,78.0,67.9,23.0,36.0,63.9,1.0,3.0,33.3,1.0,1.3,0.6,-0.3,7.0,5.0,6.0,0.0,17.0
6,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,1.1,7.0,9.0,77.8,72.0,15.0,5.0,7.0,71.4,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
7,Tammy Abraham,eng ENG,FW,Roma,Serie A,23.0,1997.0,34.3,485.0,696.0,69.7,6820.0,1622.0,293.0,401.0,73.1,134.0,180.0,74.4,28.0,39.0,71.8,4.0,4.8,2.4,-0.8,38.0,35.0,27.0,3.0,70.0
8,Luis Abram,pe PER,DF,Granada,La Liga,25.0,1996.0,6.2,191.0,226.0,84.5,3666.0,1177.0,56.0,67.0,83.6,113.0,119.0,95.0,18.0,28.0,64.3,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,33.0,1988.0,28.2,1837.0,2043.0,89.9,34996.0,12273.0,678.0,731.0,92.7,919.0,968.0,94.9,211.0,296.0,71.3,0.0,0.5,0.8,-0.5,5.0,119.0,6.0,0.0,119.0
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,Bundesliga,23.0,1998.0,2.9,37.0,64.0,57.8,481.0,117.0,22.0,32.0,68.8,10.0,18.0,55.6,1.0,3.0,33.3,1.0,0.4,0.3,0.6,3.0,3.0,3.0,2.0,2.0
11,Mohamed Achi,fr FRA,MF,Nantes,Ligue 1,19.0,2002.0,0.1,6.0,9.0,66.7,102.0,10.0,1.0,1.0,100.0,3.0,6.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,29.0,1991.0,25.1,1543.0,1963.0,78.6,29328.0,10206.0,662.0,722.0,91.7,640.0,767.0,83.4,219.0,392.0,55.9,3.0,2.9,4.1,0.1,43.0,115.0,43.0,27.0,131.0
13,Che Adams,sct SCO,FW,Southampton,Premier League,25.0,1996.0,22.7,304.0,472.0,64.4,4188.0,1017.0,188.0,256.0,73.4,73.0,106.0,68.9,18.0,34.0,52.9,3.0,3.0,1.7,0.0,26.0,24.0,10.0,0.0,33.0
14,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,22.0,1999.0,15.0,794.0,918.0,86.5,11903.0,3451.0,424.0,460.0,92.2,278.0,307.0,90.6,49.0,71.0,69.0,1.0,0.9,1.4,0.1,7.0,85.0,8.0,0.0,96.0
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,28.0,1993.0,3.7,73.0,101.0,72.3,991.0,255.0,44.0,57.0,77.2,28.0,35.0,80.0,0.0,3.0,0.0,0.0,0.5,0.5,-0.5,4.0,5.0,4.0,2.0,9.0
16,Martin Adeline,fr FRA,"MF,FW",Reims,Ligue 1,17.0,2003.0,3.9,107.0,147.0,72.8,1681.0,608.0,51.0,63.0,81.0,39.0,47.0,83.0,9.0,14.0,64.3,0.0,0.5,0.2,-0.5,3.0,8.0,3.0,0.0,16.0
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,Bundesliga,21.0,2000.0,14.0,376.0,516.0,72.9,5007.0,1529.0,219.0,272.0,80.5,125.0,166.0,75.3,9.0,18.0,50.0,2.0,2.1,1.5,-0.1,14.0,27.0,19.0,4.0,56.0
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,Ligue 1,21.0,2000.0,25.1,906.0,1251.0,72.4,17505.0,6047.0,410.0,480.0,85.4,310.0,407.0,76.2,157.0,279.0,56.3,7.0,5.7,4.3,1.3,59.0,122.0,36.0,4.0,164.0
19,Michel Aebischer,ch SUI,MF,Bologna,Serie A,24.0,1997.0,4.9,205.0,239.0,85.8,3121.0,883.0,105.0,113.0,92.9,78.0,84.0,92.9,12.0,22.0,54.5,0.0,0.4,0.3,-0.4,6.0,14.0,4.0,1.0,19.0
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,Serie A,18.0,2003.0,7.4,114.0,152.0,75.0,1530.0,229.0,67.0,81.0,82.7,34.0,45.0,75.6,6.0,7.0,85.7,0.0,0.6,0.2,-0.6,6.0,4.0,4.0,1.0,7.0
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,25.0,1996.0,18.0,547.0,792.0,69.1,9008.0,4537.0,279.0,349.0,79.9,216.0,294.0,73.5,44.0,110.0,40.0,1.0,0.7,0.7,0.3,14.0,51.0,20.0,12.0,57.0
22,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,20.0,2000.0,4.0,62.0,82.0,75.6,1721.0,1232.0,11.0,11.0,100.0,34.0,34.0,100.0,17.0,37.0,45.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,Lucien Agoume,fr FRA,MF,Brest,Ligue 1,19.0,2002.0,20.8,836.0,996.0,83.9,15009.0,4513.0,371.0,417.0,89.0,328.0,377.0,87.0,112.0,141.0,79.4,0.0,0.7,0.6,-0.7,13.0,86.0,8.0,0.0,116.0
24,Kevin Agudelo,co COL,"MF,FW",Spezia,Serie A,22.0,1998.0,13.7,280.0,389.0,72.0,3788.0,1163.0,165.0,211.0,78.2,90.0,108.0,83.3,7.0,20.0,35.0,1.0,0.9,0.7,0.1,10.0,33.0,11.0,1.0,46.0
26,Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,25.0,1996.0,30.4,1959.0,2204.0,88.9,40414.0,15329.0,613.0,660.0,92.9,1050.0,1106.0,94.9,277.0,398.0,69.6,2.0,0.3,0.3,1.7,4.0,118.0,2.0,0.0,101.0
27,Sergio Agüero,ar ARG,FW,Barcelona,La Liga,33.0,1988.0,1.7,30.0,42.0,71.4,396.0,45.0,14.0,20.0,70.0,12.0,15.0,80.0,0.0,0.0,,0.0,0.1,0.2,-0.1,1.0,3.0,0.0,0.0,3.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,28.0,1993.0,23.8,1435.0,1728.0,83.0,23194.0,8766.0,745.0,806.0,92.4,559.0,658.0,85.0,93.0,178.0,52.2,2.0,0.9,2.9,1.1,12.0,124.0,32.0,5.0,157.0
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,La Liga,21.0,2000.0,0.1,3.0,3.0,100.0,35.0,0.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,Bundesliga,19.0,2002.0,0.7,28.0,32.0,87.5,501.0,62.0,14.0,15.0,93.3,10.0,11.0,90.9,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,Ligue 1,22.0,1999.0,15.0,766.0,858.0,89.3,14146.0,4562.0,310.0,333.0,93.1,353.0,381.0,92.7,89.0,120.0,74.2,1.0,0.9,0.4,0.1,11.0,39.0,5.0,1.0,63.0
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,27.0,1994.0,11.2,339.0,412.0,82.3,5149.0,1077.0,164.0,191.0,85.9,131.0,147.0,89.1,21.0,37.0,56.8,1.0,0.8,1.0,0.2,6.0,23.0,9.0,1.0,38.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,25.0,1995.0,29.3,1270.0,1567.0,81.0,26020.0,8332.0,359.0,420.0,85.5,740.0,830.0,89.2,159.0,278.0,57.2,0.0,0.3,0.5,-0.3,6.0,101.0,5.0,1.0,110.0
34,Ola Aina,ng NGA,DF,Torino,Serie A,24.0,1996.0,16.0,535.0,755.0,70.9,8693.0,3540.0,272.0,316.0,86.1,202.0,280.0,72.1,44.0,93.0,47.3,0.0,1.8,1.4,-1.8,16.0,43.0,20.0,4.0,68.0
35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,Premier League,20.0,2001.0,20.3,763.0,1025.0,74.4,12151.0,4064.0,418.0,472.0,88.6,273.0,361.0,75.6,54.0,141.0,38.3,2.0,1.6,1.1,0.4,17.0,28.0,14.0,10.0,49.0
36,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,23.0,1998.0,22.2,627.0,892.0,70.3,10133.0,4740.0,303.0,372.0,81.5,255.0,342.0,74.6,47.0,105.0,44.8,3.0,1.7,1.8,1.3,8.0,41.0,13.0,2.0,82.0
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,27.0,1994.0,30.4,653.0,906.0,72.1,9171.0,1389.0,386.0,506.0,76.3,172.0,239.0,72.0,43.0,61.0,70.5,8.0,7.0,4.0,1.0,46.0,30.0,23.0,4.0,69.0
38,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,26.0,1995.0,25.1,1819.0,2013.0,90.4,36320.0,13836.0,585.0,629.0,93.0,973.0,1018.0,95.6,235.0,314.0,74.8,0.0,0.1,0.7,-0.1,2.0,122.0,2.0,0.0,115.0
39,Carlos Akapo,gq EQG,DF,Cádiz,La Liga,28.0,1993.0,20.5,611.0,832.0,73.4,10222.0,3920.0,291.0,341.0,85.3,246.0,322.0,76.4,52.0,109.0,47.7,0.0,0.3,1.1,-0.3,7.0,38.0,14.0,11.0,51.0
40,Marley Aké,fr FRA,"FW,MF",Juventus,Serie A,20.0,2001.0,0.9,12.0,16.0,75.0,184.0,58.0,7.0,8.0,87.5,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
41,Nathan Aké,nl NED,DF,Manchester City,Premier League,26.0,1995.0,10.3,796.0,878.0,90.7,13200.0,4534.0,373.0,399.0,93.5,384.0,416.0,92.3,29.0,42.0,69.0,0.0,0.6,0.5,-0.6,2.0,63.0,3.0,0.0,57.0
42,Ilias Akhomach,es ESP,FW,Barcelona,La Liga,17.0,2004.0,1.4,45.0,55.0,81.8,581.0,186.0,29.0,32.0,90.6,13.0,15.0,86.7,1.0,2.0,50.0,0.0,0.6,0.8,-0.6,4.0,4.0,7.0,2.0,11.0
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,Ligue 1,19.0,2002.0,0.6,20.0,22.0,90.9,254.0,86.0,15.0,15.0,100.0,4.0,6.0,66.7,1.0,1.0,100.0,0.0,0.0,0.1,0.0,1.0,3.0,3.0,0.0,5.0
44,Paul Akouokou,ci CIV,MF,Betis,La Liga,23.0,1997.0,5.7,284.0,325.0,87.4,4724.0,1363.0,142.0,156.0,91.0,121.0,136.0,89.0,17.0,24.0,70.8,0.0,0.1,0.3,-0.1,3.0,32.0,2.0,1.0,30.0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,Serie A,28.0,1992.0,3.5,89.0,106.0,84.0,1077.0,154.0,61.0,68.0,89.7,24.0,25.0,96.0,1.0,1.0,100.0,0.0,0.0,0.1,0.0,2.0,6.0,1.0,0.0,3.0
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,Bundesliga,26.0,1995.0,17.0,691.0,917.0,75.4,11479.0,4667.0,332.0,384.0,86.5,289.0,358.0,80.7,52.0,111.0,46.8,2.0,2.6,2.0,-0.6,11.0,57.0,11.0,2.0,87.0
47,David Alaba,at AUT,DF,Real Madrid,La Liga,29.0,1992.0,29.4,1788.0,1968.0,90.9,29585.0,10903.0,831.0,870.0,95.5,804.0,859.0,93.6,102.0,161.0,63.4,3.0,2.2,3.0,0.8,21.0,143.0,15.0,3.0,154.0
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,Ligue 1,23.0,1998.0,1.8,83.0,103.0,80.6,1154.0,309.0,52.0,56.0,92.9,27.0,33.0,81.8,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0
49,Tomás Alarcón,cl CHI,MF,Cádiz,La Liga,22.0,1999.0,15.8,398.0,572.0,69.6,7977.0,2385.0,159.0,193.0,82.4,139.0,185.0,75.1,82.0,143.0,57.3,1.0,1.1,1.4,-0.1,14.0,41.0,7.0,4.0,55.0
50,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,28.0,1992.0,7.3,115.0,171.0,67.3,1392.0,257.0,68.0,92.0,73.9,30.0,44.0,68.2,3.0,6.0,50.0,0.0,1.0,1.5,-1.0,7.0,5.0,5.0,0.0,10.0
52,Jordi Alba,es ESP,DF,Barcelona,La Liga,32.0,1989.0,29.4,2334.0,2795.0,83.5,36392.0,12699.0,1218.0,1329.0,91.6,868.0,995.0,87.2,154.0,273.0,56.4,10.0,7.1,5.8,2.9,58.0,212.0,60.0,18.0,291.0
53,Josué Albert,gf GUF,DF,Clermont Foot,Ligue 1,29.0,1992.0,0.2,5.0,6.0,83.3,62.0,35.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Luis Alberto,es ESP,MF,Lazio,Serie A,28.0,1992.0,26.1,1626.0,1970.0,82.5,25002.0,8252.0,896.0,986.0,90.9,553.0,631.0,87.6,115.0,235.0,48.9,9.0,7.8,6.7,1.2,65.0,235.0,44.0,5.0,223.0
55,Raúl Albiol,es ESP,DF,Villarreal,La Liga,35.0,1985.0,27.4,1339.0,1560.0,85.8,28053.0,9682.0,355.0,392.0,90.6,780.0,850.0,91.8,186.0,277.0,67.1,0.0,0.1,0.2,-0.1,4.0,63.0,1.0,0.0,90.0
56,Marc Albrighton,eng ENG,"FW,DF",Leicester City,Premier League,31.0,1989.0,12.6,347.0,558.0,62.2,5152.0,2040.0,220.0,258.0,85.3,86.0,145.0,59.3,26.0,94.0,27.7,2.0,2.0,1.0,0.0,11.0,23.0,8.0,6.0,26.0
57,Paco Alcácer,es ESP,FW,Villarreal,La Liga,27.0,1993.0,8.7,123.0,175.0,70.3,1444.0,197.0,73.0,99.0,73.7,25.0,33.0,75.8,5.0,8.0,62.5,3.0,1.6,1.2,1.4,7.0,4.0,5.0,0.0,10.0
58,Thiago Alcántara,es ESP,MF,Liverpool,Premier League,30.0,1991.0,17.0,1340.0,1508.0,88.9,24737.0,7150.0,573.0,624.0,91.8,594.0,640.0,92.8,150.0,190.0,78.9,4.0,2.3,1.7,1.7,29.0,211.0,26.0,1.0,214.0
59,Rubén Alcaraz,es ESP,MF,Cádiz,La Liga,30.0,1991.0,12.3,556.0,667.0,83.4,10541.0,3267.0,247.0,267.0,92.5,201.0,226.0,88.9,91.0,138.0,65.9,0.0,0.9,1.2,-0.9,14.0,85.0,12.0,3.0,87.0
60,Omar Alderete,py PAR,DF,Valencia,La Liga,24.0,1996.0,26.7,580.0,961.0,60.4,13798.0,6805.0,153.0,200.0,76.5,276.0,378.0,73.0,141.0,350.0,40.3,0.0,0.1,0.5,-0.1,4.0,78.0,7.0,0.0,89.0
61,Iván Alejo,es ESP,"MF,FW",Cádiz,La Liga,26.0,1995.0,11.8,193.0,329.0,58.7,3129.0,1194.0,103.0,129.0,79.8,54.0,85.0,63.5,23.0,76.0,30.3,2.0,1.8,2.1,0.2,20.0,19.0,23.0,23.0,25.0
