,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Ismael Aaneba,Strasbourg,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Patrick van Aanholt,Crystal Palace,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26
2,Issah Abbas,Mainz 05,0.2,15,12,3,0,0,0,0,3,0,0,0,0,12,0,0
3,Yunis Abdelhamid,Reims,32.1,1762,1697,60,60,0,11,0,0,0,0,0,0,1506,5,10
4,Sabit Abdulai,Getafe,0.7,14,14,0,0,0,1,1,0,0,0,0,0,7,0,1
5,Mehdi Abeid,Nantes,14.7,718,662,52,33,0,9,40,5,14,7,7,0,605,4,7
6,Laurent Abergel,Lorient,32.9,1564,1521,38,31,1,11,26,7,0,0,0,0,1288,5,34
7,Charles Abi,Saint-Étienne,10.1,202,192,10,0,0,1,3,0,0,0,0,0,128,0,10
8,Matthis Abline,Rennes,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Pape Abou Cisse,Saint-Étienne,14.0,681,653,27,25,0,18,1,2,0,0,0,0,521,1,2
10,David Abraham,Eint Frankfurt,13.6,678,616,59,17,0,10,13,42,0,0,0,0,558,3,7
11,Tammy Abraham,Chelsea,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9
12,Amir Abrashi,Freiburg,0.7,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1
13,Gennaro Acampora,Spezia,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1
14,Francesco Acerbi,Lazio,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11
15,Ragnar Ache,Eint Frankfurt,1.1,32,32,0,0,0,0,1,0,0,0,0,0,19,0,2
16,Marcos Acuna,Sevilla,25.9,1767,1487,277,46,0,21,119,206,25,2,20,0,1415,3,30
17,Che Adams,Southampton,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19
18,Tyler Adams,RB Leipzig,20.6,1375,1273,100,22,0,2,19,78,0,0,0,0,1173,2,17
19,Sargis Adamyan,Hoffenheim,5.3,156,151,5,0,0,2,10,3,0,0,0,0,103,0,10
20,Tosin Adarabioyo,Fulham,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11
21,Bobby Adekanye,Cádiz,0.4,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0
22,Yacine Adli,Bordeaux,26.9,1631,1559,65,40,6,25,53,6,18,7,8,0,1327,7,22
23,Andrea Adorante,Parma,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24,Adrian,Liverpool,3.0,100,70,29,7,0,0,0,0,0,0,0,0,78,1,0
26,Martin Agirregabiria,Alavés,17.3,751,563,183,16,0,9,32,165,2,0,0,0,534,5,17
27,Lucien Agoume,Spezia,8.9,487,472,12,11,1,5,1,1,0,0,0,0,434,3,2
28,Felix Agu,Werder Bremen,7.8,299,231,68,0,0,1,12,68,0,0,0,0,210,0,9
29,Kevin Agudelo,Spezia,15.1,328,310,16,0,1,1,11,2,2,0,0,0,228,2,25
30,Nayef Aguerd,Rennes,35.0,2712,2631,80,79,0,30,1,1,0,0,0,0,2449,1,7
31,Sergio Aguero,Manchester City,6.2,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7
32,Ruben Aguilar,Monaco,24.7,1568,1341,221,32,1,14,118,167,22,8,11,0,1265,6,24
33,Naouirou Ahamada,Stuttgart,2.8,125,122,3,3,0,0,0,0,0,0,0,0,110,0,4
34,Matteo Ahlinvi,Nîmes,10.0,322,316,5,5,0,0,6,0,0,0,0,0,258,1,10
