,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
323,Sidiki Cherif,Angers,1.7,24,24,0,0,1,0,1,0,0,0,0,0,12,0,1
324,Lucas Chevalier,Lille,2.0,54,41,13,6,0,0,0,0,0,0,0,0,46,0,0
325,Fabio Chiarodia,Gladbach,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Julian Chicco,Leganés,1.0,24,24,0,0,0,0,0,0,0,0,0,0,20,0,0
327,Chiquinho,Wolves,0.1,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0
328,Pedro Chirivella,Nantes,2.0,115,108,6,5,0,1,2,0,0,0,0,0,89,1,0
329,Joris Chotard,Montpellier,2.0,67,63,4,4,1,2,0,0,0,0,0,0,57,0,0
330,Andreas Christensen,Barcelona,0.3,16,15,1,1,0,0,0,0,0,0,0,0,14,0,0
331,Ryan Christie,Bournemouth,1.0,47,45,2,2,0,0,2,0,0,0,0,0,37,0,0
332,Samuel Chukwueze,Milan,0.7,20,20,0,0,0,0,4,0,0,0,0,0,11,0,0
333,Aaron Ciammaglichella,Torino,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Jasper Cillessen,Las Palmas,2.0,79,68,11,5,0,0,0,0,0,0,0,0,62,0,0
335,Alessandro Circati,Parma,2.0,64,53,11,5,0,0,0,0,0,0,0,0,54,0,0
336,Pathe Ciss,Rayo Vallecano,1.4,51,50,1,1,0,0,0,0,0,0,0,0,35,0,6
338,Seydouba Cisse,Leganés,2.4,96,95,1,0,0,0,2,0,1,0,0,0,82,0,1
339,Jonathan Clauss,Nice,2.0,87,69,17,2,0,0,8,12,3,2,1,0,62,1,2
340,Marcus Coco,Nantes,1.0,46,40,6,2,0,0,4,4,0,0,0,0,35,0,0
341,Saul Coco,Torino,2.0,82,80,2,2,0,0,0,0,0,0,0,0,71,0,1
342,Nathan Collins,Brentford,2.0,106,100,6,6,0,1,0,0,0,0,0,0,94,0,0
343,Lorenzo Colombo,Empoli,1.9,26,24,2,0,0,1,1,0,0,0,0,0,17,0,1
344,Andrea Colpani,Fiorentina,1.1,32,32,0,0,0,0,0,0,0,0,0,0,24,0,0
345,Levi Colwill,Chelsea,2.0,125,117,8,4,0,0,0,0,0,0,0,0,118,0,1
346,Kingsley Coman,Bayern Munich,0.2,9,8,1,0,0,0,1,1,0,0,0,0,6,0,0
347,Eray Comert,Valladolid,1.9,70,65,5,4,0,2,0,0,0,0,0,0,60,0,1
348,Santi Comesana,Villarreal,2.8,133,132,1,1,0,3,1,0,0,0,0,0,123,0,3
349,Pietro Comuzzo,Fiorentina,1.7,89,88,1,1,0,1,0,0,0,0,0,0,78,0,0
350,Diego Conde,Villarreal,3.0,79,61,17,4,0,0,0,0,0,0,0,0,60,1,0
351,Tomas Conechny,Alavés,1.4,29,26,2,0,0,0,6,1,1,0,1,0,13,1,3
352,Sirlord Conteh,Heidenheim,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
353,Lewis Cook,Bournemouth,1.9,90,76,14,5,0,0,12,0,9,6,1,0,64,0,2
354,Copete,Mallorca,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Diego Coppola,Hellas Verona,2.0,78,75,2,2,0,0,0,0,0,0,0,0,64,1,0
356,Derek Cornelius,Marseille,1.0,62,59,3,3,0,0,0,0,0,0,0,0,51,0,2
357,Angel Correa,Atlético Madrid,0.9,30,28,1,0,0,0,1,0,0,0,0,0,25,1,0
358,Thierry Correia,Valencia,1.9,109,86,22,2,0,1,5,20,0,0,0,0,84,1,1
359,David Pereira da Costa,Lens,0.3,13,12,1,0,0,0,2,0,1,1,0,0,12,0,0
360,Logan Costa,Villarreal,0.4,18,18,0,0,0,0,0,0,0,0,0,0,17,0,0
361,Logan Costa,Toulouse,1.0,56,55,1,0,0,0,1,1,0,0,0,0,47,0,0
362,Samu Costa,Mallorca,3.0,141,140,1,1,0,5,4,0,0,0,0,0,117,0,5
364,Vladimir Coufal,West Ham,1.6,69,51,18,2,0,0,4,16,0,0,0,0,53,0,3
365,Lassana Coulibaly,Lecce,0.6,34,33,1,1,1,0,0,0,0,0,0,0,30,0,0
366,Lasso Coulibaly,Auxerre,0.4,10,10,0,0,0,0,1,0,0,0,0,0,9,0,0
367,Tanguy Coulibaly,Montpellier,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
368,Woyo Coulibaly,Parma,2.0,71,60,11,3,1,1,1,8,0,0,0,0,59,0,0
369,Thibaut Courtois,Real Madrid,2.0,56,48,8,1,0,0,0,0,0,0,0,0,52,0,0
370,Aaron Cresswell,West Ham,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Charlie Cresswell,Toulouse,2.0,125,113,12,2,0,0,0,3,0,0,0,0,97,0,4
372,Bryan Cristante,Roma,1.7,95,90,4,4,1,0,0,0,0,0,0,0,77,1,1
373,Domen Crnigoj,Venezia,0.2,9,9,0,0,0,0,2,0,0,0,0,0,5,0,3
374,Juan Cruz Armada,Osasuna,0.3,26,19,7,0,0,0,1,7,0,0,0,0,22,0,0
375,Juan Cruz,Leganés,1.7,53,42,11,4,1,0,12,0,7,4,3,0,32,0,2
376,Pau Cubarsi,Barcelona,2.7,213,203,10,4,0,3,0,0,0,0,0,0,197,0,0
377,Marc Cucurella,Chelsea,1.8,123,105,18,3,1,0,3,15,0,0,0,0,110,0,1
378,Matheus Cunha,Wolves,1.1,32,22,10,3,0,1,6,0,3,1,2,0,23,0,0
379,Patrick Cutrone,Como,1.7,38,33,4,0,0,0,6,0,0,0,0,0,23,1,1
380,Tomas Cvancara,Gladbach,0.2,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0
381,Wylan Cyprien,Parma,0.3,21,20,0,0,1,0,0,0,0,0,0,0,14,1,1
382,Lucas Da Cunha,Como,1.2,47,43,4,3,0,1,2,0,1,0,1,0,35,0,3
383,Thijs Dallinga,Bologna,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Diogo Dalot,Manchester Utd,2.0,126,112,14,3,1,0,4,11,0,0,0,0,109,0,3
385,Mikkel Damsgaard,Brentford,0.5,23,21,1,1,0,0,2,0,0,0,0,0,16,1,0
386,Danilo,Nott'ham Forest,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
387,Danilo,Juventus,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
388,Arnaut Danjuma,Villarreal,2.2,30,28,2,0,0,1,0,0,0,0,0,0,23,0,1
390,Kevin Danois,Auxerre,0.1,9,7,2,0,0,0,0,2,0,0,0,0,8,0,0
391,Kevin Danso,Lens,2.0,108,95,13,6,0,0,0,0,0,0,0,0,87,0,1
392,Dante,Nice,2.0,167,161,6,6,0,1,1,0,0,0,0,0,144,0,2
393,Pape Daouda Diongue,Strasbourg,0.5,24,24,0,0,0,0,0,0,0,0,0,0,19,0,0
394,Sergi Darder,Mallorca,2.6,106,86,19,5,0,5,13,3,6,1,5,0,74,1,1
395,Matteo Darmian,Inter,1.5,72,58,13,1,0,0,2,12,0,0,0,0,57,1,1
396,Lukas Daschner,Bochum,0.7,15,13,2,2,0,0,3,0,0,0,0,0,7,0,0
397,Juan David Cabal,Juventus,1.8,146,132,13,0,0,1,4,13,0,0,0,0,124,1,6
398,Jonathan David,Lille,1.5,33,31,2,0,0,0,0,0,0,0,0,0,25,0,2
399,Alphonso Davies,Bayern Munich,1.0,47,38,9,2,0,0,0,7,0,0,0,0,42,0,1
400,Keinan Davis,Udinese,0.2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0
401,Leif Davis,Ipswich Town,2.0,64,44,19,5,0,0,7,12,2,0,1,0,44,1,2
402,Zuriko Davitashvili,Saint-Étienne,1.7,42,33,7,1,0,0,4,2,4,0,4,0,30,2,0
403,Pawel Dawidowicz,Hellas Verona,2.0,97,90,7,4,0,3,1,3,0,0,0,0,84,0,1
404,Craig Dawson,Wolves,0.3,12,11,1,1,0,1,0,0,0,0,0,0,12,0,0
405,Kevin De Bruyne,Manchester City,2.0,162,143,18,3,2,1,11,6,7,3,1,0,132,1,4
406,Charles De Ketelaere,Atalanta,1.7,65,58,7,0,0,0,2,3,0,0,0,0,55,0,0
407,Rodrigo De Paul,Atlético Madrid,1.6,123,114,7,3,1,3,7,3,1,0,1,0,100,2,3
408,Koni De Winter,Genoa,2.0,56,53,3,2,0,0,0,0,0,0,0,0,47,0,0
409,Alessandro Deiola,Cagliari,2.0,35,32,2,0,1,1,1,2,0,0,0,0,21,1,3
410,Romain Del Castillo,Brest,2.0,101,87,14,3,0,1,11,4,7,3,3,0,72,0,6
411,Enrico Del Prato,Parma,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
412,Liam Delap,Ipswich Town,1.7,22,22,0,0,0,1,0,0,0,0,0,0,13,0,2
413,Fisayo Dele-Bashiru,Lazio,1.7,61,61,0,0,0,0,1,0,0,0,0,0,58,0,0
414,Ali Dembele,Torino,0.3,7,6,1,0,0,0,0,1,0,0,0,0,6,0,1
416,Ousmane Dembele,Paris S-G,0.9,57,48,9,1,0,0,7,1,7,0,4,0,46,0,3
417,Ermedin Demirovic,Stuttgart,1.0,18,16,2,0,0,0,0,0,0,0,0,0,11,0,2
418,Arthur Desmas,Le Havre,2.0,54,36,18,5,0,0,0,0,0,0,0,0,35,0,0
419,Kiernan Dewsbury-Hall,Chelsea,0.4,29,29,0,0,0,0,0,0,0,0,0,0,23,0,0
420,Michele Di Gregorio,Juventus,2.0,57,44,13,0,0,0,0,0,0,0,0,0,50,0,0
421,Giovanni Di Lorenzo,Napoli,2.0,103,94,9,6,0,1,3,3,0,0,0,0,86,0,1
422,Boulaye Dia,Lazio,0.3,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
423,Mamadou Diakhon,Reims,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
424,Bafode Diakite,Lille,2.0,183,178,5,4,0,0,0,0,0,0,0,0,178,0,1
425,Oumar Diakite,Reims,1.4,27,23,4,0,0,0,0,0,0,0,0,0,22,0,2
426,Amad Diallo,Manchester Utd,1.7,78,69,6,1,0,0,4,1,4,2,0,1,61,3,3
427,Habib Diarra,Strasbourg,1.8,59,59,0,0,0,0,1,0,0,0,0,0,51,0,0
428,Moussa Diarra,Alavés,1.7,59,39,20,3,0,0,1,17,0,0,0,0,44,0,1
429,Ruben Dias,Manchester City,2.0,187,179,8,4,0,1,1,0,0,0,0,0,183,0,2
430,Kandet Diawara,Le Havre,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
431,Mahamadou Diawara,Lyon,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
432,Brahim Diaz,Real Madrid,0.3,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0
433,Luis Diaz,Liverpool,1.8,64,62,2,0,0,0,1,2,0,0,0,0,59,0,0
434,Pedro Diaz,Rayo Vallecano,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
435,Tyler Dibling,Southampton,0.3,21,18,3,2,0,0,1,1,0,0,0,0,18,0,0
