,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
278,Emre Can,DE,MF,Dortmund,Bundesliga,30,1994,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
279,Matteo Cancellieri,IT,"MF,FW",Parma,Serie A,22,2002,2,0,47,0.5,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,3,3,6,1.91,0.00,1.91,1.91,1.91,1.22,0.03,1.25,1.22,1.25
280,Antonio Candela,IT,DF,Venezia,Serie A,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
281,Pierrick Capelle,FR,MF,Angers,Ligue 1,37,1987,2,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
282,Gianluca Caprari,IT,MF,Monza,Serie A,31,1993,2,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24
283,Francesco Caputo,IT,FW,Empoli,Serie A,37,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
284,Maxence Caqueret,FR,MF,Lyon,Ligue 1,24,2000,2,2,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,18,0,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.10,0.07,0.10
286,Valentin Carboni,AR,FW,Marseille,Ligue 1,19,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29
287,Cardenas,ES,GK,Rayo Vallecano,La Liga,27,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
288,Irvin Cardona,FR,"MF,FW",Espanyol,La Liga,27,1997,2,1,101,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.11,0.08,0.11
289,Marc Cardona,ES,FW,Las Palmas,La Liga,29,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
290,Sergi Cardona,ES,DF,Villarreal,La Liga,25,1999,3,3,270,3.0,1,1,2,1,0,0,0,0,1.0,1.0,0.6,1.6,5,13,17,0.33,0.33,0.67,0.33,0.67,0.35,0.20,0.55,0.35,0.55
291,Johnny Cardoso,US,MF,Betis,La Liga,22,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64
292,Carmona,ES,DF,Sevilla,La Liga,22,2002,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,16,3,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
293,Marco Carnesecchi,IT,GK,Atalanta,Serie A,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
294,Sergio Carreira,ES,MF,Celta Vigo,La Liga,23,2000,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
295,Dani Carvajal,ES,DF,Real Madrid,La Liga,32,1992,2,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,13,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
296,Fabio Carvalho,PT,"MF,FW",Brentford,Premier League,21,2002,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
297,William Carvalho,PT,MF,Betis,La Liga,32,1992,2,2,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
298,Marc Casado,ES,MF,Barcelona,La Liga,20,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,10,4,0.00,0.00,0.00,0.00,0.00,0.60,0.11,0.71,0.60,0.71
299,Nicolo Casale,IT,DF,Lazio,Serie A,26,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
300,Casemiro,BR,MF,Manchester Utd,Premier League,32,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.3,0,6,2,0.00,0.00,0.00,0.00,0.00,0.13,0.50,0.63,0.13,0.63
301,Matty Cash,PL,DF,Aston Villa,Premier League,27,1997,2,2,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
302,Josue Casimir,FR,FW,Le Havre,Ligue 1,22,2001,2,2,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,2,9,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
303,Federico Cassa,IT,"MF,FW",Atalanta,Serie A,18,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
