,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Julen Agirrezabala,Athletic Club,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,0.0
1,Alisson,Liverpool,28,28,2520,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0
2,Alphonse Areola,West Ham,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6
3,Simone Aresti,Cagliari,1,0,1,0.0,1,90.00,1,0,100.0,0,0,0,0,0.0,1,1,0,0,0.0
4,Kepa Arrizabalaga,Real Madrid,14,13,1198,13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,0.0
5,Noah Atubolu,Freiburg,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0
6,Emil Audero,Inter,4,4,337,3.7,3,0.80,11,8,72.7,2,1,1,2,50.0,0,0,0,0,0.0
7,Nicola Bagnolini,Bologna,1,0,5,0.1,0,0.00,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0
8,Augusto Batalla,Granada,17,17,1530,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,0.0
9,Daniel Batz,Mainz 05,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,0.0
10,Oliver Baumann,Hoffenheim,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0
11,Alaa Bellaarouch,Strasbourg,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0
12,Daniel Bentley,Wolves,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,0.0
