,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Julen Agirrezabala,Athletic Club,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,0.0
1,Dogan Alemdar,Rennes,12,12,1080,12.0,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0
2,Alisson,Liverpool,36,36,3240,36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,0.0
3,Alphonse Areola,West Ham,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,0.0
4,Kepa Arrizabalaga,Chelsea,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,0.0
5,Sergio Asenjo,Villarreal,6,6,540,6.0,9,1.50,28,19,71.4,2,2,2,0,0.0,1,1,0,0,0.0
6,Emil Audero,Sampdoria,29,29,2560,28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0
7,Daniel Bachmann,Watford,12,12,1080,12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0
8,Edgar Badia,Elche,24,24,2160,24.0,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5
9,Nicola Bagnolini,Bologna,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,0.0,0,0,0,0,0.0
10,Stefan Bajic,Saint-Étienne,7,4,510,5.7,13,2.29,29,16,62.1,0,1,3,0,0.0,2,2,0,0,0.0
11,Francesco Bardi,Bologna,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0,0.0
12,Oliver Baumann,Hoffenheim,33,33,2970,33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3
13,Asmir Begovic,Everton,3,3,270,3.0,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0
14,Vid Belec,Salernitana,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0
15,Walter Benitez,Nice,37,37,3330,37.0,35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0
16,Alessandro Berardi,Hellas Verona,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,0.0
17,Etrit Berisha,Torino,10,10,900,10.0,8,0.80,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3
18,Paul Bernardoni,Angers,13,13,1170,13.0,19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,0.0
19,Paul Bernardoni,Saint-Étienne,19,19,1710,19.0,37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,0.0
20,Dimitry Bertaud,Montpellier,11,9,833,9.3,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,0.0
