,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
184,Keita Baldé,sn SEN,FW,Sampdoria,Serie A,25.0,1995.0,13.3,230.0,315.0,73.0,3100.0,526.0,135.0,169.0,79.9,74.0,96.0,77.1,7.0,18.0,38.9,1.0,2.4,1.3,-1.4,21.0,14.0,6.0,0.0,26.0
185,George Baldock,gr GRE,DF,Sheffield Utd,Premier League,27.0,1993.0,31.0,888.0,1153.0,77.0,11908.0,3743.0,582.0,647.0,90.0,229.0,305.0,75.1,36.0,98.0,36.7,2.0,2.9,1.8,-0.9,18.0,47.0,23.0,7.0,75.0
186,Gareth Bale,wls WAL,FW,Tottenham,Premier League,31.0,1989.0,10.2,285.0,416.0,68.5,5015.0,1496.0,142.0,173.0,82.1,87.0,126.0,69.0,41.0,72.0,56.9,2.0,1.8,1.2,0.2,21.0,24.0,17.0,3.0,43.0
187,Mikel Balenziaga,es ESP,DF,Athletic Club,La Liga,32.0,1988.0,18.8,715.0,951.0,75.2,11409.0,3662.0,360.0,406.0,88.7,288.0,371.0,77.6,46.0,104.0,44.2,1.0,0.8,0.7,0.2,8.0,43.0,10.0,9.0,52.0
188,Leonardo Balerdi,ar ARG,DF,Marseille,Ligue 1,21.0,1999.0,18.2,921.0,1064.0,86.6,17058.0,5887.0,343.0,378.0,90.7,477.0,525.0,90.9,87.0,129.0,67.4,0.0,0.0,0.1,0.0,1.0,41.0,0.0,0.0,48.0
189,Fodé Ballo-Touré,sn SEN,DF,Monaco,Ligue 1,23.0,1997.0,7.4,349.0,432.0,80.8,5366.0,1549.0,198.0,222.0,89.2,117.0,140.0,83.6,24.0,42.0,57.1,3.0,0.7,0.7,2.3,8.0,25.0,11.0,7.0,24.0
190,Botond Balogh,hu HUN,DF,Parma,Serie A,18.0,2002.0,1.8,59.0,79.0,74.7,1277.0,419.0,12.0,16.0,75.0,35.0,42.0,83.3,11.0,18.0,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
191,Abdoulaye Bamba,ci CIV,DF,Angers,Ligue 1,30.0,1990.0,15.0,650.0,875.0,74.3,10169.0,4909.0,358.0,398.0,89.9,223.0,298.0,74.8,46.0,118.0,39.0,0.0,1.4,1.4,-1.4,8.0,47.0,11.0,5.0,53.0
192,Jonathan Bamba,fr FRA,MF,Lille,Ligue 1,24.0,1996.0,33.2,1305.0,1680.0,77.7,19157.0,4900.0,751.0,841.0,89.3,374.0,472.0,79.2,104.0,210.0,49.5,9.0,5.1,5.4,3.9,64.0,94.0,43.0,9.0,128.0
193,Robson Bambu,br BRA,DF,Nice,Ligue 1,22.0,1997.0,11.6,720.0,827.0,87.1,13344.0,4730.0,266.0,285.0,93.3,392.0,423.0,92.7,58.0,96.0,60.4,0.0,0.0,0.1,0.0,0.0,19.0,0.0,0.0,21.0
194,Patrick Bamford,eng ENG,FW,Leeds United,Premier League,26.0,1993.0,33.9,394.0,516.0,76.4,4378.0,832.0,238.0,290.0,82.1,85.0,111.0,76.6,6.0,10.0,60.0,7.0,3.5,1.7,3.5,30.0,18.0,11.0,1.0,31.0
195,Mattia Bani,it ITA,DF,Genoa,Serie A,26.0,1993.0,10.2,443.0,529.0,83.7,8734.0,3270.0,142.0,163.0,87.1,236.0,258.0,91.5,58.0,88.0,65.9,0.0,0.2,0.2,-0.2,2.0,14.0,2.0,1.0,15.0
196,Mattia Bani,it ITA,DF,Parma,Serie A,26.0,1993.0,12.7,633.0,712.0,88.9,13012.0,4280.0,167.0,187.0,89.3,382.0,398.0,96.0,79.0,115.0,68.7,0.0,0.4,0.3,-0.4,2.0,23.0,2.0,1.0,32.0
197,Simon Banza,fr FRA,FW,Lens,Ligue 1,23.0,1996.0,15.2,228.0,321.0,71.0,3292.0,581.0,117.0,159.0,73.6,83.0,101.0,82.2,13.0,21.0,61.9,2.0,2.1,1.3,-0.1,12.0,28.0,7.0,2.0,34.0
198,Antonín Barák,cz CZE,MF,Hellas Verona,Serie A,25.0,1994.0,30.7,1017.0,1311.0,77.6,16319.0,4200.0,523.0,629.0,83.1,395.0,476.0,83.0,67.0,104.0,64.4,3.0,2.2,2.0,0.8,24.0,126.0,26.0,2.0,147.0
199,Federico Barba,it ITA,DF,Benevento,Serie A,26.0,1993.0,29.5,1095.0,1396.0,78.4,19174.0,7531.0,465.0,527.0,88.2,496.0,606.0,81.8,101.0,198.0,51.0,2.0,1.4,1.3,0.6,13.0,56.0,14.0,4.0,80.0
200,Danilo Barbosa,br BRA,DF,Nice,Ligue 1,24.0,1996.0,2.8,178.0,203.0,87.7,3422.0,1147.0,48.0,56.0,85.7,119.0,123.0,96.7,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0
201,Barcia,es ESP,DF,Granada,La Liga,19.0,2000.0,1.0,13.0,33.0,39.4,249.0,81.0,7.0,10.0,70.0,4.0,15.0,26.7,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
202,Melvin Bard,fr FRA,DF,Lyon,Ligue 1,19.0,2000.0,4.8,309.0,385.0,80.3,4557.0,1389.0,179.0,202.0,88.6,121.0,143.0,84.6,6.0,27.0,22.2,0.0,0.4,0.4,-0.4,4.0,23.0,6.0,3.0,30.0
