,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Brenden Aaronson,Leeds United,26.4,95,3.60,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1
1,Paxten Aaronson,Eint Frankfurt,1.9,8,4.16,4,1,0,2,1,0,2,1.04,1,0,0,1,0,0
2,James Abankwah,Udinese,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,George Abbott,Tottenham,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Yunis Abdelhamid,Reims,37.0,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0
5,Himad Abdelli,Angers,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0
6,Salis Abdul Samed,Lens,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0
7,Laurent Abergel,Lorient,26.0,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0
8,Oliver Abildgaard,Hellas Verona,6.6,9,1.37,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0
9,Matthis Abline,Auxerre,9.0,15,1.67,8,0,5,0,2,0,3,0.33,1,0,1,0,1,0
10,Matthis Abline,Rennes,1.2,7,5.94,2,0,0,3,1,1,2,1.70,0,0,0,0,1,1
11,Abner,Betis,6.7,8,1.18,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0
12,Zakaria Aboukhlal,Toulouse,27.5,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0
13,Tammy Abraham,Roma,24.3,70,2.88,46,0,7,10,7,0,9,0.37,4,0,1,3,1,0
14,Christian Acella,Cremonese,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Francesco Acerbi,Inter,26.9,37,1.37,34,1,0,2,0,0,1,0.04,1,0,0,0,0,0
16,Alvaro Aceves,Valladolid,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Mohamed Achi,Nantes,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Marcos Acuna,Sevilla,21.2,65,3.04,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0
19,Che Adams,Southampton,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0
20,Tyler Adams,Leeds United,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0
21,Sargis Adamyan,Köln,7.2,22,3.07,16,0,0,6,0,0,3,0.42,1,0,0,2,0,0
22,Tosin Adarabioyo,Fulham,23.2,18,0.78,15,0,0,3,0,0,0,0.00,0,0,0,0,0,0
23,Martin Adeline,Reims,1.2,2,1.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Karim Adeyemi,Dortmund,15.4,59,3.83,40,0,8,5,4,2,12,0.78,9,0,2,1,0,0
26,Amine Adli,Leverkusen,15.9,56,3.50,36,3,4,4,8,1,11,0.69,6,0,3,0,2,0
27,Yacine Adli,Milan,1.6,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0
28,Michel Aebischer,Bologna,17.1,35,2.04,25,3,2,2,2,1,3,0.18,1,0,0,1,1,0
29,Felix Afena-Gyan,Cremonese,9.1,15,1.65,10,0,1,4,0,0,1,0.11,0,0,0,1,0,0
30,Emmanuel Agbadou,Reims,26.5,31,1.17,26,1,0,4,0,0,3,0.11,2,0,0,1,0,0
31,Julen Agirrezabala,Athletic Club,7.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
32,Lucien Agoume,Troyes,12.2,27,2.22,23,3,0,1,0,0,1,0.08,1,0,0,0,0,0
33,Felix Agu,Werder Bremen,0.5,4,7.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
34,Alvaro Aguado,Valladolid,21.0,76,3.62,56,13,3,0,4,0,4,0.19,2,2,0,0,0,0
35,Kevin Agudelo,Spezia,23.7,59,2.49,41,1,9,4,4,0,3,0.13,2,0,0,0,1,0
36,Nayef Aguerd,West Ham,17.7,14,0.79,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0
37,Ruben Aguilar,Monaco,13.0,18,1.38,14,1,0,1,1,1,2,0.15,2,0,0,0,0,0
38,Naouirou Ahamada,Crystal Palace,1.0,2,1.91,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
39,Naouirou Ahamada,Stuttgart,15.5,38,2.45,31,0,3,2,1,1,7,0.45,7,0,0,0,0,0
40,Amar Ahmed,Troyes,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Jean-Eudes Aholou,Strasbourg,14.4,28,1.94,21,1,0,1,2,3,2,0.14,2,0,0,0,0,0
