,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,19.0,1999.0,3.0,204.0,68.0,6.0,2.3,3.0,68.0,1.0,0.0,,7.0,0.33,0.0,2.0,-2.0,-0.88,-1.22,1.3,3.1,-1.8,-0.8,-0.57
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,27.0,1990.0,36.0,3195.0,89.0,93.4,35.5,36.0,89.0,33.0,0.0,,2.0,1.19,44.0,46.0,-2.0,-0.06,-0.06,44.1,46.3,-2.2,-0.06,0.07
2,Ignazio Abate,it ITA,DF,Milan,Serie A,31.0,1986.0,19.0,1302.0,69.0,38.1,14.5,15.0,82.0,8.0,4.0,17.0,19.0,2.11,22.0,13.0,9.0,0.62,0.2,19.9,14.2,5.7,0.4,0.32
3,Issah Abbas,gh GHA,FW,Mainz 05,Bundesliga,19.0,1998.0,1.0,9.0,9.0,0.3,0.1,0.0,,0.0,1.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.32,0.1,0.1,0.0,-0.4,-0.16
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,30.0,1987.0,38.0,3420.0,90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,1.45,39.0,42.0,-3.0,-0.08,,38.1,45.0,-6.9,-0.18,
5,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,28.0,1989.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,25.0,1992.0,26.0,2023.0,78.0,59.2,22.5,23.0,84.0,16.0,3.0,28.0,1.0,0.81,18.0,30.0,-12.0,-0.53,0.56,22.2,31.3,-9.2,-0.41,0.19
7,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,Ligue 1,18.0,2000.0,3.0,32.0,11.0,0.9,0.4,0.0,,0.0,3.0,11.0,4.0,1.67,0.0,0.0,0.0,0.0,-0.48,1.0,1.3,-0.3,-0.75,-0.92
8,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,32.0,1986.0,17.0,1420.0,84.0,46.4,15.8,17.0,84.0,15.0,0.0,,3.0,1.35,28.0,29.0,-1.0,-0.06,-0.78,25.9,26.6,-0.6,-0.04,-0.43
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,28.0,1990.0,10.0,790.0,79.0,25.8,8.8,9.0,85.0,7.0,1.0,22.0,2.0,1.2,10.0,15.0,-5.0,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45
10,Francesco Acerbi,it ITA,DF,Lazio,Serie A,30.0,1988.0,37.0,3309.0,89.0,96.8,36.8,37.0,89.0,36.0,0.0,,0.0,1.59,55.0,44.0,11.0,0.3,1.11,58.7,45.2,13.6,0.37,0.46
11,Afriyie Acquah,gh GHA,MF,Empoli,Serie A,26.0,1992.0,28.0,1510.0,54.0,44.2,16.8,19.0,73.0,5.0,9.0,14.0,6.0,1.11,20.0,29.0,-9.0,-0.54,-0.07,18.4,25.2,-6.8,-0.41,-0.2
12,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,19.0,1999.0,10.0,721.0,72.0,23.6,8.0,8.0,85.0,6.0,2.0,23.0,1.0,2.1,18.0,2.0,16.0,2.0,1.3,17.3,6.9,10.4,1.3,0.73
13,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,31.0,1987.0,1.0,90.0,90.0,2.6,1.0,1.0,90.0,1.0,0.0,,35.0,2.0,5.0,4.0,1.0,1.0,0.32,1.9,2.7,-0.8,-0.8,-0.96
14,Aday,es ESP,"DF,MF",Girona,La Liga,30.0,1987.0,10.0,645.0,65.0,18.9,7.2,8.0,76.0,4.0,2.0,18.0,0.0,1.2,10.0,10.0,0.0,0.0,0.52,9.4,9.5,-0.1,-0.01,0.28
15,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,33.0,1985.0,23.0,1994.0,87.0,58.3,22.2,22.0,89.0,20.0,1.0,45.0,10.0,0.91,16.0,32.0,-16.0,-0.72,-0.41,18.3,28.1,-9.7,-0.44,-0.14
16,Claud Adjapong,it ITA,"MF,FW",Sassuolo,Serie A,20.0,1998.0,5.0,270.0,54.0,7.9,3.0,3.0,81.0,1.0,2.0,14.0,21.0,1.4,3.0,2.0,1.0,0.33,0.56,2.2,4.1,-2.0,-0.65,-0.46
17,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,18.0,2000.0,7.0,216.0,31.0,6.3,2.4,2.0,71.0,0.0,5.0,15.0,3.0,0.57,0.0,2.0,-2.0,-0.83,-0.66,2.0,2.9,-1.0,-0.4,-0.04
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,Serie A,24.0,1993.0,3.0,166.0,55.0,4.9,1.8,2.0,76.0,1.0,1.0,14.0,13.0,0.33,3.0,5.0,-2.0,-1.08,-2.0,3.5,2.9,0.6,0.34,-0.51
19,Amir Adouyev,ru RUS,MF,Montpellier,Ligue 1,19.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,
20,Adrián,es ESP,GK,West Ham,Premier League,31.0,1987.0,0.0,,,,,0.0,,0.0,0.0,,38.0,,,,,,,,,,,
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,37.0,1981.0,20.0,943.0,47.0,27.6,10.5,10.0,80.0,4.0,10.0,14.0,3.0,1.15,6.0,14.0,-8.0,-0.76,-0.91,11.4,13.2,-1.8,-0.17,-0.16
22,Luis Advíncula,pe PER,DF,Rayo Vallecano,La Liga,28.0,1990.0,28.0,2389.0,85.0,69.9,26.5,27.0,88.0,24.0,1.0,14.0,6.0,0.86,33.0,48.0,-15.0,-0.57,0.66,33.1,41.2,-8.1,-0.3,-0.02
23,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,22.0,1996.0,27.0,2032.0,75.0,59.4,22.6,23.0,88.0,18.0,4.0,5.0,4.0,1.37,24.0,30.0,-6.0,-0.27,0.06,24.4,31.6,-7.2,-0.32,-0.01
24,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,22.0,1996.0,13.0,1050.0,81.0,30.7,11.7,12.0,87.0,10.0,1.0,3.0,7.0,0.85,11.0,17.0,-6.0,-0.51,0.36,11.1,15.9,-4.8,-0.41,0.11
26,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,30.0,1988.0,33.0,2459.0,75.0,71.9,27.3,31.0,78.0,8.0,2.0,27.0,1.0,2.61,72.0,15.0,57.0,2.09,0.68,58.9,17.7,41.2,1.51,-0.22
27,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,25.0,1993.0,29.0,2528.0,87.0,73.9,28.1,29.0,87.0,26.0,0.0,,0.0,1.52,39.0,30.0,9.0,0.32,0.12,37.7,31.8,5.8,0.21,-0.04
28,Juan Aguilera,es ESP,MF,Huesca,La Liga,32.0,1985.0,6.0,344.0,57.0,10.1,3.8,4.0,64.0,1.0,2.0,45.0,20.0,0.17,1.0,5.0,-4.0,-1.05,-0.52,3.1,4.9,-1.8,-0.47,-0.24
29,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,27.0,1990.0,4.0,161.0,40.0,4.7,1.8,2.0,69.0,0.0,2.0,12.0,7.0,1.5,2.0,5.0,-3.0,-1.68,-1.37,1.8,4.9,-3.2,-1.77,-1.38
30,Jean-Eudes Aholou,ci CIV,MF,Monaco,Ligue 1,24.0,1994.0,17.0,1075.0,63.0,31.4,11.9,12.0,77.0,7.0,5.0,31.0,5.0,1.0,10.0,13.0,-3.0,-0.25,0.36,15.6,13.9,1.7,0.14,0.32
31,Antonis Aidonis,de GER,DF,Stuttgart,Bundesliga,17.0,2001.0,2.0,80.0,40.0,2.6,0.9,1.0,80.0,0.0,1.0,0.0,4.0,1.5,0.0,2.0,-2.0,-2.25,-1.16,0.4,1.3,-0.9,-0.98,-0.4
32,Ola Aina,ng NGA,DF,Torino,Serie A,21.0,1996.0,30.0,2160.0,72.0,63.2,24.0,22.0,86.0,15.0,8.0,34.0,2.0,1.63,31.0,23.0,8.0,0.33,-0.17,30.3,31.7,-1.4,-0.06,-0.08
33,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,Ligue 1,22.0,1996.0,13.0,936.0,72.0,27.4,10.4,11.0,82.0,7.0,2.0,16.0,1.0,1.85,16.0,9.0,7.0,0.67,0.27,13.4,14.2,-0.8,-0.07,-0.33
34,Youssef Aït Bennasser,ma MAR,MF,Monaco,Ligue 1,22.0,1996.0,13.0,1073.0,83.0,31.4,11.9,12.0,88.0,10.0,1.0,20.0,4.0,0.85,13.0,18.0,-5.0,-0.42,0.12,13.9,16.8,-2.8,-0.24,-0.24
35,Rayan Aït Nouri,dz ALG,"DF,MF",Angers,Ligue 1,17.0,2001.0,3.0,57.0,19.0,1.7,0.6,0.0,,0.0,3.0,19.0,16.0,0.33,1.0,3.0,-2.0,-3.16,-3.08,0.9,2.0,-1.1,-1.77,-1.88
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,24.0,1994.0,25.0,1531.0,61.0,44.8,17.0,18.0,78.0,6.0,7.0,17.0,3.0,1.2,22.0,25.0,-3.0,-0.18,-0.8,17.6,23.3,-5.7,-0.33,-0.13
37,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,23.0,1995.0,25.0,2205.0,88.0,72.1,24.5,25.0,88.0,24.0,0.0,,0.0,2.28,60.0,35.0,25.0,1.02,-0.24,43.2,30.3,12.9,0.52,-0.39
38,Carlos Akapo,gq EQG,DF,Huesca,La Liga,25.0,1993.0,13.0,1023.0,79.0,29.9,11.4,12.0,84.0,10.0,1.0,21.0,5.0,0.62,9.0,16.0,-7.0,-0.62,-0.05,12.5,15.9,-3.4,-0.31,-0.08
39,Nathan Aké,nl NED,DF,Bournemouth,Premier League,23.0,1995.0,38.0,3411.0,90.0,99.7,37.9,38.0,90.0,37.0,0.0,,0.0,1.18,56.0,70.0,-14.0,-0.37,-0.37,53.3,57.1,-3.9,-0.1,-0.02
40,Sergio Akieme,es ESP,DF,Rayo Vallecano,La Liga,20.0,1997.0,2.0,180.0,90.0,5.3,2.0,2.0,90.0,2.0,0.0,,11.0,0.5,3.0,4.0,-1.0,-0.5,0.28,1.8,2.6,-0.7,-0.36,-0.06
41,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,Bundesliga,23.0,1995.0,16.0,525.0,33.0,17.2,5.8,5.0,66.0,0.0,11.0,18.0,5.0,0.94,7.0,12.0,-5.0,-0.86,0.31,6.4,8.5,-2.2,-0.37,0.26
42,Paul Akouokou,ci CIV,MF,Betis,La Liga,20.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
43,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,23.0,1995.0,8.0,499.0,62.0,16.3,5.5,5.0,86.0,4.0,3.0,24.0,2.0,1.63,11.0,12.0,-1.0,-0.18,-0.85,9.9,12.3,-2.4,-0.44,-1.34
44,Kevin Akpoguma,ng NGA,DF,Hannover 96,Bundesliga,23.0,1995.0,4.0,313.0,78.0,10.2,3.5,4.0,78.0,3.0,0.0,,0.0,0.75,1.0,9.0,-8.0,-2.3,-1.25,2.3,7.1,-4.7,-1.36,-0.51
45,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,26.0,1992.0,31.0,2530.0,82.0,82.7,28.1,29.0,85.0,24.0,2.0,27.0,0.0,2.29,71.0,27.0,44.0,1.57,-0.47,68.4,23.6,44.9,1.6,-0.7
46,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,20.0,1998.0,25.0,1895.0,76.0,55.4,21.1,23.0,80.0,14.0,2.0,26.0,3.0,1.24,28.0,36.0,-8.0,-0.38,-0.79,23.8,37.3,-13.6,-0.64,-1.06
47,Lucas Alario,ar ARG,"FW,MF",Leverkusen,Bundesliga,25.0,1992.0,27.0,1265.0,47.0,41.3,14.1,11.0,83.0,5.0,16.0,22.0,6.0,1.7,33.0,16.0,17.0,1.21,1.21,22.9,18.3,4.7,0.33,-0.15
48,Jordi Alba,es ESP,DF,Barcelona,La Liga,29.0,1989.0,36.0,2991.0,83.0,87.5,33.2,32.0,90.0,32.0,4.0,27.0,0.0,2.39,86.0,30.0,56.0,1.69,2.1,70.0,38.6,31.4,0.94,1.13
49,Luis Alberto,es ESP,"MF,FW",Lazio,Serie A,25.0,1992.0,27.0,1990.0,74.0,58.2,22.1,25.0,78.0,9.0,2.0,21.0,4.0,1.44,30.0,22.0,8.0,0.36,0.24,35.0,23.3,11.7,0.53,0.42
50,Raúl Albiol,es ESP,DF,Napoli,Serie A,32.0,1985.0,20.0,1713.0,86.0,50.1,19.0,19.0,90.0,19.0,1.0,3.0,6.0,2.1,33.0,22.0,11.0,0.58,-0.85,30.4,21.2,9.3,0.49,-0.26
52,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,Bundesliga,27.0,1990.0,22.0,1660.0,75.0,54.2,18.4,19.0,85.0,16.0,3.0,15.0,6.0,0.55,19.0,44.0,-25.0,-1.36,-0.39,18.1,37.6,-19.6,-1.06,-0.35
53,Marc Albrighton,eng ENG,"FW,MF",Leicester City,Premier League,28.0,1989.0,27.0,1625.0,60.0,47.5,18.1,18.0,78.0,8.0,9.0,25.0,2.0,1.37,17.0,17.0,0.0,0.0,-0.15,19.9,23.1,-3.2,-0.18,-0.78
54,Paco Alcácer,es ESP,FW,Dortmund,Bundesliga,24.0,1993.0,26.0,1211.0,47.0,39.6,13.5,11.0,78.0,3.0,15.0,23.0,2.0,2.35,42.0,21.0,21.0,1.56,0.78,27.1,12.6,14.5,1.08,0.74
55,Pedro Alcalá,es ESP,DF,Girona,La Liga,29.0,1989.0,25.0,1868.0,75.0,54.6,20.8,20.0,88.0,18.0,5.0,23.0,10.0,1.16,21.0,32.0,-11.0,-0.53,-0.24,23.7,28.1,-4.5,-0.21,0.06
56,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,27.0,1991.0,30.0,2408.0,80.0,78.7,26.8,26.0,89.0,23.0,4.0,24.0,0.0,2.53,74.0,21.0,53.0,1.98,1.57,69.1,19.6,49.5,1.85,0.62
57,Rubén Alcaraz,es ESP,MF,Valladolid,La Liga,27.0,1991.0,34.0,2976.0,88.0,87.0,33.1,34.0,88.0,31.0,0.0,,1.0,1.18,29.0,43.0,-14.0,-0.42,0.59,34.7,49.6,-14.9,-0.45,0.06
58,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,29.0,1989.0,34.0,2922.0,86.0,85.4,32.5,33.0,88.0,30.0,1.0,19.0,3.0,1.91,56.0,31.0,25.0,0.77,0.23,46.7,37.0,9.7,0.3,0.64
59,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,La Liga,25.0,1992.0,9.0,140.0,16.0,4.1,1.6,0.0,,0.0,9.0,15.0,4.0,0.89,0.0,6.0,-6.0,-3.86,-3.23,1.8,3.3,-1.5,-0.97,-0.7
