,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
280,Charlison Benschop,cw CUW,FW,Hannover 96,Bundesliga,25.0,1989.0,9.0,2.0,344.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26
281,Ramy Bensebaini,dz ALG,"DF,MF",Montpellier,Ligue 1,20.0,1995.0,22.0,15.0,1348.0,15.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.13,0.0,0.13,0.13,0.13
282,Nabil Bentaleb,dz ALG,MF,Tottenham,Premier League,20.0,1994.0,5.0,2.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Christian Benteke,be BEL,FW,Liverpool,Premier League,24.0,1990.0,29.0,14.0,1529.0,17.0,9.0,3.0,12.0,8.0,1.0,1.0,2.0,0.0,0.53,0.18,0.71,0.47,0.65
284,Accursio Bentivegna,it ITA,FW,Palermo,Serie A,19.0,1996.0,1.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Francesco Benussi,it ITA,GK,Carpi,Serie A,33.0,1981.0,4.0,4.0,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Karim Benzema,fr FRA,FW,Real Madrid,La Liga,27.0,1987.0,27.0,26.0,1979.0,22.0,24.0,7.0,31.0,24.0,0.0,0.0,1.0,0.0,1.09,0.32,1.41,1.09,1.41
288,Yassine Benzia,dz ALG,"FW,MF",Lille,Ligue 1,20.0,1994.0,25.0,17.0,1332.0,14.8,5.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,0.34,0.0,0.34,0.34,0.34
289,Saido Berahino,bi BDI,"FW,MF",West Brom,Premier League,21.0,1993.0,31.0,17.0,1746.0,19.4,4.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21
290,Domenico Berardi,it ITA,FW,Sassuolo,Serie A,20.0,1994.0,29.0,26.0,2167.0,24.1,7.0,6.0,13.0,4.0,3.0,4.0,10.0,1.0,0.29,0.25,0.54,0.17,0.42
291,Yuri Berchiche,es ESP,DF,Real Sociedad,La Liga,25.0,1990.0,21.0,21.0,1847.0,20.5,0.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.19,0.19,0.0,0.19
292,Álex Bergantiños,es ESP,MF,La Coruña,La Liga,30.0,1985.0,22.0,20.0,1749.0,19.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.1,0.05,0.15,0.1,0.15
293,Markel Bergara,es ESP,MF,Real Sociedad,La Liga,29.0,1986.0,20.0,15.0,1354.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.07,0.0,0.07,0.07,0.07
294,Steven Berghuis,nl NED,"FW,MF",Watford,Premier League,23.0,1991.0,9.0,0.0,231.0,2.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.78,0.78,0.0,0.78
295,Franck Béria,fr FRA,DF,Lille,Ligue 1,32.0,1983.0,2.0,1.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Robert Berić,si SVN,"FW,MF",Saint-Étienne,Ligue 1,24.0,1991.0,10.0,7.0,671.0,7.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.4,0.0,0.4,0.4,0.4
297,Kévin Bérigaud,fr FRA,"FW,MF",Montpellier,Ligue 1,27.0,1988.0,19.0,10.0,1031.0,11.5,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.26,0.09,0.35,0.26,0.35
298,Etrit Berisha,al ALB,GK,Lazio,Serie A,26.0,1989.0,11.0,9.0,873.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Saúl Berjón,es ESP,MF,Eibar,La Liga,29.0,1986.0,29.0,16.0,1400.0,15.6,4.0,4.0,8.0,1.0,3.0,4.0,1.0,0.0,0.26,0.26,0.51,0.06,0.32
300,Federico Bernardeschi,it ITA,MF,Fiorentina,Serie A,21.0,1994.0,33.0,25.0,2272.0,25.2,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.08,0.16,0.24,0.08,0.24
301,Paul Bernardoni,fr FRA,GK,Bordeaux,Ligue 1,18.0,1997.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Paul Bernardoni,fr FRA,GK,Troyes,Ligue 1,18.0,1997.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Juan Bernat,es ESP,"DF,MF",Bayern Munich,Bundesliga,22.0,1993.0,16.0,13.0,1149.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08
304,Andrea Bertolacci,it ITA,MF,Milan,Serie A,24.0,1991.0,27.0,21.0,1805.0,20.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.05,0.1,0.05,0.1
