,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Christian Abbiati,it ITA,GK,Milan,Serie A,36.0,1977.0,28.0,28.0,2390.0,26.6,31.0,1.17,106.0,75.0,70.8,12.0,6.0,10.0,11.0,39.3,,,,,
1,Antonio Adán,es ESP,GK,Cagliari,Serie A,26.0,1987.0,2.0,2.0,180.0,2.0,4.0,2.0,10.0,6.0,60.0,0.0,1.0,1.0,1.0,50.0,,,,,
2,Antonio Adán,es ESP,GK,Betis,La Liga,26.0,1987.0,17.0,17.0,1522.0,16.9,31.0,1.83,102.0,71.0,69.6,4.0,2.0,11.0,3.0,17.6,,,,,
3,René Adler,de GER,GK,Hamburger SV,Bundesliga,28.0,1985.0,30.0,30.0,2700.0,30.0,63.0,2.1,174.0,111.0,63.8,7.0,6.0,17.0,4.0,13.3,,,,,
4,Adrián,es ESP,GK,West Ham,Premier League,26.0,1987.0,20.0,20.0,1800.0,20.0,27.0,1.35,112.0,85.0,75.9,8.0,1.0,11.0,6.0,30.0,,,,,
5,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,35.0,1978.0,34.0,34.0,3060.0,34.0,47.0,1.38,179.0,132.0,73.7,11.0,11.0,12.0,9.0,26.5,,,,,
6,Michael Agazzi,it ITA,GK,Cagliari,Serie A,29.0,1984.0,11.0,11.0,990.0,11.0,19.0,1.73,51.0,32.0,62.7,3.0,2.0,6.0,0.0,0.0,,,,,
7,Michael Agazzi,it ITA,GK,Chievo,Serie A,29.0,1984.0,14.0,14.0,1260.0,14.0,21.0,1.5,64.0,43.0,67.2,5.0,0.0,9.0,3.0,21.4,,,,,
8,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,21.0,1991.0,21.0,21.0,1890.0,21.0,26.0,1.24,83.0,57.0,68.7,7.0,7.0,7.0,5.0,23.8,,,,,
9,Gabriele Aldegani,it ITA,GK,Livorno,Serie A,37.0,1976.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
10,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,26.0,1986.0,3.0,3.0,270.0,3.0,2.0,0.67,22.0,20.0,90.9,2.0,0.0,1.0,2.0,66.7,,,,,
11,Diego Alves,br BRA,GK,Valencia,La Liga,28.0,1985.0,27.0,27.0,2280.0,25.3,32.0,1.26,109.0,77.0,70.6,11.0,5.0,10.0,10.0,37.0,,,,,
12,Marco Amelia,it ITA,GK,Milan,Serie A,31.0,1982.0,5.0,4.0,445.0,4.9,8.0,1.62,19.0,11.0,57.9,1.0,1.0,2.0,1.0,25.0,,,,,
13,Mohamed Amsif,ma MAR,GK,Augsburg,Bundesliga,24.0,1989.0,2.0,2.0,180.0,2.0,5.0,2.5,10.0,5.0,50.0,0.0,0.0,2.0,0.0,0.0,,,,,
14,Luca Anania,it ITA,GK,Livorno,Serie A,33.0,1980.0,3.0,3.0,262.0,2.9,8.0,2.75,22.0,14.0,63.6,0.0,0.0,3.0,0.0,0.0,,,,,
15,Stephan Andersen,dk DEN,GK,Betis,La Liga,31.0,1981.0,7.0,6.0,585.0,6.5,21.0,3.23,47.0,26.0,55.3,0.0,1.0,6.0,1.0,16.7,,,,,
16,Nícolas Andrade,br BRA,GK,Hellas Verona,Serie A,25.0,1988.0,1.0,1.0,90.0,1.0,5.0,5.0,11.0,6.0,54.5,0.0,0.0,1.0,0.0,0.0,,,,,
17,Mariano Andújar,ar ARG,GK,Catania,Serie A,30.0,1983.0,24.0,24.0,2160.0,24.0,42.0,1.75,128.0,86.0,67.2,3.0,5.0,16.0,5.0,20.8,,,,,
18,Miguel Ángel Moyá,es ESP,GK,Getafe,La Liga,29.0,1984.0,26.0,26.0,2307.0,25.6,40.0,1.56,138.0,98.0,71.0,7.0,5.0,14.0,6.0,23.1,,,,,
19,Daniel Aranzubia,es ESP,GK,Atlético Madrid,La Liga,33.0,1979.0,1.0,1.0,84.0,0.9,1.0,1.07,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,,,,,
20,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,24.0,1989.0,35.0,35.0,3150.0,35.0,41.0,1.17,127.0,86.0,67.7,15.0,8.0,12.0,9.0,25.7,,,,,
21,Fabien Audard,fr FRA,GK,Lorient,Ligue 1,35.0,1978.0,23.0,23.0,1943.0,21.6,39.0,1.81,94.0,55.0,58.5,7.0,5.0,11.0,4.0,17.4,,,,,
22,Vlada Avramov,rs SRB,GK,Cagliari,Serie A,34.0,1979.0,23.0,22.0,2016.0,22.4,25.0,1.12,92.0,67.0,72.8,6.0,7.0,9.0,5.0,22.7,,,,,
23,Pavol Bajza,sk SVK,GK,Parma,Serie A,21.0,1991.0,3.0,2.0,225.0,2.5,4.0,1.6,16.0,12.0,75.0,1.0,1.0,1.0,1.0,50.0,,,,,
24,Francesco Bardi,it ITA,GK,Livorno,Serie A,21.0,1992.0,35.0,35.0,3150.0,35.0,69.0,1.97,194.0,125.0,64.4,6.0,7.0,22.0,3.0,8.6,,,,,
26,Oliver Baumann,de GER,GK,Freiburg,Bundesliga,23.0,1990.0,33.0,33.0,2970.0,33.0,58.0,1.76,210.0,152.0,72.4,9.0,9.0,15.0,5.0,15.2,,,,,
27,Asmir Begović,ba BIH,GK,Stoke City,Premier League,26.0,1987.0,32.0,32.0,2880.0,32.0,36.0,1.13,136.0,100.0,73.5,12.0,10.0,10.0,9.0,28.1,,,,,
