,Player,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
2185,Sandro Tonali,4.9,12,2.47,10,1,0,0,1,0,3,0.62,2,0,0,0,1,0
2186,Pablo Torre,1.4,9,6.38,9,0,0,0,0,0,1,0.71,1,0,0,0,0,0
2187,Raul Torrente,6.5,3,0.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2188,Ferran Torres,6.4,23,3.63,17,0,3,2,1,0,2,0.32,0,0,0,1,1,0
2189,Oliver Torres,5.7,24,4.22,21,0,0,0,3,0,1,0.18,1,0,0,0,0,0
2190,Pau Torres,11.7,10,0.86,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2191,Lucas Torro,8.5,8,0.94,4,1,1,2,0,0,0,0.00,0,0,0,0,0,0
2192,Ahmed Touba,1.3,1,0.79,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2193,Abdoulaye Toure,10.6,18,1.70,15,0,0,0,2,1,0,0.00,0,0,0,0,0,0
2194,Souleymane Toure,7.5,8,1.07,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0
2195,Lucas Tousart,3.4,9,2.65,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0
2196,Andros Townsend,1.9,5,2.62,0,5,0,0,0,0,0,0.00,0,0,0,0,0,0
2197,James Trafford,12.0,2,0.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2198,Adama Traore,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2199,Bertrand Traore,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2200,Boubacar Traore,2.9,5,1.72,5,0,0,0,0,0,2,0.69,2,0,0,0,0,0
2201,Hamari Traore,11.2,28,2.50,22,2,1,0,1,2,1,0.09,1,0,0,0,0,0
2202,Ismael Traore,8.0,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0
2203,Omar Traore,9.9,14,1.41,12,1,0,0,1,0,3,0.30,2,0,0,0,1,0
2204,Kevin Trapp,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2205,Oscar Trejo,5.9,24,4.10,15,3,0,1,4,1,2,0.34,1,0,0,0,1,0
2206,Mike Tresor,2.5,5,2.00,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0
2207,Manu Trigueros,1.2,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2208,Christopher Trimmel,7.2,24,3.34,11,13,0,0,0,0,1,0.14,0,1,0,0,0,0
2210,Kieran Trippier,11.5,49,4.25,30,15,1,0,2,1,8,0.69,5,2,0,0,0,1
2211,Leandro Trossard,3.4,17,5.03,12,3,2,0,0,0,1,0.30,0,1,0,0,0,0
2212,Adrien Truffert,8.6,15,1.75,9,0,3,0,3,0,1,0.12,1,0,0,0,0,0
2213,Auston Trusty,5.2,1,0.19,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2214,Kostas Tsimikas,3.0,13,4.33,10,3,0,0,0,0,2,0.67,2,0,0,0,0,0
2215,Viktor Tsyhankov,7.8,28,3.61,19,4,2,2,0,1,5,0.64,5,0,0,0,0,0
2216,Stefano Turati,11.0,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2217,Matt Turner,10.0,3,0.30,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2218,Benat Turrientes,5.0,11,2.20,7,0,2,1,0,1,0,0.00,0,0,0,0,0,0
2219,Tuta,9.1,6,0.66,6,0,0,0,0,0,2,0.22,2,0,0,0,0,0
2220,Destiny Udogie,8.7,17,1.96,16,0,0,1,0,0,4,0.46,4,0,0,0,0,0
2221,Matthieu Udol,10.0,15,1.50,14,0,1,0,0,0,2,0.20,2,0,0,0,0,0
2222,Manuel Ugarte Ribeiro,7.0,14,2.01,10,0,2,0,2,0,3,0.43,2,0,0,0,1,0
2223,Lesley Ugochukwu,1.6,2,1.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2224,Lukas Ullrich,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2225,Sven Ulreich,8.0,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2226,Samuel Umtiti,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2227,Deniz Undav,4.4,17,3.87,12,0,3,0,2,0,2,0.46,2,0,0,0,0,0
2228,Dayot Upamecano,7.7,7,0.91,7,0,0,0,0,0,1,0.13,1,0,0,0,0,0
2229,Kacper Urbanski,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2230,Mark Uth,1.5,6,3.94,2,2,0,1,1,0,0,0.00,0,0,0,0,0,0
2231,Myrto Uzuni,10.4,14,1.35,9,0,1,2,1,1,0,0.00,0,0,0,0,0,0
2232,Josha Vagnoman,0.3,1,3.75,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2233,Oscar Valentin,11.2,17,1.52,12,1,2,1,1,0,0,0.00,0,0,0,0,0,0
2234,Martin Valjent,11.5,4,0.35,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2236,Jesus Vallejo,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2237,Alvaro Valles,13.0,3,0.23,3,0,0,0,0,0,1,0.08,1,0,0,0,0,0
2238,Federico Valverde,11.4,58,5.08,52,0,3,2,0,1,5,0.44,3,0,0,2,0,0
2239,Kevin Van Den Kerkhof,4.4,9,2.05,6,1,1,1,0,0,1,0.23,1,0,0,0,0,0
2240,Siebe Van Der Heyden,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2241,Virgil van Dijk,9.3,19,2.04,18,0,0,1,0,0,1,0.11,1,0,0,0,0,0
2242,Vanderson,6.5,20,3.09,14,2,1,2,0,1,3,0.46,3,0,0,0,0,0
2243,Raphael Varane,3.8,8,2.10,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2244,Ruben Vargas,6.3,25,3.99,16,5,2,0,2,0,2,0.32,2,0,0,0,0,0
2245,Johan Vasquez,9.9,15,1.52,10,1,1,2,1,0,1,0.10,1,0,0,0,0,0
2246,Jose Luis Garcia Vaya,12.7,39,3.07,28,9,0,1,0,1,3,0.24,3,0,0,0,0,0
2247,Jesus Vazquez,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2248,Kevin Vazquez,2.9,3,1.02,1,1,0,0,0,1,0,0.00,0,0,0,0,0,0
2249,Lucas Vazquez,1.8,16,8.83,13,0,2,1,0,0,3,1.66,2,0,0,1,0,0
2250,Matias Vecino,3.2,5,1.57,3,0,0,2,0,0,1,0.31,0,0,0,1,0,0
2251,Gabriel Veiga,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2252,Alejo Veliz,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2253,Milos Veljkovic,8.5,3,0.35,3,0,0,0,0,0,2,0.24,2,0,0,0,0,0
2254,Joel Veltman,7.7,4,0.52,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0
2255,Micky van de Ven,10.5,2,0.19,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2256,Lorenzo Venuti,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2257,Bart Verbruggen,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2258,Simone Verdi,0.0,1,22.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2259,Jordan Veretout,7.8,31,3.98,22,6,2,1,0,0,4,0.51,3,1,0,0,0,0
2260,Mikel Vesga,8.3,10,1.20,9,0,0,0,0,1,1,0.12,1,0,0,0,0,0
2262,Guglielmo Vicario,12.0,1,0.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2263,Nacho Vidal,0.7,1,1.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2264,Fabio Vieira,2.7,9,3.36,4,1,0,1,3,0,5,1.87,1,1,0,0,3,0
2265,Jonathan Viera,6.9,30,4.37,26,2,1,0,1,0,1,0.15,1,0,0,0,0,0
2266,Samuele Vignato,3.7,10,2.72,7,1,1,1,0,0,0,0.00,0,0,0,0,0,0
2267,Oscar Vilhelmsson,3.5,3,0.87,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2268,Asier Villalibre,1.6,8,4.90,7,0,1,0,0,0,1,0.61,1,0,0,0,0,0
2269,Gonzalo Villar,6.6,19,2.90,12,1,2,0,1,3,6,0.92,5,0,0,0,0,1
2270,Ivan Villar,9.3,2,0.22,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2271,Matias Vina,9.1,24,2.64,19,2,2,0,0,1,4,0.44,4,0,0,0,0,0
2272,Carlos Vinicius,2.6,8,3.09,7,0,1,0,0,0,1,0.39,1,0,0,0,0,0
2273,Nicolas Viola,2.6,13,5.00,6,3,2,0,1,1,2,0.77,1,0,0,0,0,1
2274,Alan Virginius,0.8,2,2.54,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2276,Mattia Viti,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2277,Vitinha,5.0,17,3.38,10,0,2,1,3,1,2,0.40,0,0,1,1,0,0
2278,Vitinha,8.2,37,4.44,34,2,0,0,1,0,3,0.36,3,0,0,0,0,0
2279,Vitinho,4.7,9,1.93,8,0,1,0,0,0,1,0.21,1,0,0,0,0,0
2280,Daniel Vivian,12.8,10,0.78,7,0,0,2,1,0,2,0.16,1,0,0,0,1,0
2281,Odisseas Vlachodimos,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2282,Dusan Vlahovic,6.4,21,3.28,13,0,1,6,1,0,2,0.31,2,0,0,0,0,0
2283,Nikola Vlasic,8.2,21,2.57,15,0,1,3,0,2,0,0.00,0,0,0,0,0,0
2284,Alessandro Vogliacco,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2285,Kevin Vogt,9.7,13,1.35,13,0,0,0,0,0,3,0.31,3,0,0,0,0,0
2286,Mergim Vojvoda,5.2,10,1.93,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2288,Kevin Volland,1.9,2,1.07,1,0,0,0,1,0,1,0.54,1,0,0,0,0,0
2289,Cristian Volpato,0.7,8,11.43,3,3,1,1,0,0,0,0.00,0,0,0,0,0,0
2290,Aster Vranckx,2.9,5,1.70,5,0,0,0,0,0,1,0.34,1,0,0,0,0,0
2291,Stefan de Vrij,7.1,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2292,Elye Wahi,0.2,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2293,Elye Wahi,5.1,9,1.76,5,0,1,2,1,0,2,0.39,1,0,0,1,0,0
2294,Walace,11.2,20,1.79,19,1,0,0,0,0,1,0.09,1,0,0,0,0,0
2295,Luca Waldschmidt,7.1,25,3.53,16,2,0,4,2,1,2,0.28,0,0,0,1,1,0
2296,Kyle Walker,12.0,28,2.34,25,1,0,0,2,0,5,0.42,5,0,0,0,0,0
2297,Sebastian Walukiewicz,5.8,5,0.86,3,0,1,1,0,0,1,0.17,1,0,0,0,0,0
2298,Aaron Wan-Bissaka,4.8,7,1.46,6,1,0,0,0,0,1,0.21,1,0,0,0,0,0
2299,Joel Ward,10.7,9,0.84,6,2,0,1,0,0,2,0.19,1,1,0,0,0,0
2300,James Ward-Prowse,10.7,42,3.93,15,22,1,2,0,2,6,0.56,1,4,0,1,0,0
2301,Deivid Washington,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2302,Ollie Watkins,11.5,39,3.38,24,0,4,8,3,0,11,0.95,5,0,1,3,2,0
2303,Timothy Weah,4.6,10,2.18,7,0,0,2,1,0,1,0.22,1,0,0,0,0,0
2304,Adam Webster,6.0,5,0.83,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2305,Wout Weghorst,8.1,19,2.35,17,0,0,0,2,0,2,0.25,2,0,0,0,0,0
2306,Julian Weigl,11.0,20,1.82,17,1,0,0,1,1,3,0.27,3,0,0,0,0,0
2307,Nelson Weiper,1.2,3,2.60,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2308,Mitchell Weiser,10.4,21,2.03,17,0,1,0,3,0,4,0.39,4,0,0,0,0,0
2309,Noah Weisshaupt,3.1,16,5.16,13,0,0,1,2,0,3,0.97,2,0,0,0,1,0
2310,Shon Weissman,0.5,1,2.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2311,Danny Welbeck,4.5,18,3.97,14,0,0,3,1,0,3,0.66,2,0,0,1,0,0
2312,Timo Werner,2.3,8,3.46,7,0,1,0,0,0,1,0.43,0,0,1,0,0,0
2314,Ben White,10.5,24,2.28,19,3,0,1,0,1,1,0.10,0,0,0,1,0,0
2315,Mateusz Wieteska,4.5,5,1.11,4,0,0,0,0,1,1,0.22,1,0,0,0,0,0
2316,Mateusz Wieteska,1.9,1,0.51,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2317,Inaki Williams,12.7,54,4.26,37,0,7,3,5,2,5,0.39,4,0,1,0,0,0
2318,Neco Williams,1.4,3,2.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2319,Nico Williams,8.0,46,5.73,28,5,8,3,2,0,13,1.62,7,0,3,1,2,0
2320,Willian,8.6,38,4.40,27,3,4,3,1,0,0,0.00,0,0,0,0,0,0
2321,Joe Willock,1.5,4,2.63,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2322,Callum Wilson,5.4,8,1.49,3,0,2,3,0,0,3,0.56,1,0,1,1,0,0
2323,Harry Wilson,7.6,27,3.55,18,0,3,1,5,0,4,0.53,4,0,0,0,0,0
2324,Josh Wilson-Esbrand,4.3,6,1.38,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0
2325,Patrick Wimmer,3.1,8,2.57,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0
2326,Jonas Wind,10.7,25,2.35,16,0,1,6,1,1,5,0.47,2,0,1,2,0,0
2327,Florian Wirtz,9.2,54,5.86,42,1,8,2,0,1,11,1.19,8,0,3,0,0,0
2328,Yoane Wissa,11.0,28,2.54,14,1,2,5,5,1,3,0.27,1,0,0,0,2,0
2329,Axel Witsel,10.2,8,0.78,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2330,Maximilian Wittek,4.2,16,3.83,7,7,0,2,0,0,2,0.48,1,0,0,1,0,0
2331,Maximilian Wober,10.7,17,1.59,14,2,0,1,0,0,4,0.37,2,1,0,1,0,0
2332,Marius Wolf,5.9,21,3.57,18,1,2,0,0,0,3,0.51,3,0,0,0,0,0
2333,Nick Woltemade,2.5,13,5.20,9,0,1,1,2,0,1,0.40,1,0,0,0,0,0
2334,Jeong Woo-yeong,3.8,15,3.90,13,1,0,1,0,0,3,0.78,2,0,0,1,0,0
2335,Chris Wood,2.8,6,2.13,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2336,Cauley Woodrow,0.9,5,5.56,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2337,Christopher Wooh,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2338,Joe Worrall,4.9,3,0.62,2,0,0,1,0,0,1,0.21,1,0,0,0,0,0
2340,Xeber,3.0,9,2.98,8,0,1,0,0,0,1,0.33,1,0,0,0,0,0
2341,Granit Xhaka,10.7,31,2.89,29,0,2,0,0,0,4,0.37,4,0,0,0,0,0
2342,Abduqodir Xusanov,1.5,3,1.94,1,0,0,0,1,1,0,0.00,0,0,0,0,0,0
2343,Lamine Yamal,7.2,22,3.07,14,0,3,4,0,1,5,0.70,4,0,0,1,0,0
2344,Roman Yaremchuk,1.9,3,1.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2346,Ryan Yates,4.1,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2347,Yusuf Yazici,5.9,24,4.07,16,5,0,2,0,1,3,0.51,3,0,0,0,0,0
2348,Kelvin Yeboah,1.4,4,2.95,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0
2349,Kenan Yildiz,0.5,2,4.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2350,Darlin Yongwa,5.7,11,1.92,4,2,3,0,2,0,1,0.17,1,0,0,0,0,0
2351,Leny Yoro,9.6,5,0.52,3,0,0,2,0,0,1,0.10,0,0,0,1,0,0
2352,Ashley Young,10.2,21,2.06,10,8,0,2,0,1,0,0.00,0,0,0,0,0,0
2353,Etienne Youte Kinkoue,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2354,Illia Zabarnyi,12.0,7,0.58,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2355,Mattia Zaccagni,8.6,28,3.24,17,4,2,3,2,0,2,0.23,1,0,0,0,1,0
2356,Dan-Axel Zagadou,8.3,3,0.36,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2357,Warren Zaire-Emery,10.0,25,2.49,21,0,3,0,0,1,6,0.60,5,0,1,0,0,0
2358,Denis Zakaria,9.1,8,0.88,6,0,0,2,0,0,1,0.11,1,0,0,0,0,0
2359,Arsen Zakharyan,2.0,6,2.93,3,3,0,0,0,0,1,0.49,1,0,0,0,0,0
2360,Joseba Zaldua,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2361,Nicola Zalewski,3.2,8,2.47,6,1,0,1,0,0,1,0.31,1,0,0,0,0,0
2362,Andre-Frank Zambo Anguissa,8.3,26,3.12,24,0,1,1,0,0,1,0.12,1,0,0,0,0,0
2363,Nicolo Zaniolo,4.7,20,4.25,12,0,2,4,1,1,1,0.21,1,0,0,0,0,0
2364,Alessandro Zanoli,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2366,Duvan Zapata,7.6,16,2.10,11,0,1,1,3,0,3,0.39,1,0,1,1,0,0
2367,Duvan Zapata,1.2,4,3.21,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2368,Gabriele Zappa,8.8,22,2.51,21,0,0,1,0,0,1,0.11,1,0,0,0,0,0
2369,Davide Zappacosta,7.1,14,1.97,7,1,2,4,0,0,2,0.28,2,0,0,0,0,0
2370,Bryan Zaragoza,10.4,47,4.51,19,3,15,3,6,1,4,0.38,2,0,1,0,1,0
2371,Anass Zaroury,1.4,2,1.42,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2372,Oier Zarraga,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2373,Mehdi Zeffane,4.4,11,2.50,8,0,0,2,1,0,1,0.23,0,0,0,0,1,0
2374,Jordan Zemura,4.5,8,1.80,3,2,1,1,1,0,0,0.00,0,0,0,0,0,0
2375,Robin Zentner,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2376,Alessio Zerbin,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2377,Cedric Zesiger,7.0,5,0.71,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0
2378,Michael Zetterer,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2379,Nathan Zeze,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2380,Edon Zhegrova,8.0,40,5.00,19,6,11,2,2,0,8,1.00,5,0,3,0,0,0
2381,Piotr Zielinski,10.5,54,5.15,36,13,2,2,1,0,7,0.67,4,1,0,1,1,0
2382,David Zima,0.9,1,1.08,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
2383,Christoph Zimmermann,4.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2384,Oleksandr Zinchenko,7.4,21,2.84,19,0,1,1,0,0,2,0.27,2,0,0,0,0,0
2385,Joshua Zirkzee,11.5,37,3.22,27,0,5,4,1,0,3,0.26,3,0,0,0,0,0
2386,Zito,9.3,33,3.56,17,0,7,2,7,0,0,0.00,0,0,0,0,0,0
2387,Simon Zoller,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2388,Nadir Zortea,1.4,8,5.90,5,1,1,1,0,0,2,1.48,2,0,0,0,0,0
2389,Kurt Zouma,11.0,7,0.64,5,0,0,1,1,0,1,0.09,1,0,0,0,0,0
2390,Igor Zubeldia,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2392,Martin Zubimendi,11.9,23,1.94,22,0,1,0,0,0,3,0.25,3,0,0,0,0,0
2393,Martin Odegaard,8.7,40,4.57,28,5,3,3,1,0,4,0.46,1,1,0,1,1,0
2394,Milan Duric,6.3,17,2.71,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0
2395,Mateusz Legowski,4.9,7,1.42,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
