,Player,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
2021,Rui Silva,4.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2022,Thiago Silva,12.0,11,0.92,11,0,0,0,0,0,1,0.08,1,0,0,0,0,0
2023,Marco Silvestri,12.0,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2024,Mohamed Simakan,10.4,13,1.26,11,1,0,0,1,0,1,0.10,1,0,0,0,0,0
2025,Giovanni Simeone,2.9,11,3.79,7,0,1,3,0,0,0,0.00,0,0,0,0,0,0
2026,Moses Simon,10.9,39,3.57,28,0,6,2,3,0,6,0.55,5,0,0,0,1,0
2028,Unai Simon,13.0,3,0.23,2,1,0,0,0,0,1,0.08,0,1,0,0,0,0
2029,Xavi Simons,9.6,37,3.87,24,3,3,4,3,0,11,1.15,9,0,1,1,0,0
2030,Wilfried Singo,11.0,17,1.55,15,0,0,1,0,1,1,0.09,1,0,0,0,0,0
2031,Luis Sinisterra,1.4,6,4.32,5,0,0,1,0,0,1,0.72,0,0,0,1,0,0
2032,Daley Sinkgraven,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2033,Ayanda Sishuba,0.4,5,12.86,1,0,3,1,0,0,0,0.00,0,0,0,0,0,0
2034,Ibrahima Sissoko,2.8,5,1.79,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2035,Moussa Sissoko,1.1,1,0.89,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2036,Antonio Sivera,13.0,7,0.54,4,3,0,0,0,0,0,0.00,0,0,0,0,0,0
2037,Tim Skarke,7.6,24,3.18,15,1,2,2,3,1,0,0.00,0,0,0,0,0,0
2038,Ellyes Skhiri,11.0,21,1.91,17,0,0,2,2,0,2,0.18,2,0,0,0,0,0
2039,Oliver Skipp,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2040,Leo Skiri Ostigard,7.5,6,0.80,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2041,Lukasz Skorupski,12.0,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2042,Robert Skov,6.7,20,2.97,18,0,0,1,1,0,4,0.59,4,0,0,0,0,0
2043,Milan Skriniar,11.0,5,0.45,4,0,0,1,0,0,1,0.09,1,0,0,0,0,0
2044,Naatan Skytta,0.2,2,8.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2045,Chris Smalling,2.7,1,0.37,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2046,Adam Smith,1.4,1,0.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2047,Emile Smith Rowe,1.2,4,3.36,3,1,0,0,0,0,2,1.68,1,1,0,0,0,0
2048,Hrvoje Smolcic,2.5,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2049,Danilo Soares,3.4,6,1.76,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2050,Eduard Sobol,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2051,Ruben Sobrino,4.1,2,0.48,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2052,Emran Soglo,0.8,1,1.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2054,Alex Sola,5.7,23,4.04,12,1,6,1,3,0,0,0.00,0,0,0,0,0,0
2055,Alex Sola,0.3,1,3.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
2056,Dominic Solanke,11.9,21,1.77,16,0,2,1,0,2,1,0.08,0,0,1,0,0,0
2057,Ola Solbakken,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2058,Carlos Soler,3.2,8,2.50,6,0,0,1,1,0,2,0.62,2,0,0,0,0,0
2059,Jhon Solis,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2060,Manor Solomon,2.2,19,8.59,16,0,1,1,1,0,2,0.90,2,0,0,0,0,0
2061,Yann Sommer,12.0,3,0.25,3,0,0,0,0,0,1,0.08,1,0,0,0,0,0
2062,Brandon Soppy,1.3,1,0.79,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2063,David Soria,13.0,2,0.15,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
2064,Alberto Soro,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2065,Alessandro Sorrentino,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2066,Borna Sosa,0.5,5,9.78,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
2067,Hugo Sotelo,3.0,8,2.66,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2068,Florian Sotoca,11.2,41,3.68,33,0,4,2,2,0,5,0.45,4,0,1,0,0,0
2069,Riccardo Sottil,2.7,9,3.29,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2070,Tomas Soucek,9.0,15,1.67,12,0,0,2,0,1,2,0.22,2,0,0,0,0,0
2071,Matias Soule,9.5,53,5.59,30,6,11,3,1,2,4,0.42,1,1,1,0,0,1
2072,Boubakary Soumare,4.4,2,0.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2073,Issa Soumare,2.6,7,2.66,2,0,2,1,2,0,0,0.00,0,0,0,0,0,0
2074,Vinicius Souza,10.3,9,0.87,7,0,0,0,0,2,2,0.19,2,0,0,0,0,0
2075,Djibril Sow,7.0,24,3.44,19,0,1,1,3,0,2,0.29,2,0,0,0,0,0
2076,Caglar Soyuncu,0.7,2,2.77,2,0,0,0,0,0,1,1.38,1,0,0,0,0,0
2077,Stijn Spierings,5.4,7,1.31,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0
2078,Stijn Spierings,1.3,1,0.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2080,Leonardo Spinazzola,8.0,26,3.25,23,1,2,0,0,0,4,0.50,3,0,1,0,0,0
2081,Marco Sportiello,2.0,2,1.00,2,0,0,0,0,0,1,0.50,1,0,0,0,0,0
2082,Anton Stach,6.9,17,2.47,11,0,1,2,2,1,2,0.29,0,0,0,0,1,1
2083,Anton Stach,1.9,7,3.71,4,0,1,2,0,0,0,0.00,0,0,0,0,0,0
2084,Jens Stage,10.0,24,2.40,21,0,0,2,1,0,1,0.10,0,0,0,0,1,0
2085,Josip Stanisic,1.8,4,2.17,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2086,Carl Starfelt,12.0,4,0.33,4,0,0,0,0,0,1,0.08,1,0,0,0,0,0
2087,Niklas Stark,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2088,Jason Steele,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2089,Pascal Stenzel,6.6,22,3.32,20,0,1,0,1,0,7,1.06,6,0,1,0,0,0
2090,Leonidas Stergiou,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2091,Raheem Sterling,11.0,44,4.00,29,0,11,1,2,1,5,0.46,3,0,1,0,1,0
2092,Trivante Stewart,1.1,3,2.70,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2093,Angelo Stiller,0.9,5,5.42,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
2094,Angelo Stiller,9.0,35,3.89,27,7,0,0,0,1,4,0.44,3,0,0,0,0,1
2095,Kevin Stoger,9.6,60,6.26,36,12,2,6,3,1,2,0.21,1,1,0,0,0,0
2096,Filip Stojilkovic,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2097,John Stones,2.9,5,1.75,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
2098,Thomas Strakosha,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2099,Jorgen Strand Larsen,11.1,30,2.69,18,0,3,7,2,0,3,0.27,1,0,0,1,1,0
2100,Gabriel Strefezza,7.8,28,3.58,19,3,1,3,1,1,2,0.26,1,1,0,0,0,0
2101,Kevin Strootman,5.5,14,2.54,11,1,0,0,1,1,2,0.36,2,0,0,0,0,0
2102,Cristhian Stuani,4.9,9,1.82,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2103,Alex Suarez,11.8,8,0.68,7,0,0,0,1,0,1,0.08,1,0,0,0,0,0
2104,Damian Suarez,10.3,23,2.23,19,4,0,0,0,0,2,0.19,1,1,0,0,0,0
2106,Denis Suarez,1.5,8,5.37,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2107,Gabriel Suazo,9.2,22,2.39,17,1,1,1,0,2,2,0.22,2,0,0,0,0,0
2108,Isaac Success,6.0,18,2.99,12,0,1,2,3,0,1,0.17,0,0,0,1,0,0
2109,Niklas Sule,4.6,3,0.66,3,0,0,0,0,0,1,0.22,1,0,0,0,0,0
2110,Ibrahim Sulemana,4.8,5,1.04,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2111,Tomas Suslov,3.6,4,1.13,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
2112,Suso,6.8,47,6.90,34,9,1,2,1,0,5,0.73,4,0,1,0,0,0
2113,Mattias Svanberg,8.8,31,3.52,20,1,3,3,4,0,7,0.79,5,0,0,1,1,0
2114,Williot Swedberg,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2115,Abakar Sylla,4.0,4,0.99,3,0,0,0,0,1,1,0.25,0,0,0,0,0,1
2116,Dembo Sylla,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2117,Issiaga Sylla,8.0,15,1.87,10,3,1,1,0,0,0,0.00,0,0,0,0,0,0
2118,Mamadou Sylla,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2119,Attila Szalai,2.2,2,0.91,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2120,Wojciech Szczesny,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2121,Dominik Szoboszlai,11.7,55,4.70,36,12,3,2,2,0,6,0.51,4,0,0,1,1,0
2122,Przemyslaw Szyminski,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2123,Alexander Sorloth,10.8,22,2.03,16,0,2,2,1,1,7,0.65,2,0,2,2,1,0
2124,Musa Al-Taamari,9.0,25,2.79,10,0,7,1,7,0,5,0.56,1,0,3,0,1,0
2125,Nicolas Tagliafico,9.9,21,2.13,12,4,1,1,2,1,1,0.10,0,0,0,0,1,0
2126,Jonathan Tah,10.8,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2127,Montassar Talbi,12.0,9,0.75,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2128,Adrien Tameze,7.9,14,1.76,12,0,0,0,0,2,4,0.50,2,0,0,0,0,2
2129,Renato Tapia,2.2,3,1.36,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
2130,Edmond Tapsoba,9.8,16,1.64,15,0,0,0,1,0,3,0.31,3,0,0,0,0,0
2132,Matt Targett,0.9,4,4.62,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2133,Oussama Targhalline,1.0,4,4.00,2,0,0,0,0,2,0,0.00,0,0,0,0,0,0
2134,James Tarkowski,12.0,11,0.92,11,0,0,0,0,0,2,0.17,2,0,0,0,0,0
2135,Cesar Tarrega,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2136,Nuno Tavares,1.1,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2137,Marcus Tavernier,6.9,17,2.47,13,2,1,1,0,0,1,0.15,1,0,0,0,0,0
2138,Charlie Taylor,9.0,12,1.33,10,0,0,2,0,0,1,0.11,0,0,0,1,0,0
2139,Loum Tchaouna,2.7,7,2.60,6,0,1,0,0,0,2,0.74,1,0,1,0,0,0
2140,Jackson Tchatchoua,0.8,6,7.50,6,0,0,0,0,0,1,1.25,1,0,0,0,0,0
2141,Enzo Tchato,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2142,Aurelien Tchouameni,9.3,18,1.92,16,0,0,2,0,0,4,0.43,3,0,0,1,0,0
2143,Mathys Tel,2.3,9,3.93,3,0,3,3,0,0,4,1.75,3,0,1,0,0,0
2144,Nathan Tella,0.7,4,6.00,2,0,1,1,0,0,1,1.50,1,0,0,0,0,0
2145,Nahuel Tenaglia,1.1,3,2.76,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2146,Marc-Andre ter Stegen,13.0,4,0.31,4,0,0,0,0,0,1,0.08,1,0,0,0,0,0
2147,Filippo Terracciano,9.6,22,2.31,14,3,2,2,1,0,2,0.21,1,0,0,1,0,0
2148,Pietro Terracciano,10.0,3,0.30,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
2149,Ramon Terrats,5.1,11,2.13,4,3,1,1,2,0,1,0.19,0,0,0,0,1,0
2150,Martin Terrier,1.5,3,1.94,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2151,Kenny Tete,4.7,5,1.05,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2152,Benjamin Tetteh,1.9,3,1.61,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
2153,Teddy Teuma,7.8,29,3.74,21,4,2,1,0,1,4,0.52,1,2,0,0,0,1
2154,Florian Thauvin,7.3,28,3.84,20,1,2,4,1,0,0,0.00,0,0,0,0,0,0
2155,Arthur Theate,9.0,2,0.22,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
2156,Norman Theuerkauf,6.5,9,1.38,7,0,0,0,2,0,1,0.15,1,0,0,0,0,0
2158,Malick Thiaw,9.3,8,0.86,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0
2159,Jan Thielmann,0.6,5,7.89,3,0,0,0,2,0,0,0.00,0,0,0,0,0,0
2160,Denis Thomalla,3.6,6,1.68,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2161,Luke Thomas,8.0,10,1.25,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0
2162,Adrien Thomasson,7.5,44,5.88,34,6,0,1,3,0,1,0.13,0,0,0,0,1,0
2163,Morten Thorsby,6.0,5,0.84,4,0,1,0,0,0,1,0.17,1,0,0,0,0,0
2164,Kristian Thorstvedt,5.1,24,4.68,20,0,1,2,0,1,1,0.19,0,0,0,1,0,0
2165,Khephren Thuram,8.1,35,4.33,24,0,4,4,2,1,2,0.25,2,0,0,0,0,0
2166,Marcus Thuram,10.0,33,3.29,18,0,2,5,8,0,11,1.10,7,0,1,0,3,0
2167,Cheikh Tidiane Sabaly,7.5,16,2.14,13,0,1,1,1,0,1,0.13,1,0,0,0,0,0
2168,Youri Tielemans,3.2,11,3.41,11,0,0,0,0,0,4,1.24,4,0,0,0,0,0
2169,Kieran Tierney,2.6,1,0.39,0,1,0,0,0,0,1,0.39,0,1,0,0,0,0
2170,Phillip Tietz,7.7,20,2.59,15,0,1,2,2,0,3,0.39,3,0,0,0,0,0
2171,Steffen Tigges,2.9,7,2.38,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2172,Jurrien Timber,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2173,Jean-Clair Todibo,10.7,18,1.68,16,0,0,1,0,1,4,0.37,3,0,0,1,0,0
2174,Harry Toffolo,4.4,8,1.83,8,0,0,0,0,0,3,0.69,3,0,0,0,0,0
2175,Umut Tohumcu,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2176,Corentin Tolisso,7.0,27,3.84,22,1,0,2,1,1,0,0.00,0,0,0,0,0,0
2177,Jeremy Toljan,11.0,17,1.55,17,0,0,0,0,0,4,0.36,4,0,0,0,0,0
2178,Rafael Toloi,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2179,Raul de Tomas,6.1,12,1.95,8,0,1,3,0,0,3,0.49,3,0,0,0,0,0
2180,Tiago Tomas,5.8,16,2.76,7,2,4,2,1,0,0,0.00,0,0,0,0,0,0
2181,Takehiro Tomiyasu,4.7,4,0.86,4,0,0,0,0,0,1,0.21,1,0,0,0,0,0
2182,James Tomkins,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2184,Fikayo Tomori,10.7,3,0.28,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
