,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
376,Ugo Bertelli,Marseille,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,Lorenzo Bertini,Hellas Verona,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,Marco Bertini,Lazio,1,5,5,0.1,0.1,0,0.0,0,1,5,0,0.00,0,0,0,0.00,-0.16,0.0,0.3,-0.3,-7.74,-8.03
379,Nicolo Bertola,Spezia,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,Ryan Bertrand,Southampton,29,2598,90,76.0,28.9,29,90,28,0,0.0,0,1.14,36,51,-15,-0.52,+0.14,30.9,39.0,-8.1,-0.28,+0.13
381,Benjamin Besic,Strasbourg,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,Daniel Bessa,Hellas Verona,18,615,34,18.0,6.8,4,80,1,14,21,4,0.94,7,14,-7,-1.02,-1.18,8.3,9.3,-1.0,-0.15,-0.04
383,Loic Bessile,Bordeaux,1,90,90,2.6,1.0,1,90,1,0,0.0,5,3.00,2,1,+1,+1.00,+1.41,1.1,1.0,+0.1,+0.12,+0.43
384,Jordan Beyer,M'Gladbach,4,188,47,6.1,2.1,2,90,2,2,4,17,2.25,4,4,0,0.00,-0.25,3.5,3.3,+0.1,+0.06,-0.22
385,Alessandro Bianco,Fiorentina,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Giulian Biancone,Monaco,2,92,46,2.7,1.0,1,73,0,1,19,2,1.50,0,1,-1,-0.98,-1.92,0.7,0.7,0.0,+0.03,-0.89
387,Bartosz Bialek,Wolfsburg,19,270,14,8.8,3.0,1,72,0,18,11,12,1.95,9,3,+6,+2.00,+1.42,7.0,4.1,+2.9,+0.97,+0.85
388,Jose Bica,Lille,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Ermin Bicakcic,Hoffenheim,2,128,64,4.2,1.4,2,64,1,0,0.0,0,3.00,5,3,+2,+1.41,+1.53,3.4,3.0,+0.3,+0.23,+0.28
391,Pedro Bigas,Eibar,21,1529,73,44.7,17.0,19,79,15,2,16,5,0.67,13,22,-9,-0.53,+0.14,20.9,20.2,+0.7,+0.04,+0.10
392,El Bilal Toure,Reims,33,1245,38,36.4,13.8,11,69,0,22,22,3,1.03,15,27,-12,-0.87,-1.03,10.3,24.5,-14.2,-1.03,-0.53
393,Cristiano Biraghi,Fiorentina,35,2803,80,82.0,31.1,31,87,22,4,30,2,1.03,37,49,-12,-0.39,-0.39,37.7,52.0,-14.3,-0.46,-0.12
394,Davide Biraschi,Genoa,13,915,70,26.8,10.2,11,78,7,2,29,3,1.00,16,23,-7,-0.69,-0.54,13.0,16.6,-3.6,-0.35,+0.29
395,Nathan Bishop,Manchester Utd,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Yves Bissouma,Brighton,36,3111,86,91.0,34.6,35,88,30,1,29,0,1.14,35,42,-7,-0.20,-0.49,45.1,31.1,+14.0,+0.40,-0.05
397,Leonardo Bittencourt,Werder Bremen,27,1514,56,49.5,16.8,19,70,4,8,24,4,0.89,22,29,-7,-0.42,+0.40,18.9,26.8,-7.9,-0.47,+0.25
398,Alejandro Blanco,Valencia,13,580,45,17.0,6.4,6,68,0,7,25,23,1.23,6,7,-1,-0.16,-0.09,6.3,9.1,-2.9,-0.44,-0.23
399,Pepe Blanco,Alavés,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Raul Blanco,Celta Vigo,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Ruben Blanco,Celta Vigo,19,1637,86,47.9,18.2,19,86,17,0,0.0,1,1.42,28,27,+1,+0.05,+0.21,27.0,20.4,+6.6,+0.36,+0.73
402,Ludovic Blas,Nantes,36,2787,77,81.5,31.0,32,85,14,4,15,1,1.08,42,45,-3,-0.10,+0.61,39.9,42.8,-2.9,-0.09,+0.15
403,Jeremy Blasco,Real Sociedad,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,Alejandro Blesa,Levante,1,11,11,0.3,0.1,0,0.0,0,1,11,4,1.00,0,0,0,0.00,+0.29,0.5,0.0,+0.5,+4.56,+4.91
405,Ernest Boahene,Metz,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,Jerome Boateng,Bayern Munich,29,2368,82,77.4,26.3,29,82,18,0,0.0,3,2.34,75,33,+42,+1.60,-0.09,59.1,29.5,+29.6,+1.13,+0.33
407,Antonin Bobichon,Angers,23,911,40,26.6,10.1,10,73,2,13,14,15,1.26,11,15,-4,-0.40,+0.11,11.7,14.4,-2.7,-0.27,+0.02
408,Salvatore Bocchetti,Hellas Verona,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Salvatore Boccia,Cagliari,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
