,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
1832,Jesus Navas,Sevilla,37.4,4,0,0,18,28,3,232,31,15,0,0,0,210,15,37,28.8
1833,Keylor Navas,Paris S-G,21.0,0,0,0,1,1,0,0,0,0,0,0,0,30,1,0,100.0
1834,Raul Navas,Osasuna,7.9,2,0,0,9,4,0,0,18,5,0,0,0,40,9,15,37.5
1835,Michel Ndary Adopo,Torino,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
1836,Papa Ndiaga Yade,Metz,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
1837,Wilfred Ndidi,Leicester City,29.7,6,0,0,56,27,1,3,80,67,0,3,0,271,83,68,55.0
1838,Emanuele Ndoj,Brescia,6.2,2,0,0,21,26,1,4,5,6,0,0,0,33,3,15,16.7
1839,Tanguy Ndombele,Tottenham,11.2,3,0,0,14,29,0,12,14,16,0,0,0,79,6,8,42.9
1840,Reiss Nelson,Arsenal,7.0,1,0,0,8,8,4,24,3,8,0,0,0,30,0,5,0.0
1841,Ilija Nestorovski,Udinese,13.9,4,0,0,36,29,8,9,4,7,0,0,0,31,26,39,40.0
1842,Neto,Barcelona,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0
1843,Pedro Neto,Wolves,10.4,3,0,0,14,16,4,48,6,4,0,0,0,53,6,24,20.0
1844,Manuel Neuer,Bayern Munich,33.0,0,0,0,0,2,0,0,0,1,0,0,0,107,8,0,100.0
1846,Florian Neuhaus,M'Gladbach,26.2,6,0,0,21,50,2,31,27,23,0,0,0,188,14,29,32.6
1847,Carlos Neva,Granada,24.5,2,0,0,12,38,0,77,28,11,0,1,0,85,22,30,42.3
1848,Ruben Neves,Wolves,34.0,9,0,0,29,16,0,34,56,33,0,0,0,303,28,27,50.9
1849,Neymar,Paris S-G,14.6,4,1,1,14,62,1,55,4,7,1,0,0,57,1,4,20.0
1850,Jeremy Ngakia,West Ham,4.9,0,0,0,4,1,1,12,7,7,0,0,0,16,7,13,35.0
1851,Jessic Ngankam,Hertha BSC,0.9,0,0,0,4,1,0,1,0,2,0,0,0,2,1,0,100.0
1852,Muzinga Ngonda,Dijon,6.0,1,0,0,8,5,0,12,11,6,0,0,1,29,11,10,52.4
1853,Ahmad Ngouyamsa,Dijon,0.6,1,0,0,3,0,0,0,1,0,0,0,0,6,0,1,0.0
1854,Opa Nguette,Metz,20.3,1,0,0,19,38,0,12,12,28,1,0,0,96,19,38,33.3
1855,Moussa Niakhate,Mainz 05,33.0,7,0,0,57,27,1,8,40,22,0,1,0,181,86,49,63.7
1856,Ibrahima Niane,Metz,10.6,0,0,0,9,30,2,24,10,7,1,0,0,46,18,45,28.6
1857,M'Baye Niang,Rennes,23.6,2,0,0,48,55,17,11,5,10,2,0,0,53,82,87,48.5
1858,Tanguy Nianzou,Paris S-G,5.0,1,0,0,7,8,0,0,3,1,0,0,0,27,13,4,76.5
1859,Cheikh Niasse,Lille,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
1860,Oumar Niasse,Everton,0.2,0,0,0,2,0,0,1,1,0,0,0,0,2,0,3,0.0
1861,Moritz Nicolas,Union Berlin,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
1862,Florian Niederlechner,Augsburg,30.2,1,0,0,46,63,39,18,8,13,2,0,1,89,46,67,40.7
1863,Saul Niguez,Atlético Madrid,34.1,10,0,0,63,26,6,27,55,59,0,0,0,211,117,100,53.9
1864,Casimir Ninga,Angers,7.6,2,1,0,14,10,2,8,3,5,0,0,0,39,13,16,44.8
1865,Fernando Nino,Villarreal,0.9,1,0,0,7,0,0,1,0,0,0,0,0,4,2,3,40.0
1866,Timothee Nkada,Reims,1.6,1,0,0,4,3,2,3,0,0,0,0,0,3,4,9,30.8
1867,Eddie Nketiah,Arsenal,7.0,0,1,0,16,10,3,1,2,5,0,0,0,15,7,8,46.7
1868,Nicolas Nkoulou,Torino,29.9,6,1,1,37,25,0,0,70,24,0,3,0,214,53,36,59.6
1869,Christopher Nkunku,RB Leipzig,21.4,2,0,0,24,40,6,121,20,13,1,0,0,80,25,41,37.9
1870,Lukas Nmecha,Wolfsburg,1.5,1,0,0,3,5,1,1,0,0,0,0,0,7,3,4,42.9
1872,Mark Noble,West Ham,29.7,5,0,0,28,31,1,41,20,30,1,0,0,189,15,11,57.7
1873,Nolito,Sevilla,10.0,0,0,0,22,9,10,14,1,12,1,0,0,43,9,13,40.9
1874,Nolito,Celta Vigo,3.6,3,1,1,10,2,1,10,1,5,0,0,0,24,0,3,0.0
1875,Arnaud Nordin,Saint-Étienne,10.1,2,0,0,12,31,0,33,4,3,2,0,0,39,8,28,22.2
1876,Havard Nordtveit,Hoffenheim,7.8,2,0,0,3,6,0,1,13,1,0,2,0,39,16,12,57.1
1877,Oliver Norwood,Sheffield Utd,34.3,8,0,0,32,16,1,198,47,37,0,1,0,275,44,29,60.3
1878,Alexander Nubel,Schalke 04,25.7,1,1,0,1,5,0,0,2,0,0,0,1,29,13,0,100.0
1879,Kasim Nuhu,Düsseldorf,11.1,0,0,0,9,9,0,0,25,7,0,0,0,61,16,16,50.0
1880,Unai Nunez,Athletic Club,17.5,7,0,0,17,10,0,1,23,10,0,0,1,95,48,39,55.2
1881,Bram Nuytinck,Udinese,24.7,2,0,0,20,9,0,6,27,32,0,1,0,131,35,39,47.3
1882,Gerzino Nyamsi,Rennes,1.3,0,0,0,4,2,0,0,1,0,0,0,0,2,2,3,40.0
1883,Orjan Nyland,Aston Villa,6.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
1884,Allan Nyom,Getafe,26.9,13,2,0,63,23,3,97,14,25,0,0,0,125,36,29,55.4
1885,Steven Nzonzi,Rennes,4.3,0,0,0,3,2,0,0,4,4,0,0,0,27,19,8,70.4
1886,Jack O'Connell,Sheffield Utd,32.4,4,0,0,22,17,2,51,42,14,0,0,0,184,133,63,67.9
