,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,26.0,1990.0,24.3,7.0,0.0,0.0,18.0,10.0,3.0,56.0,47.0,32.0,0.0,0.0,0.0,162.0,6.0,5.0,54.5
1,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,Premier League,21.0,1995.0,1.5,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,9.0,1.0,3.0,25.0
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,Serie A,21.0,1995.0,5.7,0.0,0.0,0.0,9.0,11.0,0.0,10.0,2.0,8.0,0.0,0.0,0.0,19.0,9.0,15.0,37.5
3,Ignazio Abate,it ITA,DF,Milan,Serie A,30.0,1986.0,11.7,3.0,0.0,0.0,12.0,8.0,3.0,31.0,8.0,17.0,0.0,0.0,0.0,56.0,5.0,4.0,55.6
4,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,27.0,1989.0,5.5,3.0,0.0,0.0,9.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,32.0,7.0,7.0,50.0
5,Aly Abeid,mr MTN,DF,Levante,La Liga,19.0,1997.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,24.0,1992.0,13.1,2.0,0.0,0.0,29.0,16.0,2.0,6.0,18.0,15.0,0.0,0.0,0.0,93.0,13.0,16.0,44.8
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,31.0,1986.0,25.6,3.0,0.0,0.0,11.0,20.0,0.0,7.0,40.0,32.0,0.0,0.0,1.0,113.0,78.0,42.0,65.0
8,Tammy Abraham,eng ENG,FW,Swansea City,Premier League,19.0,1997.0,19.2,0.0,0.0,0.0,15.0,27.0,9.0,13.0,1.0,8.0,0.0,0.0,0.0,41.0,39.0,58.0,40.2
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,27.0,1990.0,9.4,2.0,0.0,0.0,20.0,27.0,0.0,5.0,19.0,32.0,0.0,0.0,0.0,55.0,17.0,17.0,50.0
10,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,29.0,1988.0,38.0,4.0,0.0,0.0,31.0,32.0,1.0,12.0,88.0,32.0,0.0,1.0,1.0,260.0,103.0,40.0,72.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,25.0,1992.0,10.6,4.0,2.0,1.0,17.0,14.0,0.0,12.0,16.0,6.0,0.0,0.0,0.0,68.0,12.0,17.0,41.4
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,31.0,1985.0,4.6,2.0,1.0,0.0,8.0,8.0,0.0,30.0,9.0,5.0,0.0,0.0,0.0,40.0,7.0,4.0,63.6
13,Antonio Adán,es ESP,GK,Betis,La Liga,30.0,1987.0,30.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,1.0,80.0
14,Aday,es ESP,DF,Girona,La Liga,29.0,1987.0,20.4,10.0,0.0,0.0,39.0,15.0,6.0,134.0,25.0,15.0,0.0,0.0,1.0,97.0,37.0,16.0,69.8
15,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,32.0,1985.0,32.5,9.0,0.0,0.0,50.0,39.0,1.0,0.0,65.0,24.0,0.0,1.0,0.0,195.0,64.0,46.0,58.2
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,Serie A,19.0,1998.0,13.6,5.0,1.0,0.0,24.0,19.0,2.0,27.0,23.0,26.0,0.0,0.0,0.0,80.0,15.0,15.0,50.0
17,René Adler,de GER,GK,Mainz 05,Bundesliga,32.0,1985.0,14.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.0,5.0,0.0,100.0
18,Yacine Adli,fr FRA,FW,Paris S-G,Ligue 1,17.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
