,Squad,Comp,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Alavés,La Liga,32.0,38.0,111.0,7.0,3.0,621.0,432.0,61.0,562.0,392.0,346.0,5.0,15.0,0.0,1766.0,905.0,712.0,56.0
1,Amiens,Ligue 1,27.0,28.0,57.0,4.0,2.0,403.0,320.0,37.0,463.0,300.0,238.0,5.0,1.0,1.0,1543.0,470.0,551.0,46.0
2,Angers,Ligue 1,26.0,28.0,42.0,2.0,1.0,336.0,315.0,28.0,550.0,267.0,279.0,1.0,3.0,0.0,1511.0,449.0,455.0,49.7
3,Arsenal,Premier League,29.0,38.0,88.0,5.0,1.0,421.0,437.0,73.0,699.0,351.0,336.0,2.0,8.0,0.0,1861.0,501.0,589.0,46.0
4,Aston Villa,Premier League,28.0,38.0,70.0,1.0,1.0,451.0,525.0,62.0,798.0,423.0,291.0,2.0,6.0,1.0,1900.0,705.0,742.0,48.7
5,Atalanta,Serie A,30.0,38.0,80.0,2.0,1.0,534.0,518.0,50.0,767.0,418.0,351.0,9.0,6.0,3.0,2145.0,624.0,500.0,55.5
6,Athletic Club,La Liga,26.0,38.0,90.0,2.0,0.0,522.0,436.0,84.0,754.0,373.0,324.0,4.0,7.0,2.0,1911.0,912.0,683.0,57.2
7,Atlético Madrid,La Liga,30.0,38.0,93.0,3.0,2.0,513.0,479.0,116.0,574.0,412.0,406.0,6.0,4.0,3.0,1950.0,827.0,723.0,53.4
8,Augsburg,Bundesliga,28.0,34.0,68.0,2.0,2.0,378.0,384.0,81.0,479.0,434.0,314.0,4.0,1.0,3.0,1765.0,545.0,612.0,47.1
9,Barcelona,La Liga,28.0,38.0,92.0,6.0,3.0,416.0,529.0,83.0,417.0,342.0,323.0,3.0,7.0,0.0,1874.0,455.0,364.0,55.6
10,Bayern Munich,Bundesliga,29.0,34.0,54.0,3.0,2.0,322.0,355.0,78.0,849.0,341.0,293.0,6.0,4.0,1.0,2049.0,478.0,403.0,54.3
11,Betis,La Liga,27.0,38.0,108.0,9.0,3.0,473.0,577.0,84.0,624.0,302.0,299.0,6.0,11.0,1.0,1709.0,579.0,558.0,50.9
12,Bologna,Serie A,31.0,38.0,109.0,7.0,3.0,595.0,567.0,85.0,733.0,412.0,338.0,6.0,8.0,1.0,1903.0,644.0,666.0,49.2
13,Bordeaux,Ligue 1,26.0,28.0,55.0,0.0,0.0,379.0,361.0,40.0,425.0,302.0,284.0,1.0,3.0,1.0,1562.0,487.0,445.0,52.3
14,Bournemouth,Premier League,27.0,38.0,78.0,3.0,2.0,369.0,388.0,67.0,646.0,475.0,299.0,2.0,6.0,0.0,1979.0,792.0,835.0,48.7
15,Brescia,Serie A,32.0,38.0,95.0,6.0,3.0,504.0,583.0,68.0,641.0,361.0,273.0,3.0,11.0,3.0,1768.0,498.0,602.0,45.3
16,Brest,Ligue 1,24.0,28.0,45.0,2.0,0.0,329.0,286.0,35.0,520.0,352.0,282.0,4.0,6.0,0.0,1464.0,405.0,477.0,45.9
17,Brighton,Premier League,25.0,38.0,59.0,2.0,1.0,386.0,325.0,71.0,689.0,419.0,379.0,2.0,2.0,2.0,2065.0,690.0,577.0,54.5
18,Burnley,Premier League,22.0,38.0,67.0,0.0,0.0,412.0,369.0,89.0,743.0,387.0,344.0,1.0,5.0,1.0,1860.0,937.0,917.0,50.5
19,Cagliari,Serie A,33.0,38.0,108.0,6.0,3.0,534.0,449.0,56.0,762.0,337.0,338.0,3.0,9.0,3.0,1836.0,516.0,691.0,42.8
20,Celta Vigo,La Liga,30.0,38.0,104.0,6.0,3.0,473.0,527.0,70.0,636.0,396.0,357.0,6.0,5.0,0.0,1905.0,650.0,659.0,49.7
21,Chelsea,Premier League,27.0,38.0,60.0,0.0,0.0,386.0,384.0,63.0,862.0,459.0,362.0,6.0,2.0,3.0,2210.0,703.0,701.0,50.1
22,Crystal Palace,Premier League,25.0,38.0,62.0,2.0,0.0,424.0,479.0,53.0,588.0,444.0,390.0,2.0,1.0,2.0,1915.0,771.0,776.0,49.8
23,Dijon,Ligue 1,28.0,28.0,43.0,2.0,0.0,351.0,334.0,32.0,451.0,332.0,304.0,0.0,1.0,2.0,1497.0,542.0,499.0,52.1
24,Dortmund,Bundesliga,27.0,34.0,49.0,1.0,1.0,305.0,327.0,56.0,510.0,375.0,329.0,1.0,3.0,3.0,1914.0,361.0,358.0,50.2
25,Düsseldorf,Bundesliga,28.0,34.0,78.0,0.0,0.0,407.0,430.0,56.0,705.0,376.0,307.0,3.0,5.0,4.0,1737.0,583.0,649.0,47.3
26,Eibar,La Liga,26.0,38.0,92.0,3.0,2.0,538.0,411.0,73.0,870.0,430.0,338.0,5.0,6.0,1.0,2039.0,974.0,1091.0,47.2
27,Eint Frankfurt,Bundesliga,27.0,34.0,71.0,4.0,2.0,425.0,368.0,57.0,892.0,376.0,377.0,1.0,3.0,2.0,2047.0,699.0,665.0,51.2
28,Espanyol,La Liga,31.0,38.0,107.0,9.0,6.0,581.0,469.0,65.0,710.0,360.0,364.0,1.0,7.0,2.0,1927.0,755.0,814.0,48.1
29,Everton,Premier League,24.0,38.0,76.0,3.0,3.0,472.0,394.0,58.0,804.0,408.0,408.0,0.0,4.0,3.0,1966.0,860.0,835.0,50.7
30,Fiorentina,Serie A,33.0,38.0,105.0,5.0,3.0,546.0,500.0,50.0,726.0,347.0,333.0,8.0,11.0,0.0,1926.0,458.0,491.0,48.3
31,Freiburg,Bundesliga,26.0,34.0,43.0,2.0,1.0,329.0,437.0,56.0,649.0,354.0,253.0,5.0,4.0,0.0,1630.0,636.0,673.0,48.6
32,Genoa,Serie A,34.0,38.0,107.0,10.0,5.0,571.0,514.0,57.0,723.0,385.0,335.0,12.0,9.0,2.0,1828.0,600.0,583.0,50.7
33,Getafe,La Liga,30.0,38.0,135.0,5.0,2.0,706.0,495.0,106.0,833.0,367.0,341.0,4.0,6.0,2.0,1947.0,914.0,1024.0,47.2
34,Granada,La Liga,27.0,38.0,109.0,1.0,1.0,590.0,497.0,70.0,670.0,385.0,348.0,3.0,5.0,0.0,1764.0,748.0,849.0,46.8
35,Hellas Verona,Serie A,30.0,38.0,87.0,7.0,2.0,555.0,490.0,91.0,750.0,398.0,290.0,7.0,9.0,1.0,2146.0,718.0,783.0,47.8
36,Hertha BSC,Bundesliga,32.0,34.0,77.0,4.0,2.0,465.0,350.0,57.0,527.0,410.0,340.0,3.0,7.0,2.0,1725.0,611.0,530.0,53.5
37,Hoffenheim,Bundesliga,31.0,34.0,66.0,2.0,1.0,383.0,416.0,61.0,579.0,349.0,309.0,3.0,8.0,2.0,1666.0,564.0,541.0,51.0
38,Inter,Serie A,29.0,38.0,104.0,6.0,3.0,563.0,450.0,96.0,790.0,370.0,287.0,10.0,4.0,1.0,1862.0,515.0,470.0,52.3
39,Juventus,Serie A,30.0,38.0,87.0,3.0,2.0,508.0,486.0,73.0,698.0,370.0,318.0,10.0,12.0,0.0,1811.0,432.0,338.0,56.1
40,Köln,Bundesliga,29.0,34.0,79.0,4.0,1.0,487.0,436.0,75.0,708.0,435.0,414.0,3.0,6.0,2.0,1948.0,715.0,668.0,51.7
41,Lazio,Serie A,27.0,38.0,99.0,2.0,1.0,462.0,399.0,71.0,741.0,378.0,311.0,12.0,9.0,1.0,1921.0,450.0,515.0,46.6
42,Lecce,Serie A,30.0,38.0,98.0,5.0,2.0,469.0,490.0,67.0,711.0,383.0,293.0,10.0,13.0,3.0,1804.0,487.0,495.0,49.6
43,Leganés,La Liga,29.0,38.0,127.0,4.0,2.0,591.0,500.0,75.0,771.0,418.0,357.0,4.0,7.0,1.0,1821.0,778.0,865.0,47.4
44,Leicester City,Premier League,24.0,38.0,43.0,3.0,1.0,418.0,444.0,64.0,779.0,423.0,432.0,6.0,10.0,2.0,2104.0,659.0,674.0,49.4
45,Levante,La Liga,29.0,38.0,79.0,5.0,4.0,468.0,460.0,81.0,697.0,331.0,288.0,5.0,7.0,2.0,1913.0,504.0,555.0,47.6
46,Leverkusen,Bundesliga,24.0,34.0,61.0,6.0,3.0,394.0,369.0,92.0,713.0,333.0,353.0,2.0,2.0,0.0,2035.0,518.0,490.0,51.4
47,Lille,Ligue 1,25.0,28.0,49.0,3.0,2.0,385.0,343.0,60.0,528.0,278.0,237.0,7.0,6.0,3.0,1536.0,478.0,479.0,49.9
48,Liverpool,Premier League,24.0,38.0,38.0,1.0,0.0,331.0,293.0,53.0,896.0,352.0,325.0,4.0,1.0,1.0,2194.0,655.0,588.0,52.7
49,Lyon,Ligue 1,27.0,28.0,49.0,4.0,1.0,342.0,312.0,26.0,495.0,311.0,304.0,4.0,3.0,3.0,1495.0,455.0,372.0,55.0
50,M'Gladbach,Bundesliga,25.0,34.0,77.0,3.0,3.0,424.0,446.0,91.0,570.0,381.0,322.0,5.0,2.0,0.0,1880.0,546.0,554.0,49.6
51,Mainz 05,Bundesliga,25.0,34.0,75.0,3.0,2.0,462.0,401.0,70.0,615.0,363.0,331.0,3.0,5.0,1.0,1785.0,609.0,669.0,47.7
52,Mallorca,La Liga,32.0,38.0,93.0,5.0,4.0,509.0,526.0,58.0,682.0,376.0,338.0,8.0,16.0,1.0,1867.0,634.0,729.0,46.5
53,Manchester City,Premier League,24.0,38.0,64.0,4.0,2.0,362.0,296.0,68.0,915.0,352.0,301.0,10.0,3.0,1.0,1959.0,515.0,498.0,50.8
54,Manchester Utd,Premier League,29.0,38.0,73.0,0.0,0.0,423.0,427.0,56.0,635.0,379.0,333.0,12.0,3.0,1.0,2084.0,557.0,512.0,52.1
55,Marseille,Ligue 1,23.0,28.0,67.0,3.0,1.0,376.0,318.0,23.0,499.0,312.0,325.0,4.0,5.0,2.0,1471.0,472.0,448.0,51.3
56,Metz,Ligue 1,24.0,28.0,45.0,4.0,0.0,335.0,344.0,31.0,447.0,312.0,337.0,2.0,4.0,0.0,1504.0,462.0,547.0,45.8
57,Milan,Serie A,32.0,38.0,97.0,6.0,2.0,545.0,460.0,63.0,713.0,419.0,345.0,4.0,10.0,1.0,1928.0,538.0,507.0,51.5
58,Monaco,Ligue 1,28.0,28.0,60.0,10.0,1.0,336.0,345.0,44.0,510.0,281.0,307.0,3.0,6.0,1.0,1479.0,405.0,372.0,52.1
59,Montpellier,Ligue 1,27.0,28.0,55.0,5.0,2.0,421.0,386.0,42.0,614.0,308.0,286.0,4.0,5.0,2.0,1596.0,606.0,518.0,53.9
60,Nantes,Ligue 1,29.0,28.0,51.0,2.0,1.0,376.0,340.0,44.0,464.0,305.0,347.0,0.0,6.0,1.0,1638.0,464.0,518.0,47.3
61,Napoli,Serie A,25.0,38.0,73.0,2.0,0.0,421.0,523.0,54.0,813.0,330.0,295.0,2.0,8.0,1.0,1958.0,384.0,374.0,50.7
62,Newcastle Utd,Premier League,28.0,38.0,66.0,3.0,0.0,370.0,423.0,75.0,591.0,391.0,357.0,0.0,2.0,2.0,1871.0,733.0,781.0,48.4
63,Nice,Ligue 1,31.0,28.0,54.0,7.0,4.0,295.0,362.0,22.0,395.0,343.0,279.0,4.0,7.0,2.0,1441.0,279.0,299.0,48.3
64,Nîmes,Ligue 1,28.0,28.0,41.0,6.0,3.0,360.0,401.0,39.0,544.0,329.0,302.0,2.0,4.0,1.0,1431.0,575.0,596.0,49.1
65,Norwich City,Premier League,30.0,38.0,68.0,3.0,0.0,363.0,430.0,50.0,473.0,397.0,379.0,1.0,7.0,3.0,1989.0,518.0,673.0,43.5
66,Osasuna,La Liga,31.0,38.0,110.0,6.0,3.0,551.0,410.0,80.0,755.0,417.0,361.0,2.0,5.0,0.0,2056.0,874.0,869.0,50.1
